time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,9.05,9.05,9.05,9.05,0.0,0,0,5918400,1447200,65757
2023-08-03 15:27:00,1691056620,9.0,9.05,9.0,9.05,0.0,0,-5400,5918400,1447200,65757
2023-08-03 15:26:00,1691056560,9.05,9.05,9.05,9.05,8.57,5400,0,5918400,1452600,65757
2023-08-03 15:25:00,1691056500,9.15,9.15,9.15,9.15,8.57,5400,0,5913000,1452600,65757
2023-08-03 15:24:00,1691056440,9.1,9.1,9.1,9.1,8.57,10800,0,5907600,1452600,65757
2023-08-03 15:23:00,1691056380,9.0,9.0,9.0,9.0,8.57,5400,0,5896800,1452600,65757
2023-08-03 15:22:00,1691056320,9.15,9.15,9.15,9.15,8.57,5400,-10800,5891400,1452600,65757
2023-08-03 15:21:00,1691056260,9.15,9.15,9.15,9.15,8.57,5400,0,5886000,1463400,65757
2023-08-03 15:20:00,1691056200,9.1,9.1,9.1,9.1,0.0,0,0,5880600,1463400,65757
2023-08-03 15:19:00,1691056140,9.1,9.1,9.1,9.1,8.57,21600,0,5880600,1463400,65757
2023-08-03 15:18:00,1691056080,9.2,9.2,9.2,9.2,8.57,5400,0,5859000,1463400,65757
2023-08-03 15:17:00,1691056020,9.2,9.2,9.2,9.2,0.0,0,0,5853600,1463400,65757
2023-08-03 15:16:00,1691055960,9.2,9.2,9.2,9.2,12.17,16200,5400,5853600,1463400,65757
2023-08-03 15:15:00,1691055900,8.95,8.95,8.95,8.95,0.0,0,0,5837400,1458000,65757
2023-08-03 15:14:00,1691055840,8.95,8.95,8.95,8.95,0.0,0,0,5837400,1458000,65757
2023-08-03 15:13:00,1691055780,8.95,8.95,8.95,8.95,0.0,0,0,5837400,1458000,65757
2023-08-03 15:12:00,1691055720,8.95,8.95,8.95,8.95,0.0,0,0,5837400,1458000,65757
2023-08-03 15:11:00,1691055660,8.95,8.95,8.95,8.95,0.0,0,0,5837400,1458000,65757
2023-08-03 15:10:00,1691055600,8.95,8.95,8.95,8.95,8.56,10800,0,5837400,1458000,65757
2023-08-03 15:09:00,1691055540,8.9,8.9,8.9,8.9,8.56,5400,0,5826600,1458000,65757
2023-08-03 15:08:00,1691055480,8.95,8.95,8.95,8.95,0.0,0,0,5821200,1458000,65757
2023-08-03 15:07:00,1691055420,8.95,8.95,8.95,8.95,8.56,21600,-32400,5821200,1458000,65757
2023-08-03 15:06:00,1691055360,8.85,8.85,8.85,8.85,0.0,0,0,5799600,1490400,65757
2023-08-03 15:05:00,1691055300,9.1,9.1,8.85,8.85,8.56,70200,0,5799600,1490400,65757
2023-08-03 15:04:00,1691055240,9.05,9.05,9.05,9.05,8.56,10800,0,5729400,1490400,65757
2023-08-03 15:03:00,1691055180,9.25,9.25,9.25,9.25,0.0,0,0,5718600,1490400,65757
2023-08-03 15:02:00,1691055120,9.25,9.25,9.25,9.25,0.0,0,0,5718600,1490400,65757
2023-08-03 15:01:00,1691055060,9.4,9.4,9.25,9.25,10.31,32400,0,5718600,1490400,65757
2023-08-03 15:00:00,1691055000,9.4,9.55,9.4,9.55,8.55,27000,5400,5686200,1490400,65757
2023-08-03 14:59:00,1691054940,9.3,9.3,9.3,9.3,0.0,0,0,5659200,1485000,65757
2023-08-03 14:58:00,1691054880,9.25,9.3,9.25,9.3,8.55,10800,-10800,5659200,1485000,65757
2023-08-03 14:57:00,1691054820,9.05,9.05,9.05,9.05,0.0,0,0,5648400,1495800,65757
2023-08-03 14:56:00,1691054760,9.05,9.05,9.05,9.05,11.15,21600,0,5648400,1495800,65757
2023-08-03 14:55:00,1691054700,9.1,9.1,9.1,9.1,8.54,10800,0,5626800,1495800,65757
2023-08-03 14:54:00,1691054640,8.8,8.8,8.8,8.8,0.0,0,0,5616000,1495800,65757
2023-08-03 14:53:00,1691054580,8.8,8.8,8.8,8.8,0.0,0,0,5616000,1495800,65757
2023-08-03 14:52:00,1691054520,8.8,8.8,8.8,8.8,0.0,0,0,5616000,1495800,65757
2023-08-03 14:51:00,1691054460,8.8,8.8,8.8,8.8,0.0,0,10800,5616000,1495800,65757
2023-08-03 14:50:00,1691054400,8.7,8.7,8.7,8.7,0.0,0,0,5616000,1485000,65757
2023-08-03 14:49:00,1691054340,8.7,8.7,8.7,8.7,0.0,0,0,5616000,1485000,65757
2023-08-03 14:48:00,1691054280,8.7,8.7,8.7,8.7,0.0,0,0,5616000,1485000,65757
2023-08-03 14:47:00,1691054220,8.7,8.7,8.7,8.7,0.0,0,0,5616000,1485000,65757
2023-08-03 14:46:00,1691054160,8.7,8.7,8.7,8.7,0.0,0,0,5616000,1485000,65757
2023-08-03 14:45:00,1691054100,8.7,8.7,8.7,8.7,8.54,16200,0,5616000,1485000,65757
2023-08-03 14:44:00,1691054040,8.95,9.05,8.9,9.05,8.54,27000,0,5599800,1485000,65757
2023-08-03 14:43:00,1691053980,8.9,8.9,8.9,8.9,0.0,0,0,5572800,1485000,65757
2023-08-03 14:42:00,1691053920,9.05,9.05,9.05,9.05,0.0,0,0,5572800,1485000,65757
2023-08-03 14:41:00,1691053860,9.1,9.1,9.1,9.1,8.54,21600,-5400,5572800,1485000,65757
2023-08-03 14:40:00,1691053800,9.1,9.1,9.1,9.1,0.0,0,0,5551200,1490400,65757
2023-08-03 14:39:00,1691053740,9.1,9.1,9.1,9.1,0.0,0,0,5551200,1490400,65757
2023-08-03 14:38:00,1691053680,9.1,9.1,9.1,9.1,8.54,10800,0,5551200,1490400,65757
2023-08-03 14:37:00,1691053620,9.2,9.2,9.2,9.2,8.54,10800,0,5540400,1490400,65757
2023-08-03 14:36:00,1691053560,9.1,9.1,9.1,9.1,10.57,27000,0,5529600,1490400,65757
2023-08-03 14:35:00,1691053500,9.0,9.0,9.0,9.0,0.0,0,0,5502600,1490400,65757
2023-08-03 14:34:00,1691053440,9.0,9.0,9.0,9.0,0.0,0,0,5502600,1490400,65757
2023-08-03 14:33:00,1691053380,8.95,9.0,8.95,9.0,8.53,5400,-5400,5502600,1490400,65757
2023-08-03 14:32:00,1691053320,9.0,9.0,9.0,9.0,0.0,0,0,5497200,1495800,65757
2023-08-03 14:31:00,1691053260,9.0,9.0,9.0,9.0,8.53,37800,0,5497200,1495800,65757
2023-08-03 14:30:00,1691053200,8.9,8.9,8.9,8.9,0.0,0,0,5459400,1495800,65757
2023-08-03 14:29:00,1691053140,8.9,8.9,8.9,8.9,8.53,5400,0,5459400,1495800,65757
2023-08-03 14:28:00,1691053080,8.8,8.8,8.8,8.8,8.53,10800,0,5454000,1495800,65757
2023-08-03 14:27:00,1691053020,8.6,8.6,8.6,8.6,0.0,0,0,5443200,1495800,65757
2023-08-03 14:26:00,1691052960,8.6,8.6,8.6,8.6,8.53,5400,0,5443200,1495800,65757
2023-08-03 14:25:00,1691052900,8.8,8.8,8.8,8.8,0.0,0,0,5437800,1495800,65757
2023-08-03 14:24:00,1691052840,8.8,8.8,8.8,8.8,0.0,0,0,5437800,1495800,65757
2023-08-03 14:23:00,1691052780,8.8,8.8,8.8,8.8,0.0,0,0,5437800,1495800,65757
2023-08-03 14:22:00,1691052720,8.8,8.8,8.8,8.8,8.53,5400,0,5437800,1495800,65757
2023-08-03 14:21:00,1691052660,8.65,8.65,8.65,8.65,8.53,5400,10800,5432400,1495800,65757
2023-08-03 14:20:00,1691052600,8.5,8.65,8.5,8.65,8.53,16200,0,5427000,1485000,65757
2023-08-03 14:19:00,1691052540,8.3,8.4,8.3,8.4,8.53,10800,0,5410800,1485000,65757
2023-08-03 14:18:00,1691052480,8.0,8.0,8.0,8.0,0.0,0,0,5400000,1485000,65757
2023-08-03 14:17:00,1691052420,8.0,8.0,8.0,8.0,0.0,0,0,5400000,1485000,65757
2023-08-03 14:16:00,1691052360,8.0,8.0,8.0,8.0,0.0,0,0,5400000,1485000,65757
2023-08-03 14:15:00,1691052300,8.0,8.0,8.0,8.0,0.0,0,0,5400000,1485000,65757
2023-08-03 14:14:00,1691052240,8.0,8.0,8.0,8.0,0.0,0,0,5400000,1485000,65757
2023-08-03 14:13:00,1691052180,8.0,8.0,8.0,8.0,8.53,16200,0,5400000,1485000,65757
2023-08-03 14:12:00,1691052120,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:11:00,1691052060,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:10:00,1691052000,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:09:00,1691051940,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:08:00,1691051880,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:07:00,1691051820,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:06:00,1691051760,7.95,7.95,7.95,7.95,0.0,0,0,5383800,1485000,65757
2023-08-03 14:05:00,1691051700,7.95,7.95,7.95,7.95,0.0,0,-5400,5383800,1485000,65757
2023-08-03 14:04:00,1691051640,8.15,8.15,8.15,8.15,0.0,0,0,5383800,1490400,65757
2023-08-03 14:03:00,1691051580,8.15,8.15,8.15,8.15,0.0,0,0,5383800,1490400,65757
2023-08-03 14:02:00,1691051520,8.15,8.15,8.15,8.15,8.53,5400,0,5383800,1490400,65757
2023-08-03 14:01:00,1691051460,7.9,7.9,7.9,7.9,8.53,5400,-16200,5378400,1490400,65757
2023-08-03 14:00:00,1691051400,7.7,7.7,7.7,7.7,0.0,0,0,5373000,1506600,65757
2023-08-03 13:59:00,1691051340,7.7,7.7,7.7,7.7,0.0,0,0,5373000,1506600,65757
2023-08-03 13:58:00,1691051280,7.7,7.7,7.7,7.7,0.0,0,0,5373000,1506600,65757
2023-08-03 13:57:00,1691051220,7.7,7.7,7.7,7.7,0.0,0,0,5373000,1506600,65757
2023-08-03 13:56:00,1691051160,7.7,7.7,7.7,7.7,0.0,0,0,5373000,1506600,65757
2023-08-03 13:55:00,1691051100,7.7,7.7,7.7,7.7,6.55,27000,0,5373000,1506600,65757
2023-08-03 13:54:00,1691051040,7.7,7.7,7.7,7.7,8.54,5400,0,5346000,1506600,65757
2023-08-03 13:53:00,1691050980,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:52:00,1691050920,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:51:00,1691050860,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:50:00,1691050800,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:49:00,1691050740,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:48:00,1691050680,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:47:00,1691050620,7.4,7.4,7.4,7.4,0.0,0,0,5340600,1506600,65757
2023-08-03 13:46:00,1691050560,7.4,7.4,7.4,7.4,8.54,5400,27000,5340600,1506600,65757
2023-08-03 13:45:00,1691050500,7.4,7.4,7.4,7.4,0.0,0,0,5335200,1479600,65757
2023-08-03 13:44:00,1691050440,7.4,7.4,7.4,7.4,8.54,16200,0,5335200,1479600,65757
2023-08-03 13:43:00,1691050380,7.75,7.75,7.4,7.4,5.74,37800,0,5319000,1479600,65757
2023-08-03 13:42:00,1691050320,7.9,7.9,7.9,7.9,8.56,32400,0,5281200,1479600,65757
2023-08-03 13:41:00,1691050260,7.75,7.75,7.75,7.75,0.0,0,-5400,5248800,1479600,65757
2023-08-03 13:40:00,1691050200,7.9,7.9,7.9,7.9,0.0,0,0,5248800,1485000,65757
2023-08-03 13:39:00,1691050140,7.9,7.9,7.9,7.9,0.0,0,0,5248800,1485000,65757
2023-08-03 13:38:00,1691050080,7.9,7.9,7.9,7.9,8.56,59400,0,5248800,1485000,65757
2023-08-03 13:37:00,1691050020,8.0,8.0,7.8,7.8,8.56,5400,-10800,5189400,1485000,65757
2023-08-03 13:36:00,1691049960,8.15,8.15,8.15,8.15,0.0,0,0,5184000,1495800,65757
2023-08-03 13:35:00,1691049900,8.15,8.15,8.15,8.15,8.56,5400,0,5184000,1495800,65757
2023-08-03 13:34:00,1691049840,8.3,8.3,8.3,8.3,0.0,0,0,5178600,1495800,65757
2023-08-03 13:33:00,1691049780,8.3,8.3,8.3,8.3,8.56,5400,5400,5178600,1495800,65757
2023-08-03 13:32:00,1691049720,8.35,8.5,8.35,8.5,8.56,32400,5400,5173200,1490400,65757
2023-08-03 13:31:00,1691049660,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:30:00,1691049600,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:29:00,1691049540,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:28:00,1691049480,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:27:00,1691049420,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:26:00,1691049360,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
2023-08-03 13:25:00,1691049300,7.85,7.85,7.85,7.85,0.0,0,0,5140800,1485000,65757
