time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,7.3,7.35,7.3,7.3,7.4,5200,0,4771000,1801800,66961
2023-08-08 15:27:00,1691488620,7.35,7.35,7.35,7.35,7.4,5200,-2600,4765800,1801800,66961
2023-08-08 15:26:00,1691488560,7.35,7.45,7.35,7.4,7.4,13000,0,4760600,1804400,66961
2023-08-08 15:25:00,1691488500,7.45,7.45,7.4,7.4,7.4,13000,0,4747600,1804400,66961
2023-08-08 15:24:00,1691488440,7.5,7.5,7.5,7.5,7.4,13000,-7800,4734600,1804400,66961
2023-08-08 15:23:00,1691488380,7.35,7.45,7.35,7.4,7.4,10400,0,4721600,1812200,66961
2023-08-08 15:22:00,1691488320,7.25,7.3,7.25,7.3,7.4,7800,0,4711200,1812200,66961
2023-08-08 15:21:00,1691488260,7.35,7.35,7.35,7.35,7.4,15600,0,4703400,1812200,66961
2023-08-08 15:20:00,1691488200,7.3,7.3,7.3,7.3,0.0,0,0,4687800,1812200,66961
2023-08-08 15:19:00,1691488140,7.3,7.3,7.3,7.3,0.0,0,0,4687800,1812200,66961
2023-08-08 15:18:00,1691488080,7.2,7.2,7.2,7.2,7.4,13000,-2600,4687800,1812200,66961
2023-08-08 15:17:00,1691488020,7.1,7.25,7.1,7.25,7.4,5200,0,4674800,1814800,66961
2023-08-08 15:16:00,1691487960,7.2,7.2,7.2,7.2,7.4,5200,2600,4669600,1814800,66961
2023-08-08 15:15:00,1691487900,7.25,7.25,7.25,7.25,7.4,33800,0,4664400,1812200,66961
2023-08-08 15:14:00,1691487840,7.25,7.25,7.25,7.25,7.4,13000,0,4630600,1812200,66961
2023-08-08 15:13:00,1691487780,7.2,7.2,7.2,7.2,0.0,0,0,4617600,1812200,66961
2023-08-08 15:12:00,1691487720,7.1,7.15,7.1,7.1,7.4,10400,-2600,4617600,1812200,66961
2023-08-08 15:11:00,1691487660,7.0,7.05,7.0,7.05,7.4,7800,0,4607200,1814800,66961
2023-08-08 15:10:00,1691487600,6.95,7.1,6.95,7.1,7.4,31200,0,4599400,1814800,66961
