time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,5.75,5.75,5.75,5.75,7.08,18200,0,12654200,2880800,66979
2023-08-07 15:27:00,1691402220,5.9,5.9,5.75,5.75,7.08,20800,-7800,12636000,2880800,66979
2023-08-07 15:26:00,1691402160,5.85,5.85,5.8,5.8,7.08,10400,0,12615200,2888600,66979
2023-08-07 15:25:00,1691402100,5.9,5.9,5.7,5.9,7.08,18200,0,12604800,2888600,66979
2023-08-07 15:24:00,1691402040,5.8,5.85,5.8,5.8,7.08,18200,-5200,12586600,2888600,66979
2023-08-07 15:23:00,1691401980,5.75,5.75,5.75,5.75,7.08,5200,0,12568400,2893800,66979
2023-08-07 15:22:00,1691401920,5.6,5.65,5.6,5.65,0.18,18200,0,12563200,2893800,66979
2023-08-07 15:21:00,1691401860,5.65,5.65,5.65,5.65,7.09,20800,-2600,12545000,2893800,66979
2023-08-07 15:20:00,1691401800,5.75,5.8,5.65,5.8,7.09,7800,0,12524200,2896400,66979
2023-08-07 15:19:00,1691401740,5.85,5.85,5.85,5.85,7.09,33800,0,12516400,2896400,66979
2023-08-07 15:18:00,1691401680,5.75,5.75,5.75,5.75,7.09,10400,-5200,12482600,2896400,66979
2023-08-07 15:17:00,1691401620,5.85,5.85,5.8,5.8,-40.87,2600,0,12472200,2901600,66979
2023-08-07 15:16:00,1691401560,6.05,6.05,5.85,5.9,7.1,98800,0,12469600,2901600,66979
2023-08-07 15:15:00,1691401500,6.25,6.3,6.1,6.1,-1.53,28600,10400,12370800,2901600,66979
2023-08-07 15:14:00,1691401440,6.1,6.2,6.1,6.2,7.12,23400,0,12342200,2891200,66979
2023-08-07 15:13:00,1691401380,6.1,6.1,6.05,6.05,7.12,15600,0,12318800,2891200,66979
2023-08-07 15:12:00,1691401320,6.0,6.05,6.0,6.05,7.12,41600,-7800,12303200,2891200,66979
2023-08-07 15:11:00,1691401260,5.8,5.95,5.8,5.95,7.12,23400,0,12261600,2899000,66979
2023-08-07 15:10:00,1691401200,5.85,5.9,5.85,5.85,0.0,0,0,12238200,2899000,66979
2023-08-07 15:09:00,1691401140,5.95,5.95,5.9,5.9,7.12,10400,-2600,12238200,2899000,66979
2023-08-07 15:08:00,1691401080,5.85,6.0,5.85,6.0,7.12,28600,0,12227800,2901600,66979
2023-08-07 15:07:00,1691401020,5.9,5.95,5.85,5.95,7.12,5200,0,12199200,2901600,66979
2023-08-07 15:06:00,1691400960,6.05,6.05,5.9,6.0,7.12,28600,5200,12194000,2901600,66979
2023-08-07 15:05:00,1691400900,6.0,6.0,6.0,6.0,7.12,2600,0,12165400,2896400,66979
2023-08-07 15:04:00,1691400840,6.0,6.05,5.9,6.0,7.12,20800,0,12162800,2896400,66979
2023-08-07 15:03:00,1691400780,5.9,5.9,5.9,5.9,-4.54,10400,0,12142000,2896400,66979
2023-08-07 15:02:00,1691400720,6.0,6.0,6.0,6.0,7.13,7800,0,12131600,2896400,66979
2023-08-07 15:01:00,1691400660,5.9,6.0,5.9,6.0,7.13,20800,0,12123800,2896400,66979
2023-08-07 15:00:00,1691400600,6.0,6.0,6.0,6.0,7.13,15600,2600,12103000,2896400,66979
