time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,22.2,22.2,21.9,21.95,21.39,35200,0,7480800,1032000,69970
2023-08-08 15:27:00,1691488620,21.95,22.2,21.8,21.8,19.95,20800,-8000,7445600,1032000,69970
2023-08-08 15:26:00,1691488560,21.95,22.0,21.95,22.0,23.53,9600,0,7424800,1040000,69970
2023-08-08 15:25:00,1691488500,22.0,22.15,21.8,22.05,23.53,21600,0,7415200,1040000,69970
2023-08-08 15:24:00,1691488440,22.45,22.5,22.3,22.3,21.22,32000,8000,7393600,1040000,69970
2023-08-08 15:23:00,1691488380,22.5,22.5,22.5,22.5,23.54,9600,0,7361600,1032000,69970
2023-08-08 15:22:00,1691488320,22.65,22.65,22.2,22.5,23.54,11200,0,7352000,1032000,69970
2023-08-08 15:21:00,1691488260,22.6,22.85,22.5,22.7,23.54,12000,-10400,7340800,1032000,69970
2023-08-08 15:20:00,1691488200,22.2,22.95,22.2,22.9,23.54,23200,0,7328800,1042400,69970
2023-08-08 15:19:00,1691488140,22.0,22.4,21.9,22.4,18.47,14400,0,7305600,1042400,69970
2023-08-08 15:18:00,1691488080,21.0,21.2,21.0,21.2,23.55,5600,12800,7291200,1042400,69970
2023-08-08 15:17:00,1691488020,21.95,22.05,21.8,21.8,23.55,17600,0,7285600,1029600,69970
2023-08-08 15:16:00,1691487960,21.95,22.15,21.8,22.15,23.55,7200,0,7268000,1029600,69970
2023-08-08 15:15:00,1691487900,21.6,22.0,21.6,21.75,20.54,48000,1600,7260800,1029600,69970
2023-08-08 15:14:00,1691487840,21.65,22.0,21.65,22.0,23.57,13600,0,7212800,1028000,69970
2023-08-08 15:13:00,1691487780,22.65,22.65,21.7,21.75,23.57,16000,0,7199200,1028000,69970
2023-08-08 15:12:00,1691487720,22.55,22.55,22.55,22.55,23.57,4000,5600,7183200,1028000,69970
2023-08-08 15:11:00,1691487660,22.75,22.9,22.6,22.6,17.17,11200,0,7179200,1022400,69970
2023-08-08 15:10:00,1691487600,22.3,22.6,22.15,22.6,23.58,5600,0,7168000,1022400,69970
