time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,162.5,162.5,162.5,162.5,160.51,250,0,85000,13625,76492
2023-07-31 15:27:00,1690797420,161.5,161.5,161.5,161.5,0.0,0,0,84750,13625,76492
2023-07-31 15:26:00,1690797360,164.25,164.25,164.25,164.25,167.25,250,0,84750,13625,76492
2023-07-31 15:25:00,1690797300,164.6,164.6,164.6,164.6,0.0,0,0,84500,13625,76492
2023-07-31 15:24:00,1690797240,165.7,165.7,165.0,165.0,163.82,250,0,84500,13625,76492
2023-07-31 15:23:00,1690797180,166.45,166.45,166.45,166.45,163.79,125,0,84250,13625,76492
2023-07-31 15:22:00,1690797120,166.6,166.6,166.6,166.6,170.49,125,0,84125,13625,76492
2023-07-31 15:21:00,1690797060,166.6,166.6,166.6,166.6,163.74,125,-375,84000,13625,76492
2023-07-31 15:20:00,1690797000,168.8,169.1,166.6,166.6,167.45,875,0,83875,14000,76492
2023-07-31 15:19:00,1690796940,167.4,167.4,167.4,167.4,170.15,250,0,83000,14000,76492
2023-07-31 15:18:00,1690796880,170.4,170.4,170.4,170.4,170.09,125,125,82750,14000,76492
2023-07-31 15:17:00,1690796820,170.25,170.25,170.25,170.25,170.05,125,0,82625,13875,76492
2023-07-31 15:16:00,1690796760,171.7,171.7,171.7,171.7,0.0,0,0,82500,13875,76492
2023-07-31 15:15:00,1690796700,171.45,172.45,171.45,171.7,172.16,375,500,82500,13875,76492
2023-07-31 15:14:00,1690796640,170.7,172.05,169.6,171.5,170.76,3375,0,82125,13375,76492
2023-07-31 15:13:00,1690796580,171.85,171.85,171.85,171.85,172.88,375,0,78750,13375,76492
2023-07-31 15:12:00,1690796520,175.85,175.85,175.0,175.0,174.83,250,-500,78375,13375,76492
2023-07-31 15:11:00,1690796460,174.95,174.95,174.95,174.95,0.0,0,0,78125,13875,76492
2023-07-31 15:10:00,1690796400,174.0,174.95,173.25,174.95,173.67,875,0,78125,13875,76492
2023-07-31 15:09:00,1690796340,175.3,175.3,174.8,174.8,175.77,500,0,77250,13875,76492
2023-07-31 15:08:00,1690796280,174.1,174.1,173.55,173.55,170.99,250,0,76750,13875,76492
2023-07-31 15:07:00,1690796220,176.25,176.25,176.25,176.25,180.08,125,0,76500,13875,76492
2023-07-31 15:06:00,1690796160,177.3,177.3,175.0,176.75,176.77,750,125,76375,13875,76492
2023-07-31 15:05:00,1690796100,175.0,176.75,175.0,176.75,174.92,500,0,75625,13750,76492
2023-07-31 15:04:00,1690796040,172.5,174.0,172.5,174.0,173.17,500,0,75125,13750,76492
2023-07-31 15:03:00,1690795980,171.7,171.7,171.65,171.65,171.71,625,-625,74625,13750,76492
2023-07-31 15:02:00,1690795920,170.5,171.3,170.0,170.0,169.75,250,0,74000,14375,76492
2023-07-31 15:01:00,1690795860,171.5,171.5,171.5,171.5,172.59,250,0,73750,14375,76492
2023-07-31 15:00:00,1690795800,172.45,172.45,172.45,172.45,172.44,375,-125,73500,14375,76492
2023-07-31 14:59:00,1690795740,172.4,172.4,172.4,172.4,172.29,250,0,73125,14500,76492
2023-07-31 14:58:00,1690795680,173.0,173.45,173.0,173.45,172.17,250,-125,72875,14500,76492
2023-07-31 14:57:00,1690795620,171.3,171.3,171.3,171.3,0.0,0,0,72625,14625,76492
2023-07-31 14:56:00,1690795560,171.3,171.3,171.3,171.3,0.0,0,0,72625,14625,76492
2023-07-31 14:55:00,1690795500,172.0,172.0,171.3,171.3,172.05,250,0,72625,14625,76492
2023-07-31 14:54:00,1690795440,173.55,173.55,172.5,172.5,174.81,250,-250,72375,14625,76492
2023-07-31 14:53:00,1690795380,171.45,171.45,171.45,171.45,170.56,625,0,72125,14875,76492
2023-07-31 14:52:00,1690795320,172.55,172.55,172.55,172.55,174.36,250,0,71500,14875,76492
