time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,95.2,95.2,94.95,94.95,98.61,1101,0,2680568,277452,86538
2023-08-01 15:27:00,1690883820,95.25,95.25,94.5,95.25,98.61,1101,-1468,2679467,277452,86538
2023-08-01 15:26:00,1690883760,95.0,95.5,95.0,95.5,88.19,2569,0,2678366,278920,86538
2023-08-01 15:25:00,1690883700,95.5,95.5,94.3,94.5,98.62,5505,0,2675797,278920,86538
2023-08-01 15:24:00,1690883640,95.3,95.55,95.3,95.55,84.07,1835,734,2670292,278920,86538
2023-08-01 15:23:00,1690883580,95.5,96.0,95.5,96.0,98.63,3303,0,2668457,278186,86538
2023-08-01 15:22:00,1690883520,95.05,95.05,95.05,95.05,98.63,734,0,2665154,278186,86538
2023-08-01 15:21:00,1690883460,95.5,95.9,94.75,95.9,98.63,1468,-2202,2664420,278186,86538
2023-08-01 15:20:00,1690883400,95.0,95.0,94.15,94.4,91.38,3670,0,2662952,280388,86538
2023-08-01 15:19:00,1690883340,95.85,96.0,95.05,95.25,98.64,4037,0,2659282,280388,86538
2023-08-01 15:18:00,1690883280,95.65,95.65,95.65,95.65,98.64,734,-3670,2655245,280388,86538
2023-08-01 15:17:00,1690883220,95.95,95.95,95.7,95.7,98.64,1835,0,2654511,284058,86538
2023-08-01 15:16:00,1690883160,95.3,96.0,95.3,96.0,93.09,4771,0,2652676,284058,86538
2023-08-01 15:15:00,1690883100,95.0,95.2,95.0,95.2,98.65,1835,-1468,2647905,284058,86538
2023-08-01 15:14:00,1690883040,94.95,94.95,94.95,94.95,98.65,367,0,2646070,285526,86538
2023-08-01 15:13:00,1690882980,94.85,95.25,94.65,94.95,88.36,2569,-5872,2645703,285526,86538
2023-08-01 15:12:00,1690882920,94.95,95.0,94.95,95.0,98.66,734,0,2643134,291398,86538
2023-08-01 15:11:00,1690882860,94.4,95.15,94.4,95.0,98.66,2936,0,2642400,291398,86538
2023-08-01 15:10:00,1690882800,94.9,95.0,94.5,95.0,95.17,15047,0,2639464,291398,86538
2023-08-01 15:09:00,1690882740,93.5,94.75,93.05,94.75,93.4,9909,-1468,2624417,291398,86538
2023-08-01 15:08:00,1690882680,91.7,92.8,91.7,92.8,90.79,3303,0,2614508,292866,86538
2023-08-01 15:07:00,1690882620,92.0,92.0,91.55,91.55,98.71,1101,367,2611205,292866,86538
2023-08-01 15:06:00,1690882560,91.9,91.9,91.9,91.9,0.0,0,0,2610104,292499,86538
