time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,38.4,38.4,38.4,38.4,41.22,1100,-4400,3719100,793100,42917
2023-08-03 15:27:00,1691056620,38.0,38.0,38.0,38.0,41.22,3300,0,3718000,797500,42917
2023-08-03 15:26:00,1691056560,37.5,37.85,37.5,37.85,34.47,5500,0,3714700,797500,42917
2023-08-03 15:25:00,1691056500,37.7,37.7,37.7,37.7,0.0,0,0,3709200,797500,42917
2023-08-03 15:24:00,1691056440,37.7,37.7,37.7,37.7,0.0,0,0,3709200,797500,42917
2023-08-03 15:23:00,1691056380,38.35,38.35,37.7,37.7,41.23,1100,0,3709200,797500,42917
2023-08-03 15:22:00,1691056320,39.0,39.0,39.0,39.0,0.0,0,0,3708100,797500,42917
2023-08-03 15:21:00,1691056260,39.0,39.0,39.0,39.0,0.0,0,0,3708100,797500,42917
2023-08-03 15:20:00,1691056200,39.0,39.0,39.0,39.0,41.23,1100,0,3708100,797500,42917
2023-08-03 15:19:00,1691056140,39.75,39.75,39.45,39.6,41.23,3300,1100,3707000,797500,42917
2023-08-03 15:18:00,1691056080,39.65,39.65,39.65,39.65,0.0,0,0,3703700,796400,42917
2023-08-03 15:17:00,1691056020,39.65,39.65,39.65,39.65,41.23,6600,0,3703700,796400,42917
2023-08-03 15:16:00,1691055960,39.3,39.3,39.3,39.3,0.0,0,3300,3697100,796400,42917
2023-08-03 15:15:00,1691055900,39.85,39.85,39.85,39.85,41.23,2200,0,3697100,793100,42917
2023-08-03 15:14:00,1691055840,39.7,39.7,39.7,39.7,7.65,1100,0,3694900,793100,42917
2023-08-03 15:13:00,1691055780,39.65,39.7,39.65,39.7,41.24,2200,0,3693800,793100,42917
2023-08-03 15:12:00,1691055720,39.35,39.35,39.3,39.3,41.24,2200,0,3691600,793100,42917
2023-08-03 15:11:00,1691055660,39.45,39.45,39.45,39.45,41.24,1100,0,3689400,793100,42917
2023-08-03 15:10:00,1691055600,39.65,39.65,39.65,39.65,0.0,0,0,3688300,793100,42917
2023-08-03 15:09:00,1691055540,39.65,39.65,39.65,39.65,41.24,1100,5500,3688300,793100,42917
2023-08-03 15:08:00,1691055480,39.95,39.95,39.95,39.95,0.0,0,0,3687200,787600,42917
2023-08-03 15:07:00,1691055420,39.95,39.95,39.95,39.95,0.0,0,0,3687200,787600,42917
2023-08-03 15:06:00,1691055360,39.95,39.95,39.95,39.95,41.24,1100,0,3687200,787600,42917
