time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,20.35,20.35,20.35,20.35,18.63,1600,-1600,547200,52800,92411
2023-07-31 15:27:00,1690797420,18.1,18.1,18.1,18.1,0.0,0,0,545600,54400,92411
2023-07-31 15:26:00,1690797360,18.1,18.1,18.1,18.1,0.0,0,0,545600,54400,92411
2023-07-31 15:25:00,1690797300,18.1,18.1,18.1,18.1,18.63,1600,-12800,545600,54400,92411
2023-07-31 15:24:00,1690797240,18.4,18.4,18.4,18.4,0.0,0,0,544000,67200,92411
2023-07-31 15:23:00,1690797180,18.4,18.4,18.4,18.4,0.0,0,0,544000,67200,92411
2023-07-31 15:22:00,1690797120,18.4,18.4,18.4,18.4,0.0,0,0,544000,67200,92411
2023-07-31 15:21:00,1690797060,18.4,18.4,18.4,18.4,0.0,0,0,544000,67200,92411
2023-07-31 15:20:00,1690797000,18.7,18.7,18.4,18.4,18.63,16000,0,544000,67200,92411
2023-07-31 15:19:00,1690796940,18.3,18.3,18.3,18.3,0.0,0,0,528000,67200,92411
2023-07-31 15:18:00,1690796880,18.3,18.3,18.3,18.3,18.63,11200,0,528000,67200,92411
2023-07-31 15:17:00,1690796820,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:16:00,1690796760,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:15:00,1690796700,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:14:00,1690796640,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:13:00,1690796580,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:12:00,1690796520,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:11:00,1690796460,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:10:00,1690796400,18.0,18.0,18.0,18.0,0.0,0,0,516800,67200,92411
2023-07-31 15:09:00,1690796340,18.0,18.0,18.0,18.0,0.0,0,-1600,516800,67200,92411
2023-07-31 15:08:00,1690796280,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
2023-07-31 15:07:00,1690796220,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
2023-07-31 15:06:00,1690796160,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
2023-07-31 15:05:00,1690796100,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
2023-07-31 15:04:00,1690796040,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
2023-07-31 15:03:00,1690795980,18.3,18.3,18.3,18.3,0.0,0,0,516800,68800,92411
