time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:27:00,1691488620,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:26:00,1691488560,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:25:00,1691488500,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:24:00,1691488440,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:23:00,1691488380,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:22:00,1691488320,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:21:00,1691488260,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:20:00,1691488200,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:19:00,1691488140,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:18:00,1691488080,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:17:00,1691488020,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:16:00,1691487960,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:15:00,1691487900,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:14:00,1691487840,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:13:00,1691487780,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:12:00,1691487720,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:11:00,1691487660,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:10:00,1691487600,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:09:00,1691487540,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:08:00,1691487480,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:07:00,1691487420,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:06:00,1691487360,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:05:00,1691487300,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:04:00,1691487240,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:03:00,1691487180,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:02:00,1691487120,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:01:00,1691487060,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 15:00:00,1691487000,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:59:00,1691486940,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:58:00,1691486880,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:57:00,1691486820,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:56:00,1691486760,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:55:00,1691486700,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:54:00,1691486640,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:53:00,1691486580,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:52:00,1691486520,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:51:00,1691486460,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:50:00,1691486400,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:49:00,1691486340,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:48:00,1691486280,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:47:00,1691486220,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:46:00,1691486160,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:45:00,1691486100,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:44:00,1691486040,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:43:00,1691485980,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:42:00,1691485920,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:41:00,1691485860,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:40:00,1691485800,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:39:00,1691485740,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:38:00,1691485680,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:37:00,1691485620,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:36:00,1691485560,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:35:00,1691485500,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:34:00,1691485440,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:33:00,1691485380,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:32:00,1691485320,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:31:00,1691485260,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:30:00,1691485200,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:29:00,1691485140,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:28:00,1691485080,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:27:00,1691485020,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:26:00,1691484960,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:25:00,1691484900,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:24:00,1691484840,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:23:00,1691484780,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:22:00,1691484720,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:21:00,1691484660,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:20:00,1691484600,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:19:00,1691484540,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:18:00,1691484480,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:17:00,1691484420,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:16:00,1691484360,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:15:00,1691484300,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:14:00,1691484240,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:13:00,1691484180,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:12:00,1691484120,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:11:00,1691484060,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:10:00,1691484000,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:09:00,1691483940,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:08:00,1691483880,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:07:00,1691483820,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:06:00,1691483760,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:05:00,1691483700,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:04:00,1691483640,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:03:00,1691483580,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:02:00,1691483520,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:01:00,1691483460,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 14:00:00,1691483400,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:59:00,1691483340,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:58:00,1691483280,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:57:00,1691483220,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:56:00,1691483160,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:55:00,1691483100,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:54:00,1691483040,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:53:00,1691482980,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:52:00,1691482920,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:51:00,1691482860,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:50:00,1691482800,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:49:00,1691482740,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:48:00,1691482680,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:47:00,1691482620,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:46:00,1691482560,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:45:00,1691482500,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:44:00,1691482440,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:43:00,1691482380,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:42:00,1691482320,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:41:00,1691482260,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:40:00,1691482200,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:39:00,1691482140,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:38:00,1691482080,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:37:00,1691482020,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:36:00,1691481960,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:35:00,1691481900,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:34:00,1691481840,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:33:00,1691481780,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:32:00,1691481720,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:31:00,1691481660,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:30:00,1691481600,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:29:00,1691481540,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:28:00,1691481480,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:27:00,1691481420,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:26:00,1691481360,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:25:00,1691481300,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:24:00,1691481240,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:23:00,1691481180,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:22:00,1691481120,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:21:00,1691481060,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:20:00,1691481000,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:19:00,1691480940,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:18:00,1691480880,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:17:00,1691480820,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:16:00,1691480760,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:15:00,1691480700,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:14:00,1691480640,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:13:00,1691480580,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:12:00,1691480520,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:11:00,1691480460,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:10:00,1691480400,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:09:00,1691480340,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:08:00,1691480280,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:07:00,1691480220,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:06:00,1691480160,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:05:00,1691480100,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:04:00,1691480040,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:03:00,1691479980,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:02:00,1691479920,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:01:00,1691479860,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 13:00:00,1691479800,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:59:00,1691479740,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:58:00,1691479680,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:57:00,1691479620,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:56:00,1691479560,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:55:00,1691479500,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:54:00,1691479440,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:53:00,1691479380,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:52:00,1691479320,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:51:00,1691479260,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:50:00,1691479200,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:49:00,1691479140,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:48:00,1691479080,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:47:00,1691479020,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:46:00,1691478960,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:45:00,1691478900,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:44:00,1691478840,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:43:00,1691478780,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:42:00,1691478720,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:41:00,1691478660,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
2023-08-08 12:40:00,1691478600,11.0,11.0,11.0,11.0,0.0,0,0,1600,64000,92408
