time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:28:00,1690538280,9.6,9.7,9.6,9.7,8.86,52650,0,9032400,6715800
2023-07-28 15:27:00,1690538220,9.7,9.7,9.7,9.7,11.04,40950,-152100,8979750,6715800
2023-07-28 15:26:00,1690538160,9.75,9.8,9.65,9.7,9.47,140400,0,8938800,6867900
2023-07-28 15:25:00,1690538100,9.65,9.7,9.65,9.7,8.84,40950,0,8798400,6867900
2023-07-28 15:24:00,1690538040,9.75,9.75,9.7,9.75,13.82,17550,0,8757450,6867900
2023-07-28 15:23:00,1690537980,9.7,9.7,9.7,9.7,8.83,46800,0,8739900,6867900
2023-07-28 15:22:00,1690537920,9.75,9.75,9.7,9.75,9.96,76050,0,8693100,6867900
2023-07-28 15:21:00,1690537860,9.8,9.8,9.65,9.65,9.86,81900,-76050,8617050,6867900
2023-07-28 15:20:00,1690537800,9.85,9.85,9.75,9.85,9.56,111150,0,8535150,6943950
2023-07-28 15:19:00,1690537740,9.75,9.8,9.75,9.8,8.8,46800,0,8424000,6943950
2023-07-28 15:18:00,1690537680,9.75,9.75,9.6,9.6,10.83,40950,169650,8377200,6943950
2023-07-28 15:17:00,1690537620,9.6,9.7,9.55,9.7,9.42,128700,0,8336250,6774300
2023-07-28 15:16:00,1690537560,9.6,9.7,9.55,9.55,10.09,122850,0,8207550,6774300
2023-07-28 15:15:00,1690537500,9.55,9.7,9.55,9.65,9.49,315900,0,8084700,6774300
2023-07-28 15:14:00,1690537440,9.4,9.6,9.4,9.6,9.6,257400,0,7768800,6774300
2023-07-28 15:13:00,1690537380,9.05,9.5,9.05,9.45,9.24,859950,0,7511400,6774300
2023-07-28 15:12:00,1690537320,8.9,9.1,8.9,9.1,10.23,81900,128700,6651450,6774300
2023-07-28 15:11:00,1690537260,9.05,9.1,9.0,9.0,8.61,122850,0,6569550,6645600
2023-07-28 15:10:00,1690537200,8.9,9.0,8.85,9.0,8.61,76050,0,6446700,6645600
2023-07-28 15:09:00,1690537140,8.9,8.9,8.85,8.85,8.61,35100,-76050,6370650,6645600
2023-07-28 15:08:00,1690537080,9.0,9.0,8.85,8.85,8.61,23400,0,6335550,6721650
2023-07-28 15:07:00,1690537020,8.9,8.9,8.9,8.9,8.61,29250,0,6312150,6721650
2023-07-28 15:06:00,1690536960,8.9,8.9,8.9,8.9,8.61,11700,0,6282900,6721650
2023-07-28 15:05:00,1690536900,8.95,8.95,8.95,8.95,8.61,5850,0,6271200,6721650
2023-07-28 15:04:00,1690536840,8.95,8.95,8.9,8.9,24.64,11700,0,6265350,6721650
2023-07-28 15:03:00,1690536780,9.0,9.05,9.0,9.0,8.58,146250,-99450,6253650,6721650
2023-07-28 15:02:00,1690536720,9.0,9.05,9.0,9.05,8.58,152100,0,6107400,6821100
2023-07-28 15:01:00,1690536660,8.95,9.1,8.95,9.05,8.58,52650,0,5955300,6821100
2023-07-28 15:00:00,1690536600,8.8,8.8,8.8,8.8,8.58,11700,0,5902650,6821100
2023-07-28 14:59:00,1690536540,8.7,8.7,8.7,8.7,0.0,0,0,5890950,6821100
2023-07-28 14:58:00,1690536480,8.7,8.7,8.7,8.7,0.0,0,0,5890950,6821100
2023-07-28 14:57:00,1690536420,8.7,8.7,8.7,8.7,0.0,0,0,5890950,6821100
2023-07-28 14:56:00,1690536360,8.7,8.7,8.7,8.7,0.0,0,0,5890950,6821100
2023-07-28 14:55:00,1690536300,8.7,8.7,8.7,8.7,8.58,5850,0,5890950,6821100
