time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,3.9,3.9,3.9,3.9,0.0,0,0,2341500,661500,98534
2023-08-07 15:27:00,1691402220,3.9,3.9,3.9,3.9,0.0,0,0,2341500,661500,98534
2023-08-07 15:26:00,1691402160,3.9,3.9,3.9,3.9,0.0,0,0,2341500,661500,98534
2023-08-07 15:25:00,1691402100,3.9,3.9,3.9,3.9,0.0,0,0,2341500,661500,98534
2023-08-07 15:24:00,1691402040,3.95,3.95,3.95,3.95,0.0,0,0,2341500,661500,98534
2023-08-07 15:23:00,1691401980,3.95,3.95,3.95,3.95,3.66,10500,0,2341500,661500,98534
2023-08-07 15:22:00,1691401920,3.95,3.95,3.95,3.95,3.66,10500,10500,2331000,661500,98534
2023-08-07 15:21:00,1691401860,3.85,3.85,3.85,3.85,3.66,10500,0,2320500,651000,98534
2023-08-07 15:20:00,1691401800,3.9,3.9,3.9,3.9,4.09,52500,0,2310000,651000,98534
2023-08-07 15:19:00,1691401740,3.9,3.9,3.9,3.9,0.0,0,0,2257500,651000,98534
2023-08-07 15:18:00,1691401680,3.9,3.9,3.9,3.9,3.65,10500,-31500,2257500,651000,98534
2023-08-07 15:17:00,1691401620,3.9,3.9,3.85,3.85,3.65,21000,0,2247000,682500,98534
2023-08-07 15:16:00,1691401560,3.95,3.95,3.95,3.95,3.65,31500,0,2226000,682500,98534
2023-08-07 15:15:00,1691401500,3.95,3.95,3.95,3.95,0.0,0,0,2194500,682500,98534
2023-08-07 15:14:00,1691401440,3.95,3.95,3.95,3.95,0.0,0,0,2194500,682500,98534
2023-08-07 15:13:00,1691401380,4.05,4.05,4.05,4.05,0.0,0,0,2194500,682500,98534
2023-08-07 15:12:00,1691401320,4.0,4.05,4.0,4.05,4.33,31500,0,2194500,682500,98534
2023-08-07 15:11:00,1691401260,3.95,3.95,3.95,3.95,3.64,21000,0,2163000,682500,98534
2023-08-07 15:10:00,1691401200,3.8,3.8,3.8,3.8,0.0,0,0,2142000,682500,98534
2023-08-07 15:09:00,1691401140,3.8,3.8,3.8,3.8,0.0,0,0,2142000,682500,98534
2023-08-07 15:08:00,1691401080,3.8,3.8,3.8,3.8,0.0,0,0,2142000,682500,98534
2023-08-07 15:07:00,1691401020,3.8,3.8,3.8,3.8,0.0,0,0,2142000,682500,98534
2023-08-07 15:06:00,1691400960,3.8,3.8,3.8,3.8,0.0,0,10500,2142000,682500,98534
2023-08-07 15:05:00,1691400900,3.85,3.85,3.85,3.85,0.0,0,0,2142000,672000,98534
2023-08-07 15:04:00,1691400840,3.85,3.85,3.85,3.85,3.64,21000,0,2142000,672000,98534
2023-08-07 15:03:00,1691400780,3.85,3.85,3.85,3.85,0.0,0,0,2121000,672000,98534
2023-08-07 15:02:00,1691400720,3.85,3.85,3.85,3.85,0.0,0,0,2121000,672000,98534
2023-08-07 15:01:00,1691400660,3.85,3.85,3.85,3.85,0.0,0,0,2121000,672000,98534
2023-08-07 15:00:00,1691400600,3.85,3.85,3.85,3.85,3.64,10500,-10500,2121000,672000,98534
2023-08-07 14:59:00,1691400540,3.85,3.85,3.85,3.85,0.0,0,0,2110500,682500,98534
2023-08-07 14:58:00,1691400480,3.85,3.85,3.85,3.85,0.0,0,0,2110500,682500,98534
2023-08-07 14:57:00,1691400420,3.85,3.85,3.85,3.85,3.64,10500,-10500,2110500,682500,98534
2023-08-07 14:56:00,1691400360,4.0,4.0,4.0,4.0,0.0,0,0,2100000,693000,98534
2023-08-07 14:55:00,1691400300,4.0,4.0,4.0,4.0,4.29,31500,10500,2100000,693000,98534
2023-08-07 14:54:00,1691400240,3.95,3.95,3.95,3.95,0.0,0,0,2068500,682500,98534
