time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,19.35,19.35,19.35,19.35,0.0,0,0,2000000,216000,102351
2023-07-28 15:27:00,1690538220,19.35,19.35,19.35,19.35,21.63,2000,0,2000000,216000,102351
2023-07-28 15:26:00,1690538160,19.55,19.55,19.55,19.55,0.0,0,0,1998000,216000,102351
2023-07-28 15:25:00,1690538100,19.3,19.55,19.3,19.55,14.99,6000,0,1998000,216000,102351
2023-07-28 15:24:00,1690538040,19.25,19.25,19.25,19.25,21.65,12000,4000,1992000,216000,102351
2023-07-28 15:23:00,1690537980,19.45,19.45,19.45,19.45,0.0,0,0,1980000,212000,102351
2023-07-28 15:22:00,1690537920,19.4,19.4,19.4,19.4,0.0,0,0,1980000,212000,102351
2023-07-28 15:21:00,1690537860,19.55,19.55,19.55,19.55,0.0,0,6000,1980000,212000,102351
2023-07-28 15:20:00,1690537800,20.6,20.6,20.0,20.0,16.72,8000,0,1980000,206000,102351
2023-07-28 15:19:00,1690537740,20.55,20.55,20.55,20.55,0.0,0,0,1972000,206000,102351
2023-07-28 15:18:00,1690537680,20.55,20.55,20.55,20.55,0.0,0,0,1972000,206000,102351
2023-07-28 15:17:00,1690537620,20.55,20.55,20.55,20.55,0.0,0,0,1972000,206000,102351
2023-07-28 15:16:00,1690537560,20.9,20.9,20.55,20.55,21.67,6000,0,1972000,206000,102351
2023-07-28 15:15:00,1690537500,20.5,20.5,20.5,20.5,21.67,6000,-2000,1966000,206000,102351
2023-07-28 15:14:00,1690537440,20.5,20.5,20.5,20.5,0.0,0,0,1960000,208000,102351
2023-07-28 15:13:00,1690537380,20.3,20.5,20.3,20.5,21.67,8000,0,1960000,208000,102351
2023-07-28 15:12:00,1690537320,21.0,21.0,21.0,21.0,0.0,0,0,1952000,208000,102351
2023-07-28 15:11:00,1690537260,21.0,21.0,21.0,21.0,0.0,0,0,1952000,208000,102351
2023-07-28 15:10:00,1690537200,21.0,21.0,21.0,21.0,0.0,0,0,1952000,208000,102351
2023-07-28 15:09:00,1690537140,21.0,21.0,21.0,21.0,0.0,0,0,1952000,208000,102351
2023-07-28 15:08:00,1690537080,21.05,21.05,21.0,21.0,0.0,0,0,1952000,208000,102351
2023-07-28 15:07:00,1690537020,21.15,21.15,21.15,21.15,21.67,4000,-8000,1952000,208000,102351
2023-07-28 15:06:00,1690536960,21.25,21.25,21.25,21.25,0.0,0,0,1948000,216000,102351
2023-07-28 15:05:00,1690536900,21.25,21.25,21.25,21.25,0.0,0,0,1948000,216000,102351
2023-07-28 15:04:00,1690536840,21.1,21.25,21.1,21.25,21.67,8000,0,1948000,216000,102351
2023-07-28 15:03:00,1690536780,21.05,21.05,21.0,21.0,21.67,2000,-6000,1940000,216000,102351
2023-07-28 15:02:00,1690536720,21.0,21.0,21.0,21.0,21.67,2000,0,1938000,222000,102351
2023-07-28 15:01:00,1690536660,21.0,21.0,21.0,21.0,0.0,0,0,1936000,222000,102351
2023-07-28 15:00:00,1690536600,21.0,21.0,21.0,21.0,21.67,2000,0,1936000,222000,102351
2023-07-28 14:59:00,1690536540,20.65,20.65,20.55,20.55,21.67,4000,0,1934000,222000,102351
