time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,0.15,0.15,0.15,0.15,0.0,0,0,902850,62400,69546
2023-07-27 15:27:00,1690451820,0.15,0.15,0.15,0.15,0.0,0,0,902850,62400,69546
2023-07-27 15:26:00,1690451760,0.3,0.3,0.15,0.15,1.01,3900,0,902850,62400,69546
2023-07-27 15:25:00,1690451700,1.0,1.0,1.0,1.0,0.0,0,0,898950,62400,69546
2023-07-27 15:24:00,1690451640,1.0,1.0,1.0,1.0,0.0,0,0,898950,62400,69546
2023-07-27 15:23:00,1690451580,1.0,1.0,1.0,1.0,3.33,975,0,898950,62400,69546
2023-07-27 15:22:00,1690451520,0.1,0.1,0.1,0.1,0.0,0,0,897975,62400,69546
2023-07-27 15:21:00,1690451460,0.1,0.1,0.1,0.1,0.0,0,0,897975,62400,69546
2023-07-27 15:20:00,1690451400,0.1,0.1,0.1,0.1,0.0,0,0,897975,62400,69546
2023-07-27 15:19:00,1690451340,0.1,0.1,0.1,0.1,0.0,0,0,897975,62400,69546
2023-07-27 15:18:00,1690451280,0.1,0.1,0.1,0.1,0.0,0,0,897975,62400,69546
2023-07-27 15:17:00,1690451220,0.1,0.1,0.1,0.1,-0.33,4875,0,897975,62400,69546
2023-07-27 15:16:00,1690451160,0.2,0.2,0.15,0.15,0.33,11700,0,893100,62400,69546
2023-07-27 15:15:00,1690451100,0.25,0.25,0.25,0.25,0.0,0,-45825,881400,62400,69546
2023-07-27 15:14:00,1690451040,0.15,0.15,0.15,0.15,0.0,0,0,881400,108225,69546
2023-07-27 15:13:00,1690450980,0.25,0.25,0.1,0.15,0.34,83850,0,881400,108225,69546
2023-07-27 15:12:00,1690450920,0.5,0.5,0.35,0.35,-0.36,3900,-91650,797550,108225,69546
2023-07-27 15:11:00,1690450860,1.0,1.0,1.0,1.0,1.42,6825,0,793650,199875,69546
2023-07-27 15:10:00,1690450800,1.5,1.5,1.5,1.5,0.0,0,0,786825,199875,69546
2023-07-27 15:09:00,1690450740,1.5,1.5,1.5,1.5,1.09,8775,0,786825,199875,69546
2023-07-27 15:08:00,1690450680,1.7,1.7,1.7,1.7,3.78,975,0,778050,199875,69546
2023-07-27 15:07:00,1690450620,1.85,1.85,1.85,1.85,3.78,1950,0,777075,199875,69546
2023-07-27 15:06:00,1690450560,2.0,2.0,2.0,2.0,2.2,4875,0,775125,199875,69546
2023-07-27 15:05:00,1690450500,2.0,2.0,2.0,2.0,1.57,13650,0,770250,199875,69546
2023-07-27 15:04:00,1690450440,2.0,2.0,2.0,2.0,1.95,23400,0,756600,199875,69546
2023-07-27 15:03:00,1690450380,2.0,2.0,2.0,2.0,2.82,6825,-5850,733200,199875,69546
2023-07-27 15:02:00,1690450320,5.45,5.45,5.45,5.45,0.0,0,0,726375,205725,69546
2023-07-27 15:01:00,1690450260,5.45,5.45,5.45,5.45,3.9,1950,0,726375,205725,69546
2023-07-27 15:00:00,1690450200,4.35,4.35,4.35,4.35,0.0,0,-1950,724425,205725,69546
2023-07-27 14:59:00,1690450140,3.0,3.0,3.0,3.0,0.0,0,0,724425,207675,69546
2023-07-27 14:58:00,1690450080,3.0,3.0,3.0,3.0,0.0,0,0,724425,207675,69546
