time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,36.0,36.0,36.0,36.0,0.0,0,0,658750,178750,105645
2023-08-03 15:27:00,1691056620,36.0,36.0,36.0,36.0,0.0,0,0,658750,178750,105645
2023-08-03 15:26:00,1691056560,36.0,36.0,36.0,36.0,35.14,1250,0,658750,178750,105645
2023-08-03 15:25:00,1691056500,35.9,35.9,35.9,35.9,40.39,1250,-1250,657500,178750,105645
2023-08-03 15:24:00,1691056440,35.3,35.3,35.3,35.3,0.0,0,0,656250,180000,105645
2023-08-03 15:23:00,1691056380,35.3,35.3,35.3,35.3,0.0,0,0,656250,180000,105645
2023-08-03 15:22:00,1691056320,35.3,35.3,35.3,35.3,0.0,0,0,656250,180000,105645
2023-08-03 15:21:00,1691056260,35.3,35.3,35.3,35.3,0.0,0,0,656250,180000,105645
2023-08-03 15:20:00,1691056200,35.3,35.3,35.3,35.3,35.13,1250,0,656250,180000,105645
2023-08-03 15:19:00,1691056140,34.55,34.55,34.55,34.55,0.0,0,0,655000,180000,105645
2023-08-03 15:18:00,1691056080,34.55,34.55,34.55,34.55,34.19,13750,38750,655000,180000,105645
2023-08-03 15:17:00,1691056020,34.65,34.9,34.6,34.6,34.8,35000,0,641250,141250,105645
2023-08-03 15:16:00,1691055960,35.8,35.8,35.8,35.8,0.0,0,0,606250,141250,105645
2023-08-03 15:15:00,1691055900,35.8,35.8,35.8,35.8,0.0,0,0,606250,141250,105645
2023-08-03 15:14:00,1691055840,34.8,35.8,34.8,35.8,35.17,2500,0,606250,141250,105645
2023-08-03 15:13:00,1691055780,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:12:00,1691055720,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:11:00,1691055660,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:10:00,1691055600,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:09:00,1691055540,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:08:00,1691055480,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:07:00,1691055420,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:06:00,1691055360,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:05:00,1691055300,36.55,36.55,36.55,36.55,0.0,0,0,603750,141250,105645
2023-08-03 15:04:00,1691055240,37.4,37.4,36.55,36.55,36.77,3750,0,603750,141250,105645
2023-08-03 15:03:00,1691055180,37.7,37.7,37.7,37.7,0.0,0,0,600000,141250,105645
2023-08-03 15:02:00,1691055120,37.7,37.7,37.7,37.7,0.0,0,0,600000,141250,105645
2023-08-03 15:01:00,1691055060,37.7,37.7,37.7,37.7,0.0,0,0,600000,141250,105645
2023-08-03 15:00:00,1691055000,37.7,37.7,37.7,37.7,37.55,2500,0,600000,141250,105645
