time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,0.05,0.05,0.05,0.05,0.0,0,0,2520700,20150,70159
2023-07-27 15:27:00,1690451820,0.05,0.05,0.05,0.05,0.0,0,-5850,2520700,20150,70159
2023-07-27 15:26:00,1690451760,0.1,0.1,0.1,0.1,0.0,0,0,2520700,26000,70159
2023-07-27 15:25:00,1690451700,0.05,0.1,0.05,0.1,-0.69,5850,-18200,2520700,26000,70159
2023-07-27 15:24:00,1690451640,0.25,0.25,0.1,0.1,-0.23,13000,0,2514850,44200,70159
2023-07-27 15:23:00,1690451580,0.2,0.2,0.2,0.2,0.0,0,0,2501850,44200,70159
2023-07-27 15:22:00,1690451520,0.3,0.3,0.2,0.2,3.63,3900,0,2501850,44200,70159
2023-07-27 15:21:00,1690451460,0.75,0.75,0.75,0.75,3.63,650,0,2497950,44200,70159
2023-07-27 15:20:00,1690451400,0.3,0.3,0.3,0.3,-15.57,1300,0,2497300,44200,70159
2023-07-27 15:19:00,1690451340,0.3,0.3,0.3,0.3,0.0,0,0,2496000,44200,70159
2023-07-27 15:18:00,1690451280,0.3,0.3,0.3,0.3,0.0,0,0,2496000,44200,70159
2023-07-27 15:17:00,1690451220,0.3,0.3,0.3,0.3,0.0,0,0,2496000,44200,70159
2023-07-27 15:16:00,1690451160,0.3,0.3,0.3,0.3,3.64,1300,0,2496000,44200,70159
2023-07-27 15:15:00,1690451100,0.2,0.2,0.2,0.2,0.0,0,0,2494700,44200,70159
2023-07-27 15:14:00,1690451040,0.2,0.2,0.2,0.2,3.64,1300,0,2494700,44200,70159
2023-07-27 15:13:00,1690450980,0.2,0.2,0.2,0.2,0.0,0,0,2493400,44200,70159
2023-07-27 15:12:00,1690450920,0.2,0.2,0.2,0.2,0.0,0,0,2493400,44200,70159
2023-07-27 15:11:00,1690450860,0.2,0.2,0.2,0.2,3.64,650,0,2493400,44200,70159
2023-07-27 15:10:00,1690450800,0.25,0.25,0.25,0.25,0.0,0,0,2492750,44200,70159
2023-07-27 15:09:00,1690450740,0.25,0.25,0.25,0.25,3.64,1300,0,2492750,44200,70159
2023-07-27 15:08:00,1690450680,0.45,0.45,0.3,0.3,-0.18,6500,0,2491450,44200,70159
2023-07-27 15:07:00,1690450620,0.5,0.5,0.45,0.5,3.65,1950,0,2484950,44200,70159
2023-07-27 15:06:00,1690450560,0.45,0.45,0.45,0.45,0.0,0,0,2483000,44200,70159
2023-07-27 15:05:00,1690450500,0.45,0.45,0.45,0.45,0.0,0,0,2483000,44200,70159
2023-07-27 15:04:00,1690450440,0.45,0.45,0.45,0.45,0.0,0,0,2483000,44200,70159
2023-07-27 15:03:00,1690450380,0.45,0.45,0.45,0.45,3.65,650,0,2483000,44200,70159
2023-07-27 15:02:00,1690450320,1.0,1.0,1.0,1.0,-15.43,1300,0,2482350,44200,70159
2023-07-27 15:01:00,1690450260,1.05,1.05,1.05,1.05,0.0,0,0,2481050,44200,70159
2023-07-27 15:00:00,1690450200,1.05,1.05,1.05,1.05,0.0,0,0,2481050,44200,70159
2023-07-27 14:59:00,1690450140,1.45,1.45,1.45,1.45,0.0,0,0,2481050,44200,70159
2023-07-27 14:58:00,1690450080,1.7,1.7,1.45,1.45,3.66,1950,1300,2481050,44200,70159
2023-07-27 14:57:00,1690450020,1.7,1.7,1.35,1.35,3.66,3250,0,2479100,42900,70159
2023-07-27 14:56:00,1690449960,1.35,2.4,1.35,2.4,3.66,4550,0,2475850,42900,70159
2023-07-27 14:55:00,1690449900,1.1,1.1,1.0,1.0,-34.33,1950,0,2471300,42900,70159
2023-07-27 14:54:00,1690449840,1.1,1.25,1.1,1.25,3.69,1300,650,2469350,42900,70159
2023-07-27 14:53:00,1690449780,1.75,1.75,1.75,1.75,0.0,0,0,2468050,42250,70159
2023-07-27 14:52:00,1690449720,1.75,1.75,1.75,1.75,3.69,650,4550,2468050,42250,70159
2023-07-27 14:51:00,1690449660,2.2,2.2,2.2,2.2,3.69,14300,0,2467400,37700,70159
2023-07-27 14:50:00,1690449600,1.7,2.0,1.7,2.0,0.0,0,0,2453100,37700,70159
2023-07-27 14:49:00,1690449540,0.95,1.25,0.95,1.25,3.69,650,-650,2453100,37700,70159
2023-07-27 14:48:00,1690449480,1.35,1.35,1.35,1.35,3.69,650,0,2452450,38350,70159
2023-07-27 14:47:00,1690449420,1.3,1.3,1.3,1.3,0.0,0,0,2451800,38350,70159
2023-07-27 14:46:00,1690449360,1.3,1.3,1.3,1.3,3.69,6500,1300,2451800,38350,70159
2023-07-27 14:45:00,1690449300,1.6,1.6,1.6,1.6,0.0,0,0,2445300,37050,70159
2023-07-27 14:44:00,1690449240,1.55,1.7,1.55,1.6,3.69,1300,0,2445300,37050,70159
2023-07-27 14:43:00,1690449180,2.0,2.0,2.0,2.0,3.69,1300,0,2444000,37050,70159
2023-07-27 14:42:00,1690449120,1.7,1.7,1.7,1.7,0.0,0,0,2442700,37050,70159
2023-07-27 14:41:00,1690449060,1.85,2.25,1.65,1.65,3.69,4550,0,2442700,37050,70159
2023-07-27 14:40:00,1690449000,1.65,2.05,1.65,1.8,1.61,11700,0,2438150,37050,70159
2023-07-27 14:39:00,1690448940,1.5,1.5,1.5,1.5,1.84,13000,-7150,2426450,37050,70159
2023-07-27 14:38:00,1690448880,1.0,1.0,0.9,0.9,0.34,7150,0,2413450,44200,70159
2023-07-27 14:37:00,1690448820,0.95,1.15,0.95,1.1,0.0,0,-1300,2406300,44200,70159
2023-07-27 14:36:00,1690448760,0.75,0.75,0.55,0.6,-8.61,1950,0,2406300,45500,70159
2023-07-27 14:35:00,1690448700,0.8,0.8,0.8,0.8,0.0,0,0,2404350,45500,70159
2023-07-27 14:34:00,1690448640,1.0,1.0,1.0,1.0,3.73,650,0,2404350,45500,70159
2023-07-27 14:33:00,1690448580,0.75,0.95,0.75,0.95,3.73,1950,0,2403700,45500,70159
2023-07-27 14:32:00,1690448520,0.7,0.7,0.7,0.7,0.0,0,0,2401750,45500,70159
2023-07-27 14:31:00,1690448460,1.0,1.0,0.7,0.7,3.73,3900,0,2401750,45500,70159
2023-07-27 14:30:00,1690448400,1.05,1.05,0.9,0.9,3.73,650,0,2397850,45500,70159
2023-07-27 14:29:00,1690448340,1.45,1.45,1.45,1.45,0.0,0,0,2397200,45500,70159
2023-07-27 14:28:00,1690448280,1.45,1.45,1.45,1.45,0.0,0,0,2397200,45500,70159
2023-07-27 14:27:00,1690448220,1.45,1.45,1.45,1.45,3.73,650,0,2397200,45500,70159
2023-07-27 14:26:00,1690448160,1.7,1.7,1.7,1.7,-33.13,650,0,2396550,45500,70159
2023-07-27 14:25:00,1690448100,1.5,1.5,1.5,1.5,3.74,650,0,2395900,45500,70159
2023-07-27 14:24:00,1690448040,2.1,2.1,2.1,2.1,3.74,3900,0,2395250,45500,70159
2023-07-27 14:23:00,1690447980,1.65,1.65,1.65,1.65,3.74,650,0,2391350,45500,70159
2023-07-27 14:22:00,1690447920,1.6,1.6,1.5,1.5,3.74,5200,0,2390700,45500,70159
2023-07-27 14:21:00,1690447860,1.75,1.75,1.4,1.4,-2.36,3900,0,2385500,45500,70159
2023-07-27 14:20:00,1690447800,1.25,1.4,1.25,1.4,-1.11,9750,0,2381600,45500,70159
2023-07-27 14:19:00,1690447740,2.55,2.55,1.5,1.5,3.77,8450,0,2371850,45500,70159
2023-07-27 14:18:00,1690447680,2.25,2.6,2.25,2.6,3.77,2600,-2600,2363400,45500,70159
2023-07-27 14:17:00,1690447620,1.95,2.15,1.95,2.15,3.77,2600,0,2360800,48100,70159
2023-07-27 14:16:00,1690447560,1.65,1.8,1.65,1.8,3.77,5200,-1300,2358200,48100,70159
2023-07-27 14:15:00,1690447500,1.95,1.95,1.95,1.95,0.0,0,0,2353000,49400,70159
2023-07-27 14:14:00,1690447440,1.95,3.0,1.85,1.95,-0.72,15600,0,2353000,49400,70159
2023-07-27 14:13:00,1690447380,1.85,1.85,1.6,1.7,3.8,16900,-3900,2337400,49400,70159
2023-07-27 14:12:00,1690447320,1.15,1.15,1.15,1.15,0.0,0,0,2320500,53300,70159
2023-07-27 14:11:00,1690447260,0.95,1.25,0.95,1.25,3.8,650,0,2320500,53300,70159
2023-07-27 14:10:00,1690447200,1.25,1.25,0.85,1.0,0.56,7150,0,2319850,53300,70159
2023-07-27 14:09:00,1690447140,1.35,1.35,1.05,1.05,3.81,3900,-2600,2312700,53300,70159
2023-07-27 14:08:00,1690447080,1.6,1.6,1.5,1.5,3.81,1950,0,2308800,55900,70159
2023-07-27 14:07:00,1690447020,1.9,1.9,1.8,1.8,1.28,9100,0,2306850,55900,70159
2023-07-27 14:06:00,1690446960,2.1,2.4,2.0,2.0,1.86,11700,-3900,2297750,55900,70159
2023-07-27 14:05:00,1690446900,1.3,2.2,1.3,2.15,1.13,8450,0,2286050,59800,70159
2023-07-27 14:04:00,1690446840,2.5,2.5,1.5,1.5,3.84,5200,0,2277600,59800,70159
2023-07-27 14:03:00,1690446780,3.3,3.3,2.45,2.6,1.9,11700,-1950,2272400,59800,70159
2023-07-27 14:02:00,1690446720,3.3,3.3,3.05,3.05,3.85,4550,0,2260700,61750,70159
2023-07-27 14:01:00,1690446660,3.4,3.85,3.05,3.85,3.85,3250,0,2256150,61750,70159
2023-07-27 14:00:00,1690446600,2.95,3.2,2.95,3.0,2.52,16900,-9100,2252900,61750,70159
2023-07-27 13:59:00,1690446540,4.0,4.0,2.9,3.75,3.86,24700,0,2236000,70850,70159
2023-07-27 13:58:00,1690446480,7.0,7.0,5.05,5.05,5.85,11050,-1300,2211300,70850,70159
2023-07-27 13:57:00,1690446420,7.5,7.5,7.5,7.5,3.85,1300,0,2200250,72150,70159
2023-07-27 13:56:00,1690446360,8.45,8.45,8.45,8.45,3.85,650,0,2198950,72150,70159
2023-07-27 13:55:00,1690446300,9.0,9.8,9.0,9.8,12.29,2600,0,2198300,72150,70159
2023-07-27 13:54:00,1690446240,8.4,8.4,8.4,8.4,0.0,0,0,2195700,72150,70159
2023-07-27 13:53:00,1690446180,8.7,8.7,8.4,8.4,3.84,1300,0,2195700,72150,70159
2023-07-27 13:52:00,1690446120,7.9,7.9,7.9,7.9,0.0,0,0,2194400,72150,70159
2023-07-27 13:51:00,1690446060,7.6,7.9,7.6,7.9,12.27,2600,0,2194400,72150,70159
2023-07-27 13:50:00,1690446000,8.25,8.25,8.25,8.25,0.0,0,-1300,2191800,72150,70159
2023-07-27 13:49:00,1690445940,7.55,7.55,7.55,7.55,0.0,0,0,2191800,73450,70159
