time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,32.05,32.3,32.0,32.3,29.85,3900,0,1953250,138450,106407
2023-08-04 15:27:00,1691143020,32.35,32.6,32.3,32.3,34.86,4550,1300,1949350,138450,106407
2023-08-04 15:26:00,1691142960,32.7,32.7,32.7,32.7,0.0,0,0,1944800,137150,106407
2023-08-04 15:25:00,1691142900,32.65,32.7,32.2,32.7,34.86,1950,0,1944800,137150,106407
2023-08-04 15:24:00,1691142840,32.05,32.7,32.05,32.7,31.54,5850,-5850,1942850,137150,106407
2023-08-04 15:23:00,1691142780,31.6,32.0,31.6,32.0,28.92,3250,0,1937000,143000,106407
2023-08-04 15:22:00,1691142720,31.45,31.5,31.45,31.5,34.88,1950,0,1933750,143000,106407
2023-08-04 15:21:00,1691142660,31.8,31.8,31.8,31.8,34.88,2600,1300,1931800,143000,106407
2023-08-04 15:20:00,1691142600,32.0,32.0,32.0,32.0,27.47,2600,0,1929200,141700,106407
2023-08-04 15:19:00,1691142540,32.25,32.25,32.25,32.25,0.0,0,0,1926600,141700,106407
2023-08-04 15:18:00,1691142480,32.7,32.7,32.25,32.25,34.89,1950,-9100,1926600,141700,106407
2023-08-04 15:17:00,1691142420,32.8,33.35,32.8,33.35,34.89,1300,0,1924650,150800,106407
2023-08-04 15:16:00,1691142360,33.65,34.75,32.9,32.9,33.71,16250,0,1923350,150800,106407
2023-08-04 15:15:00,1691142300,32.6,33.8,32.6,33.8,32.74,17550,-3250,1907100,150800,106407
2023-08-04 15:14:00,1691142240,31.85,32.5,31.85,32.5,30.77,4550,0,1889550,154050,106407
2023-08-04 15:13:00,1691142180,31.55,32.0,31.55,31.95,34.93,1950,0,1885000,154050,106407
2023-08-04 15:12:00,1691142120,31.65,31.85,31.6,31.6,29.14,3250,-6500,1883050,154050,106407
2023-08-04 15:11:00,1691142060,31.9,32.1,31.9,32.05,32.33,14300,0,1879800,160550,106407
2023-08-04 15:10:00,1691142000,32.2,32.2,31.95,31.95,28.6,5850,0,1865500,160550,106407
2023-08-04 15:09:00,1691141940,31.55,32.0,31.55,32.0,34.98,1950,1950,1859650,160550,106407
2023-08-04 15:08:00,1691141880,31.05,31.4,31.05,31.4,34.98,2600,0,1857700,158600,106407
2023-08-04 15:07:00,1691141820,31.45,31.45,31.4,31.4,34.98,1300,0,1855100,158600,106407
2023-08-04 15:06:00,1691141760,31.55,32.0,31.5,31.5,32.28,13650,-5850,1853800,158600,106407
2023-08-04 15:05:00,1691141700,31.6,31.75,31.45,31.45,30.96,4550,0,1840150,164450,106407
2023-08-04 15:04:00,1691141640,31.0,31.4,31.0,31.4,35.01,1300,0,1835600,164450,106407
2023-08-04 15:03:00,1691141580,31.7,32.2,31.7,32.0,30.31,3900,-10400,1834300,164450,106407
2023-08-04 15:02:00,1691141520,31.6,31.75,31.15,31.4,30.33,3900,0,1830400,174850,106407
2023-08-04 15:01:00,1691141460,31.0,31.25,30.45,31.1,31.92,11700,0,1826500,174850,106407
2023-08-04 15:00:00,1691141400,30.3,30.9,30.3,30.55,28.86,5850,3250,1814800,174850,106407
2023-08-04 14:59:00,1691141340,30.2,30.2,30.2,30.2,35.07,1300,0,1808950,171600,106407
2023-08-04 14:58:00,1691141280,30.35,30.35,30.35,30.35,0.0,0,0,1807650,171600,106407
