time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,22.5,22.5,22.5,22.5,22.35,7800,0,755300,215150,106398
2023-08-02 15:27:00,1690970220,22.7,22.7,22.7,22.7,0.0,0,0,747500,215150,106398
2023-08-02 15:26:00,1690970160,22.7,22.7,22.7,22.7,0.0,0,0,747500,215150,106398
2023-08-02 15:25:00,1690970100,22.7,22.7,22.7,22.7,0.0,0,0,747500,215150,106398
2023-08-02 15:24:00,1690970040,22.7,22.7,22.7,22.7,24.29,650,0,747500,215150,106398
2023-08-02 15:23:00,1690969980,22.75,22.75,22.75,22.75,0.0,0,0,746850,215150,106398
2023-08-02 15:22:00,1690969920,22.5,22.75,22.5,22.75,16.67,3900,0,746850,215150,106398
2023-08-02 15:21:00,1690969860,22.65,22.65,22.65,22.65,0.0,0,0,742950,215150,106398
2023-08-02 15:20:00,1690969800,22.8,22.8,22.5,22.5,24.33,11700,0,742950,215150,106398
2023-08-02 15:19:00,1690969740,22.8,22.8,22.3,22.3,24.33,650,9750,731250,215150,106398
2023-08-02 15:18:00,1690969680,22.65,22.65,22.5,22.5,20.59,1950,0,730600,205400,106398
2023-08-02 15:17:00,1690969620,22.5,22.65,22.5,22.5,22.75,9100,0,728650,205400,106398
2023-08-02 15:16:00,1690969560,22.3,22.3,22.3,22.3,22.52,3900,0,719550,205400,106398
2023-08-02 15:15:00,1690969500,22.3,22.35,22.3,22.35,21.62,2600,1950,715650,205400,106398
2023-08-02 15:14:00,1690969440,22.85,22.85,22.85,22.85,0.0,0,0,713050,203450,106398
2023-08-02 15:13:00,1690969380,22.85,22.85,22.85,22.85,0.0,0,-650,713050,203450,106398
2023-08-02 15:12:00,1690969320,22.6,22.6,22.6,22.6,0.0,0,0,713050,204100,106398
2023-08-02 15:11:00,1690969260,22.5,22.6,22.25,22.6,23.01,5200,0,713050,204100,106398
2023-08-02 15:10:00,1690969200,22.6,22.6,22.6,22.6,18.95,1300,1300,707850,204100,106398
2023-08-02 15:09:00,1690969140,22.5,22.5,22.5,22.5,0.0,0,0,706550,202800,106398
2023-08-02 15:08:00,1690969080,22.5,22.5,22.5,22.5,0.0,0,0,706550,202800,106398
2023-08-02 15:07:00,1690969020,22.5,22.5,22.5,22.5,24.4,650,0,706550,202800,106398
2023-08-02 15:06:00,1690968960,22.75,22.75,22.65,22.65,22.23,3250,0,705900,202800,106398
2023-08-02 15:05:00,1690968900,22.7,22.7,22.7,22.7,0.0,0,0,702650,202800,106398
2023-08-02 15:04:00,1690968840,22.7,22.7,22.7,22.7,24.41,650,0,702650,202800,106398
2023-08-02 15:03:00,1690968780,22.55,22.55,22.45,22.5,22.62,3900,-650,702000,202800,106398
2023-08-02 15:02:00,1690968720,22.35,22.5,22.2,22.45,20.85,1950,0,698100,203450,106398
2023-08-02 15:01:00,1690968660,23.3,23.3,22.65,22.65,23.25,5850,0,696150,203450,106398
2023-08-02 15:00:00,1690968600,23.9,23.9,23.15,23.15,24.44,3900,-5200,690300,203450,106398
2023-08-02 14:59:00,1690968540,24.05,24.05,24.0,24.0,24.44,650,0,686400,208650,106398
2023-08-02 14:58:00,1690968480,24.5,24.5,24.0,24.1,24.44,6500,0,685750,208650,106398
2023-08-02 14:57:00,1690968420,24.6,24.6,24.6,24.6,0.0,0,0,679250,208650,106398
2023-08-02 14:56:00,1690968360,24.85,24.85,24.6,24.6,24.44,8450,0,679250,208650,106398
2023-08-02 14:55:00,1690968300,24.45,24.5,24.45,24.5,24.44,1300,0,670800,208650,106398
2023-08-02 14:54:00,1690968240,24.65,24.65,24.65,24.65,24.44,650,-3900,669500,208650,106398
2023-08-02 14:53:00,1690968180,25.0,25.0,24.6,24.6,24.44,5200,0,668850,212550,106398
2023-08-02 14:52:00,1690968120,25.25,25.25,25.25,25.25,0.0,0,0,663650,212550,106398
2023-08-02 14:51:00,1690968060,25.25,25.25,25.25,25.25,24.44,1300,-3250,663650,212550,106398
2023-08-02 14:50:00,1690968000,25.6,25.6,25.3,25.3,26.12,3900,0,662350,215800,106398
2023-08-02 14:49:00,1690967940,25.65,25.65,25.65,25.65,24.43,650,-1950,658450,215800,106398
2023-08-02 14:48:00,1690967880,25.9,25.9,25.9,25.9,0.0,0,0,657800,217750,106398
2023-08-02 14:47:00,1690967820,25.9,25.9,25.9,25.9,0.0,0,0,657800,217750,106398
2023-08-02 14:46:00,1690967760,25.9,25.9,25.9,25.9,0.0,0,0,657800,217750,106398
2023-08-02 14:45:00,1690967700,25.95,25.95,25.9,25.9,26.95,2600,-1950,657800,217750,106398
2023-08-02 14:44:00,1690967640,25.7,25.7,25.7,25.7,24.42,1300,0,655200,219700,106398
2023-08-02 14:43:00,1690967580,25.8,25.8,25.8,25.8,24.42,1300,0,653900,219700,106398
2023-08-02 14:42:00,1690967520,25.8,25.8,25.8,25.8,32.41,3250,0,652600,219700,106398
2023-08-02 14:41:00,1690967460,26.0,26.0,26.0,26.0,0.0,0,0,649350,219700,106398
2023-08-02 14:40:00,1690967400,26.0,26.0,26.0,26.0,0.0,0,650,649350,219700,106398
2023-08-02 14:39:00,1690967340,26.8,26.8,26.8,26.8,0.0,0,0,649350,219050,106398
2023-08-02 14:38:00,1690967280,26.8,26.8,26.8,26.8,0.0,0,0,649350,219050,106398
2023-08-02 14:37:00,1690967220,26.8,26.8,26.8,26.8,0.0,0,0,649350,219050,106398
2023-08-02 14:36:00,1690967160,26.8,26.8,26.8,26.8,24.38,3900,1300,649350,219050,106398
2023-08-02 14:35:00,1690967100,26.9,26.9,26.9,26.9,0.0,0,0,645450,217750,106398
2023-08-02 14:34:00,1690967040,26.95,26.95,26.95,26.95,24.38,3250,0,645450,217750,106398
2023-08-02 14:33:00,1690966980,26.6,26.6,26.6,26.6,0.0,0,0,642200,217750,106398
2023-08-02 14:32:00,1690966920,26.6,26.6,26.6,26.6,0.0,0,0,642200,217750,106398
2023-08-02 14:31:00,1690966860,26.6,26.6,26.6,26.6,0.0,0,0,642200,217750,106398
2023-08-02 14:30:00,1690966800,27.5,27.5,26.6,26.6,24.38,1300,650,642200,217750,106398
