time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,25.6,25.6,25.6,25.6,0.0,0,0,668500,17500,71348
2023-07-27 15:27:00,1690451820,25.6,25.6,25.6,25.6,0.0,0,0,668500,17500,71348
2023-07-27 15:26:00,1690451760,25.6,25.6,25.6,25.6,16.84,1050,0,668500,17500,71348
2023-07-27 15:25:00,1690451700,11.0,11.0,11.0,11.0,0.0,0,0,667450,17500,71348
2023-07-27 15:24:00,1690451640,11.0,11.0,11.0,11.0,0.0,0,0,667450,17500,71348
2023-07-27 15:23:00,1690451580,11.0,11.0,11.0,11.0,0.0,0,0,667450,17500,71348
2023-07-27 15:22:00,1690451520,11.0,11.0,11.0,11.0,0.0,0,0,667450,17500,71348
2023-07-27 15:21:00,1690451460,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:20:00,1690451400,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:19:00,1690451340,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:18:00,1690451280,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:17:00,1690451220,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:16:00,1690451160,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:15:00,1690451100,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:14:00,1690451040,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:13:00,1690450980,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:12:00,1690450920,4.3,4.3,4.3,4.3,0.0,0,0,667450,17500,71348
2023-07-27 15:11:00,1690450860,4.3,4.3,4.3,4.3,10.48,350,0,667450,17500,71348
2023-07-27 15:10:00,1690450800,4.15,4.15,4.15,4.15,0.0,0,0,667100,17500,71348
2023-07-27 15:09:00,1690450740,4.05,4.15,4.05,4.15,0.97,1400,-1050,667100,17500,71348
2023-07-27 15:08:00,1690450680,4.0,4.0,4.0,4.0,10.5,350,0,665700,18550,71348
2023-07-27 15:07:00,1690450620,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:06:00,1690450560,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:05:00,1690450500,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:04:00,1690450440,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:03:00,1690450380,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:02:00,1690450320,3.95,3.95,3.95,3.95,0.0,0,0,665350,18550,71348
2023-07-27 15:01:00,1690450260,3.95,3.95,3.95,3.95,4.17,1050,-2100,665350,18550,71348
2023-07-27 15:00:00,1690450200,4.0,7.45,3.55,7.45,6.72,1750,0,664300,20650,71348
2023-07-27 14:59:00,1690450140,4.45,6.0,4.0,6.0,5.13,2450,-2450,662550,20650,71348
2023-07-27 14:58:00,1690450080,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:57:00,1690450020,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:56:00,1690449960,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:55:00,1690449900,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:54:00,1690449840,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:53:00,1690449780,17.0,17.0,17.0,17.0,0.0,0,0,660100,23100,71348
2023-07-27 14:52:00,1690449720,19.8,19.8,19.8,19.8,0.0,0,0,660100,23100,71348
2023-07-27 14:51:00,1690449660,19.8,19.8,19.8,19.8,19.96,700,0,660100,23100,71348
2023-07-27 14:50:00,1690449600,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:49:00,1690449540,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:48:00,1690449480,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:47:00,1690449420,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:46:00,1690449360,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:45:00,1690449300,21.1,21.1,21.1,21.1,0.0,0,0,659400,23100,71348
2023-07-27 14:44:00,1690449240,20.85,21.1,20.85,21.1,22.25,2800,0,659400,23100,71348
2023-07-27 14:43:00,1690449180,22.9,22.9,22.9,22.9,0.0,0,0,656600,23100,71348
2023-07-27 14:42:00,1690449120,22.9,22.9,22.9,22.9,0.0,0,0,656600,23100,71348
2023-07-27 14:41:00,1690449060,22.9,22.9,22.9,22.9,0.0,0,0,656600,23100,71348
2023-07-27 14:40:00,1690449000,22.9,22.9,22.9,22.9,0.0,0,0,656600,23100,71348
2023-07-27 14:39:00,1690448940,22.9,22.9,22.9,22.9,18.49,2450,0,656600,23100,71348
2023-07-27 14:38:00,1690448880,18.8,18.8,18.8,18.8,0.0,0,0,654150,23100,71348
2023-07-27 14:37:00,1690448820,18.8,18.8,18.8,18.8,0.0,0,0,654150,23100,71348
2023-07-27 14:36:00,1690448760,18.8,18.8,18.8,18.8,0.0,0,0,654150,23100,71348
2023-07-27 14:35:00,1690448700,18.8,18.8,18.8,18.8,0.0,0,0,654150,23100,71348
2023-07-27 14:34:00,1690448640,19.3,19.3,19.3,19.3,0.0,0,-2100,654150,23100,71348
2023-07-27 14:33:00,1690448580,19.55,19.55,19.5,19.5,24.4,2800,0,654150,25200,71348
2023-07-27 14:32:00,1690448520,18.8,18.8,18.8,18.8,0.0,0,0,651350,25200,71348
2023-07-27 14:31:00,1690448460,18.8,18.8,18.8,18.8,0.0,0,0,651350,25200,71348
2023-07-27 14:30:00,1690448400,20.0,27.25,20.0,20.15,19.66,2100,-350,651350,25200,71348
2023-07-27 14:29:00,1690448340,27.0,27.0,27.0,27.0,0.0,0,0,649250,25550,71348
2023-07-27 14:28:00,1690448280,27.0,27.0,27.0,27.0,28.89,700,350,649250,25550,71348
2023-07-27 14:27:00,1690448220,26.95,30.0,26.95,30.0,28.82,1750,-1050,648550,25200,71348
2023-07-27 14:26:00,1690448160,25.9,25.9,25.9,25.9,0.0,0,0,646800,26250,71348
2023-07-27 14:25:00,1690448100,25.9,25.9,25.9,25.9,0.0,0,0,646800,26250,71348
2023-07-27 14:24:00,1690448040,25.9,25.9,25.9,25.9,0.0,0,0,646800,26250,71348
2023-07-27 14:23:00,1690447980,25.9,25.9,25.9,25.9,0.0,0,0,646800,26250,71348
2023-07-27 14:22:00,1690447920,25.9,25.9,25.9,25.9,22.59,1050,0,646800,26250,71348
2023-07-27 14:21:00,1690447860,25.85,25.85,25.85,25.85,0.0,0,350,645750,26250,71348
2023-07-27 14:20:00,1690447800,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:19:00,1690447740,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:18:00,1690447680,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:17:00,1690447620,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:16:00,1690447560,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:15:00,1690447500,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:14:00,1690447440,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:13:00,1690447380,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:12:00,1690447320,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:11:00,1690447260,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:10:00,1690447200,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:09:00,1690447140,18.05,18.05,18.05,18.05,0.0,0,0,645750,25900,71348
2023-07-27 14:08:00,1690447080,18.05,18.05,18.05,18.05,19.48,700,0,645750,25900,71348
2023-07-27 14:07:00,1690447020,20.4,20.4,20.4,20.4,0.0,0,0,645050,25900,71348
2023-07-27 14:06:00,1690446960,20.4,20.4,20.4,20.4,0.0,0,0,645050,25900,71348
