time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,65.95,65.95,65.95,65.95,0.0,0,0,528600,237000,111205
2023-08-02 15:27:00,1690970220,64.3,64.3,64.3,64.3,0.0,0,0,528600,237000,111205
2023-08-02 15:26:00,1690970160,64.3,64.3,64.3,64.3,0.0,0,0,528600,237000,111205
2023-08-02 15:25:00,1690970100,64.3,64.3,64.3,64.3,66.66,600,-600,528600,237000,111205
2023-08-02 15:24:00,1690970040,62.8,62.8,62.8,62.8,62.27,1200,-4200,528000,237600,111205
2023-08-02 15:23:00,1690969980,63.5,63.5,63.5,63.5,0.0,0,0,526800,241800,111205
2023-08-02 15:22:00,1690969920,63.5,63.5,63.5,63.5,0.0,0,0,526800,241800,111205
2023-08-02 15:21:00,1690969860,63.5,63.5,63.5,63.5,66.67,600,0,526800,241800,111205
2023-08-02 15:20:00,1690969800,63.4,63.5,63.05,63.5,62.94,4200,0,526200,241800,111205
2023-08-02 15:19:00,1690969740,62.8,62.8,62.8,62.8,0.0,0,0,522000,241800,111205
2023-08-02 15:18:00,1690969680,62.8,62.8,62.8,62.8,0.0,0,0,522000,241800,111205
2023-08-02 15:17:00,1690969620,62.8,62.8,62.8,62.8,63.0,4200,600,522000,241800,111205
2023-08-02 15:16:00,1690969560,63.0,63.0,63.0,63.0,0.0,0,0,517800,241200,111205
2023-08-02 15:15:00,1690969500,63.0,63.0,63.0,63.0,0.0,0,0,517800,241200,111205
2023-08-02 15:14:00,1690969440,63.0,63.0,63.0,63.0,0.0,0,0,517800,241200,111205
2023-08-02 15:13:00,1690969380,63.0,63.0,63.0,63.0,0.0,0,0,517800,241200,111205
2023-08-02 15:12:00,1690969320,63.0,63.0,63.0,63.0,0.0,0,0,517800,241200,111205
2023-08-02 15:11:00,1690969260,63.0,63.0,63.0,63.0,66.73,600,0,517800,241200,111205
2023-08-02 15:10:00,1690969200,63.05,63.05,63.05,63.05,0.0,0,0,517200,241200,111205
2023-08-02 15:09:00,1690969140,63.05,63.05,63.05,63.05,0.0,0,0,517200,241200,111205
2023-08-02 15:08:00,1690969080,63.05,63.05,63.05,63.05,0.0,0,0,517200,241200,111205
2023-08-02 15:07:00,1690969020,63.05,63.05,63.05,63.05,61.58,3000,0,517200,241200,111205
2023-08-02 15:06:00,1690968960,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:05:00,1690968900,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:04:00,1690968840,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:03:00,1690968780,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:02:00,1690968720,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:01:00,1690968660,63.0,63.0,63.0,63.0,0.0,0,0,514200,241200,111205
2023-08-02 15:00:00,1690968600,63.0,63.0,63.0,63.0,66.76,600,0,514200,241200,111205
2023-08-02 14:59:00,1690968540,64.45,64.45,64.45,64.45,0.0,0,0,513600,241200,111205
2023-08-02 14:58:00,1690968480,64.45,64.45,64.45,64.45,0.0,0,0,513600,241200,111205
2023-08-02 14:57:00,1690968420,64.45,64.45,64.45,64.45,66.76,600,-600,513600,241200,111205
2023-08-02 14:56:00,1690968360,63.95,63.95,63.95,63.95,0.0,0,0,513000,241800,111205
2023-08-02 14:55:00,1690968300,65.0,65.0,63.95,63.95,63.69,6600,0,513000,241800,111205
2023-08-02 14:54:00,1690968240,66.0,66.0,66.0,66.0,0.0,0,0,506400,241800,111205
