time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,15.4,15.4,15.4,15.4,15.97,12500,0,3772500,437500,111484
2023-08-04 15:27:00,1691143020,15.3,15.4,15.3,15.35,22.01,3750,-1250,3760000,437500,111484
2023-08-04 15:26:00,1691142960,15.25,15.25,15.25,15.25,0.0,0,0,3756250,438750,111484
2023-08-04 15:25:00,1691142900,15.3,15.3,15.25,15.25,6.99,2500,0,3756250,438750,111484
2023-08-04 15:24:00,1691142840,15.2,15.2,15.1,15.2,14.52,5000,0,3753750,438750,111484
2023-08-04 15:23:00,1691142780,15.1,15.1,15.1,15.1,22.03,2500,0,3748750,438750,111484
2023-08-04 15:22:00,1691142720,15.1,15.1,15.1,15.1,-7.93,1250,0,3746250,438750,111484
2023-08-04 15:21:00,1691142660,15.1,15.1,15.1,15.1,22.04,1250,-7500,3745000,438750,111484
2023-08-04 15:20:00,1691142600,15.0,15.15,15.0,15.1,17.77,8750,0,3743750,446250,111484
2023-08-04 15:19:00,1691142540,15.65,15.65,15.65,15.65,0.0,0,0,3735000,446250,111484
2023-08-04 15:18:00,1691142480,15.65,15.65,15.65,15.65,0.0,0,0,3735000,446250,111484
2023-08-04 15:17:00,1691142420,15.65,15.65,15.65,15.65,0.0,0,0,3735000,446250,111484
2023-08-04 15:16:00,1691142360,15.65,15.65,15.65,15.65,0.0,0,0,3735000,446250,111484
2023-08-04 15:15:00,1691142300,15.5,15.65,15.3,15.65,10.11,6250,0,3735000,446250,111484
2023-08-04 15:14:00,1691142240,15.2,15.3,15.2,15.3,22.07,5000,0,3728750,446250,111484
2023-08-04 15:13:00,1691142180,15.25,15.4,15.2,15.4,12.15,3750,-3750,3723750,446250,111484
2023-08-04 15:12:00,1691142120,15.45,15.45,15.45,15.45,0.0,0,0,3720000,450000,111484
2023-08-04 15:11:00,1691142060,15.45,15.45,15.45,15.45,22.08,1250,0,3720000,450000,111484
2023-08-04 15:10:00,1691142000,15.5,15.5,15.5,15.5,7.21,2500,0,3718750,450000,111484
2023-08-04 15:09:00,1691141940,15.6,15.6,15.6,15.6,0.0,0,-1250,3716250,450000,111484
2023-08-04 15:08:00,1691141880,15.6,15.6,15.6,15.6,0.0,0,0,3716250,451250,111484
2023-08-04 15:07:00,1691141820,15.6,15.6,15.6,15.6,0.0,0,0,3716250,451250,111484
2023-08-04 15:06:00,1691141760,15.6,15.6,15.6,15.6,0.0,0,0,3716250,451250,111484
2023-08-04 15:05:00,1691141700,15.6,15.6,15.6,15.6,0.0,0,0,3716250,451250,111484
2023-08-04 15:04:00,1691141640,15.55,15.6,15.55,15.6,7.24,5000,0,3716250,451250,111484
2023-08-04 15:03:00,1691141580,15.5,15.5,15.5,15.5,0.0,0,0,3711250,451250,111484
2023-08-04 15:02:00,1691141520,15.65,15.65,15.65,15.65,0.0,0,0,3711250,451250,111484
2023-08-04 15:01:00,1691141460,15.65,15.65,15.65,15.65,0.0,0,0,3711250,451250,111484
2023-08-04 15:00:00,1691141400,15.65,15.65,15.65,15.65,22.11,5000,-1250,3711250,451250,111484
2023-08-04 14:59:00,1691141340,15.5,15.5,15.5,15.5,0.0,0,0,3706250,452500,111484
2023-08-04 14:58:00,1691141280,15.85,15.85,15.45,15.5,22.11,1250,0,3706250,452500,111484
2023-08-04 14:57:00,1691141220,15.8,15.8,15.8,15.8,22.11,2500,0,3705000,452500,111484
2023-08-04 14:56:00,1691141160,15.8,15.8,15.8,15.8,22.11,1250,0,3702500,452500,111484
