time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,68.3,68.3,68.3,68.3,0.0,0,0,202200,73800,111990
2023-08-07 15:27:00,1691402220,69.0,69.0,68.3,68.3,69.78,600,-1800,202200,73800,111990
2023-08-07 15:26:00,1691402160,68.3,68.3,68.3,68.3,66.46,900,0,201600,75600,111990
2023-08-07 15:25:00,1691402100,68.25,69.0,68.25,68.35,69.19,1500,0,200700,75600,111990
2023-08-07 15:24:00,1691402040,70.5,70.5,70.0,70.0,73.21,300,-1500,199200,75600,111990
2023-08-07 15:23:00,1691401980,70.6,70.6,70.6,70.6,0.0,0,0,198900,77100,111990
2023-08-07 15:22:00,1691401920,70.6,70.6,70.6,70.6,0.0,0,0,198900,77100,111990
2023-08-07 15:21:00,1691401860,70.6,70.6,70.6,70.6,66.59,300,0,198900,77100,111990
2023-08-07 15:20:00,1691401800,69.65,69.65,69.65,69.65,70.61,3000,0,198600,77100,111990
2023-08-07 15:19:00,1691401740,70.45,70.45,70.45,70.45,0.0,0,0,195600,77100,111990
2023-08-07 15:18:00,1691401680,70.45,70.45,70.45,70.45,0.0,0,0,195600,77100,111990
2023-08-07 15:17:00,1691401620,70.45,70.45,70.45,70.45,0.0,0,0,195600,77100,111990
2023-08-07 15:16:00,1691401560,70.45,70.45,70.45,70.45,70.01,600,0,195600,77100,111990
2023-08-07 15:15:00,1691401500,70.5,70.5,70.5,70.5,0.0,0,600,195000,77100,111990
2023-08-07 15:14:00,1691401440,71.05,71.05,71.0,71.0,70.69,1500,0,195000,76500,111990
2023-08-07 15:13:00,1691401380,71.5,72.3,71.5,72.3,73.29,300,0,193500,76500,111990
2023-08-07 15:12:00,1691401320,71.25,71.25,71.25,71.25,0.0,0,0,193200,76500,111990
2023-08-07 15:11:00,1691401260,71.25,71.25,71.25,71.25,0.0,0,0,193200,76500,111990
2023-08-07 15:10:00,1691401200,72.0,72.0,71.25,71.25,70.08,600,2100,193200,76500,111990
2023-08-07 15:09:00,1691401140,71.65,71.65,71.65,71.65,0.0,0,0,192600,74400,111990
2023-08-07 15:08:00,1691401080,71.0,71.95,70.55,71.65,71.57,3300,0,192600,74400,111990
2023-08-07 15:07:00,1691401020,71.75,71.75,71.75,71.75,71.23,900,300,189300,74400,111990
2023-08-07 15:06:00,1691400960,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:05:00,1691400900,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:04:00,1691400840,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:03:00,1691400780,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:02:00,1691400720,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:01:00,1691400660,71.0,71.0,71.0,71.0,0.0,0,0,188400,74100,111990
2023-08-07 15:00:00,1691400600,71.0,71.0,71.0,71.0,73.34,300,0,188400,74100,111990
2023-08-07 14:59:00,1691400540,72.0,72.0,72.0,72.0,0.0,0,0,188100,74100,111990
2023-08-07 14:58:00,1691400480,72.0,72.0,72.0,72.0,0.0,0,0,188100,74100,111990
2023-08-07 14:57:00,1691400420,72.0,72.0,72.0,72.0,0.0,0,0,188100,74100,111990
2023-08-07 14:56:00,1691400360,72.0,72.0,72.0,72.0,0.0,0,0,188100,74100,111990
2023-08-07 14:55:00,1691400300,72.0,72.0,72.0,72.0,73.34,300,0,188100,74100,111990
2023-08-07 14:54:00,1691400240,72.0,72.0,72.0,72.0,0.0,0,0,187800,74100,111990
2023-08-07 14:53:00,1691400180,72.0,72.0,72.0,72.0,0.0,0,0,187800,74100,111990
2023-08-07 14:52:00,1691400120,72.0,72.0,72.0,72.0,67.09,300,0,187800,74100,111990
2023-08-07 14:51:00,1691400060,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:50:00,1691400000,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:49:00,1691399940,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:48:00,1691399880,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:47:00,1691399820,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:46:00,1691399760,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:45:00,1691399700,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:44:00,1691399640,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:43:00,1691399580,72.4,72.4,72.4,72.4,0.0,0,0,187500,74100,111990
2023-08-07 14:42:00,1691399520,71.55,72.4,71.55,72.4,73.35,900,-900,187500,74100,111990
2023-08-07 14:41:00,1691399460,71.7,71.7,71.7,71.7,67.14,300,-300,186600,75000,111990
2023-08-07 14:40:00,1691399400,72.15,72.15,72.15,72.15,0.0,0,0,186300,75300,111990
2023-08-07 14:39:00,1691399340,72.15,72.15,72.15,72.15,0.0,0,0,186300,75300,111990
2023-08-07 14:38:00,1691399280,72.15,72.15,72.15,72.15,0.0,0,0,186300,75300,111990
2023-08-07 14:37:00,1691399220,72.15,72.15,72.15,72.15,0.0,0,0,186300,75300,111990
2023-08-07 14:36:00,1691399160,72.15,72.15,72.15,72.15,73.36,300,1200,186300,75300,111990
2023-08-07 14:35:00,1691399100,72.2,72.2,72.2,72.2,0.0,0,0,186000,74100,111990
2023-08-07 14:34:00,1691399040,72.2,72.2,72.2,72.2,73.36,300,0,186000,74100,111990
2023-08-07 14:33:00,1691398980,72.0,72.0,72.0,72.0,71.82,1200,600,185700,74100,111990
2023-08-07 14:32:00,1691398920,72.6,72.6,72.6,72.6,73.37,900,0,184500,73500,111990
2023-08-07 14:31:00,1691398860,72.0,72.0,72.0,72.0,0.0,0,0,183600,73500,111990
2023-08-07 14:30:00,1691398800,72.0,72.0,72.0,72.0,0.0,0,0,183600,73500,111990
2023-08-07 14:29:00,1691398740,72.0,72.0,72.0,72.0,0.0,0,0,183600,73500,111990
2023-08-07 14:28:00,1691398680,72.0,72.0,72.0,72.0,0.0,0,0,183600,73500,111990
2023-08-07 14:27:00,1691398620,72.0,72.0,72.0,72.0,0.0,0,0,183600,73500,111990
