time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,12.85,12.85,12.85,12.85,0.0,0,0,5706400,1422400,112125
2023-07-28 15:27:00,1690538220,12.85,12.95,12.85,12.85,13.88,30800,36400,5706400,1422400,112125
2023-07-28 15:26:00,1690538160,12.7,12.8,12.7,12.8,11.63,25200,0,5675600,1386000,112125
2023-07-28 15:25:00,1690538100,12.65,12.65,12.6,12.6,13.89,11200,0,5650400,1386000,112125
2023-07-28 15:24:00,1690538040,12.65,12.7,12.65,12.7,13.89,8400,22400,5639200,1386000,112125
2023-07-28 15:23:00,1690537980,12.4,12.7,12.4,12.6,10.55,33600,0,5630800,1363600,112125
2023-07-28 15:22:00,1690537920,12.25,12.25,12.25,12.25,13.91,2800,0,5597200,1363600,112125
2023-07-28 15:21:00,1690537860,12.3,12.4,12.3,12.4,13.91,8400,0,5594400,1363600,112125
2023-07-28 15:20:00,1690537800,12.45,12.45,12.1,12.1,13.91,16800,0,5586000,1363600,112125
2023-07-28 15:19:00,1690537740,12.5,12.5,12.4,12.4,13.91,8400,0,5569200,1363600,112125
2023-07-28 15:18:00,1690537680,12.6,12.6,12.45,12.45,5.98,14000,0,5560800,1363600,112125
2023-07-28 15:17:00,1690537620,12.5,12.75,12.5,12.75,13.93,11200,0,5546800,1363600,112125
2023-07-28 15:16:00,1690537560,12.4,12.7,12.3,12.7,13.93,25200,0,5535600,1363600,112125
2023-07-28 15:15:00,1690537500,12.4,12.4,12.3,12.3,13.93,8400,0,5510400,1363600,112125
2023-07-28 15:14:00,1690537440,12.5,12.5,12.5,12.5,13.93,5600,0,5502000,1363600,112125
2023-07-28 15:13:00,1690537380,12.6,12.6,12.55,12.55,13.93,11200,0,5496400,1363600,112125
2023-07-28 15:12:00,1690537320,12.65,12.65,12.65,12.65,13.93,5600,5600,5485200,1363600,112125
2023-07-28 15:11:00,1690537260,12.55,12.55,12.55,12.55,13.93,2800,0,5479600,1358000,112125
2023-07-28 15:10:00,1690537200,12.6,12.6,12.5,12.5,4.16,5600,0,5476800,1358000,112125
2023-07-28 15:09:00,1690537140,12.55,12.55,12.55,12.55,13.94,8400,0,5471200,1358000,112125
2023-07-28 15:08:00,1690537080,12.8,12.8,12.75,12.75,13.94,19600,0,5462800,1358000,112125
2023-07-28 15:07:00,1690537020,12.85,12.85,12.85,12.85,0.0,0,0,5443200,1358000,112125
2023-07-28 15:06:00,1690536960,12.8,12.8,12.8,12.8,0.0,0,0,5443200,1358000,112125
2023-07-28 15:05:00,1690536900,12.8,12.8,12.8,12.8,0.0,0,0,5443200,1358000,112125
2023-07-28 15:04:00,1690536840,12.8,12.8,12.8,12.8,0.0,0,0,5443200,1358000,112125
2023-07-28 15:03:00,1690536780,13.0,13.0,13.0,13.0,13.94,2800,0,5443200,1358000,112125
2023-07-28 15:02:00,1690536720,12.95,12.95,12.95,12.95,13.94,8400,0,5440400,1358000,112125
2023-07-28 15:01:00,1690536660,12.95,12.95,12.9,12.95,13.94,2800,0,5432000,1358000,112125
2023-07-28 15:00:00,1690536600,13.0,13.0,13.0,13.0,9.1,11200,0,5429200,1358000,112125
2023-07-28 14:59:00,1690536540,12.9,12.9,12.9,12.9,13.95,2800,0,5418000,1358000,112125
2023-07-28 14:58:00,1690536480,12.75,12.75,12.75,12.75,13.95,2800,0,5415200,1358000,112125
2023-07-28 14:57:00,1690536420,12.8,12.8,12.8,12.8,13.95,8400,0,5412400,1358000,112125
2023-07-28 14:56:00,1690536360,12.65,12.65,12.65,12.65,13.95,2800,0,5404000,1358000,112125
2023-07-28 14:55:00,1690536300,12.75,12.75,12.75,12.75,13.95,5600,-5600,5401200,1358000,112125
2023-07-28 14:54:00,1690536240,12.85,12.85,12.85,12.85,0.0,0,0,5395600,1363600,112125
2023-07-28 14:53:00,1690536180,12.85,12.85,12.85,12.85,0.0,0,0,5395600,1363600,112125
2023-07-28 14:52:00,1690536120,12.85,12.85,12.85,12.85,13.95,2800,0,5395600,1363600,112125
2023-07-28 14:51:00,1690536060,12.9,12.9,12.9,12.9,13.95,11200,8400,5392800,1363600,112125
2023-07-28 14:50:00,1690536000,12.95,13.0,12.85,12.85,13.95,5600,0,5381600,1355200,112125
2023-07-28 14:49:00,1690535940,13.0,13.0,13.0,13.0,0.0,0,0,5376000,1355200,112125
2023-07-28 14:48:00,1690535880,13.0,13.0,13.0,13.0,10.76,16800,8400,5376000,1355200,112125
2023-07-28 14:47:00,1690535820,12.95,12.95,12.95,12.95,13.96,8400,0,5359200,1346800,112125
2023-07-28 14:46:00,1690535760,13.0,13.0,12.95,13.0,13.96,8400,0,5350800,1346800,112125
2023-07-28 14:45:00,1690535700,12.75,12.9,12.75,12.9,12.06,28000,0,5342400,1346800,112125
2023-07-28 14:44:00,1690535640,12.7,12.7,12.7,12.7,0.0,0,0,5314400,1346800,112125
2023-07-28 14:43:00,1690535580,12.65,12.65,12.65,12.65,13.97,5600,0,5314400,1346800,112125
2023-07-28 14:42:00,1690535520,12.65,12.65,12.55,12.55,13.97,19600,-2800,5308800,1346800,112125
2023-07-28 14:41:00,1690535460,12.6,12.7,12.6,12.7,13.97,2800,0,5289200,1349600,112125
2023-07-28 14:40:00,1690535400,12.5,12.5,12.5,12.5,7.68,8400,0,5286400,1349600,112125
2023-07-28 14:39:00,1690535340,12.45,12.45,12.45,12.45,0.0,0,0,5278000,1349600,112125
2023-07-28 14:38:00,1690535280,12.4,12.45,12.4,12.45,13.98,5600,5600,5278000,1349600,112125
2023-07-28 14:37:00,1690535220,12.45,12.45,12.45,12.45,13.98,2800,0,5272400,1344000,112125
2023-07-28 14:36:00,1690535160,12.35,12.35,12.35,12.35,13.98,11200,25200,5269600,1344000,112125
2023-07-28 14:35:00,1690535100,12.15,12.2,12.05,12.2,10.86,16800,0,5258400,1318800,112125
2023-07-28 14:34:00,1690535040,12.25,12.3,12.05,12.3,12.12,28000,0,5241600,1318800,112125
2023-07-28 14:33:00,1690534980,12.7,12.7,12.3,12.45,12.24,58800,16800,5213600,1318800,112125
2023-07-28 14:32:00,1690534920,12.5,12.65,12.5,12.65,14.02,25200,0,5154800,1302000,112125
2023-07-28 14:31:00,1690534860,12.4,12.55,12.4,12.45,9.46,22400,0,5129600,1302000,112125
2023-07-28 14:30:00,1690534800,12.5,12.65,12.35,12.35,14.04,16800,14000,5107200,1302000,112125
2023-07-28 14:29:00,1690534740,12.2,12.3,12.2,12.3,14.04,11200,0,5090400,1288000,112125
2023-07-28 14:28:00,1690534680,12.2,12.2,12.05,12.15,11.78,22400,0,5079200,1288000,112125
2023-07-28 14:27:00,1690534620,12.4,12.4,12.4,12.4,0.0,0,0,5056800,1288000,112125
2023-07-28 14:26:00,1690534560,12.5,12.5,12.4,12.4,14.05,5600,0,5056800,1288000,112125
2023-07-28 14:25:00,1690534500,12.55,12.55,12.55,12.55,14.05,11200,0,5051200,1288000,112125
2023-07-28 14:24:00,1690534440,12.6,12.65,12.4,12.45,6.89,28000,0,5040000,1288000,112125
2023-07-28 14:23:00,1690534380,12.2,12.45,12.2,12.45,14.09,11200,0,5012000,1288000,112125
2023-07-28 14:22:00,1690534320,11.95,12.15,11.95,12.15,14.09,22400,0,5000800,1288000,112125
2023-07-28 14:21:00,1690534260,11.65,11.8,11.6,11.8,14.09,25200,0,4978400,1288000,112125
2023-07-28 14:20:00,1690534200,11.85,11.85,11.8,11.8,14.09,5600,0,4953200,1288000,112125
2023-07-28 14:19:00,1690534140,11.9,11.9,11.9,11.9,0.0,0,0,4947600,1288000,112125
2023-07-28 14:18:00,1690534080,11.9,11.9,11.9,11.9,0.0,0,0,4947600,1288000,112125
2023-07-28 14:17:00,1690534020,11.9,11.9,11.9,11.9,14.09,2800,0,4947600,1288000,112125
2023-07-28 14:16:00,1690533960,11.9,11.9,11.9,11.9,14.09,2800,0,4944800,1288000,112125
2023-07-28 14:15:00,1690533900,11.8,11.8,11.8,11.8,0.0,0,0,4942000,1288000,112125
2023-07-28 14:14:00,1690533840,11.8,11.8,11.8,11.8,0.0,0,0,4942000,1288000,112125
2023-07-28 14:13:00,1690533780,11.8,11.8,11.8,11.8,14.09,2800,0,4942000,1288000,112125
2023-07-28 14:12:00,1690533720,11.75,11.75,11.75,11.75,-3.54,2800,-2800,4939200,1288000,112125
2023-07-28 14:11:00,1690533660,11.9,11.9,11.9,11.9,0.0,0,0,4936400,1290800,112125
2023-07-28 14:10:00,1690533600,11.9,11.9,11.9,11.9,14.1,2800,0,4936400,1290800,112125
2023-07-28 14:09:00,1690533540,12.0,12.0,12.0,12.0,0.0,0,0,4933600,1290800,112125
2023-07-28 14:08:00,1690533480,12.0,12.0,12.0,12.0,14.1,8400,0,4933600,1290800,112125
2023-07-28 14:07:00,1690533420,11.9,11.9,11.9,11.9,14.1,5600,5600,4925200,1290800,112125
2023-07-28 14:06:00,1690533360,11.95,11.95,11.95,11.95,0.0,0,0,4919600,1285200,112125
2023-07-28 14:05:00,1690533300,12.05,12.05,11.95,11.95,7.09,14000,0,4919600,1285200,112125
2023-07-28 14:04:00,1690533240,12.05,12.1,12.05,12.1,14.12,5600,5600,4905600,1285200,112125
2023-07-28 14:03:00,1690533180,12.0,12.0,12.0,12.0,0.0,0,0,4900000,1279600,112125
2023-07-28 14:02:00,1690533120,12.0,12.0,12.0,12.0,0.0,0,0,4900000,1279600,112125
2023-07-28 14:01:00,1690533060,12.0,12.0,12.0,12.0,0.0,0,0,4900000,1279600,112125
2023-07-28 14:00:00,1690533000,12.0,12.0,12.0,12.0,0.0,0,0,4900000,1279600,112125
2023-07-28 13:59:00,1690532940,12.0,12.0,12.0,12.0,0.0,0,0,4900000,1279600,112125
2023-07-28 13:58:00,1690532880,12.0,12.0,12.0,12.0,14.12,5600,0,4900000,1279600,112125
2023-07-28 13:57:00,1690532820,12.0,12.0,12.0,12.0,14.12,14000,0,4894400,1279600,112125
2023-07-28 13:56:00,1690532760,11.9,11.9,11.9,11.9,0.0,0,5600,4880400,1279600,112125
2023-07-28 13:55:00,1690532700,11.95,11.95,11.95,11.95,0.0,0,0,4880400,1274000,112125
2023-07-28 13:54:00,1690532640,11.95,11.95,11.95,11.95,0.0,0,0,4880400,1274000,112125
2023-07-28 13:53:00,1690532580,11.95,11.95,11.95,11.95,0.0,0,0,4880400,1274000,112125
2023-07-28 13:52:00,1690532520,11.95,11.95,11.95,11.95,0.0,0,0,4880400,1274000,112125
2023-07-28 13:51:00,1690532460,11.95,11.95,11.95,11.95,0.0,0,0,4880400,1274000,112125
2023-07-28 13:50:00,1690532400,11.9,11.95,11.9,11.95,11.64,19600,8400,4880400,1274000,112125
2023-07-28 13:49:00,1690532340,12.05,12.15,12.05,12.15,14.13,8400,-5600,4860800,1265600,112125
2023-07-28 13:48:00,1690532280,11.95,11.95,11.95,11.95,0.0,0,0,4852400,1271200,112125
2023-07-28 13:47:00,1690532220,11.9,11.95,11.9,11.95,9.8,11200,28000,4852400,1271200,112125
2023-07-28 13:46:00,1690532160,11.85,11.85,11.85,11.85,0.0,0,0,4841200,1243200,112125
2023-07-28 13:45:00,1690532100,11.85,11.85,11.85,11.85,0.0,0,0,4841200,1243200,112125
2023-07-28 13:44:00,1690532040,11.85,11.85,11.85,11.85,14.14,5600,0,4841200,1243200,112125
2023-07-28 13:43:00,1690531980,11.85,11.85,11.85,11.85,14.14,11200,0,4835600,1243200,112125
2023-07-28 13:42:00,1690531920,12.0,12.1,12.0,12.1,11.99,22400,0,4824400,1243200,112125
2023-07-28 13:41:00,1690531860,12.2,12.2,12.1,12.1,-2.99,2800,5600,4802000,1243200,112125
2023-07-28 13:40:00,1690531800,12.1,12.1,12.1,12.1,0.0,0,0,4799200,1237600,112125
2023-07-28 13:39:00,1690531740,12.1,12.1,12.1,12.1,14.16,8400,2800,4799200,1237600,112125
2023-07-28 13:38:00,1690531680,12.0,12.0,12.0,12.0,0.0,0,0,4790800,1234800,112125
2023-07-28 13:37:00,1690531620,12.0,12.0,12.0,12.0,0.0,0,0,4790800,1234800,112125
2023-07-28 13:36:00,1690531560,12.05,12.05,12.0,12.0,14.16,8400,0,4790800,1234800,112125
2023-07-28 13:35:00,1690531500,12.15,12.15,12.15,12.15,14.16,2800,5600,4782400,1234800,112125
2023-07-28 13:34:00,1690531440,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:33:00,1690531380,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:32:00,1690531320,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:31:00,1690531260,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:30:00,1690531200,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:29:00,1690531140,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:28:00,1690531080,12.35,12.35,12.35,12.35,0.0,0,0,4779600,1229200,112125
2023-07-28 13:27:00,1690531020,12.35,12.35,12.35,12.35,5.63,5600,0,4779600,1229200,112125
2023-07-28 13:26:00,1690530960,12.15,12.2,12.15,12.2,14.17,5600,5600,4774000,1229200,112125
2023-07-28 13:25:00,1690530900,12.0,12.0,12.0,12.0,0.0,0,0,4768400,1223600,112125
2023-07-28 13:24:00,1690530840,12.0,12.0,12.0,12.0,0.0,0,0,4768400,1223600,112125
2023-07-28 13:23:00,1690530780,12.0,12.0,12.0,12.0,14.17,5600,0,4768400,1223600,112125
2023-07-28 13:22:00,1690530720,11.9,12.0,11.9,12.0,8.51,8400,0,4762800,1223600,112125
2023-07-28 13:21:00,1690530660,12.0,12.0,12.0,12.0,14.18,8400,0,4754400,1223600,112125
2023-07-28 13:20:00,1690530600,12.2,12.2,12.05,12.05,14.18,5600,0,4746000,1223600,112125
2023-07-28 13:19:00,1690530540,12.3,12.3,12.3,12.3,0.0,0,0,4740400,1223600,112125
2023-07-28 13:18:00,1690530480,12.2,12.3,12.2,12.3,14.18,8400,0,4740400,1223600,112125
2023-07-28 13:17:00,1690530420,12.3,12.3,12.3,12.3,-2.71,2800,0,4732000,1223600,112125
2023-07-28 13:16:00,1690530360,12.5,12.5,12.25,12.25,14.19,5600,0,4729200,1223600,112125
2023-07-28 13:15:00,1690530300,12.6,12.6,12.6,12.6,14.19,11200,2800,4723600,1223600,112125
2023-07-28 13:14:00,1690530240,12.55,12.55,12.55,12.55,0.0,0,0,4712400,1220800,112125
2023-07-28 13:13:00,1690530180,12.55,12.55,12.55,12.55,14.19,2800,2800,4712400,1220800,112125
2023-07-28 13:12:00,1690530120,12.5,12.5,12.5,12.5,0.0,0,0,4709600,1218000,112125
2023-07-28 13:11:00,1690530060,12.5,12.5,12.5,12.5,0.0,0,0,4709600,1218000,112125
2023-07-28 13:10:00,1690530000,12.5,12.5,12.5,12.5,0.0,0,0,4709600,1218000,112125
2023-07-28 13:09:00,1690529940,12.5,12.5,12.5,12.5,0.0,0,0,4709600,1218000,112125
2023-07-28 13:08:00,1690529880,12.7,12.7,12.5,12.5,11.39,16800,5600,4709600,1218000,112125
2023-07-28 13:07:00,1690529820,12.75,12.75,12.75,12.75,0.0,0,0,4692800,1212400,112125
2023-07-28 13:06:00,1690529760,12.75,12.75,12.75,12.75,14.2,8400,0,4692800,1212400,112125
2023-07-28 13:05:00,1690529700,12.9,12.9,12.9,12.9,0.0,0,0,4684400,1212400,112125
2023-07-28 13:04:00,1690529640,12.9,12.9,12.9,12.9,0.0,0,0,4684400,1212400,112125
2023-07-28 13:03:00,1690529580,12.9,12.9,12.9,12.9,0.0,0,0,4684400,1212400,112125
2023-07-28 13:02:00,1690529520,12.9,12.9,12.9,12.9,0.0,0,0,4684400,1212400,112125
