time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,185.0,185.85,184.5,184.9,179.79,2400,0,2096400,112200,112874
2023-08-04 15:27:00,1691143020,186.7,186.7,183.0,185.05,187.47,4600,2000,2094000,112200,112874
2023-08-04 15:26:00,1691142960,186.6,188.95,185.0,185.0,179.99,1800,0,2089400,110200,112874
2023-08-04 15:25:00,1691142900,188.95,188.95,186.0,186.25,199.91,1400,0,2087600,110200,112874
2023-08-04 15:24:00,1691142840,189.5,189.5,187.25,187.25,182.28,3200,-400,2086200,110200,112874
2023-08-04 15:23:00,1691142780,189.65,189.9,189.6,189.9,191.75,1800,0,2083000,110600,112874
2023-08-04 15:22:00,1691142720,189.95,189.95,188.0,188.0,214.9,400,800,2081200,110600,112874
2023-08-04 15:21:00,1691142660,192.75,192.75,192.75,192.75,214.9,200,0,2080800,109800,112874
2023-08-04 15:20:00,1691142600,189.6,192.55,188.3,192.55,173.3,1000,0,2080600,109800,112874
2023-08-04 15:19:00,1691142540,188.45,191.0,188.45,190.0,190.95,2600,0,2079600,109800,112874
2023-08-04 15:18:00,1691142480,191.0,191.0,188.0,189.65,185.29,1400,-1400,2077000,109800,112874
2023-08-04 15:17:00,1691142420,190.55,192.0,189.75,192.0,191.92,1800,0,2075600,111200,112874
2023-08-04 15:16:00,1691142360,192.0,195.0,190.2,192.25,194.32,7000,0,2073800,111200,112874
2023-08-04 15:15:00,1691142300,196.05,196.05,190.25,191.2,192.19,9000,-1400,2066800,111200,112874
2023-08-04 15:14:00,1691142240,198.0,198.0,196.05,197.0,198.02,1200,0,2057800,112600,112874
2023-08-04 15:13:00,1691142180,200.0,200.0,198.5,198.5,189.47,800,-800,2056600,112600,112874
2023-08-04 15:12:00,1691142120,205.0,205.0,205.0,205.0,0.0,0,0,2055800,113400,112874
2023-08-04 15:11:00,1691142060,205.0,205.0,205.0,205.0,0.0,0,0,2055800,113400,112874
2023-08-04 15:10:00,1691142000,205.0,205.15,205.0,205.0,215.18,800,0,2055800,113400,112874
2023-08-04 15:09:00,1691141940,199.0,202.0,199.0,202.0,194.65,2000,-1800,2055000,113400,112874
2023-08-04 15:08:00,1691141880,201.0,201.0,201.0,201.0,0.0,0,0,2053000,115200,112874
2023-08-04 15:07:00,1691141820,200.0,201.0,200.0,201.0,198.1,1200,0,2053000,115200,112874
2023-08-04 15:06:00,1691141760,195.75,199.0,195.75,199.0,202.39,1600,1400,2051800,115200,112874
2023-08-04 15:05:00,1691141700,200.0,200.0,200.0,200.0,215.22,200,0,2050200,113800,112874
2023-08-04 15:04:00,1691141640,196.4,196.4,195.35,195.5,192.46,1800,0,2050000,113800,112874
2023-08-04 15:03:00,1691141580,203.2,203.2,198.0,199.75,203.87,1800,-400,2048200,113800,112874
2023-08-04 15:02:00,1691141520,206.0,206.0,204.0,204.0,215.25,600,0,2046400,114200,112874
2023-08-04 15:01:00,1691141460,205.0,205.0,205.0,205.0,189.68,800,0,2045800,114200,112874
2023-08-04 15:00:00,1691141400,201.5,210.0,200.65,206.35,206.74,2400,-200,2045000,114200,112874
2023-08-04 14:59:00,1691141340,201.2,201.2,199.0,200.1,198.26,2400,0,2042600,114400,112874
2023-08-04 14:58:00,1691141280,200.1,202.0,200.0,200.0,200.73,2800,0,2040200,114400,112874
2023-08-04 14:57:00,1691141220,204.75,204.75,200.4,200.4,215.31,800,0,2037400,114400,112874
2023-08-04 14:56:00,1691141160,202.0,202.0,200.15,201.0,199.26,3800,0,2036600,114400,112874
2023-08-04 14:55:00,1691141100,202.2,205.0,202.2,205.0,200.83,1400,0,2032800,114400,112874
2023-08-04 14:54:00,1691141040,206.0,206.0,202.0,202.0,215.35,1000,-2000,2031400,114400,112874
