time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,108.4,109.05,108.4,108.5,107.16,1000,0,902000,147400,112834
2023-08-07 15:27:00,1691402220,108.0,108.0,107.25,108.0,109.87,1400,-400,901000,147400,112834
2023-08-07 15:26:00,1691402160,107.9,107.9,107.9,107.9,101.42,600,0,899600,147800,112834
2023-08-07 15:25:00,1691402100,107.65,107.9,107.65,107.9,106.57,1800,0,899000,147800,112834
2023-08-07 15:24:00,1691402040,107.0,107.0,107.0,107.0,116.69,800,-600,897200,147800,112834
2023-08-07 15:23:00,1691401980,106.9,106.9,106.0,106.0,104.01,1400,0,896400,148400,112834
2023-08-07 15:22:00,1691401920,106.0,106.0,106.0,106.0,94.54,400,0,895000,148400,112834
2023-08-07 15:21:00,1691401860,104.7,106.5,104.7,106.5,108.17,3000,200,894600,148400,112834
2023-08-07 15:20:00,1691401800,105.05,105.95,104.05,104.05,102.53,1800,0,891600,148200,112834
2023-08-07 15:19:00,1691401740,104.85,104.85,104.85,104.85,106.4,800,0,889800,148200,112834
2023-08-07 15:18:00,1691401680,104.8,105.35,104.8,105.35,106.5,800,0,889000,148200,112834
2023-08-07 15:17:00,1691401620,104.5,107.85,104.4,106.15,106.75,3200,0,888200,148200,112834
2023-08-07 15:16:00,1691401560,104.5,105.0,104.5,105.0,95.92,400,0,885000,148200,112834
2023-08-07 15:15:00,1691401500,107.15,107.2,104.7,105.3,107.11,1600,-3000,884600,148200,112834
2023-08-07 15:14:00,1691401440,106.2,107.2,106.2,107.0,106.66,3000,0,883000,151200,112834
2023-08-07 15:13:00,1691401380,106.0,107.75,105.45,107.75,106.73,2200,0,880000,151200,112834
2023-08-07 15:12:00,1691401320,104.3,104.3,104.3,104.3,118.85,200,0,877800,151200,112834
2023-08-07 15:11:00,1691401260,105.2,105.2,103.55,104.85,100.15,1400,0,877600,151200,112834
2023-08-07 15:10:00,1691401200,106.5,106.95,105.1,105.1,108.17,1600,0,876200,151200,112834
2023-08-07 15:09:00,1691401140,106.6,108.05,106.6,107.55,106.98,4200,-200,874600,151200,112834
2023-08-07 15:08:00,1691401080,105.85,105.85,102.1,102.2,102.01,3400,0,870400,151400,112834
2023-08-07 15:07:00,1691401020,107.05,107.05,104.6,104.6,107.22,2000,0,867000,151400,112834
2023-08-07 15:06:00,1691400960,107.1,109.5,105.85,107.1,107.02,3200,1000,865000,151400,112834
2023-08-07 15:05:00,1691400900,106.2,107.0,106.2,106.8,108.47,1400,0,861800,150400,112834
2023-08-07 15:04:00,1691400840,105.8,106.9,105.8,106.15,106.6,1200,0,860400,150400,112834
2023-08-07 15:03:00,1691400780,107.55,107.55,106.7,107.1,106.8,1800,-200,859200,150400,112834
2023-08-07 15:02:00,1691400720,106.3,106.3,106.3,106.3,0.0,0,0,857400,150600,112834
2023-08-07 15:01:00,1691400660,108.6,108.6,106.3,106.3,110.54,800,0,857400,150600,112834
2023-08-07 15:00:00,1691400600,106.85,110.35,106.85,109.5,107.1,1200,-200,856600,150600,112834
2023-08-07 14:59:00,1691400540,106.15,107.5,106.05,106.05,105.51,1600,0,855400,150800,112834
2023-08-07 14:58:00,1691400480,106.0,106.0,106.0,106.0,100.31,400,0,853800,150800,112834
2023-08-07 14:57:00,1691400420,108.65,108.65,107.05,107.05,108.45,3800,1800,853400,150800,112834
2023-08-07 14:56:00,1691400360,107.05,108.35,107.05,107.65,111.55,800,0,849600,149000,112834
2023-08-07 14:55:00,1691400300,106.85,108.05,105.85,108.05,107.62,4000,0,848800,149000,112834
2023-08-07 14:54:00,1691400240,109.35,109.35,104.95,106.45,105.07,8800,1600,844800,149000,112834
2023-08-07 14:53:00,1691400180,111.05,111.05,111.05,111.05,123.76,200,0,836000,147400,112834
2023-08-07 14:52:00,1691400120,109.3,111.25,109.3,111.25,109.92,1200,0,835800,147400,112834
2023-08-07 14:51:00,1691400060,108.8,110.25,108.45,108.45,108.37,1600,-400,834600,147400,112834
2023-08-07 14:50:00,1691400000,111.3,112.85,111.3,111.85,107.51,1000,0,833000,147800,112834
2023-08-07 14:49:00,1691399940,110.9,110.9,110.9,110.9,124.23,200,0,832000,147800,112834
2023-08-07 14:48:00,1691399880,107.75,110.0,107.75,110.0,110.49,1800,1000,831800,147800,112834
2023-08-07 14:47:00,1691399820,107.4,107.4,106.65,106.65,99.63,1000,0,830000,146800,112834
2023-08-07 14:46:00,1691399760,103.95,108.0,103.95,107.0,109.14,1600,0,829000,146800,112834
2023-08-07 14:45:00,1691399700,105.65,105.7,102.5,102.5,103.38,6800,2400,827400,146800,112834
2023-08-07 14:44:00,1691399640,111.0,111.0,105.6,105.85,109.15,4400,0,820600,144400,112834
2023-08-07 14:43:00,1691399580,113.7,113.7,112.95,112.95,105.78,400,0,816200,144400,112834
2023-08-07 14:42:00,1691399520,115.35,116.0,113.9,116.0,113.82,2600,0,815800,144400,112834
2023-08-07 14:41:00,1691399460,113.6,113.6,113.6,113.6,126.52,200,0,813200,144400,112834
2023-08-07 14:40:00,1691399400,114.0,115.1,113.5,114.0,113.88,4400,0,813000,144400,112834
2023-08-07 14:39:00,1691399340,110.05,113.0,110.0,113.0,111.67,2600,-600,808600,144400,112834
2023-08-07 14:38:00,1691399280,112.65,112.65,110.0,110.8,110.17,1400,0,806000,145000,112834
2023-08-07 14:37:00,1691399220,111.4,113.9,111.2,113.0,114.23,1800,0,804600,145000,112834
2023-08-07 14:36:00,1691399160,114.0,115.05,111.35,111.35,113.95,4000,1800,802800,145000,112834
2023-08-07 14:35:00,1691399100,115.0,115.0,114.05,114.05,111.18,1400,0,798800,143200,112834
2023-08-07 14:34:00,1691399040,114.85,116.35,114.3,114.3,116.02,3800,0,797400,143200,112834
2023-08-07 14:33:00,1691398980,111.5,113.65,111.5,113.0,110.68,2600,-800,793600,143200,112834
2023-08-07 14:32:00,1691398920,113.15,116.7,111.0,111.0,114.85,5400,0,791000,144000,112834
2023-08-07 14:31:00,1691398860,112.9,113.0,112.0,112.95,112.38,4000,0,785600,144000,112834
2023-08-07 14:30:00,1691398800,110.9,114.0,110.9,112.8,113.08,9200,2200,781600,144000,112834
2023-08-07 14:29:00,1691398740,110.5,110.5,108.2,109.9,112.2,1600,0,772400,141800,112834
2023-08-07 14:28:00,1691398680,111.45,112.0,109.95,111.45,110.9,4400,0,770800,141800,112834
2023-08-07 14:27:00,1691398620,111.95,112.15,109.05,109.85,110.6,6600,1800,766400,141800,112834
2023-08-07 14:26:00,1691398560,101.95,110.0,101.95,110.0,106.21,12800,0,759800,140000,112834
2023-08-07 14:25:00,1691398500,102.0,105.15,101.45,102.05,102.99,11600,0,747000,140000,112834
2023-08-07 14:24:00,1691398440,112.0,112.15,100.0,101.95,104.38,12400,2000,735400,140000,112834
2023-08-07 14:23:00,1691398380,103.5,111.0,103.5,111.0,107.53,7600,0,723000,138000,112834
2023-08-07 14:22:00,1691398320,115.9,116.25,101.7,106.7,108.89,17400,0,715400,138000,112834
2023-08-07 14:21:00,1691398260,116.85,119.6,111.5,114.9,115.33,13600,800,698000,138000,112834
2023-08-07 14:20:00,1691398200,124.6,127.45,117.7,117.7,123.05,7400,0,684400,137200,112834
2023-08-07 14:19:00,1691398140,124.75,124.85,123.0,123.9,124.63,3000,0,677000,137200,112834
2023-08-07 14:18:00,1691398080,126.95,127.5,123.0,123.05,124.11,3800,-200,674000,137200,112834
2023-08-07 14:17:00,1691398020,131.05,131.05,124.0,126.55,127.82,6600,0,670200,137400,112834
2023-08-07 14:16:00,1691397960,135.05,135.2,132.0,132.0,131.81,1800,0,663600,137400,112834
2023-08-07 14:15:00,1691397900,134.05,136.6,134.0,136.6,135.7,1200,200,661800,137400,112834
2023-08-07 14:14:00,1691397840,135.2,135.2,135.2,135.2,146.8,200,0,660600,137200,112834
2023-08-07 14:13:00,1691397780,137.0,137.0,137.0,137.0,0.0,0,0,660400,137200,112834
2023-08-07 14:12:00,1691397720,137.0,137.0,137.0,137.0,138.6,800,-1200,660400,137200,112834
2023-08-07 14:11:00,1691397660,136.5,136.5,136.5,136.5,113.94,200,0,659600,138400,112834
2023-08-07 14:10:00,1691397600,135.0,135.0,135.0,135.0,135.09,2200,-400,659400,138400,112834
2023-08-07 14:09:00,1691397540,138.0,138.0,138.0,138.0,147.2,200,0,657200,138800,112834
2023-08-07 14:08:00,1691397480,138.0,138.0,138.0,138.0,139.04,800,0,657000,138800,112834
2023-08-07 14:07:00,1691397420,134.65,136.15,134.65,136.15,133.33,1400,0,656200,138800,112834
2023-08-07 14:06:00,1691397360,133.0,134.5,132.6,134.5,136.63,1200,1600,654800,138800,112834
2023-08-07 14:05:00,1691397300,134.55,134.55,134.4,134.4,133.7,1400,0,653600,137200,112834
2023-08-07 14:04:00,1691397240,136.5,136.55,136.5,136.55,131.5,400,0,652200,137200,112834
2023-08-07 14:03:00,1691397180,139.2,140.0,137.5,137.5,138.6,1400,0,651800,137200,112834
2023-08-07 14:02:00,1691397120,134.85,134.85,134.0,134.35,139.91,800,0,650400,137200,112834
2023-08-07 14:01:00,1691397060,135.15,136.1,135.0,135.0,131.93,1200,0,649600,137200,112834
