time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,58.3,58.3,58.3,58.3,0.0,0,0,869550,68200,113754
2023-08-02 15:27:00,1690970220,59.9,59.9,59.9,59.9,0.0,0,0,869550,68200,113754
2023-08-02 15:26:00,1690970160,59.95,59.95,59.95,59.95,39.91,550,0,869550,68200,113754
2023-08-02 15:25:00,1690970100,58.95,58.95,58.95,58.95,87.34,550,0,869000,68200,113754
2023-08-02 15:24:00,1690970040,60.15,60.15,60.15,60.15,0.0,0,0,868450,68200,113754
2023-08-02 15:23:00,1690969980,60.95,60.95,60.15,60.15,55.81,1375,0,868450,68200,113754
2023-08-02 15:22:00,1690969920,59.5,59.6,59.5,59.6,71.63,550,0,867075,68200,113754
2023-08-02 15:21:00,1690969860,61.0,61.0,61.0,61.0,55.9,275,-275,866525,68200,113754
2023-08-02 15:20:00,1690969800,60.1,61.35,60.1,60.4,55.95,1100,0,866250,68475,113754
2023-08-02 15:19:00,1690969740,60.45,60.45,60.45,60.45,87.45,275,0,865150,68475,113754
2023-08-02 15:18:00,1690969680,62.0,62.0,62.0,62.0,56.01,275,-2200,864875,68475,113754
2023-08-02 15:17:00,1690969620,62.9,62.9,62.9,62.9,63.91,1100,0,864600,70675,113754
2023-08-02 15:16:00,1690969560,62.9,62.9,62.9,62.9,60.63,1925,0,863500,70675,113754
2023-08-02 15:15:00,1690969500,64.7,64.7,62.1,62.1,66.68,825,-1100,861575,70675,113754
2023-08-02 15:14:00,1690969440,65.55,65.55,65.1,65.35,62.57,1375,0,860750,71775,113754
2023-08-02 15:13:00,1690969380,67.1,67.1,67.1,67.1,66.81,1650,0,859375,71775,113754
2023-08-02 15:12:00,1690969320,66.4,67.1,66.4,67.1,68.96,1375,-1100,857725,71775,113754
2023-08-02 15:11:00,1690969260,67.05,67.6,67.05,67.6,69.02,1375,0,856350,72875,113754
2023-08-02 15:10:00,1690969200,68.0,68.0,68.0,68.0,67.02,1650,1100,854975,72875,113754
2023-08-02 15:09:00,1690969140,69.75,69.75,69.75,69.75,0.0,0,0,853325,71775,113754
2023-08-02 15:08:00,1690969080,69.75,69.75,69.75,69.75,0.0,0,0,853325,71775,113754
2023-08-02 15:07:00,1690969020,70.3,70.3,69.7,69.75,70.56,2475,0,853325,71775,113754
2023-08-02 15:06:00,1690968960,70.95,70.95,70.25,70.25,67.21,1650,275,850850,71775,113754
2023-08-02 15:05:00,1690968900,70.55,71.7,69.0,71.7,72.46,3300,0,849200,71500,113754
2023-08-02 15:04:00,1690968840,72.9,72.95,71.4,71.4,69.47,1375,0,845900,71500,113754
2023-08-02 15:03:00,1690968780,72.0,73.0,71.75,73.0,71.76,4675,-1100,844525,71500,113754
2023-08-02 15:02:00,1690968720,70.45,71.1,70.45,71.1,72.76,550,0,839850,72600,113754
2023-08-02 15:01:00,1690968660,69.35,69.35,69.35,69.35,88.03,275,0,839300,72600,113754
2023-08-02 15:00:00,1690968600,69.0,69.0,69.0,69.0,0.0,0,0,839025,72600,113754
2023-08-02 14:59:00,1690968540,69.0,69.0,69.0,69.0,0.0,0,0,839025,72600,113754
2023-08-02 14:58:00,1690968480,69.0,69.0,69.0,69.0,67.71,825,-275,839025,72600,113754
2023-08-02 14:57:00,1690968420,68.0,68.0,68.0,68.0,0.0,0,0,838200,72875,113754
2023-08-02 14:56:00,1690968360,67.95,68.0,67.95,68.0,57.59,550,0,838200,72875,113754
2023-08-02 14:55:00,1690968300,69.0,69.1,69.0,69.1,72.85,550,825,837650,72875,113754
2023-08-02 14:54:00,1690968240,68.3,68.3,68.3,68.3,0.0,0,0,837100,72050,113754
2023-08-02 14:53:00,1690968180,68.0,68.3,68.0,68.3,72.87,550,0,837100,72050,113754
2023-08-02 14:52:00,1690968120,68.3,68.3,68.3,68.3,57.68,275,0,836550,72050,113754
2023-08-02 14:51:00,1690968060,68.3,68.3,68.3,68.3,0.0,0,0,836275,72050,113754
2023-08-02 14:50:00,1690968000,67.4,69.0,67.4,68.3,70.76,1925,0,836275,72050,113754
2023-08-02 14:49:00,1690967940,66.45,66.45,66.45,66.45,57.82,550,275,834350,72050,113754
2023-08-02 14:48:00,1690967880,66.45,66.45,66.45,66.45,0.0,0,0,833800,71775,113754
2023-08-02 14:47:00,1690967820,67.25,67.3,66.45,66.45,67.96,825,0,833800,71775,113754
2023-08-02 14:46:00,1690967760,67.3,67.3,67.3,67.3,0.0,0,0,832975,71775,113754
2023-08-02 14:45:00,1690967700,67.1,67.3,67.0,67.3,65.49,1100,825,832975,71775,113754
2023-08-02 14:44:00,1690967640,68.0,68.0,68.0,68.0,0.0,0,0,831875,70950,113754
2023-08-02 14:43:00,1690967580,68.0,68.0,68.0,68.0,73.09,550,0,831875,70950,113754
2023-08-02 14:42:00,1690967520,69.0,69.6,68.25,68.25,70.11,1375,-275,831325,70950,113754
2023-08-02 14:41:00,1690967460,66.0,67.95,66.0,67.95,64.14,1375,-2200,829950,71225,113754
2023-08-02 14:40:00,1690967400,65.8,65.8,65.8,65.8,0.0,0,0,828575,73425,113754
2023-08-02 14:39:00,1690967340,65.8,65.8,65.8,65.8,0.0,0,0,828575,73425,113754
2023-08-02 14:38:00,1690967280,63.35,66.35,63.35,65.8,65.78,3300,0,828575,73425,113754
2023-08-02 14:37:00,1690967220,63.0,63.0,63.0,63.0,0.0,0,0,825275,73425,113754
2023-08-02 14:36:00,1690967160,62.75,63.0,62.75,63.0,58.4,825,-550,825275,73425,113754
2023-08-02 14:35:00,1690967100,61.05,61.05,61.05,61.05,73.43,550,0,824450,73975,113754
2023-08-02 14:34:00,1690967040,61.0,61.0,61.0,61.0,58.47,275,0,823900,73975,113754
2023-08-02 14:33:00,1690966980,60.95,61.0,60.95,61.0,58.5,550,825,823625,73975,113754
2023-08-02 14:32:00,1690966920,62.6,62.6,61.5,61.5,58.56,1100,0,823075,73150,113754
2023-08-02 14:31:00,1690966860,60.95,60.95,60.95,60.95,58.62,550,1375,821975,73150,113754
2023-08-02 14:30:00,1690966800,58.55,58.55,58.55,58.55,0.0,0,0,821425,71775,113754
2023-08-02 14:29:00,1690966740,58.55,58.55,58.55,58.55,0.0,0,0,821425,71775,113754
2023-08-02 14:28:00,1690966680,61.0,61.0,58.55,58.55,62.96,1925,275,821425,71775,113754
2023-08-02 14:27:00,1690966620,62.0,62.0,62.0,62.0,0.0,0,0,819500,71500,113754
2023-08-02 14:26:00,1690966560,62.4,62.4,62.0,62.0,58.79,550,0,819500,71500,113754
2023-08-02 14:25:00,1690966500,63.0,63.0,63.0,63.0,58.82,275,0,818950,71500,113754
2023-08-02 14:24:00,1690966440,63.0,63.0,63.0,63.0,58.85,550,275,818675,71500,113754
2023-08-02 14:23:00,1690966380,64.4,64.4,64.4,64.4,0.0,0,0,818125,71225,113754
2023-08-02 14:22:00,1690966320,64.4,64.4,64.4,64.4,0.0,0,0,818125,71225,113754
2023-08-02 14:21:00,1690966260,64.4,64.4,64.4,64.4,58.88,275,-825,818125,71225,113754
