time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,12.85,12.85,12.85,12.85,0.0,0,0,1940400,252000,113914
2023-08-01 15:27:00,1690883820,12.85,12.85,12.85,12.85,0.0,0,0,1940400,252000,113914
2023-08-01 15:26:00,1690883760,12.9,12.9,12.85,12.85,13.02,7200,0,1940400,252000,113914
2023-08-01 15:25:00,1690883700,13.0,13.0,13.0,13.0,13.0,7200,-7200,1933200,252000,113914
2023-08-01 15:24:00,1690883640,13.05,13.05,13.05,13.05,15.66,3600,0,1926000,259200,113914
2023-08-01 15:23:00,1690883580,12.8,12.8,12.8,12.8,10.31,3600,3600,1922400,259200,113914
2023-08-01 15:22:00,1690883520,12.75,12.75,12.75,12.75,0.0,0,0,1918800,255600,113914
2023-08-01 15:21:00,1690883460,12.75,12.75,12.75,12.75,0.0,0,0,1918800,255600,113914
2023-08-01 15:20:00,1690883400,12.6,12.75,12.6,12.75,13.47,18000,3600,1918800,255600,113914
2023-08-01 15:19:00,1690883340,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:18:00,1690883280,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:17:00,1690883220,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:16:00,1690883160,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:15:00,1690883100,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:14:00,1690883040,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:13:00,1690882980,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:12:00,1690882920,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:11:00,1690882860,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:10:00,1690882800,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:09:00,1690882740,12.85,12.85,12.85,12.85,0.0,0,0,1900800,252000,113914
2023-08-01 15:08:00,1690882680,12.85,12.85,12.85,12.85,10.28,3600,0,1900800,252000,113914
2023-08-01 15:07:00,1690882620,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:06:00,1690882560,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:05:00,1690882500,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:04:00,1690882440,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:03:00,1690882380,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:02:00,1690882320,13.1,13.1,13.1,13.1,0.0,0,0,1897200,252000,113914
2023-08-01 15:01:00,1690882260,13.1,13.1,13.1,13.1,15.54,3600,3600,1897200,252000,113914
2023-08-01 15:00:00,1690882200,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:59:00,1690882140,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:58:00,1690882080,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:57:00,1690882020,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:56:00,1690881960,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:55:00,1690881900,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:54:00,1690881840,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
2023-08-01 14:53:00,1690881780,13.0,13.0,13.0,13.0,0.0,0,0,1893600,248400,113914
