time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,8.7,8.7,8.6,8.6,8.19,14400,0,11221200,1076400,113920
2023-08-01 15:27:00,1690883820,8.7,8.7,8.6,8.6,12.07,28800,36000,11206800,1076400,113920
2023-08-01 15:26:00,1690883760,8.8,8.85,8.8,8.8,8.18,28800,0,11178000,1040400,113920
2023-08-01 15:25:00,1690883700,8.85,8.9,8.85,8.9,8.18,18000,0,11149200,1040400,113920
2023-08-01 15:24:00,1690883640,8.85,8.9,8.85,8.9,8.18,21600,-14400,11131200,1040400,113920
2023-08-01 15:23:00,1690883580,8.8,8.8,8.8,8.8,8.18,7200,0,11109600,1054800,113920
2023-08-01 15:22:00,1690883520,8.75,8.75,8.75,8.75,8.18,7200,0,11102400,1054800,113920
2023-08-01 15:21:00,1690883460,8.7,8.7,8.7,8.7,8.18,3600,10800,11095200,1054800,113920
2023-08-01 15:20:00,1690883400,8.7,8.75,8.65,8.65,8.18,10800,0,11091600,1044000,113920
2023-08-01 15:19:00,1690883340,8.6,8.7,8.6,8.65,8.18,18000,0,11080800,1044000,113920
2023-08-01 15:18:00,1690883280,8.65,8.65,8.65,8.65,0.0,0,39600,11062800,1044000,113920
2023-08-01 15:17:00,1690883220,8.5,8.5,8.5,8.5,8.18,10800,0,11062800,1004400,113920
2023-08-01 15:16:00,1690883160,8.5,8.5,8.5,8.5,0.0,0,0,11052000,1004400,113920
2023-08-01 15:15:00,1690883100,8.5,8.5,8.5,8.5,8.18,36000,0,11052000,1004400,113920
2023-08-01 15:14:00,1690883040,8.55,8.55,8.55,8.55,8.18,3600,0,11016000,1004400,113920
2023-08-01 15:13:00,1690882980,8.5,8.55,8.5,8.55,8.18,10800,0,11012400,1004400,113920
2023-08-01 15:12:00,1690882920,8.6,8.6,8.4,8.4,8.18,18000,7200,11001600,1004400,113920
2023-08-01 15:11:00,1690882860,8.7,8.7,8.7,8.7,8.18,3600,0,10983600,997200,113920
2023-08-01 15:10:00,1690882800,8.75,8.75,8.75,8.75,8.18,3600,0,10980000,997200,113920
2023-08-01 15:09:00,1690882740,8.6,8.75,8.6,8.75,23.41,7200,7200,10976400,997200,113920
2023-08-01 15:08:00,1690882680,8.75,8.75,8.7,8.7,8.17,18000,0,10969200,990000,113920
2023-08-01 15:07:00,1690882620,8.9,8.9,8.85,8.85,8.17,10800,0,10951200,990000,113920
2023-08-01 15:06:00,1690882560,9.1,9.1,9.1,9.1,0.0,0,0,10940400,990000,113920
2023-08-01 15:05:00,1690882500,9.1,9.1,9.1,9.1,8.17,7200,0,10940400,990000,113920
2023-08-01 15:04:00,1690882440,8.85,8.85,8.85,8.85,8.17,7200,0,10933200,990000,113920
2023-08-01 15:03:00,1690882380,8.9,8.9,8.8,8.8,8.17,21600,-7200,10926000,990000,113920
2023-08-01 15:02:00,1690882320,8.7,8.75,8.7,8.75,8.17,14400,0,10904400,997200,113920
2023-08-01 15:01:00,1690882260,9.4,9.4,8.75,8.8,8.17,50400,0,10890000,997200,113920
2023-08-01 15:00:00,1690882200,9.2,9.4,9.2,9.3,14.84,32400,7200,10839600,997200,113920
2023-08-01 14:59:00,1690882140,9.2,9.2,9.15,9.15,8.15,25200,0,10807200,990000,113920
2023-08-01 14:58:00,1690882080,9.15,9.15,9.15,9.15,8.15,7200,0,10782000,990000,113920
2023-08-01 14:57:00,1690882020,9.15,9.15,9.0,9.15,8.15,21600,10800,10774800,990000,113920
2023-08-01 14:56:00,1690881960,8.85,8.85,8.85,8.85,0.0,0,0,10753200,979200,113920
2023-08-01 14:55:00,1690881900,8.85,8.85,8.85,8.85,0.0,0,0,10753200,979200,113920
2023-08-01 14:54:00,1690881840,8.85,8.85,8.85,8.85,8.15,3600,-3600,10753200,979200,113920
2023-08-01 14:53:00,1690881780,8.8,8.8,8.8,8.8,8.15,3600,0,10749600,982800,113920
2023-08-01 14:52:00,1690881720,8.75,8.75,8.75,8.75,8.15,3600,0,10746000,982800,113920
2023-08-01 14:51:00,1690881660,8.75,8.75,8.75,8.75,8.15,21600,-14400,10742400,982800,113920
2023-08-01 14:50:00,1690881600,8.85,8.85,8.85,8.85,0.0,0,0,10720800,997200,113920
2023-08-01 14:49:00,1690881540,8.8,8.8,8.8,8.8,8.15,14400,0,10720800,997200,113920
2023-08-01 14:48:00,1690881480,8.8,8.8,8.8,8.8,8.15,10800,0,10706400,997200,113920
2023-08-01 14:47:00,1690881420,8.9,8.9,8.9,8.9,0.0,0,0,10695600,997200,113920
2023-08-01 14:46:00,1690881360,8.9,8.9,8.9,8.9,8.15,3600,0,10695600,997200,113920
2023-08-01 14:45:00,1690881300,8.95,8.95,8.95,8.95,8.15,21600,-46800,10692000,997200,113920
2023-08-01 14:44:00,1690881240,8.95,8.95,8.95,8.95,8.15,3600,0,10670400,1044000,113920
2023-08-01 14:43:00,1690881180,9.1,9.1,9.0,9.0,8.15,54000,0,10666800,1044000,113920
2023-08-01 14:42:00,1690881120,9.35,9.35,9.3,9.3,8.15,7200,3600,10612800,1044000,113920
2023-08-01 14:41:00,1690881060,9.65,9.65,9.65,9.65,8.15,10800,0,10605600,1040400,113920
2023-08-01 14:40:00,1690881000,9.6,9.6,9.5,9.55,15.49,14400,0,10594800,1040400,113920
2023-08-01 14:39:00,1690880940,9.5,9.5,9.5,9.5,8.14,3600,18000,10580400,1040400,113920
2023-08-01 14:38:00,1690880880,9.5,9.5,9.4,9.5,8.14,10800,0,10576800,1022400,113920
2023-08-01 14:37:00,1690880820,9.5,9.6,9.5,9.6,8.14,32400,0,10566000,1022400,113920
2023-08-01 14:36:00,1690880760,9.4,9.4,9.4,9.4,8.14,3600,14400,10533600,1022400,113920
2023-08-01 14:35:00,1690880700,9.35,9.35,9.35,9.35,8.14,3600,0,10530000,1008000,113920
2023-08-01 14:34:00,1690880640,9.4,9.4,9.4,9.4,0.0,0,0,10526400,1008000,113920
2023-08-01 14:33:00,1690880580,9.4,9.4,9.4,9.4,19.81,18000,-10800,10526400,1008000,113920
2023-08-01 14:32:00,1690880520,9.45,9.45,9.4,9.4,8.12,7200,0,10508400,1018800,113920
2023-08-01 14:31:00,1690880460,9.3,9.3,9.3,9.3,8.12,7200,7200,10501200,1018800,113920
2023-08-01 14:30:00,1690880400,9.3,9.3,9.3,9.3,0.0,0,0,10494000,1011600,113920
2023-08-01 14:29:00,1690880340,9.3,9.3,9.3,9.3,8.12,3600,0,10494000,1011600,113920
2023-08-01 14:28:00,1690880280,9.2,9.2,9.2,9.2,8.12,7200,0,10490400,1011600,113920
2023-08-01 14:27:00,1690880220,9.3,9.3,9.25,9.3,8.12,18000,-10800,10483200,1011600,113920
2023-08-01 14:26:00,1690880160,9.3,9.3,9.25,9.25,8.12,3600,0,10465200,1022400,113920
2023-08-01 14:25:00,1690880100,9.25,9.3,9.25,9.25,8.12,14400,0,10461600,1022400,113920
2023-08-01 14:24:00,1690880040,9.2,9.2,9.1,9.15,8.12,7200,3600,10447200,1022400,113920
2023-08-01 14:23:00,1690879980,9.15,9.25,9.15,9.25,8.12,10800,0,10440000,1018800,113920
2023-08-01 14:22:00,1690879920,9.1,9.1,9.1,9.1,8.12,7200,0,10429200,1018800,113920
2023-08-01 14:21:00,1690879860,9.2,9.2,9.2,9.2,0.0,0,18000,10422000,1018800,113920
2023-08-01 14:20:00,1690879800,9.0,9.15,9.0,9.15,8.12,21600,0,10422000,1000800,113920
2023-08-01 14:19:00,1690879740,9.2,9.2,9.2,9.2,0.0,0,0,10400400,1000800,113920
2023-08-01 14:18:00,1690879680,9.2,9.2,9.2,9.2,8.12,3600,-3600,10400400,1000800,113920
2023-08-01 14:17:00,1690879620,9.3,9.3,9.3,9.3,0.0,0,0,10396800,1004400,113920
2023-08-01 14:16:00,1690879560,9.15,9.3,9.15,9.3,8.12,14400,0,10396800,1004400,113920
2023-08-01 14:15:00,1690879500,9.05,9.05,9.05,9.05,8.12,7200,-21600,10382400,1004400,113920
2023-08-01 14:14:00,1690879440,9.3,9.3,9.3,9.3,0.0,0,0,10375200,1026000,113920
2023-08-01 14:13:00,1690879380,9.3,9.3,9.3,9.3,8.12,14400,0,10375200,1026000,113920
2023-08-01 14:12:00,1690879320,9.3,9.3,9.3,9.3,8.12,14400,-3600,10360800,1026000,113920
2023-08-01 14:11:00,1690879260,9.5,9.5,9.5,9.5,8.12,3600,0,10346400,1029600,113920
2023-08-01 14:10:00,1690879200,9.55,9.6,9.55,9.6,13.85,18000,0,10342800,1029600,113920
2023-08-01 14:09:00,1690879140,9.5,9.6,9.5,9.6,8.11,21600,3600,10324800,1029600,113920
2023-08-01 14:08:00,1690879080,9.55,9.65,9.5,9.6,8.11,32400,0,10303200,1026000,113920
2023-08-01 14:07:00,1690879020,9.35,9.6,9.2,9.6,10.95,36000,0,10270800,1026000,113920
2023-08-01 14:06:00,1690878960,9.35,9.35,9.25,9.25,8.1,18000,25200,10234800,1026000,113920
2023-08-01 14:05:00,1690878900,9.3,9.35,9.3,9.3,8.1,32400,0,10216800,1000800,113920
2023-08-01 14:04:00,1690878840,9.1,9.35,9.1,9.35,17.52,10800,0,10184400,1000800,113920
