time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,20.45,20.45,20.45,20.45,25.42,1000,0,716000,73000,115686
2023-08-08 15:27:00,1691488620,20.15,20.15,20.15,20.15,0.0,0,0,715000,73000,115686
2023-08-08 15:26:00,1691488560,20.15,20.15,20.15,20.15,0.0,0,0,715000,73000,115686
2023-08-08 15:25:00,1691488500,20.0,20.15,20.0,20.15,20.03,4000,0,715000,73000,115686
2023-08-08 15:24:00,1691488440,19.95,19.95,19.95,19.95,18.25,1000,0,711000,73000,115686
2023-08-08 15:23:00,1691488380,19.3,19.3,19.3,19.3,0.0,0,0,710000,73000,115686
2023-08-08 15:22:00,1691488320,19.3,19.3,19.3,19.3,0.0,0,0,710000,73000,115686
2023-08-08 15:21:00,1691488260,19.55,19.55,19.3,19.3,18.25,2000,-1000,710000,73000,115686
2023-08-08 15:20:00,1691488200,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:19:00,1691488140,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:18:00,1691488080,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:17:00,1691488020,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:16:00,1691487960,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:15:00,1691487900,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:14:00,1691487840,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:13:00,1691487780,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:12:00,1691487720,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:11:00,1691487660,20.05,20.05,20.05,20.05,0.0,0,0,708000,74000,115686
2023-08-08 15:10:00,1691487600,20.05,20.05,20.05,20.05,25.32,1000,0,708000,74000,115686
2023-08-08 15:09:00,1691487540,21.0,21.0,21.0,21.0,18.24,1000,2000,707000,74000,115686
2023-08-08 15:08:00,1691487480,20.4,20.4,20.4,20.4,0.0,0,0,706000,72000,115686
2023-08-08 15:07:00,1691487420,20.4,20.4,20.4,20.4,0.0,0,0,706000,72000,115686
2023-08-08 15:06:00,1691487360,20.4,20.4,20.4,20.4,0.0,0,0,706000,72000,115686
2023-08-08 15:05:00,1691487300,20.4,20.4,20.4,20.4,18.24,1000,0,706000,72000,115686
2023-08-08 15:04:00,1691487240,20.85,20.85,20.4,20.4,25.27,2000,0,705000,72000,115686
2023-08-08 15:03:00,1691487180,21.0,21.0,21.0,21.0,18.22,2000,-1000,703000,72000,115686
2023-08-08 15:02:00,1691487120,20.7,20.7,20.7,20.7,0.0,0,-1000,701000,73000,115686
2023-08-08 15:01:00,1691487060,23.4,23.4,23.4,23.4,0.0,0,0,701000,74000,115686
2023-08-08 15:00:00,1691487000,23.4,23.4,23.4,23.4,0.0,0,0,701000,74000,115686
2023-08-08 14:59:00,1691486940,23.4,23.4,23.4,23.4,21.71,2000,-5000,701000,74000,115686
2023-08-08 14:58:00,1691486880,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:57:00,1691486820,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:56:00,1691486760,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:55:00,1691486700,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:54:00,1691486640,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:53:00,1691486580,23.3,23.3,23.3,23.3,0.0,0,0,699000,79000,115686
2023-08-08 14:52:00,1691486520,23.55,23.55,23.3,23.3,23.42,4000,0,699000,79000,115686
2023-08-08 14:51:00,1691486460,23.05,23.05,23.05,23.05,25.11,2000,0,695000,79000,115686
2023-08-08 14:50:00,1691486400,23.6,23.6,23.6,23.6,0.0,0,0,693000,79000,115686
2023-08-08 14:49:00,1691486340,23.6,23.6,23.6,23.6,18.16,1000,0,693000,79000,115686
2023-08-08 14:48:00,1691486280,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:47:00,1691486220,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:46:00,1691486160,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:45:00,1691486100,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:44:00,1691486040,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:43:00,1691485980,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:42:00,1691485920,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:41:00,1691485860,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:40:00,1691485800,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:39:00,1691485740,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:38:00,1691485680,23.8,23.8,23.8,23.8,0.0,0,0,692000,79000,115686
2023-08-08 14:37:00,1691485620,23.95,23.95,23.8,23.8,25.04,4000,-1000,692000,79000,115686
2023-08-08 14:36:00,1691485560,24.45,24.45,24.45,24.45,0.0,0,0,688000,80000,115686
2023-08-08 14:35:00,1691485500,24.55,24.55,24.45,24.45,24.98,2000,0,688000,80000,115686
2023-08-08 14:34:00,1691485440,24.8,24.8,24.8,24.8,0.0,0,0,686000,80000,115686
2023-08-08 14:33:00,1691485380,24.8,24.8,24.8,24.8,23.76,6000,-1000,686000,80000,115686
2023-08-08 14:32:00,1691485320,23.95,23.95,23.95,23.95,24.83,2000,0,680000,81000,115686
2023-08-08 14:31:00,1691485260,23.3,23.3,23.3,23.3,0.0,0,0,678000,81000,115686
2023-08-08 14:30:00,1691485200,23.3,23.3,23.3,23.3,0.0,0,0,678000,81000,115686
2023-08-08 14:29:00,1691485140,23.3,23.3,23.3,23.3,0.0,0,0,678000,81000,115686
