time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,1.4,2.0,1.4,2.0,1.28,18000,0,1824000,98000,80824
2023-07-27 15:27:00,1690451820,0.5,0.5,0.5,0.5,0.0,0,0,1806000,98000,80824
2023-07-27 15:26:00,1690451760,1.5,1.5,1.0,1.0,1.28,8000,0,1806000,98000,80824
2023-07-27 15:25:00,1690451700,2.0,2.0,2.0,2.0,0.0,0,0,1798000,98000,80824
2023-07-27 15:24:00,1690451640,2.0,2.0,2.0,2.0,0.0,0,0,1798000,98000,80824
2023-07-27 15:23:00,1690451580,0.05,0.05,0.05,0.05,0.0,0,0,1798000,98000,80824
2023-07-27 15:22:00,1690451520,0.05,0.05,0.05,0.05,1.28,2000,-20000,1798000,98000,80824
2023-07-27 15:21:00,1690451460,1.5,1.5,1.5,1.5,1.28,10000,0,1796000,118000,80824
2023-07-27 15:20:00,1690451400,2.0,2.0,2.0,2.0,0.0,0,0,1786000,118000,80824
2023-07-27 15:19:00,1690451340,2.0,2.0,2.0,2.0,1.28,2000,0,1786000,118000,80824
2023-07-27 15:18:00,1690451280,2.5,2.5,2.5,2.5,0.0,0,0,1784000,118000,80824
2023-07-27 15:17:00,1690451220,2.5,2.5,2.5,2.5,0.0,0,0,1784000,118000,80824
2023-07-27 15:16:00,1690451160,2.5,2.5,2.5,2.5,0.0,0,0,1784000,118000,80824
2023-07-27 15:15:00,1690451100,2.7,2.7,2.5,2.5,3.5,8000,0,1784000,118000,80824
2023-07-27 15:14:00,1690451040,0.5,0.5,0.5,0.5,0.0,0,0,1776000,118000,80824
2023-07-27 15:13:00,1690450980,0.5,0.5,0.5,0.5,0.0,0,0,1776000,118000,80824
2023-07-27 15:12:00,1690450920,0.5,0.5,0.5,0.5,0.0,0,0,1776000,118000,80824
2023-07-27 15:11:00,1690450860,0.5,0.5,0.5,0.5,-7.59,4000,0,1776000,118000,80824
2023-07-27 15:10:00,1690450800,0.5,0.5,0.5,0.5,0.0,0,0,1772000,118000,80824
2023-07-27 15:09:00,1690450740,0.5,0.5,0.5,0.5,0.0,0,0,1772000,118000,80824
2023-07-27 15:08:00,1690450680,0.5,0.5,0.5,0.5,0.0,0,0,1772000,118000,80824
2023-07-27 15:07:00,1690450620,0.5,0.5,0.5,0.5,1.29,6000,-2000,1772000,118000,80824
2023-07-27 15:06:00,1690450560,0.55,0.55,0.55,0.55,0.0,0,0,1766000,120000,80824
2023-07-27 15:05:00,1690450500,0.55,0.55,0.55,0.55,1.29,2000,-6000,1766000,120000,80824
2023-07-27 15:04:00,1690450440,0.5,0.5,0.5,0.5,0.0,0,0,1764000,126000,80824
2023-07-27 15:03:00,1690450380,0.5,0.5,0.5,0.5,1.29,16000,0,1764000,126000,80824
2023-07-27 15:02:00,1690450320,0.5,0.5,0.5,0.5,0.0,0,-10000,1748000,126000,80824
2023-07-27 15:01:00,1690450260,0.5,0.5,0.5,0.5,0.0,0,0,1748000,136000,80824
2023-07-27 15:00:00,1690450200,0.5,0.5,0.5,0.5,0.0,0,0,1748000,136000,80824
2023-07-27 14:59:00,1690450140,0.55,0.55,0.55,0.55,0.0,0,-2000,1748000,136000,80824
2023-07-27 14:58:00,1690450080,1.0,1.0,1.0,1.0,0.0,0,0,1748000,138000,80824
