time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,94.5,95.0,94.05,95.0,98.24,2400,0,1610100,119400,127605
2023-08-08 15:27:00,1691488620,94.5,95.0,94.4,95.0,92.29,2700,-2400,1607700,119400,127605
2023-08-08 15:26:00,1691488560,94.0,94.0,93.65,93.65,98.25,300,0,1605000,121800,127605
2023-08-08 15:25:00,1691488500,93.9,94.1,93.15,93.15,98.25,2100,0,1604700,121800,127605
2023-08-08 15:24:00,1691488440,94.25,94.25,94.25,94.25,71.55,600,-2700,1602600,121800,127605
2023-08-08 15:23:00,1691488380,95.0,95.0,95.0,95.0,98.26,300,0,1602000,124500,127605
2023-08-08 15:22:00,1691488320,93.75,94.25,93.3,94.25,94.93,4800,0,1601700,124500,127605
2023-08-08 15:21:00,1691488260,95.45,95.55,94.25,95.0,98.27,1800,-4500,1596900,124500,127605
2023-08-08 15:20:00,1691488200,95.35,95.55,95.35,95.55,98.27,1200,0,1595100,129000,127605
2023-08-08 15:19:00,1691488140,95.5,95.5,95.4,95.4,93.85,3600,0,1593900,129000,127605
2023-08-08 15:18:00,1691488080,94.7,95.0,94.7,95.0,93.87,3600,-3300,1590300,129000,127605
2023-08-08 15:17:00,1691488020,94.3,95.25,94.3,95.0,94.07,7500,0,1586700,132300,127605
2023-08-08 15:16:00,1691487960,96.0,96.0,94.1,94.1,98.31,1200,0,1579200,132300,127605
2023-08-08 15:15:00,1691487900,95.1,95.15,95.1,95.15,98.31,600,-600,1578000,132300,127605
2023-08-08 15:14:00,1691487840,94.7,94.7,93.65,93.65,94.81,4500,0,1577400,132900,127605
2023-08-08 15:13:00,1691487780,95.1,95.4,94.45,95.1,93.56,3300,0,1572900,132900,127605
2023-08-08 15:12:00,1691487720,96.05,96.05,95.0,95.05,98.33,3300,-300,1569600,132900,127605
2023-08-08 15:11:00,1691487660,96.5,96.5,96.0,96.0,94.61,4200,0,1566300,133200,127605
2023-08-08 15:10:00,1691487600,96.45,96.45,96.0,96.45,98.34,1200,0,1562100,133200,127605
2023-08-08 15:09:00,1691487540,96.0,96.55,96.0,96.55,98.34,900,0,1560900,133200,127605
2023-08-08 15:08:00,1691487480,96.55,96.55,96.55,96.55,98.34,300,0,1560000,133200,127605
2023-08-08 15:07:00,1691487420,97.0,97.0,96.0,96.0,98.34,1200,300,1559700,133200,127605
