time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:27:00,1690451820,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:26:00,1690451760,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:25:00,1690451700,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:24:00,1690451640,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:23:00,1690451580,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:22:00,1690451520,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:21:00,1690451460,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:20:00,1690451400,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:19:00,1690451340,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:18:00,1690451280,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:17:00,1690451220,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:16:00,1690451160,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:15:00,1690451100,0.05,0.05,0.05,0.05,0.0,0,0,1303400,247800,97779
2023-07-27 15:14:00,1690451040,0.05,0.05,0.05,0.05,2.03,2800,0,1303400,247800,97779
2023-07-27 15:13:00,1690450980,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:12:00,1690450920,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:11:00,1690450860,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:10:00,1690450800,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:09:00,1690450740,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:08:00,1690450680,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:07:00,1690450620,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:06:00,1690450560,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:05:00,1690450500,0.05,0.05,0.05,0.05,0.0,0,0,1300600,247800,97779
2023-07-27 15:04:00,1690450440,0.05,0.05,0.05,0.05,2.03,2800,4200,1300600,247800,97779
2023-07-27 15:03:00,1690450380,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 15:02:00,1690450320,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 15:01:00,1690450260,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 15:00:00,1690450200,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:59:00,1690450140,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:58:00,1690450080,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:57:00,1690450020,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:56:00,1690449960,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:55:00,1690449900,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:54:00,1690449840,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:53:00,1690449780,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:52:00,1690449720,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:51:00,1690449660,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:50:00,1690449600,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:49:00,1690449540,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:48:00,1690449480,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:47:00,1690449420,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:46:00,1690449360,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:45:00,1690449300,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:44:00,1690449240,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:43:00,1690449180,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:42:00,1690449120,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
2023-07-27 14:41:00,1690449060,0.05,0.05,0.05,0.05,0.0,0,0,1297800,243600,97779
