time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,6.85,6.85,6.75,6.75,6.75,137800,0,36888000,3566900,41033
2023-08-01 15:27:00,1690883820,7.0,7.0,6.9,6.9,6.75,68900,79500,36750200,3566900,41033
2023-08-01 15:26:00,1690883760,6.85,6.95,6.85,6.95,6.75,53000,0,36681300,3487400,41033
2023-08-01 15:25:00,1690883700,6.7,6.9,6.7,6.9,6.75,127200,0,36628300,3487400,41033
2023-08-01 15:24:00,1690883640,6.75,6.8,6.55,6.6,6.75,259700,-10600,36501100,3487400,41033
2023-08-01 15:23:00,1690883580,6.65,6.7,6.6,6.7,6.75,63600,0,36241400,3498000,41033
2023-08-01 15:22:00,1690883520,6.6,6.65,6.6,6.6,6.75,15900,0,36177800,3498000,41033
2023-08-01 15:21:00,1690883460,6.55,6.7,6.55,6.65,6.75,37100,0,36161900,3498000,41033
2023-08-01 15:20:00,1690883400,6.7,6.75,6.6,6.6,6.75,68900,0,36124800,3498000,41033
2023-08-01 15:19:00,1690883340,6.75,6.75,6.6,6.6,6.75,74200,0,36055900,3498000,41033
2023-08-01 15:18:00,1690883280,6.7,6.7,6.65,6.7,6.75,26500,5300,35981700,3498000,41033
2023-08-01 15:17:00,1690883220,6.55,6.6,6.55,6.6,6.75,26500,0,35955200,3492700,41033
2023-08-01 15:16:00,1690883160,6.55,6.6,6.55,6.6,6.75,53000,0,35928700,3492700,41033
2023-08-01 15:15:00,1690883100,6.55,6.65,6.5,6.6,6.75,68900,37100,35875700,3492700,41033
2023-08-01 15:14:00,1690883040,6.55,6.65,6.55,6.6,6.75,31800,0,35806800,3455600,41033
2023-08-01 15:13:00,1690882980,6.75,6.75,6.6,6.6,6.75,95400,0,35775000,3455600,41033
2023-08-01 15:12:00,1690882920,6.55,6.7,6.55,6.7,6.75,37100,-79500,35679600,3455600,41033
2023-08-01 15:11:00,1690882860,6.6,6.6,6.6,6.6,6.75,31800,0,35642500,3535100,41033
2023-08-01 15:10:00,1690882800,6.5,6.55,6.5,6.55,6.75,31800,0,35610700,3535100,41033
2023-08-01 15:09:00,1690882740,6.65,6.65,6.65,6.65,6.75,74200,-10600,35578900,3535100,41033
2023-08-01 15:08:00,1690882680,6.7,6.7,6.7,6.7,6.75,5300,0,35504700,3545700,41033
2023-08-01 15:07:00,1690882620,6.7,6.7,6.7,6.7,6.75,5300,0,35499400,3545700,41033
2023-08-01 15:06:00,1690882560,6.75,6.75,6.65,6.65,6.75,26500,0,35494100,3545700,41033
2023-08-01 15:05:00,1690882500,6.6,6.6,6.6,6.6,6.75,21200,0,35467600,3545700,41033
2023-08-01 15:04:00,1690882440,6.85,6.9,6.7,6.7,6.75,79500,0,35446400,3545700,41033
2023-08-01 15:03:00,1690882380,6.9,6.95,6.9,6.9,6.75,42400,74200,35366900,3545700,41033
2023-08-01 15:02:00,1690882320,6.85,6.85,6.85,6.85,6.75,21200,0,35324500,3471500,41033
2023-08-01 15:01:00,1690882260,6.8,6.8,6.7,6.7,6.75,37100,0,35303300,3471500,41033
2023-08-01 15:00:00,1690882200,6.4,6.85,6.4,6.75,6.75,238500,-5300,35266200,3471500,41033
2023-08-01 14:59:00,1690882140,6.35,6.35,6.35,6.35,6.75,5300,0,35027700,3476800,41033
2023-08-01 14:58:00,1690882080,6.35,6.35,6.35,6.35,6.75,15900,0,35022400,3476800,41033
2023-08-01 14:57:00,1690882020,6.2,6.35,6.2,6.35,6.75,15900,21200,35006500,3476800,41033
2023-08-01 14:56:00,1690881960,6.3,6.35,6.3,6.35,6.75,10600,0,34990600,3455600,41033
2023-08-01 14:55:00,1690881900,6.4,6.4,6.4,6.4,6.75,21200,0,34980000,3455600,41033
2023-08-01 14:54:00,1690881840,6.45,6.45,6.4,6.4,6.75,26500,10600,34958800,3455600,41033
2023-08-01 14:53:00,1690881780,6.3,6.35,6.3,6.35,6.75,10600,0,34932300,3445000,41033
2023-08-01 14:52:00,1690881720,6.0,6.2,6.0,6.2,6.75,68900,0,34921700,3445000,41033
2023-08-01 14:51:00,1690881660,6.05,6.1,6.05,6.05,6.75,31800,-90100,34852800,3445000,41033
2023-08-01 14:50:00,1690881600,6.0,6.0,6.0,6.0,4.57,159000,0,34821000,3535100,41033
2023-08-01 14:49:00,1690881540,6.2,6.2,5.95,6.0,6.76,100700,0,34662000,3535100,41033
2023-08-01 14:48:00,1690881480,6.35,6.35,6.15,6.15,6.76,90100,5300,34561300,3535100,41033
