time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,10.55,10.55,10.5,10.5,10.01,5400,0,1665900,1023300,128476
2023-08-02 15:27:00,1690970220,10.4,10.5,10.4,10.5,10.01,8100,8100,1660500,1023300,128476
2023-08-02 15:26:00,1690970160,10.45,10.45,10.45,10.45,10.01,2700,0,1652400,1015200,128476
2023-08-02 15:25:00,1690970100,10.3,10.3,10.3,10.3,10.01,2700,0,1649700,1015200,128476
2023-08-02 15:24:00,1690970040,10.4,10.45,10.4,10.4,11.52,10800,32400,1647000,1015200,128476
2023-08-02 15:23:00,1690969980,10.45,10.45,10.3,10.3,10.0,29700,0,1636200,982800,128476
2023-08-02 15:22:00,1690969920,10.4,10.4,10.4,10.4,11.97,8100,0,1606500,982800,128476
2023-08-02 15:21:00,1690969860,10.45,10.45,10.35,10.45,9.99,16200,13500,1598400,982800,128476
2023-08-02 15:20:00,1690969800,10.5,10.55,10.4,10.55,10.51,29700,0,1582200,969300,128476
2023-08-02 15:19:00,1690969740,10.35,10.45,10.35,10.4,9.98,13500,0,1552500,969300,128476
2023-08-02 15:18:00,1690969680,10.5,10.5,10.45,10.45,11.11,13500,18900,1539000,969300,128476
2023-08-02 15:17:00,1690969620,10.55,10.55,10.3,10.4,10.39,35100,0,1525500,950400,128476
2023-08-02 15:16:00,1690969560,10.5,10.55,10.4,10.5,9.96,13500,0,1490400,950400,128476
2023-08-02 15:15:00,1690969500,10.4,10.45,10.3,10.45,11.04,13500,45900,1476900,950400,128476
2023-08-02 15:14:00,1690969440,10.45,10.45,10.45,10.45,9.95,10800,0,1463400,904500,128476
2023-08-02 15:13:00,1690969380,10.55,10.55,10.4,10.5,10.83,16200,0,1452600,904500,128476
2023-08-02 15:12:00,1690969320,10.5,10.5,10.5,10.5,9.94,5400,0,1436400,904500,128476
2023-08-02 15:11:00,1690969260,10.35,10.45,10.35,10.45,9.94,13500,0,1431000,904500,128476
