time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,9.0,9.0,9.0,9.0,0.0,0,0,178500,657900,128844
2023-08-02 15:27:00,1690970220,9.0,9.0,9.0,9.0,0.0,0,0,178500,657900,128844
2023-08-02 15:26:00,1690970160,9.0,9.0,9.0,9.0,0.0,0,0,178500,657900,128844
2023-08-02 15:25:00,1690970100,9.0,9.0,9.0,9.0,0.0,0,0,178500,657900,128844
2023-08-02 15:24:00,1690970040,9.0,9.0,9.0,9.0,9.03,15300,0,178500,657900,128844
2023-08-02 15:23:00,1690969980,9.0,9.0,9.0,9.0,0.0,0,0,163200,657900,128844
2023-08-02 15:22:00,1690969920,9.0,9.0,9.0,9.0,9.02,10200,-5100,163200,657900,128844
2023-08-02 15:21:00,1690969860,9.25,9.25,9.25,9.25,0.0,0,0,153000,663000,128844
2023-08-02 15:20:00,1690969800,9.25,9.25,9.25,9.25,9.45,5100,-10200,153000,663000,128844
2023-08-02 15:19:00,1690969740,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:18:00,1690969680,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:17:00,1690969620,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:16:00,1690969560,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:15:00,1690969500,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:14:00,1690969440,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:13:00,1690969380,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:12:00,1690969320,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:11:00,1690969260,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:10:00,1690969200,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:09:00,1690969140,8.8,8.8,8.8,8.8,0.0,0,0,147900,673200,128844
2023-08-02 15:08:00,1690969080,8.5,8.8,8.5,8.8,8.56,10200,0,147900,673200,128844
2023-08-02 15:07:00,1690969020,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:06:00,1690968960,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:05:00,1690968900,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:04:00,1690968840,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:03:00,1690968780,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:02:00,1690968720,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:01:00,1690968660,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 15:00:00,1690968600,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:59:00,1690968540,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:58:00,1690968480,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:57:00,1690968420,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:56:00,1690968360,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:55:00,1690968300,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:54:00,1690968240,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:53:00,1690968180,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:52:00,1690968120,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
2023-08-02 14:51:00,1690968060,6.35,6.35,6.35,6.35,0.0,0,0,137700,673200,128844
