time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,21.8,22.05,21.8,22.05,0.0,0,0,60500,11000,129157
2023-07-31 15:27:00,1690797420,21.55,21.55,21.25,21.25,20.82,500,1000,60500,11000,129157
2023-07-31 15:26:00,1690797360,21.3,21.3,21.3,21.3,0.0,0,0,60000,10000,129157
2023-07-31 15:25:00,1690797300,21.3,21.3,21.3,21.3,20.94,500,0,60000,10000,129157
2023-07-31 15:24:00,1690797240,21.25,21.25,21.15,21.15,21.18,1500,0,59500,10000,129157
2023-07-31 15:23:00,1690797180,21.15,21.15,21.15,21.15,0.0,0,0,58000,10000,129157
2023-07-31 15:22:00,1690797120,21.15,21.15,21.15,21.15,21.48,1000,0,58000,10000,129157
2023-07-31 15:21:00,1690797060,20.75,20.75,20.5,20.5,20.67,1500,0,57000,10000,129157
2023-07-31 15:20:00,1690797000,21.45,21.45,21.45,21.45,0.0,0,0,55500,10000,129157
2023-07-31 15:19:00,1690796940,21.45,21.45,21.45,21.45,20.95,500,-500,55500,10000,129157
2023-07-31 15:18:00,1690796880,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:17:00,1690796820,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:16:00,1690796760,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:15:00,1690796700,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:14:00,1690796640,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:13:00,1690796580,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:12:00,1690796520,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:11:00,1690796460,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:10:00,1690796400,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:09:00,1690796340,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:08:00,1690796280,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:07:00,1690796220,21.6,21.6,21.6,21.6,0.0,0,0,55000,10500,129157
2023-07-31 15:06:00,1690796160,21.6,21.6,21.6,21.6,21.09,500,-500,55000,10500,129157
2023-07-31 15:05:00,1690796100,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 15:04:00,1690796040,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 15:03:00,1690795980,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 15:02:00,1690795920,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 15:01:00,1690795860,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 15:00:00,1690795800,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 14:59:00,1690795740,23.65,23.65,23.65,23.65,0.0,0,0,54500,11000,129157
2023-07-31 14:58:00,1690795680,23.1,23.65,23.1,23.65,23.44,1000,0,54500,11000,129157
2023-07-31 14:57:00,1690795620,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:56:00,1690795560,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:55:00,1690795500,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:54:00,1690795440,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:53:00,1690795380,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:52:00,1690795320,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:51:00,1690795260,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:50:00,1690795200,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:49:00,1690795140,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:48:00,1690795080,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:47:00,1690795020,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:46:00,1690794960,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:45:00,1690794900,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:44:00,1690794840,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:43:00,1690794780,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
2023-07-31 14:42:00,1690794720,23.45,23.45,23.45,23.45,0.0,0,0,53500,11000,129157
