time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,5.2,5.2,5.2,5.2,5.69,3750,22500,2171250,292500,148606
2023-07-28 15:27:00,1690538220,5.2,5.2,5.2,5.2,4.97,30000,0,2167500,270000,148606
2023-07-28 15:26:00,1690538160,5.25,5.25,5.2,5.2,5.7,7500,0,2137500,270000,148606
2023-07-28 15:25:00,1690538100,5.2,5.2,5.2,5.2,5.7,3750,0,2130000,270000,148606
2023-07-28 15:24:00,1690538040,5.25,5.25,5.25,5.25,5.7,3750,3750,2126250,270000,148606
2023-07-28 15:23:00,1690537980,5.2,5.2,5.2,5.2,0.0,0,0,2122500,266250,148606
2023-07-28 15:22:00,1690537920,5.2,5.2,5.2,5.2,4.84,48750,0,2122500,266250,148606
2023-07-28 15:21:00,1690537860,5.25,5.25,5.25,5.25,0.0,0,3750,2073750,266250,148606
2023-07-28 15:20:00,1690537800,5.25,5.25,5.25,5.25,0.0,0,3750,2073750,262500,148606
2023-07-28 15:19:00,1690537740,5.35,5.35,5.35,5.35,0.0,0,0,2073750,258750,148606
2023-07-28 15:18:00,1690537680,5.35,5.35,5.35,5.35,0.0,0,0,2073750,258750,148606
2023-07-28 15:17:00,1690537620,5.35,5.35,5.35,5.35,0.0,0,0,2073750,258750,148606
2023-07-28 15:16:00,1690537560,5.3,5.35,5.3,5.35,5.72,18750,-7500,2073750,258750,148606
2023-07-28 15:15:00,1690537500,5.35,5.35,5.35,5.35,0.0,0,0,2055000,266250,148606
2023-07-28 15:14:00,1690537440,5.35,5.35,5.35,5.35,0.0,0,0,2055000,266250,148606
2023-07-28 15:13:00,1690537380,5.35,5.35,5.35,5.35,0.0,0,0,2055000,266250,148606
2023-07-28 15:12:00,1690537320,5.35,5.35,5.35,5.35,5.72,11250,0,2055000,266250,148606
2023-07-28 15:11:00,1690537260,5.45,5.45,5.45,5.45,5.72,3750,0,2043750,266250,148606
2023-07-28 15:10:00,1690537200,5.45,5.45,5.45,5.45,5.72,3750,3750,2040000,266250,148606
2023-07-28 15:09:00,1690537140,5.5,5.5,5.5,5.5,0.0,0,0,2036250,262500,148606
2023-07-28 15:08:00,1690537080,5.5,5.5,5.5,5.5,5.72,11250,0,2036250,262500,148606
2023-07-28 15:07:00,1690537020,5.6,5.6,5.6,5.6,5.72,3750,0,2025000,262500,148606
2023-07-28 15:06:00,1690536960,5.65,5.65,5.65,5.65,0.0,0,0,2021250,262500,148606
2023-07-28 15:05:00,1690536900,5.65,5.65,5.65,5.65,0.0,0,0,2021250,262500,148606
2023-07-28 15:04:00,1690536840,5.65,5.65,5.65,5.65,5.72,3750,0,2021250,262500,148606
2023-07-28 15:03:00,1690536780,5.55,5.65,5.55,5.65,5.72,41250,0,2017500,262500,148606
2023-07-28 15:02:00,1690536720,5.45,5.45,5.45,5.45,0.0,0,0,1976250,262500,148606
2023-07-28 15:01:00,1690536660,5.45,5.45,5.45,5.45,0.0,0,0,1976250,262500,148606
2023-07-28 15:00:00,1690536600,5.45,5.45,5.45,5.45,0.0,0,0,1976250,262500,148606
2023-07-28 14:59:00,1690536540,5.45,5.45,5.45,5.45,0.0,0,0,1976250,262500,148606
2023-07-28 14:58:00,1690536480,5.45,5.45,5.45,5.45,5.72,11250,0,1976250,262500,148606
2023-07-28 14:57:00,1690536420,5.45,5.45,5.45,5.45,0.0,0,0,1965000,262500,148606
2023-07-28 14:56:00,1690536360,5.45,5.45,5.45,5.45,0.0,0,0,1965000,262500,148606
2023-07-28 14:55:00,1690536300,5.4,5.4,5.4,5.4,5.72,7500,0,1965000,262500,148606
2023-07-28 14:54:00,1690536240,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:53:00,1690536180,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:52:00,1690536120,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:51:00,1690536060,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:50:00,1690536000,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:49:00,1690535940,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:48:00,1690535880,5.35,5.35,5.35,5.35,0.0,0,0,1957500,262500,148606
2023-07-28 14:47:00,1690535820,5.35,5.35,5.35,5.35,0.51,3750,0,1957500,262500,148606
2023-07-28 14:46:00,1690535760,5.35,5.35,5.35,5.35,0.0,0,0,1953750,262500,148606
2023-07-28 14:45:00,1690535700,5.35,5.35,5.35,5.35,0.0,0,0,1953750,262500,148606
2023-07-28 14:44:00,1690535640,5.35,5.35,5.35,5.35,0.0,0,0,1953750,262500,148606
2023-07-28 14:43:00,1690535580,5.35,5.35,5.35,5.35,0.0,0,0,1953750,262500,148606
2023-07-28 14:42:00,1690535520,5.35,5.35,5.35,5.35,0.0,0,0,1953750,262500,148606
2023-07-28 14:41:00,1690535460,5.35,5.35,5.35,5.35,5.73,3750,0,1953750,262500,148606
2023-07-28 14:40:00,1690535400,5.2,5.2,5.2,5.2,0.0,0,0,1950000,262500,148606
2023-07-28 14:39:00,1690535340,5.2,5.2,5.2,5.2,0.0,0,0,1950000,262500,148606
2023-07-28 14:38:00,1690535280,5.2,5.2,5.2,5.2,0.0,0,0,1950000,262500,148606
2023-07-28 14:37:00,1690535220,5.2,5.2,5.2,5.2,0.0,0,0,1950000,262500,148606
2023-07-28 14:36:00,1690535160,5.2,5.2,5.2,5.2,5.73,3750,0,1950000,262500,148606
2023-07-28 14:35:00,1690535100,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:34:00,1690535040,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:33:00,1690534980,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:32:00,1690534920,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:31:00,1690534860,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:30:00,1690534800,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:29:00,1690534740,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:28:00,1690534680,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:27:00,1690534620,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:26:00,1690534560,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:25:00,1690534500,5.25,5.25,5.25,5.25,0.0,0,0,1946250,262500,148606
2023-07-28 14:24:00,1690534440,5.25,5.25,5.25,5.25,5.73,3750,7500,1946250,262500,148606
2023-07-28 14:23:00,1690534380,5.25,5.25,5.25,5.25,0.0,0,0,1942500,255000,148606
2023-07-28 14:22:00,1690534320,5.25,5.25,5.25,5.25,5.73,11250,0,1942500,255000,148606
