time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,9.3,9.35,9.3,9.35,11.94,5800,0,7519700,2195300,130332
2023-08-02 15:27:00,1690970220,9.3,9.3,9.25,9.25,11.94,5800,5800,7513900,2195300,130332
2023-08-02 15:26:00,1690970160,9.25,9.25,9.25,9.25,0.0,0,0,7508100,2189500,130332
2023-08-02 15:25:00,1690970100,9.25,9.25,9.25,9.25,0.0,0,0,7508100,2189500,130332
2023-08-02 15:24:00,1690970040,9.4,9.4,9.25,9.25,7.63,17400,-17400,7508100,2189500,130332
2023-08-02 15:23:00,1690969980,9.45,9.45,9.45,9.45,11.95,2900,0,7490700,2206900,130332
2023-08-02 15:22:00,1690969920,9.3,9.5,9.3,9.5,4.59,20300,0,7487800,2206900,130332
2023-08-02 15:21:00,1690969860,9.35,9.45,9.35,9.45,11.97,5800,-2900,7467500,2206900,130332
2023-08-02 15:20:00,1690969800,9.45,9.45,9.45,9.45,11.97,2900,0,7461700,2209800,130332
2023-08-02 15:19:00,1690969740,9.5,9.5,9.5,9.5,0.0,0,0,7458800,2209800,130332
2023-08-02 15:18:00,1690969680,9.5,9.5,9.5,9.5,11.97,11600,-2900,7458800,2209800,130332
2023-08-02 15:17:00,1690969620,9.5,9.5,9.5,9.5,0.0,0,0,7447200,2212700,130332
2023-08-02 15:16:00,1690969560,9.5,9.5,9.5,9.5,11.97,8700,-2900,7447200,2212700,130332
2023-08-02 15:15:00,1690969500,9.5,9.5,9.5,9.5,0.0,0,0,7438500,2215600,130332
2023-08-02 15:14:00,1690969440,9.5,9.5,9.5,9.5,11.97,2900,0,7438500,2215600,130332
2023-08-02 15:13:00,1690969380,9.5,9.5,9.5,9.5,0.0,0,0,7435600,2215600,130332
2023-08-02 15:12:00,1690969320,9.55,9.6,9.5,9.5,11.97,11600,0,7435600,2215600,130332
2023-08-02 15:11:00,1690969260,9.6,9.6,9.6,9.6,11.97,11600,0,7424000,2215600,130332
2023-08-02 15:10:00,1690969200,9.7,9.7,9.7,9.7,3.46,8700,-11600,7412400,2215600,130332
2023-08-02 15:09:00,1690969140,9.7,9.7,9.7,9.7,0.0,0,0,7403700,2227200,130332
2023-08-02 15:08:00,1690969080,9.7,9.7,9.7,9.7,11.98,17400,0,7403700,2227200,130332
2023-08-02 15:07:00,1690969020,9.7,9.7,9.7,9.7,0.0,0,0,7386300,2227200,130332
2023-08-02 15:06:00,1690968960,9.65,9.65,9.65,9.65,8.8,23200,0,7386300,2227200,130332
2023-08-02 15:05:00,1690968900,9.45,9.45,9.45,9.45,0.0,0,0,7363100,2227200,130332
2023-08-02 15:04:00,1690968840,9.45,9.45,9.45,9.45,11.99,2900,5800,7363100,2227200,130332
2023-08-02 15:03:00,1690968780,9.65,9.65,9.65,9.65,0.0,0,0,7360200,2221400,130332
2023-08-02 15:02:00,1690968720,9.65,9.65,9.65,9.65,11.99,8700,0,7360200,2221400,130332
2023-08-02 15:01:00,1690968660,9.65,9.65,9.65,9.65,6.93,14500,0,7351500,2221400,130332
2023-08-02 15:00:00,1690968600,9.45,9.65,9.45,9.65,12.0,8700,-2900,7337000,2221400,130332
2023-08-02 14:59:00,1690968540,9.55,9.55,9.5,9.5,9.9,34800,0,7328300,2224300,130332
