time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,0.85,0.85,0.8,0.8,0.91,39000,0,5538000,4348500,131391
2023-07-31 15:27:00,1690797420,0.8,0.8,0.8,0.8,0.91,9750,0,5499000,4348500,131391
2023-07-31 15:26:00,1690797360,0.85,0.85,0.85,0.85,0.0,0,0,5489250,4348500,131391
2023-07-31 15:25:00,1690797300,0.85,0.85,0.85,0.85,0.0,0,0,5489250,4348500,131391
2023-07-31 15:24:00,1690797240,0.85,0.85,0.85,0.85,0.0,0,0,5489250,4348500,131391
2023-07-31 15:23:00,1690797180,0.85,0.85,0.85,0.85,0.0,0,0,5489250,4348500,131391
2023-07-31 15:22:00,1690797120,0.85,0.85,0.85,0.85,0.91,19500,0,5489250,4348500,131391
2023-07-31 15:21:00,1690797060,0.8,0.8,0.8,0.8,0.0,0,0,5469750,4348500,131391
2023-07-31 15:20:00,1690797000,0.8,0.8,0.8,0.8,0.0,0,0,5469750,4348500,131391
2023-07-31 15:19:00,1690796940,0.8,0.8,0.8,0.8,0.0,0,0,5469750,4348500,131391
2023-07-31 15:18:00,1690796880,0.8,0.8,0.8,0.8,0.0,0,0,5469750,4348500,131391
2023-07-31 15:17:00,1690796820,0.8,0.8,0.8,0.8,0.91,9750,0,5469750,4348500,131391
2023-07-31 15:16:00,1690796760,0.85,0.85,0.85,0.85,0.0,0,0,5460000,4348500,131391
2023-07-31 15:15:00,1690796700,0.85,0.85,0.85,0.85,0.0,0,0,5460000,4348500,131391
2023-07-31 15:14:00,1690796640,0.85,0.85,0.85,0.85,0.0,0,0,5460000,4348500,131391
2023-07-31 15:13:00,1690796580,0.85,0.85,0.85,0.85,0.91,39000,0,5460000,4348500,131391
2023-07-31 15:12:00,1690796520,0.8,0.8,0.8,0.8,0.0,0,0,5421000,4348500,131391
2023-07-31 15:11:00,1690796460,0.8,0.8,0.8,0.8,0.0,0,0,5421000,4348500,131391
2023-07-31 15:10:00,1690796400,0.8,0.8,0.8,0.8,0.0,0,0,5421000,4348500,131391
2023-07-31 15:09:00,1690796340,0.8,0.8,0.8,0.8,0.0,0,0,5421000,4348500,131391
2023-07-31 15:08:00,1690796280,0.8,0.8,0.8,0.8,0.0,0,0,5421000,4348500,131391
2023-07-31 15:07:00,1690796220,0.8,0.8,0.8,0.8,0.91,9750,0,5421000,4348500,131391
2023-07-31 15:06:00,1690796160,0.8,0.8,0.8,0.8,0.0,0,0,5411250,4348500,131391
2023-07-31 15:05:00,1690796100,0.8,0.8,0.8,0.8,0.91,9750,0,5411250,4348500,131391
2023-07-31 15:04:00,1690796040,0.8,0.8,0.8,0.8,0.0,0,0,5401500,4348500,131391
2023-07-31 15:03:00,1690795980,0.8,0.8,0.8,0.8,0.0,0,0,5401500,4348500,131391
2023-07-31 15:02:00,1690795920,0.8,0.8,0.8,0.8,-2.76,29250,0,5401500,4348500,131391
2023-07-31 15:01:00,1690795860,0.8,0.8,0.8,0.8,0.93,9750,0,5372250,4348500,131391
2023-07-31 15:00:00,1690795800,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:59:00,1690795740,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:58:00,1690795680,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:57:00,1690795620,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:56:00,1690795560,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:55:00,1690795500,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:54:00,1690795440,0.8,0.8,0.8,0.8,0.0,0,0,5362500,4348500,131391
2023-07-31 14:53:00,1690795380,0.8,0.8,0.8,0.8,0.93,9750,0,5362500,4348500,131391
2023-07-31 14:52:00,1690795320,0.8,0.8,0.8,0.8,0.93,48750,0,5352750,4348500,131391
2023-07-31 14:51:00,1690795260,0.8,0.8,0.8,0.8,0.93,9750,19500,5304000,4348500,131391
2023-07-31 14:50:00,1690795200,0.8,0.8,0.8,0.8,0.0,0,0,5294250,4329000,131391
2023-07-31 14:49:00,1690795140,0.8,0.8,0.8,0.8,0.0,0,0,5294250,4329000,131391
2023-07-31 14:48:00,1690795080,0.8,0.8,0.8,0.8,0.0,0,0,5294250,4329000,131391
2023-07-31 14:47:00,1690795020,0.8,0.8,0.8,0.8,0.93,48750,0,5294250,4329000,131391
2023-07-31 14:46:00,1690794960,0.8,0.8,0.8,0.8,0.0,0,0,5245500,4329000,131391
2023-07-31 14:45:00,1690794900,0.8,0.8,0.8,0.8,0.0,0,0,5245500,4329000,131391
2023-07-31 14:44:00,1690794840,0.8,0.8,0.8,0.8,0.0,0,0,5245500,4329000,131391
2023-07-31 14:43:00,1690794780,0.8,0.8,0.8,0.8,0.93,39000,0,5245500,4329000,131391
2023-07-31 14:42:00,1690794720,0.8,0.8,0.8,0.8,0.0,0,0,5206500,4329000,131391
2023-07-31 14:41:00,1690794660,0.8,0.8,0.8,0.8,0.0,0,0,5206500,4329000,131391
2023-07-31 14:40:00,1690794600,0.8,0.8,0.8,0.8,0.93,39000,0,5206500,4329000,131391
2023-07-31 14:39:00,1690794540,0.8,0.8,0.8,0.8,0.93,19500,0,5167500,4329000,131391
2023-07-31 14:38:00,1690794480,0.8,0.8,0.8,0.8,0.93,19500,0,5148000,4329000,131391
2023-07-31 14:37:00,1690794420,0.8,0.8,0.8,0.8,0.93,87750,0,5128500,4329000,131391
2023-07-31 14:36:00,1690794360,0.8,0.8,0.8,0.8,0.93,68250,-9750,5040750,4329000,131391
2023-07-31 14:35:00,1690794300,0.8,0.8,0.8,0.8,0.0,0,0,4972500,4338750,131391
2023-07-31 14:34:00,1690794240,0.8,0.8,0.8,0.8,0.93,29250,9750,4972500,4338750,131391
2023-07-31 14:33:00,1690794180,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:32:00,1690794120,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:31:00,1690794060,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:30:00,1690794000,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:29:00,1690793940,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:28:00,1690793880,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:27:00,1690793820,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:26:00,1690793760,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:25:00,1690793700,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:24:00,1690793640,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:23:00,1690793580,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:22:00,1690793520,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:21:00,1690793460,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:20:00,1690793400,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:19:00,1690793340,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:18:00,1690793280,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:17:00,1690793220,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:16:00,1690793160,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:15:00,1690793100,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:14:00,1690793040,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:13:00,1690792980,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:12:00,1690792920,0.75,0.75,0.75,0.75,0.0,0,0,4943250,4329000,131391
2023-07-31 14:11:00,1690792860,0.75,0.75,0.75,0.75,0.93,19500,58500,4943250,4329000,131391
2023-07-31 14:10:00,1690792800,0.8,0.8,0.8,0.8,0.0,0,0,4923750,4270500,131391
2023-07-31 14:09:00,1690792740,0.8,0.8,0.8,0.8,0.0,0,0,4923750,4270500,131391
2023-07-31 14:08:00,1690792680,0.8,0.8,0.8,0.8,0.0,0,0,4923750,4270500,131391
2023-07-31 14:07:00,1690792620,0.8,0.8,0.8,0.8,0.0,0,0,4923750,4270500,131391
2023-07-31 14:06:00,1690792560,0.8,0.8,0.8,0.8,0.0,0,0,4923750,4270500,131391
2023-07-31 14:05:00,1690792500,0.8,0.8,0.8,0.8,0.93,29250,0,4923750,4270500,131391
2023-07-31 14:04:00,1690792440,0.8,0.8,0.8,0.8,0.93,175500,0,4894500,4270500,131391
2023-07-31 14:03:00,1690792380,0.8,0.8,0.8,0.8,0.93,78000,-9750,4719000,4270500,131391
2023-07-31 14:02:00,1690792320,0.85,0.85,0.85,0.85,0.0,0,0,4641000,4280250,131391
2023-07-31 14:01:00,1690792260,0.85,0.85,0.85,0.85,0.0,0,0,4641000,4280250,131391
2023-07-31 14:00:00,1690792200,0.85,0.85,0.85,0.85,0.0,0,0,4641000,4280250,131391
2023-07-31 13:59:00,1690792140,0.85,0.85,0.85,0.85,0.0,0,0,4641000,4280250,131391
2023-07-31 13:58:00,1690792080,0.85,0.85,0.85,0.85,0.93,9750,19500,4641000,4280250,131391
2023-07-31 13:57:00,1690792020,0.85,0.85,0.85,0.85,0.0,0,0,4631250,4260750,131391
2023-07-31 13:56:00,1690791960,0.85,0.85,0.85,0.85,0.0,0,0,4631250,4260750,131391
