time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:27:00,1690538220,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:26:00,1690538160,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:25:00,1690538100,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:24:00,1690538040,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:23:00,1690537980,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:22:00,1690537920,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:21:00,1690537860,127.0,127.0,127.0,127.0,0.0,0,0,11700,4800,133222
2023-07-28 15:20:00,1690537800,129.85,129.85,127.0,127.0,129.84,300,0,11700,4800,133222
2023-07-28 15:19:00,1690537740,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:18:00,1690537680,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:17:00,1690537620,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:16:00,1690537560,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:15:00,1690537500,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:14:00,1690537440,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:13:00,1690537380,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:12:00,1690537320,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:11:00,1690537260,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:10:00,1690537200,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:09:00,1690537140,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:08:00,1690537080,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:07:00,1690537020,123.95,123.95,123.95,123.95,0.0,0,0,11400,4800,133222
2023-07-28 15:06:00,1690536960,123.95,123.95,123.95,123.95,123.97,300,0,11400,4800,133222
2023-07-28 15:05:00,1690536900,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 15:04:00,1690536840,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 15:03:00,1690536780,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 15:02:00,1690536720,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 15:01:00,1690536660,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 15:00:00,1690536600,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:59:00,1690536540,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:58:00,1690536480,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:57:00,1690536420,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:56:00,1690536360,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:55:00,1690536300,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:54:00,1690536240,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:53:00,1690536180,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:52:00,1690536120,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:51:00,1690536060,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:50:00,1690536000,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:49:00,1690535940,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
2023-07-28 14:48:00,1690535880,123.95,123.95,123.95,123.95,0.0,0,0,11100,4800,133222
