time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,13.7,13.9,13.7,13.85,18.44,32000,0,16870000,1534000,133475
2023-08-04 15:27:00,1691143020,13.3,13.8,13.3,13.8,13.17,14000,10000,16838000,1534000,133475
2023-08-04 15:26:00,1691142960,13.25,13.3,13.1,13.15,13.17,22000,0,16824000,1524000,133475
2023-08-04 15:25:00,1691142900,13.15,13.4,13.15,13.35,13.17,18000,0,16802000,1524000,133475
2023-08-04 15:24:00,1691142840,13.2,13.2,13.1,13.1,13.17,12000,-10000,16784000,1524000,133475
2023-08-04 15:23:00,1691142780,13.2,13.25,13.2,13.25,13.17,24000,0,16772000,1534000,133475
2023-08-04 15:22:00,1691142720,13.0,13.1,13.0,13.1,13.17,30000,0,16748000,1534000,133475
2023-08-04 15:21:00,1691142660,12.9,13.0,12.75,12.95,9.69,48000,-98000,16718000,1534000,133475
2023-08-04 15:20:00,1691142600,13.35,13.35,13.0,13.0,13.18,20000,0,16670000,1632000,133475
2023-08-04 15:19:00,1691142540,13.65,13.65,13.1,13.25,16.04,58000,0,16650000,1632000,133475
2023-08-04 15:18:00,1691142480,13.55,13.7,13.45,13.6,13.17,24000,0,16592000,1632000,133475
2023-08-04 15:17:00,1691142420,13.5,13.7,13.5,13.5,13.17,146000,0,16568000,1632000,133475
2023-08-04 15:16:00,1691142360,13.85,13.85,13.55,13.55,13.17,50000,0,16422000,1632000,133475
2023-08-04 15:15:00,1691142300,14.05,14.1,14.0,14.0,13.17,36000,0,16372000,1632000,133475
2023-08-04 15:14:00,1691142240,14.1,14.2,14.1,14.1,13.17,12000,0,16336000,1632000,133475
2023-08-04 15:13:00,1691142180,14.2,14.3,14.2,14.2,18.26,32000,0,16324000,1632000,133475
2023-08-04 15:12:00,1691142120,14.1,14.25,14.05,14.05,13.16,10000,8000,16292000,1632000,133475
2023-08-04 15:11:00,1691142060,14.1,14.25,14.1,14.25,13.16,4000,0,16282000,1624000,133475
2023-08-04 15:10:00,1691142000,14.25,14.3,14.15,14.25,13.16,20000,0,16278000,1624000,133475
2023-08-04 15:09:00,1691141940,14.15,14.25,14.1,14.2,13.16,26000,-6000,16258000,1624000,133475
2023-08-04 15:08:00,1691141880,14.0,14.2,13.9,14.2,13.16,16000,0,16232000,1630000,133475
2023-08-04 15:07:00,1691141820,14.05,14.5,13.9,13.9,15.34,74000,0,16216000,1630000,133475
2023-08-04 15:06:00,1691141760,14.75,15.0,14.3,14.45,13.15,56000,14000,16142000,1630000,133475
2023-08-04 15:05:00,1691141700,14.5,15.0,14.5,14.8,15.43,70000,0,16086000,1616000,133475
2023-08-04 15:04:00,1691141640,14.75,15.0,14.15,14.45,13.14,38000,0,16016000,1616000,133475
2023-08-04 15:03:00,1691141580,14.7,15.0,14.5,14.65,15.88,58000,-28000,15978000,1616000,133475
2023-08-04 15:02:00,1691141520,15.25,15.3,15.0,15.0,13.13,58000,0,15920000,1644000,133475
2023-08-04 15:01:00,1691141460,15.8,15.8,15.3,15.3,18.06,64000,0,15862000,1644000,133475
2023-08-04 15:00:00,1691141400,15.7,15.85,15.65,15.75,13.11,30000,0,15798000,1644000,133475
2023-08-04 14:59:00,1691141340,16.35,16.6,15.5,15.65,17.73,34000,0,15768000,1644000,133475
2023-08-04 14:58:00,1691141280,16.25,16.65,16.25,16.65,13.1,30000,0,15734000,1644000,133475
2023-08-04 14:57:00,1691141220,16.5,16.65,16.3,16.4,19.63,24000,0,15704000,1644000,133475
2023-08-04 14:56:00,1691141160,17.05,17.05,16.45,16.55,18.87,54000,0,15680000,1644000,133475
2023-08-04 14:55:00,1691141100,17.3,17.3,17.0,17.0,13.07,18000,0,15626000,1644000,133475
2023-08-04 14:54:00,1691141040,17.35,17.5,16.9,17.0,16.31,48000,26000,15608000,1644000,133475
2023-08-04 14:53:00,1691140980,17.4,17.7,17.2,17.4,17.37,36000,0,15560000,1618000,133475
2023-08-04 14:52:00,1691140920,16.35,16.7,16.35,16.7,13.05,10000,0,15524000,1618000,133475
2023-08-04 14:51:00,1691140860,16.7,16.75,16.3,16.4,17.12,38000,-12000,15514000,1618000,133475
2023-08-04 14:50:00,1691140800,16.5,16.8,16.0,16.8,16.12,50000,0,15476000,1630000,133475
2023-08-04 14:49:00,1691140740,16.65,17.0,16.45,16.45,18.16,30000,0,15426000,1630000,133475
2023-08-04 14:48:00,1691140680,18.95,18.95,17.0,17.0,17.8,222000,20000,15396000,1630000,133475
2023-08-04 14:47:00,1691140620,19.0,19.2,18.6,19.0,19.55,114000,0,15174000,1610000,133475
2023-08-04 14:46:00,1691140560,17.75,19.0,17.75,18.95,17.97,176000,0,15060000,1610000,133475
2023-08-04 14:45:00,1691140500,17.5,17.9,17.5,17.6,20.84,74000,0,14884000,1610000,133475
2023-08-04 14:44:00,1691140440,17.6,17.65,17.4,17.4,12.8,38000,0,14810000,1610000,133475
2023-08-04 14:43:00,1691140380,17.55,17.8,17.3,17.5,16.56,78000,0,14772000,1610000,133475
2023-08-04 14:42:00,1691140320,17.2,17.5,17.2,17.5,18.63,50000,-52000,14694000,1610000,133475
2023-08-04 14:41:00,1691140260,17.4,17.5,17.15,17.15,16.81,36000,0,14644000,1662000,133475
2023-08-04 14:40:00,1691140200,17.55,17.6,17.35,17.5,16.67,74000,0,14608000,1662000,133475
2023-08-04 14:39:00,1691140140,17.2,17.6,17.0,17.6,17.55,60000,-6000,14534000,1662000,133475
2023-08-04 14:38:00,1691140080,16.8,17.25,16.8,17.25,19.92,40000,0,14474000,1668000,133475
2023-08-04 14:37:00,1691140020,16.8,16.85,16.75,16.75,12.69,32000,0,14434000,1668000,133475
2023-08-04 14:36:00,1691139960,16.5,16.85,16.5,16.85,36.68,6000,-8000,14402000,1668000,133475
2023-08-04 14:35:00,1691139900,16.25,16.3,16.2,16.3,12.68,20000,0,14396000,1676000,133475
2023-08-04 14:34:00,1691139840,16.1,16.2,16.1,16.2,12.68,4000,0,14376000,1676000,133475
2023-08-04 14:33:00,1691139780,16.2,16.2,16.0,16.0,12.68,12000,12000,14372000,1676000,133475
2023-08-04 14:32:00,1691139720,16.35,16.4,16.2,16.4,30.62,8000,0,14360000,1664000,133475
2023-08-04 14:31:00,1691139660,16.65,16.8,16.25,16.3,12.67,28000,0,14352000,1664000,133475
2023-08-04 14:30:00,1691139600,16.65,16.85,16.65,16.8,19.17,22000,-8000,14324000,1664000,133475
2023-08-04 14:29:00,1691139540,16.15,16.85,16.15,16.8,16.97,66000,0,14302000,1672000,133475
2023-08-04 14:28:00,1691139480,16.25,16.3,16.05,16.05,12.64,8000,0,14236000,1672000,133475
2023-08-04 14:27:00,1691139420,16.3,16.45,16.05,16.05,17.07,32000,52000,14228000,1672000,133475
2023-08-04 14:26:00,1691139360,16.15,16.5,16.05,16.5,15.15,56000,0,14196000,1620000,133475
2023-08-04 14:25:00,1691139300,16.15,16.15,16.0,16.0,15.68,46000,0,14140000,1620000,133475
2023-08-04 14:24:00,1691139240,15.9,16.0,15.8,16.0,19.64,20000,0,14094000,1620000,133475
2023-08-04 14:23:00,1691139180,15.85,15.85,15.65,15.65,12.6,8000,0,14074000,1620000,133475
2023-08-04 14:22:00,1691139120,15.45,15.55,15.45,15.5,12.6,6000,0,14066000,1620000,133475
2023-08-04 14:21:00,1691139060,15.4,15.6,15.4,15.4,19.62,20000,0,14060000,1620000,133475
2023-08-04 14:20:00,1691139000,15.25,15.5,15.25,15.5,12.59,8000,0,14040000,1620000,133475
2023-08-04 14:19:00,1691138940,15.1,15.1,15.1,15.1,12.59,2000,0,14032000,1620000,133475
2023-08-04 14:18:00,1691138880,14.85,14.85,14.85,14.85,12.59,4000,0,14030000,1620000,133475
2023-08-04 14:17:00,1691138820,15.25,15.25,14.85,14.85,12.59,18000,0,14026000,1620000,133475
2023-08-04 14:16:00,1691138760,15.1,15.3,15.1,15.3,12.59,8000,0,14008000,1620000,133475
2023-08-04 14:15:00,1691138700,15.3,15.4,15.2,15.2,21.33,16000,16000,14000000,1620000,133475
2023-08-04 14:14:00,1691138640,15.5,15.5,15.35,15.35,12.58,18000,0,13984000,1604000,133475
2023-08-04 14:13:00,1691138580,15.45,15.45,15.3,15.45,12.58,12000,0,13966000,1604000,133475
2023-08-04 14:12:00,1691138520,15.0,15.45,15.0,15.3,17.93,26000,-6000,13954000,1604000,133475
2023-08-04 14:11:00,1691138460,14.45,14.95,14.45,14.55,12.57,14000,0,13928000,1610000,133475
2023-08-04 14:10:00,1691138400,14.0,14.0,14.0,14.0,0.0,0,0,13914000,1610000,133475
2023-08-04 14:09:00,1691138340,14.0,14.0,14.0,14.0,12.57,4000,0,13914000,1610000,133475
2023-08-04 14:08:00,1691138280,14.05,14.05,14.05,14.05,12.57,4000,0,13910000,1610000,133475
2023-08-04 14:07:00,1691138220,14.0,14.0,14.0,14.0,0.0,0,0,13906000,1610000,133475
2023-08-04 14:06:00,1691138160,14.0,14.0,14.0,14.0,12.57,4000,-2000,13906000,1610000,133475
2023-08-04 14:05:00,1691138100,14.1,14.15,14.0,14.15,12.57,6000,0,13902000,1612000,133475
2023-08-04 14:04:00,1691138040,14.1,14.3,14.1,14.3,12.57,4000,0,13896000,1612000,133475
2023-08-04 14:03:00,1691137980,14.25,14.25,14.25,14.25,12.57,4000,-16000,13892000,1612000,133475
2023-08-04 14:02:00,1691137920,14.2,14.2,14.1,14.1,18.87,22000,0,13888000,1628000,133475
2023-08-04 14:01:00,1691137860,14.2,14.2,14.15,14.15,12.56,4000,0,13866000,1628000,133475
2023-08-04 14:00:00,1691137800,14.15,14.15,14.15,14.15,12.56,4000,0,13862000,1628000,133475
2023-08-04 13:59:00,1691137740,14.25,14.25,14.05,14.05,12.56,8000,0,13858000,1628000,133475
2023-08-04 13:58:00,1691137680,14.0,14.0,14.0,14.0,12.56,2000,0,13850000,1628000,133475
2023-08-04 13:57:00,1691137620,13.8,14.0,13.8,14.0,12.56,26000,0,13848000,1628000,133475
2023-08-04 13:56:00,1691137560,14.0,14.0,14.0,14.0,12.56,18000,0,13822000,1628000,133475
2023-08-04 13:55:00,1691137500,14.1,14.15,14.1,14.15,12.56,4000,0,13804000,1628000,133475
2023-08-04 13:54:00,1691137440,14.0,14.05,14.0,14.0,12.56,10000,-30000,13800000,1628000,133475
2023-08-04 13:53:00,1691137380,14.15,14.3,14.1,14.3,22.4,14000,0,13790000,1658000,133475
2023-08-04 13:52:00,1691137320,14.4,14.4,14.05,14.05,12.55,6000,0,13776000,1658000,133475
2023-08-04 13:51:00,1691137260,14.6,14.6,14.6,14.6,12.55,42000,34000,13770000,1658000,133475
2023-08-04 13:50:00,1691137200,14.95,14.95,14.95,14.95,12.55,4000,0,13728000,1624000,133475
2023-08-04 13:49:00,1691137140,14.95,15.0,14.95,15.0,12.55,2000,0,13724000,1624000,133475
2023-08-04 13:48:00,1691137080,14.8,15.05,14.8,15.05,19.4,20000,0,13722000,1624000,133475
2023-08-04 13:47:00,1691137020,14.95,14.95,14.95,14.95,12.54,6000,0,13702000,1624000,133475
2023-08-04 13:46:00,1691136960,15.0,15.0,15.0,15.0,12.54,2000,0,13696000,1624000,133475
2023-08-04 13:45:00,1691136900,14.95,15.25,14.95,15.2,15.16,52000,0,13694000,1624000,133475
