time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,37.0,37.0,36.8,36.8,38.63,850,0,2328150,336600,39529
2023-08-07 15:27:00,1691402220,36.8,36.8,36.8,36.8,38.63,1700,0,2327300,336600,39529
2023-08-07 15:26:00,1691402160,37.0,37.05,37.0,37.05,38.63,2550,0,2325600,336600,39529
2023-08-07 15:25:00,1691402100,37.55,37.55,37.05,37.05,38.63,3400,0,2323050,336600,39529
2023-08-07 15:24:00,1691402040,37.0,37.25,37.0,37.25,24.99,1700,-5100,2319650,336600,39529
2023-08-07 15:23:00,1691401980,36.65,36.65,36.65,36.65,0.0,0,0,2317950,341700,39529
2023-08-07 15:22:00,1691401920,36.65,36.65,36.65,36.65,38.64,850,0,2317950,341700,39529
2023-08-07 15:21:00,1691401860,36.15,36.15,36.15,36.15,0.0,0,0,2317100,341700,39529
2023-08-07 15:20:00,1691401800,36.15,36.15,36.15,36.15,38.64,850,0,2317100,341700,39529
2023-08-07 15:19:00,1691401740,36.85,37.3,36.7,36.8,38.64,7650,0,2316250,341700,39529
2023-08-07 15:18:00,1691401680,37.05,37.2,37.05,37.2,38.64,2550,-1700,2308600,341700,39529
2023-08-07 15:17:00,1691401620,37.2,37.2,37.2,37.2,11.52,850,0,2306050,343400,39529
2023-08-07 15:16:00,1691401560,37.25,37.25,37.2,37.2,38.65,1700,0,2305200,343400,39529
2023-08-07 15:15:00,1691401500,37.4,37.5,37.3,37.3,38.65,3400,-3400,2303500,343400,39529
2023-08-07 15:14:00,1691401440,37.35,37.35,37.35,37.35,38.65,850,0,2300100,346800,39529
2023-08-07 15:13:00,1691401380,36.95,37.3,36.95,37.3,38.65,3400,0,2299250,346800,39529
2023-08-07 15:12:00,1691401320,37.3,37.3,36.8,36.8,38.65,5100,-2550,2295850,346800,39529
2023-08-07 15:11:00,1691401260,38.0,38.0,38.0,38.0,38.65,850,0,2290750,349350,39529
2023-08-07 15:10:00,1691401200,38.0,38.0,38.0,38.0,38.65,850,0,2289900,349350,39529
2023-08-07 15:09:00,1691401140,37.55,37.8,37.55,37.8,31.92,3400,-4250,2289050,349350,39529
2023-08-07 15:08:00,1691401080,38.0,38.0,38.0,38.0,38.66,850,0,2285650,353600,39529
2023-08-07 15:07:00,1691401020,38.35,38.35,37.75,37.75,38.66,5100,0,2284800,353600,39529
2023-08-07 15:06:00,1691400960,38.6,38.6,38.05,38.05,0.0,0,-2550,2279700,353600,39529
2023-08-07 15:05:00,1691400900,38.85,38.85,38.85,38.85,38.66,1700,0,2279700,356150,39529
2023-08-07 15:04:00,1691400840,38.6,38.85,38.1,38.85,38.66,2550,0,2278000,356150,39529
2023-08-07 15:03:00,1691400780,38.35,38.65,38.35,38.65,38.66,2550,-5950,2275450,356150,39529
2023-08-07 15:02:00,1691400720,38.05,38.05,38.05,38.05,38.66,2550,0,2272900,362100,39529
2023-08-07 15:01:00,1691400660,37.7,38.0,37.65,38.0,38.66,5950,0,2270350,362100,39529
2023-08-07 15:00:00,1691400600,37.9,37.9,37.9,37.9,0.0,0,0,2264400,362100,39529
2023-08-07 14:59:00,1691400540,37.9,37.9,37.9,37.9,0.0,0,0,2264400,362100,39529
2023-08-07 14:58:00,1691400480,37.9,37.9,37.9,37.9,0.0,0,0,2264400,362100,39529
2023-08-07 14:57:00,1691400420,37.9,37.9,37.9,37.9,38.66,2550,-850,2264400,362100,39529
2023-08-07 14:56:00,1691400360,37.55,37.55,37.55,37.55,0.0,0,0,2261850,362950,39529
2023-08-07 14:55:00,1691400300,37.55,37.55,37.55,37.55,38.66,1700,1700,2261850,362950,39529
2023-08-07 14:54:00,1691400240,37.55,37.55,37.55,37.55,0.0,0,0,2260150,361250,39529
2023-08-07 14:53:00,1691400180,37.55,37.55,37.55,37.55,38.66,1700,0,2260150,361250,39529
2023-08-07 14:52:00,1691400120,37.8,37.8,37.8,37.8,38.66,3400,0,2258450,361250,39529
2023-08-07 14:51:00,1691400060,38.0,38.0,37.9,37.9,0.0,0,-850,2255050,361250,39529
2023-08-07 14:50:00,1691400000,38.5,38.5,38.5,38.5,29.82,2550,0,2255050,362100,39529
2023-08-07 14:49:00,1691399940,38.35,38.35,38.35,38.35,38.67,3400,0,2252500,362100,39529
2023-08-07 14:48:00,1691399880,37.95,37.95,37.95,37.95,0.0,0,-850,2249100,362100,39529
2023-08-07 14:47:00,1691399820,37.95,37.95,37.95,37.95,0.0,0,0,2249100,362950,39529
2023-08-07 14:46:00,1691399760,37.8,37.95,37.5,37.95,38.67,4250,0,2249100,362950,39529
2023-08-07 14:45:00,1691399700,38.3,38.3,38.05,38.05,38.67,1700,-7650,2244850,362950,39529
2023-08-07 14:44:00,1691399640,38.45,38.5,38.0,38.05,38.67,10200,0,2243150,370600,39529
2023-08-07 14:43:00,1691399580,39.0,39.0,38.5,38.5,38.67,5100,0,2232950,370600,39529
2023-08-07 14:42:00,1691399520,39.25,39.25,38.9,38.9,38.67,6800,8500,2227850,370600,39529
2023-08-07 14:41:00,1691399460,40.95,40.95,39.3,39.3,40.11,15300,0,2221050,362100,39529
2023-08-07 14:40:00,1691399400,39.2,40.45,39.2,40.45,39.97,33150,0,2205750,362100,39529
2023-08-07 14:39:00,1691399340,38.45,39.5,38.45,39.5,38.64,5950,5100,2172600,362100,39529
2023-08-07 14:38:00,1691399280,38.9,38.9,38.3,38.3,38.64,5950,0,2166650,357000,39529
2023-08-07 14:37:00,1691399220,39.1,39.2,38.9,39.0,38.64,8500,0,2160700,357000,39529
2023-08-07 14:36:00,1691399160,38.55,39.0,38.55,39.0,38.64,9350,1700,2152200,357000,39529
2023-08-07 14:35:00,1691399100,37.0,39.25,37.0,38.9,38.64,9350,0,2142850,355300,39529
2023-08-07 14:34:00,1691399040,36.35,36.35,36.35,36.35,38.64,850,0,2133500,355300,39529
2023-08-07 14:33:00,1691398980,36.35,36.35,36.0,36.0,38.64,1700,-17850,2132650,355300,39529
2023-08-07 14:32:00,1691398920,36.0,36.0,36.0,36.0,13.58,850,0,2130950,373150,39529
2023-08-07 14:31:00,1691398860,36.2,36.2,36.15,36.15,36.16,17000,0,2130100,373150,39529
2023-08-07 14:30:00,1691398800,36.0,36.0,36.0,36.0,38.67,1700,850,2113100,373150,39529
2023-08-07 14:29:00,1691398740,35.95,35.95,35.95,35.95,0.0,0,0,2111400,372300,39529
2023-08-07 14:28:00,1691398680,35.95,35.95,35.95,35.95,38.67,850,0,2111400,372300,39529
2023-08-07 14:27:00,1691398620,36.0,36.0,36.0,36.0,38.67,850,2550,2110550,372300,39529
2023-08-07 14:26:00,1691398560,36.35,36.35,36.35,36.35,38.67,2550,0,2109700,369750,39529
2023-08-07 14:25:00,1691398500,35.85,35.85,35.85,35.85,-10.89,850,-1700,2107150,369750,39529
2023-08-07 14:24:00,1691398440,35.7,35.7,35.7,35.7,0.0,0,0,2106300,371450,39529
2023-08-07 14:23:00,1691398380,35.7,35.7,35.7,35.7,0.0,0,0,2106300,371450,39529
2023-08-07 14:22:00,1691398320,35.7,35.7,35.7,35.7,38.69,2550,0,2106300,371450,39529
2023-08-07 14:21:00,1691398260,36.2,36.2,36.2,36.2,0.0,0,0,2103750,371450,39529
2023-08-07 14:20:00,1691398200,35.95,35.95,35.95,35.95,0.0,0,0,2103750,371450,39529
2023-08-07 14:19:00,1691398140,35.95,35.95,35.95,35.95,38.69,1700,0,2103750,371450,39529
2023-08-07 14:18:00,1691398080,36.1,36.1,35.65,35.65,38.69,850,0,2102050,371450,39529
2023-08-07 14:17:00,1691398020,36.2,36.2,36.2,36.2,38.69,3400,0,2101200,371450,39529
2023-08-07 14:16:00,1691397960,36.45,36.45,36.25,36.25,0.0,0,0,2097800,371450,39529
2023-08-07 14:15:00,1691397900,36.05,36.05,36.05,36.05,0.0,0,13600,2097800,371450,39529
2023-08-07 14:14:00,1691397840,35.9,35.9,35.9,35.9,0.0,0,0,2097800,357850,39529
2023-08-07 14:13:00,1691397780,36.55,36.55,35.85,35.9,36.65,20400,0,2097800,357850,39529
2023-08-07 14:12:00,1691397720,35.25,35.35,35.2,35.35,34.64,5100,-1700,2077400,357850,39529
2023-08-07 14:11:00,1691397660,35.65,35.65,35.35,35.35,38.72,1700,0,2072300,359550,39529
2023-08-07 14:10:00,1691397600,35.8,35.95,35.2,35.2,32.64,3400,0,2070600,359550,39529
2023-08-07 14:09:00,1691397540,35.55,35.55,35.55,35.55,38.73,850,850,2067200,359550,39529
2023-08-07 14:08:00,1691397480,35.35,35.35,35.35,35.35,0.0,0,0,2066350,358700,39529
2023-08-07 14:07:00,1691397420,35.35,35.35,35.35,35.35,38.73,850,0,2066350,358700,39529
2023-08-07 14:06:00,1691397360,35.55,35.55,35.55,35.55,38.73,850,-850,2065500,358700,39529
2023-08-07 14:05:00,1691397300,35.05,35.05,35.05,35.05,0.0,0,0,2064650,359550,39529
2023-08-07 14:04:00,1691397240,35.05,35.05,35.05,35.05,0.0,0,0,2064650,359550,39529
2023-08-07 14:03:00,1691397180,35.05,35.05,35.05,35.05,38.73,1700,-850,2064650,359550,39529
2023-08-07 14:02:00,1691397120,34.4,34.4,34.4,34.4,0.0,0,0,2062950,360400,39529
