time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,64.0,64.0,64.0,64.0,0.0,0,0,129200,46400,135364
2023-08-04 15:27:00,1691143020,64.0,64.0,64.0,64.0,0.0,0,0,129200,46400,135364
2023-08-04 15:26:00,1691142960,64.0,64.0,64.0,64.0,0.0,0,0,129200,46400,135364
2023-08-04 15:25:00,1691142900,63.75,64.0,63.75,64.0,66.16,400,-2800,129200,46400,135364
2023-08-04 15:24:00,1691142840,63.1,63.1,63.1,63.1,0.0,0,0,128800,49200,135364
2023-08-04 15:23:00,1691142780,63.1,63.1,63.1,63.1,0.0,0,0,128800,49200,135364
2023-08-04 15:22:00,1691142720,63.1,63.1,63.1,63.1,62.84,800,0,128800,49200,135364
2023-08-04 15:21:00,1691142660,63.7,63.7,63.7,63.7,62.75,400,0,128000,49200,135364
2023-08-04 15:20:00,1691142600,63.0,63.0,63.0,63.0,0.0,0,0,127600,49200,135364
2023-08-04 15:19:00,1691142540,63.0,63.0,63.0,63.0,0.0,0,0,127600,49200,135364
2023-08-04 15:18:00,1691142480,63.0,63.0,63.0,63.0,0.0,0,0,127600,49200,135364
2023-08-04 15:17:00,1691142420,63.0,63.0,63.0,63.0,62.63,1200,0,127600,49200,135364
2023-08-04 15:16:00,1691142360,62.9,62.9,62.9,62.9,0.0,0,0,126400,49200,135364
2023-08-04 15:15:00,1691142300,63.0,63.0,62.9,62.9,63.21,2800,0,126400,49200,135364
2023-08-04 15:14:00,1691142240,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:13:00,1691142180,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:12:00,1691142120,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:11:00,1691142060,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:10:00,1691142000,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:09:00,1691141940,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:08:00,1691141880,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:07:00,1691141820,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:06:00,1691141760,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:05:00,1691141700,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:04:00,1691141640,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:03:00,1691141580,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:02:00,1691141520,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:01:00,1691141460,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 15:00:00,1691141400,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 14:59:00,1691141340,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 14:58:00,1691141280,62.0,62.0,62.0,62.0,0.0,0,0,123600,49200,135364
2023-08-04 14:57:00,1691141220,62.0,62.0,62.0,62.0,62.07,400,-1200,123600,49200,135364
2023-08-04 14:56:00,1691141160,63.0,63.0,63.0,63.0,0.0,0,0,123200,50400,135364
2023-08-04 14:55:00,1691141100,63.0,63.0,63.0,63.0,63.1,2000,0,123200,50400,135364
2023-08-04 14:54:00,1691141040,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:53:00,1691140980,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:52:00,1691140920,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:51:00,1691140860,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:50:00,1691140800,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:49:00,1691140740,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:48:00,1691140680,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:47:00,1691140620,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:46:00,1691140560,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:45:00,1691140500,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:44:00,1691140440,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:43:00,1691140380,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:42:00,1691140320,60.3,60.3,60.3,60.3,0.0,0,0,121200,50400,135364
2023-08-04 14:41:00,1691140260,60.3,60.3,60.3,60.3,58.67,400,-400,121200,50400,135364
2023-08-04 14:40:00,1691140200,59.9,59.9,59.9,59.9,0.0,0,0,120800,50800,135364
2023-08-04 14:39:00,1691140140,59.9,59.9,59.9,59.9,0.0,0,0,120800,50800,135364
2023-08-04 14:38:00,1691140080,59.9,59.9,59.9,59.9,0.0,0,0,120800,50800,135364
2023-08-04 14:37:00,1691140020,59.9,59.9,59.9,59.9,0.0,0,0,120800,50800,135364
2023-08-04 14:36:00,1691139960,59.9,59.9,59.9,59.9,61.64,400,0,120800,50800,135364
2023-08-04 14:35:00,1691139900,60.05,60.05,60.05,60.05,0.0,0,0,120400,50800,135364
2023-08-04 14:34:00,1691139840,60.05,60.05,60.05,60.05,58.58,400,-2400,120400,50800,135364
2023-08-04 14:33:00,1691139780,60.0,60.0,60.0,60.0,0.0,0,0,120000,53200,135364
2023-08-04 14:32:00,1691139720,60.0,60.0,60.0,60.0,0.0,0,0,120000,53200,135364
2023-08-04 14:31:00,1691139660,59.65,60.0,59.65,60.0,59.49,1200,0,120000,53200,135364
2023-08-04 14:30:00,1691139600,59.75,59.75,59.75,59.75,0.0,0,0,118800,53200,135364
2023-08-04 14:29:00,1691139540,59.75,59.75,59.75,59.75,0.0,0,0,118800,53200,135364
2023-08-04 14:28:00,1691139480,59.75,59.75,59.75,59.75,61.37,400,0,118800,53200,135364
2023-08-04 14:27:00,1691139420,60.0,60.0,60.0,60.0,0.0,0,0,118400,53200,135364
2023-08-04 14:26:00,1691139360,60.0,60.0,60.0,60.0,0.0,0,0,118400,53200,135364
2023-08-04 14:25:00,1691139300,60.0,60.0,60.0,60.0,59.76,1600,0,118400,53200,135364
2023-08-04 14:24:00,1691139240,59.0,59.0,59.0,59.0,0.0,0,0,116800,53200,135364
2023-08-04 14:23:00,1691139180,59.0,59.0,59.0,59.0,0.0,0,0,116800,53200,135364
2023-08-04 14:22:00,1691139120,59.0,59.0,59.0,59.0,0.0,0,0,116800,53200,135364
2023-08-04 14:21:00,1691139060,59.0,59.0,59.0,59.0,61.09,400,-2000,116800,53200,135364
2023-08-04 14:20:00,1691139000,59.0,59.0,59.0,59.0,58.62,2000,0,116400,55200,135364
2023-08-04 14:19:00,1691138940,60.45,60.45,60.45,60.45,0.0,0,0,114400,55200,135364
2023-08-04 14:18:00,1691138880,60.45,60.45,60.45,60.45,0.0,0,0,114400,55200,135364
2023-08-04 14:17:00,1691138820,60.45,60.45,60.45,60.45,60.77,400,-400,114400,55200,135364
2023-08-04 14:16:00,1691138760,60.8,60.8,60.8,60.8,0.0,0,0,114000,55600,135364
2023-08-04 14:15:00,1691138700,60.8,60.8,60.8,60.8,0.0,0,0,114000,55600,135364
2023-08-04 14:14:00,1691138640,61.0,61.0,60.8,60.8,60.65,1200,0,114000,55600,135364
2023-08-04 14:13:00,1691138580,59.55,59.55,59.55,59.55,60.53,400,-400,112800,55600,135364
2023-08-04 14:12:00,1691138520,62.55,62.55,62.55,62.55,0.0,0,0,112400,56000,135364
2023-08-04 14:11:00,1691138460,62.55,62.55,62.55,62.55,0.0,0,0,112400,56000,135364
2023-08-04 14:10:00,1691138400,62.55,62.55,62.55,62.55,0.0,0,0,112400,56000,135364
2023-08-04 14:09:00,1691138340,61.85,62.55,61.85,62.55,61.83,800,-400,112400,56000,135364
2023-08-04 14:08:00,1691138280,60.45,60.45,60.45,60.45,60.28,1200,-400,111600,56400,135364
2023-08-04 14:07:00,1691138220,59.1,59.1,59.1,59.1,0.0,0,0,110400,56800,135364
2023-08-04 14:06:00,1691138160,59.1,59.1,59.1,59.1,0.0,0,0,110400,56800,135364
2023-08-04 14:05:00,1691138100,59.1,59.1,59.1,59.1,0.0,0,0,110400,56800,135364
2023-08-04 14:04:00,1691138040,59.1,59.1,59.1,59.1,0.0,0,0,110400,56800,135364
2023-08-04 14:03:00,1691137980,59.1,59.1,59.1,59.1,59.39,1600,-2000,110400,56800,135364
2023-08-04 14:02:00,1691137920,59.5,59.5,59.5,59.5,0.0,0,0,108800,58800,135364
2023-08-04 14:01:00,1691137860,59.5,59.5,59.5,59.5,59.9,800,-400,108800,58800,135364
2023-08-04 14:00:00,1691137800,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
2023-08-04 13:59:00,1691137740,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
2023-08-04 13:58:00,1691137680,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
2023-08-04 13:57:00,1691137620,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
2023-08-04 13:56:00,1691137560,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
2023-08-04 13:55:00,1691137500,59.1,59.1,59.1,59.1,0.0,0,0,108000,59200,135364
