time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,36.05,36.05,36.05,36.05,34.48,1600,0,600000,82400,135604
2023-07-28 15:27:00,1690538220,37.0,37.0,36.75,36.75,38.25,1600,0,598400,82400,135604
2023-07-28 15:26:00,1690538160,37.4,37.4,37.4,37.4,0.0,0,0,596800,82400,135604
2023-07-28 15:25:00,1690538100,37.25,37.4,37.25,37.4,34.55,1600,-800,596800,82400,135604
2023-07-28 15:24:00,1690538040,37.3,37.3,37.3,37.3,0.0,0,0,595200,83200,135604
2023-07-28 15:23:00,1690537980,37.3,37.3,37.3,37.3,0.0,0,0,595200,83200,135604
2023-07-28 15:22:00,1690537920,37.3,37.3,37.3,37.3,42.01,800,0,595200,83200,135604
2023-07-28 15:21:00,1690537860,37.25,37.25,37.25,37.25,36.46,3200,0,594400,83200,135604
2023-07-28 15:20:00,1690537800,36.5,36.5,36.5,36.5,0.0,0,0,591200,83200,135604
2023-07-28 15:19:00,1690537740,36.5,36.5,36.5,36.5,0.0,0,0,591200,83200,135604
2023-07-28 15:18:00,1690537680,36.5,36.5,36.5,36.5,0.0,0,0,591200,83200,135604
2023-07-28 15:17:00,1690537620,36.5,36.5,36.5,36.5,34.66,800,0,591200,83200,135604
2023-07-28 15:16:00,1690537560,35.5,35.5,35.5,35.5,34.68,800,1600,590400,83200,135604
2023-07-28 15:15:00,1690537500,35.2,35.2,35.2,35.2,0.0,0,0,589600,81600,135604
2023-07-28 15:14:00,1690537440,35.2,35.2,35.2,35.2,38.38,1600,0,589600,81600,135604
2023-07-28 15:13:00,1690537380,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:12:00,1690537320,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:11:00,1690537260,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:10:00,1690537200,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:09:00,1690537140,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:08:00,1690537080,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:07:00,1690537020,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:06:00,1690536960,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:05:00,1690536900,34.9,34.9,34.9,34.9,0.0,0,0,588000,81600,135604
2023-07-28 15:04:00,1690536840,34.9,34.9,34.9,34.9,34.73,800,0,588000,81600,135604
2023-07-28 15:03:00,1690536780,34.7,34.7,34.7,34.7,0.0,0,0,587200,81600,135604
2023-07-28 15:02:00,1690536720,34.7,34.7,34.7,34.7,34.75,800,0,587200,81600,135604
2023-07-28 15:01:00,1690536660,35.0,35.0,35.0,35.0,0.0,0,0,586400,81600,135604
2023-07-28 15:00:00,1690536600,36.25,36.25,35.0,35.0,34.78,1600,0,586400,81600,135604
2023-07-28 14:59:00,1690536540,35.95,35.95,35.95,35.95,0.0,0,0,584800,81600,135604
2023-07-28 14:58:00,1690536480,35.95,35.95,35.95,35.95,0.0,0,0,584800,81600,135604
2023-07-28 14:57:00,1690536420,35.95,35.95,35.95,35.95,0.0,0,0,584800,81600,135604
2023-07-28 14:56:00,1690536360,35.95,35.95,35.95,35.95,34.82,1600,0,584800,81600,135604
2023-07-28 14:55:00,1690536300,35.6,35.6,35.6,35.6,0.0,0,0,583200,81600,135604
2023-07-28 14:54:00,1690536240,35.6,35.6,35.6,35.6,0.0,0,0,583200,81600,135604
2023-07-28 14:53:00,1690536180,35.6,35.6,35.6,35.6,0.0,0,0,583200,81600,135604
2023-07-28 14:52:00,1690536120,35.6,35.6,35.6,35.6,34.85,800,0,583200,81600,135604
2023-07-28 14:51:00,1690536060,35.35,35.35,35.35,35.35,34.87,800,800,582400,81600,135604
2023-07-28 14:50:00,1690536000,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:49:00,1690535940,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:48:00,1690535880,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:47:00,1690535820,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:46:00,1690535760,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:45:00,1690535700,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:44:00,1690535640,36.05,36.05,36.05,36.05,0.0,0,0,581600,80800,135604
2023-07-28 14:43:00,1690535580,36.05,36.05,36.05,36.05,34.89,800,-800,581600,80800,135604
2023-07-28 14:42:00,1690535520,36.0,36.0,36.0,36.0,0.0,0,0,580800,81600,135604
2023-07-28 14:41:00,1690535460,36.0,36.0,36.0,36.0,0.0,0,0,580800,81600,135604
2023-07-28 14:40:00,1690535400,36.0,36.0,36.0,36.0,0.0,0,0,580800,81600,135604
2023-07-28 14:39:00,1690535340,36.0,36.0,36.0,36.0,0.0,0,0,580800,81600,135604
2023-07-28 14:38:00,1690535280,36.0,36.0,36.0,36.0,42.16,800,-800,580800,81600,135604
2023-07-28 14:37:00,1690535220,36.95,36.95,36.95,36.95,0.0,0,0,580000,82400,135604
2023-07-28 14:36:00,1690535160,36.95,36.95,36.95,36.95,0.0,0,0,580000,82400,135604
2023-07-28 14:35:00,1690535100,37.0,37.0,36.95,36.95,34.93,1600,0,580000,82400,135604
2023-07-28 14:34:00,1690535040,38.0,38.0,38.0,38.0,0.0,0,0,578400,82400,135604
2023-07-28 14:33:00,1690534980,38.0,38.0,38.0,38.0,0.0,0,0,578400,82400,135604
2023-07-28 14:32:00,1690534920,38.0,38.0,38.0,38.0,0.0,0,0,578400,82400,135604
2023-07-28 14:31:00,1690534860,38.0,38.0,38.0,38.0,0.0,0,0,578400,82400,135604
