time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,3.45,3.45,3.45,3.45,0.0,0,0,3112500,930000,136627
2023-08-01 15:27:00,1690883820,3.45,3.45,3.45,3.45,0.0,0,0,3112500,930000,136627
2023-08-01 15:26:00,1690883760,3.45,3.45,3.45,3.45,0.0,0,0,3112500,930000,136627
2023-08-01 15:25:00,1690883700,3.45,3.45,3.45,3.45,0.0,0,0,3112500,930000,136627
2023-08-01 15:24:00,1690883640,3.45,3.45,3.45,3.45,0.0,0,0,3112500,930000,136627
2023-08-01 15:23:00,1690883580,3.45,3.45,3.45,3.45,3.12,45000,7500,3112500,930000,136627
2023-08-01 15:22:00,1690883520,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:21:00,1690883460,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:20:00,1690883400,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:19:00,1690883340,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:18:00,1690883280,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:17:00,1690883220,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:16:00,1690883160,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:15:00,1690883100,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:14:00,1690883040,3.55,3.55,3.55,3.55,0.0,0,0,3067500,922500,136627
2023-08-01 15:13:00,1690882980,3.55,3.55,3.55,3.55,3.82,7500,7500,3067500,922500,136627
2023-08-01 15:12:00,1690882920,3.55,3.55,3.55,3.55,0.0,0,0,3060000,915000,136627
2023-08-01 15:11:00,1690882860,3.55,3.55,3.55,3.55,0.0,0,0,3060000,915000,136627
2023-08-01 15:10:00,1690882800,3.55,3.55,3.55,3.55,0.0,0,0,3060000,915000,136627
