time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,49.8,50.0,49.8,50.0,52.43,700,0,583100,117600,137806
2023-08-02 15:27:00,1690970220,50.3,50.3,50.0,50.0,52.43,1400,700,582400,117600,137806
2023-08-02 15:26:00,1690970160,49.85,49.85,49.1,49.1,46.91,2100,1400,581000,116900,137806
2023-08-02 15:25:00,1690970100,50.0,50.0,50.0,50.0,0.0,0,0,578900,115500,137806
2023-08-02 15:24:00,1690970040,50.0,50.0,50.0,50.0,0.0,0,0,578900,115500,137806
2023-08-02 15:23:00,1690969980,50.0,50.0,50.0,50.0,52.45,2100,0,578900,115500,137806
2023-08-02 15:22:00,1690969920,50.55,50.55,50.55,50.55,0.0,0,0,576800,115500,137806
2023-08-02 15:21:00,1690969860,50.55,50.55,50.55,50.55,44.22,700,-1400,576800,115500,137806
2023-08-02 15:20:00,1690969800,50.6,50.6,50.6,50.6,52.46,1400,0,576100,116900,137806
2023-08-02 15:19:00,1690969740,50.8,50.8,50.8,50.8,50.82,3500,-2100,574700,116900,137806
2023-08-02 15:18:00,1690969680,49.6,49.6,49.6,49.6,0.0,0,0,571200,119000,137806
2023-08-02 15:17:00,1690969620,49.6,49.6,49.6,49.6,52.47,700,0,571200,119000,137806
2023-08-02 15:16:00,1690969560,50.3,50.3,49.5,49.5,49.76,2100,0,570500,119000,137806
2023-08-02 15:15:00,1690969500,49.65,49.65,48.9,49.5,48.44,2800,2100,568400,119000,137806
2023-08-02 15:14:00,1690969440,48.0,49.5,48.0,49.5,49.81,2100,0,565600,116900,137806
2023-08-02 15:13:00,1690969380,48.5,48.85,47.85,47.85,47.95,4900,700,563500,116900,137806
2023-08-02 15:12:00,1690969320,49.5,49.5,49.5,49.5,0.0,0,0,558600,116200,137806
2023-08-02 15:11:00,1690969260,49.5,49.5,49.5,49.5,52.55,700,700,558600,116200,137806
2023-08-02 15:10:00,1690969200,48.05,48.05,48.05,48.05,0.0,0,0,557900,115500,137806
2023-08-02 15:09:00,1690969140,48.05,48.05,48.05,48.05,44.61,2100,0,557900,115500,137806
2023-08-02 15:08:00,1690969080,49.5,49.5,49.5,49.5,0.0,0,0,555800,115500,137806
2023-08-02 15:07:00,1690969020,49.5,49.5,49.5,49.5,0.0,0,0,555800,115500,137806
2023-08-02 15:06:00,1690968960,49.85,49.85,49.5,49.5,52.58,2100,-700,555800,115500,137806
2023-08-02 15:05:00,1690968900,49.0,49.0,49.0,49.0,0.0,0,0,553700,116200,137806
2023-08-02 15:04:00,1690968840,49.0,49.0,49.0,49.0,52.58,700,-2800,553700,116200,137806
2023-08-02 15:03:00,1690968780,47.85,47.85,47.85,47.85,0.0,0,0,553000,119000,137806
2023-08-02 15:02:00,1690968720,47.85,47.85,47.85,47.85,44.69,700,0,553000,119000,137806
2023-08-02 15:01:00,1690968660,49.45,49.45,47.7,47.7,49.45,3500,0,552300,119000,137806
2023-08-02 15:00:00,1690968600,47.8,47.8,47.8,47.8,44.78,700,0,548800,119000,137806
2023-08-02 14:59:00,1690968540,48.7,48.7,47.0,47.0,47.44,4200,0,548100,119000,137806
2023-08-02 14:58:00,1690968480,48.0,48.0,48.0,48.0,0.0,0,0,543900,119000,137806
2023-08-02 14:57:00,1690968420,48.0,48.0,48.0,48.0,0.0,0,0,543900,119000,137806
2023-08-02 14:56:00,1690968360,48.0,48.0,48.0,48.0,0.0,0,0,543900,119000,137806
2023-08-02 14:55:00,1690968300,47.2,48.0,47.2,48.0,48.78,1400,700,543900,119000,137806
2023-08-02 14:54:00,1690968240,46.75,46.75,46.75,46.75,0.0,0,0,542500,118300,137806
2023-08-02 14:53:00,1690968180,46.35,46.75,46.35,46.75,48.8,1400,0,542500,118300,137806
2023-08-02 14:52:00,1690968120,47.5,47.5,47.0,47.0,47.13,7700,0,541100,118300,137806
2023-08-02 14:51:00,1690968060,47.0,47.0,47.0,47.0,45.15,700,2100,533400,118300,137806
2023-08-02 14:50:00,1690968000,46.2,46.2,46.2,46.2,0.0,0,0,532700,116200,137806
2023-08-02 14:49:00,1690967940,46.2,46.2,46.2,46.2,0.0,0,0,532700,116200,137806
2023-08-02 14:48:00,1690967880,46.05,46.7,46.05,46.2,46.36,9800,0,532700,116200,137806
2023-08-02 14:47:00,1690967820,45.0,46.5,45.0,46.5,45.49,4900,0,522900,116200,137806
2023-08-02 14:46:00,1690967760,44.5,44.95,44.5,44.95,45.57,700,-700,518000,116200,137806
2023-08-02 14:45:00,1690967700,43.8,43.8,43.8,43.8,0.0,0,0,517300,116900,137806
2023-08-02 14:44:00,1690967640,43.8,43.8,43.8,43.8,38.21,700,700,517300,116900,137806
2023-08-02 14:43:00,1690967580,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:42:00,1690967520,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:41:00,1690967460,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:40:00,1690967400,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:39:00,1690967340,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:38:00,1690967280,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:37:00,1690967220,42.0,42.0,42.0,42.0,0.0,0,0,516600,116200,137806
2023-08-02 14:36:00,1690967160,41.95,42.0,41.95,42.0,41.98,2800,700,516600,116200,137806
2023-08-02 14:35:00,1690967100,42.0,42.0,42.0,42.0,0.0,0,0,513800,115500,137806
2023-08-02 14:34:00,1690967040,42.0,42.0,42.0,42.0,45.72,700,0,513800,115500,137806
2023-08-02 14:33:00,1690966980,42.0,42.0,42.0,42.0,0.0,0,0,513100,115500,137806
2023-08-02 14:32:00,1690966920,42.0,42.0,42.0,42.0,0.0,0,0,513100,115500,137806
2023-08-02 14:31:00,1690966860,42.0,42.0,42.0,42.0,0.0,0,0,513100,115500,137806
2023-08-02 14:30:00,1690966800,42.0,42.0,42.0,42.0,38.42,700,0,513100,115500,137806
2023-08-02 14:29:00,1690966740,41.0,41.0,41.0,41.0,45.77,700,1400,512400,115500,137806
2023-08-02 14:28:00,1690966680,39.35,39.35,39.35,39.35,0.0,0,0,511700,114100,137806
2023-08-02 14:27:00,1690966620,39.35,39.35,39.35,39.35,38.49,700,0,511700,114100,137806
2023-08-02 14:26:00,1690966560,39.5,39.5,39.5,39.5,38.53,700,0,511000,114100,137806
2023-08-02 14:25:00,1690966500,38.25,38.25,38.25,38.25,38.57,700,0,510300,114100,137806
2023-08-02 14:24:00,1690966440,38.0,38.0,38.0,38.0,38.63,1400,0,509600,114100,137806
2023-08-02 14:23:00,1690966380,39.3,39.3,39.3,39.3,0.0,0,0,508200,114100,137806
2023-08-02 14:22:00,1690966320,39.35,39.35,39.3,39.3,38.71,1400,0,508200,114100,137806
2023-08-02 14:21:00,1690966260,39.3,39.3,39.3,39.3,0.0,0,0,506800,114100,137806
2023-08-02 14:20:00,1690966200,39.3,39.3,39.3,39.3,38.79,1400,-1400,506800,114100,137806
2023-08-02 14:19:00,1690966140,39.1,39.1,39.1,39.1,0.0,0,0,505400,115500,137806
2023-08-02 14:18:00,1690966080,39.1,39.1,39.1,39.1,0.0,0,0,505400,115500,137806
2023-08-02 14:17:00,1690966020,39.1,39.1,39.1,39.1,0.0,0,0,505400,115500,137806
2023-08-02 14:16:00,1690965960,39.1,39.1,39.1,39.1,38.85,700,0,505400,115500,137806
2023-08-02 14:15:00,1690965900,39.65,39.8,39.65,39.8,41.32,2100,0,504700,115500,137806
2023-08-02 14:14:00,1690965840,39.9,39.9,39.9,39.9,0.0,0,0,502600,115500,137806
2023-08-02 14:13:00,1690965780,39.9,39.9,39.9,39.9,39.0,700,0,502600,115500,137806
2023-08-02 14:12:00,1690965720,40.4,40.4,40.0,40.4,39.1,2800,0,501900,115500,137806
2023-08-02 14:11:00,1690965660,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:10:00,1690965600,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:09:00,1690965540,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:08:00,1690965480,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:07:00,1690965420,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:06:00,1690965360,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:05:00,1690965300,41.75,41.75,41.75,41.75,0.0,0,0,499100,115500,137806
2023-08-02 14:04:00,1690965240,41.75,41.75,41.75,41.75,46.32,700,1400,499100,115500,137806
2023-08-02 14:03:00,1690965180,43.8,43.8,43.8,43.8,0.0,0,0,498400,114100,137806
2023-08-02 14:02:00,1690965120,43.8,43.8,43.8,43.8,0.0,0,0,498400,114100,137806
2023-08-02 14:01:00,1690965060,43.8,43.8,43.8,43.8,0.0,0,0,498400,114100,137806
2023-08-02 14:00:00,1690965000,43.8,43.8,43.8,43.8,0.0,0,0,498400,114100,137806
2023-08-02 13:59:00,1690964940,43.8,43.8,43.8,43.8,42.8,1400,0,498400,114100,137806
2023-08-02 13:58:00,1690964880,43.0,43.0,43.0,43.0,0.0,0,0,497000,114100,137806
2023-08-02 13:57:00,1690964820,43.1,43.1,43.0,43.0,42.86,1400,2100,497000,114100,137806
2023-08-02 13:56:00,1690964760,44.25,44.25,44.25,44.25,43.66,3500,0,495600,112000,137806
2023-08-02 13:55:00,1690964700,43.05,43.05,43.05,43.05,0.0,0,0,492100,112000,137806
2023-08-02 13:54:00,1690964640,43.05,43.05,43.05,43.05,0.0,0,0,492100,112000,137806
2023-08-02 13:53:00,1690964580,43.05,43.05,43.05,43.05,0.0,0,0,492100,112000,137806
2023-08-02 13:52:00,1690964520,43.05,43.05,43.05,43.05,43.09,2800,-700,492100,112000,137806
2023-08-02 13:51:00,1690964460,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:50:00,1690964400,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:49:00,1690964340,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:48:00,1690964280,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:47:00,1690964220,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:46:00,1690964160,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:45:00,1690964100,41.8,41.8,41.8,41.8,0.0,0,0,489300,112700,137806
2023-08-02 13:44:00,1690964040,41.8,41.8,41.8,41.8,39.68,700,0,489300,112700,137806
2023-08-02 13:43:00,1690963980,41.8,41.8,41.8,41.8,46.69,700,700,488600,112700,137806
2023-08-02 13:42:00,1690963920,41.85,41.85,41.85,41.85,0.0,0,0,487900,112000,137806
2023-08-02 13:41:00,1690963860,41.85,41.85,41.85,41.85,39.75,700,0,487900,112000,137806
2023-08-02 13:40:00,1690963800,40.0,40.0,40.0,40.0,39.83,2100,0,487200,112000,137806
2023-08-02 13:39:00,1690963740,40.9,41.0,40.9,41.0,39.95,2100,2100,485100,112000,137806
2023-08-02 13:38:00,1690963680,41.5,41.5,41.0,41.0,41.8,2800,0,483000,109900,137806
2023-08-02 13:37:00,1690963620,42.0,42.0,42.0,42.0,43.62,1400,0,480200,109900,137806
2023-08-02 13:36:00,1690963560,41.0,41.0,41.0,41.0,0.0,0,-700,478800,109900,137806
2023-08-02 13:35:00,1690963500,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:34:00,1690963440,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:33:00,1690963380,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:32:00,1690963320,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:31:00,1690963260,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:30:00,1690963200,40.15,40.15,40.15,40.15,0.0,0,0,478800,110600,137806
2023-08-02 13:29:00,1690963140,40.15,40.15,40.15,40.15,40.25,700,0,478800,110600,137806
2023-08-02 13:28:00,1690963080,39.25,39.25,39.25,39.25,38.65,2800,0,478100,110600,137806
2023-08-02 13:27:00,1690963020,40.5,40.5,40.15,40.15,40.5,2100,-2100,475300,110600,137806
2023-08-02 13:26:00,1690962960,41.0,41.45,41.0,41.0,40.76,7000,0,473200,112700,137806
2023-08-02 13:25:00,1690962900,42.05,42.05,42.05,42.05,47.63,700,0,466200,112700,137806
2023-08-02 13:24:00,1690962840,42.05,42.05,42.05,42.05,41.01,700,-1400,465500,112700,137806
2023-08-02 13:23:00,1690962780,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:22:00,1690962720,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:21:00,1690962660,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:20:00,1690962600,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:19:00,1690962540,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:18:00,1690962480,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:17:00,1690962420,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:16:00,1690962360,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:15:00,1690962300,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:14:00,1690962240,44.7,44.7,44.7,44.7,0.0,0,0,464800,114100,137806
2023-08-02 13:13:00,1690962180,44.7,44.7,44.7,44.7,44.38,1400,0,464800,114100,137806
2023-08-02 13:12:00,1690962120,45.0,45.0,45.0,45.0,41.12,700,700,463400,114100,137806
2023-08-02 13:11:00,1690962060,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:10:00,1690962000,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:09:00,1690961940,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:08:00,1690961880,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:07:00,1690961820,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:06:00,1690961760,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:05:00,1690961700,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:04:00,1690961640,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:03:00,1690961580,45.0,45.0,45.0,45.0,0.0,0,0,462700,113400,137806
2023-08-02 13:02:00,1690961520,45.0,45.0,45.0,45.0,47.77,1400,0,462700,113400,137806
2023-08-02 13:01:00,1690961460,45.0,45.0,45.0,45.0,0.0,0,0,461300,113400,137806
2023-08-02 13:00:00,1690961400,45.0,45.0,45.0,45.0,0.0,0,0,461300,113400,137806
2023-08-02 12:59:00,1690961340,45.0,45.0,45.0,45.0,0.0,0,0,461300,113400,137806
2023-08-02 12:58:00,1690961280,45.0,45.0,45.0,45.0,44.52,1400,700,461300,113400,137806
2023-08-02 12:57:00,1690961220,45.1,45.1,45.1,45.1,0.0,0,0,459900,112700,137806
2023-08-02 12:56:00,1690961160,45.1,45.1,45.1,45.1,0.0,0,0,459900,112700,137806
2023-08-02 12:55:00,1690961100,45.1,45.1,45.1,45.1,0.0,0,0,459900,112700,137806
2023-08-02 12:54:00,1690961040,45.1,45.1,45.1,45.1,41.29,700,700,459900,112700,137806
2023-08-02 12:53:00,1690960980,45.1,45.1,45.1,45.1,0.0,0,0,459200,112000,137806
2023-08-02 12:52:00,1690960920,45.1,45.1,45.1,45.1,0.0,0,0,459200,112000,137806
2023-08-02 12:51:00,1690960860,45.1,45.1,45.1,45.1,0.0,0,0,459200,112000,137806
