time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,24.05,24.05,24.05,24.05,0.0,0,0,95200,29400,137803
2023-08-03 15:27:00,1691056620,24.05,24.05,24.05,24.05,0.0,0,0,95200,29400,137803
2023-08-03 15:26:00,1691056560,24.05,24.05,24.05,24.05,0.0,0,-700,95200,29400,137803
2023-08-03 15:25:00,1691056500,25.15,25.15,25.15,25.15,0.0,0,0,95200,30100,137803
2023-08-03 15:24:00,1691056440,25.15,25.15,25.15,25.15,0.0,0,0,95200,30100,137803
2023-08-03 15:23:00,1691056380,25.15,25.15,25.15,25.15,0.0,0,0,95200,30100,137803
2023-08-03 15:22:00,1691056320,25.15,25.15,25.15,25.15,26.01,700,-1400,95200,30100,137803
2023-08-03 15:21:00,1691056260,25.0,25.0,25.0,25.0,0.0,0,0,94500,31500,137803
2023-08-03 15:20:00,1691056200,25.0,25.0,25.0,25.0,24.41,2100,0,94500,31500,137803
2023-08-03 15:19:00,1691056140,23.2,23.2,23.2,23.2,0.0,0,0,92400,31500,137803
2023-08-03 15:18:00,1691056080,23.2,23.2,23.2,23.2,0.0,0,0,92400,31500,137803
2023-08-03 15:17:00,1691056020,27.0,27.0,27.0,27.0,0.0,0,0,92400,31500,137803
2023-08-03 15:16:00,1691055960,27.0,27.0,27.0,27.0,26.37,700,-700,92400,31500,137803
2023-08-03 15:15:00,1691055900,27.5,27.5,27.5,27.5,0.0,0,0,91700,32200,137803
2023-08-03 15:14:00,1691055840,27.5,27.5,27.5,27.5,0.0,0,0,91700,32200,137803
2023-08-03 15:13:00,1691055780,27.5,27.5,27.5,27.5,0.0,0,0,91700,32200,137803
2023-08-03 15:12:00,1691055720,27.5,27.5,27.5,27.5,0.0,0,0,91700,32200,137803
2023-08-03 15:11:00,1691055660,27.5,27.5,27.5,27.5,27.75,700,-700,91700,32200,137803
2023-08-03 15:10:00,1691055600,27.5,27.5,27.5,27.5,0.0,0,0,91000,32900,137803
2023-08-03 15:09:00,1691055540,27.5,27.5,27.5,27.5,0.0,0,0,91000,32900,137803
2023-08-03 15:08:00,1691055480,27.5,27.5,27.5,27.5,0.0,0,0,91000,32900,137803
2023-08-03 15:07:00,1691055420,27.5,27.5,27.5,27.5,27.81,700,-700,91000,32900,137803
2023-08-03 15:06:00,1691055360,27.0,27.0,27.0,27.0,26.59,700,700,90300,33600,137803
2023-08-03 15:05:00,1691055300,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 15:04:00,1691055240,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 15:03:00,1691055180,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 15:02:00,1691055120,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 15:01:00,1691055060,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 15:00:00,1691055000,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:59:00,1691054940,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:58:00,1691054880,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:57:00,1691054820,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:56:00,1691054760,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:55:00,1691054700,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:54:00,1691054640,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:53:00,1691054580,29.0,29.0,29.0,29.0,0.0,0,0,89600,32900,137803
2023-08-03 14:52:00,1691054520,29.5,29.5,29.0,29.0,29.23,1400,0,89600,32900,137803
2023-08-03 14:51:00,1691054460,28.8,28.8,28.8,28.8,0.0,0,0,88200,32900,137803
2023-08-03 14:50:00,1691054400,28.8,28.8,28.8,28.8,0.0,0,0,88200,32900,137803
2023-08-03 14:49:00,1691054340,28.8,28.8,28.8,28.8,0.0,0,0,88200,32900,137803
2023-08-03 14:48:00,1691054280,28.8,28.8,28.8,28.8,0.0,0,0,88200,32900,137803
2023-08-03 14:47:00,1691054220,28.8,28.8,28.8,28.8,29.29,700,0,88200,32900,137803
2023-08-03 14:46:00,1691054160,29.7,29.7,29.7,29.7,0.0,0,0,87500,32900,137803
2023-08-03 14:45:00,1691054100,29.7,29.7,29.7,29.7,0.0,0,0,87500,32900,137803
2023-08-03 14:44:00,1691054040,29.7,29.7,29.7,29.7,0.0,0,0,87500,32900,137803
2023-08-03 14:43:00,1691053980,29.7,29.7,29.7,29.7,0.0,0,0,87500,32900,137803
2023-08-03 14:42:00,1691053920,29.7,29.7,29.7,29.7,29.96,1400,1400,87500,32900,137803
2023-08-03 14:41:00,1691053860,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:40:00,1691053800,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:39:00,1691053740,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:38:00,1691053680,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:37:00,1691053620,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:36:00,1691053560,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:35:00,1691053500,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:34:00,1691053440,31.05,31.05,31.05,31.05,0.0,0,0,86100,31500,137803
2023-08-03 14:33:00,1691053380,30.05,30.05,30.05,30.05,31.23,1400,0,86100,31500,137803
2023-08-03 14:32:00,1691053320,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:31:00,1691053260,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:30:00,1691053200,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:29:00,1691053140,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:28:00,1691053080,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:27:00,1691053020,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:26:00,1691052960,31.85,31.85,31.85,31.85,0.0,0,0,84700,31500,137803
2023-08-03 14:25:00,1691052900,31.85,31.85,31.85,31.85,0.0,0,-700,84700,31500,137803
2023-08-03 14:24:00,1691052840,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:23:00,1691052780,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:22:00,1691052720,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:21:00,1691052660,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:20:00,1691052600,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:19:00,1691052540,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:18:00,1691052480,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:17:00,1691052420,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:16:00,1691052360,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:15:00,1691052300,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:14:00,1691052240,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:13:00,1691052180,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:12:00,1691052120,33.9,33.9,33.9,33.9,0.0,0,0,84700,32200,137803
2023-08-03 14:11:00,1691052060,33.5,33.9,33.5,33.9,33.63,1400,700,84700,32200,137803
2023-08-03 14:10:00,1691052000,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:09:00,1691051940,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:08:00,1691051880,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:07:00,1691051820,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:06:00,1691051760,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:05:00,1691051700,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:04:00,1691051640,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:03:00,1691051580,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:02:00,1691051520,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:01:00,1691051460,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 14:00:00,1691051400,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:59:00,1691051340,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:58:00,1691051280,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:57:00,1691051220,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:56:00,1691051160,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:55:00,1691051100,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:54:00,1691051040,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:53:00,1691050980,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:52:00,1691050920,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:51:00,1691050860,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:50:00,1691050800,32.75,32.75,32.75,32.75,0.0,0,0,83300,31500,137803
2023-08-03 13:49:00,1691050740,32.75,32.75,32.75,32.75,34.14,2100,0,83300,31500,137803
2023-08-03 13:48:00,1691050680,34.85,35.0,34.85,35.0,34.02,2100,-700,81200,31500,137803
2023-08-03 13:47:00,1691050620,32.4,32.4,32.4,32.4,0.0,0,-700,79100,32200,137803
2023-08-03 13:46:00,1691050560,31.4,31.4,31.4,31.4,0.0,0,0,79100,32900,137803
2023-08-03 13:45:00,1691050500,31.4,31.4,31.4,31.4,0.0,0,0,79100,32900,137803
2023-08-03 13:44:00,1691050440,31.4,31.4,31.4,31.4,0.0,0,0,79100,32900,137803
2023-08-03 13:43:00,1691050380,31.4,31.4,31.4,31.4,0.0,0,0,79100,32900,137803
2023-08-03 13:42:00,1691050320,31.4,31.4,31.4,31.4,31.7,700,0,79100,32900,137803
2023-08-03 13:41:00,1691050260,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:40:00,1691050200,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:39:00,1691050140,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:38:00,1691050080,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:37:00,1691050020,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:36:00,1691049960,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:35:00,1691049900,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:34:00,1691049840,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:33:00,1691049780,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
2023-08-03 13:32:00,1691049720,31.7,31.7,31.7,31.7,0.0,0,0,78400,32900,137803
