time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,42.85,43.2,42.85,43.2,41.9,1500,0,564750,136500,73929
2023-07-31 15:27:00,1690797420,43.2,43.2,43.0,43.1,41.93,3000,9000,563250,136500,73929
2023-07-31 15:26:00,1690797360,43.0,43.35,43.0,43.35,45.69,1500,0,560250,127500,73929
2023-07-31 15:25:00,1690797300,43.45,43.65,43.3,43.3,42.73,3750,0,558750,127500,73929
2023-07-31 15:24:00,1690797240,43.2,43.65,42.8,43.65,43.25,2250,0,555000,127500,73929
2023-07-31 15:23:00,1690797180,42.4,42.4,42.4,42.4,42.04,1500,0,552750,127500,73929
2023-07-31 15:22:00,1690797120,43.3,43.3,43.3,43.3,0.0,0,0,551250,127500,73929
2023-07-31 15:21:00,1690797060,43.3,43.3,43.3,43.3,0.0,0,0,551250,127500,73929
2023-07-31 15:20:00,1690797000,43.65,43.65,43.3,43.3,45.73,1500,0,551250,127500,73929
2023-07-31 15:19:00,1690796940,43.9,43.9,43.9,43.9,42.07,1500,0,549750,127500,73929
2023-07-31 15:18:00,1690796880,43.4,43.4,43.4,43.4,45.74,750,0,548250,127500,73929
2023-07-31 15:17:00,1690796820,44.85,44.85,44.85,44.85,0.0,0,0,547500,127500,73929
2023-07-31 15:16:00,1690796760,44.85,44.85,44.85,44.85,45.74,750,0,547500,127500,73929
2023-07-31 15:15:00,1690796700,45.0,45.0,44.55,44.55,43.32,2250,-750,546750,127500,73929
2023-07-31 15:14:00,1690796640,44.85,45.2,44.85,44.9,45.75,2250,0,544500,128250,73929
2023-07-31 15:13:00,1690796580,45.65,45.65,45.65,45.65,45.75,750,0,542250,128250,73929
2023-07-31 15:12:00,1690796520,46.1,46.25,46.0,46.0,45.75,4500,-750,541500,128250,73929
2023-07-31 15:11:00,1690796460,45.15,45.6,45.15,45.6,45.75,750,0,537000,129000,73929
2023-07-31 15:10:00,1690796400,45.8,45.8,45.8,45.8,45.75,750,0,536250,129000,73929
2023-07-31 15:09:00,1690796340,46.2,46.2,45.55,45.55,45.75,2250,4500,535500,129000,73929
2023-07-31 15:08:00,1690796280,45.95,46.15,45.95,46.1,45.75,5250,0,533250,124500,73929
2023-07-31 15:07:00,1690796220,46.55,46.55,45.9,45.9,49.26,1500,0,528000,124500,73929
2023-07-31 15:06:00,1690796160,44.55,44.55,44.55,44.55,0.0,0,0,526500,124500,73929
2023-07-31 15:05:00,1690796100,44.55,44.55,44.55,44.55,38.73,750,0,526500,124500,73929
2023-07-31 15:04:00,1690796040,44.65,44.65,44.65,44.65,45.75,750,0,525750,124500,73929
2023-07-31 15:03:00,1690795980,44.3,44.3,44.3,44.3,45.75,750,0,525000,124500,73929
2023-07-31 15:02:00,1690795920,43.75,43.75,43.75,43.75,45.75,750,-750,524250,124500,73929
2023-07-31 15:01:00,1690795860,45.65,45.65,45.65,45.65,0.0,0,0,523500,125250,73929
2023-07-31 15:00:00,1690795800,45.65,45.65,45.65,45.65,0.0,0,0,523500,125250,73929
2023-07-31 14:59:00,1690795740,45.7,45.7,45.4,45.65,45.75,2250,0,523500,125250,73929
2023-07-31 14:58:00,1690795680,45.3,45.5,45.3,45.5,44.03,6000,0,521250,125250,73929
2023-07-31 14:57:00,1690795620,44.5,44.65,44.5,44.65,45.77,2250,750,515250,125250,73929
2023-07-31 14:56:00,1690795560,44.5,44.55,44.5,44.55,45.77,1500,0,513000,124500,73929
2023-07-31 14:55:00,1690795500,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:54:00,1690795440,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:53:00,1690795380,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:52:00,1690795320,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:51:00,1690795260,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:50:00,1690795200,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:49:00,1690795140,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:48:00,1690795080,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:47:00,1690795020,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:46:00,1690794960,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:45:00,1690794900,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:44:00,1690794840,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:43:00,1690794780,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:42:00,1690794720,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:41:00,1690794660,44.55,44.55,44.55,44.55,0.0,0,0,511500,124500,73929
2023-07-31 14:40:00,1690794600,44.55,44.55,44.55,44.55,45.77,750,1500,511500,124500,73929
2023-07-31 14:39:00,1690794540,43.65,43.65,43.65,43.65,0.0,0,0,510750,123000,73929
2023-07-31 14:38:00,1690794480,43.65,43.65,43.65,43.65,0.0,0,0,510750,123000,73929
2023-07-31 14:37:00,1690794420,43.65,43.65,43.65,43.65,0.0,0,0,510750,123000,73929
2023-07-31 14:36:00,1690794360,43.55,43.65,43.55,43.65,42.37,1500,0,510750,123000,73929
2023-07-31 14:35:00,1690794300,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:34:00,1690794240,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:33:00,1690794180,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:32:00,1690794120,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:31:00,1690794060,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:30:00,1690794000,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:29:00,1690793940,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:28:00,1690793880,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:27:00,1690793820,44.25,44.25,44.25,44.25,0.0,0,0,509250,123000,73929
2023-07-31 14:26:00,1690793760,44.25,44.25,44.25,44.25,45.78,750,0,509250,123000,73929
2023-07-31 14:25:00,1690793700,44.25,44.25,44.25,44.25,0.0,0,0,508500,123000,73929
2023-07-31 14:24:00,1690793640,44.25,44.25,44.25,44.25,0.0,0,0,508500,123000,73929
2023-07-31 14:23:00,1690793580,44.25,44.25,44.25,44.25,0.0,0,0,508500,123000,73929
2023-07-31 14:22:00,1690793520,44.25,44.25,44.25,44.25,45.78,750,750,508500,123000,73929
2023-07-31 14:21:00,1690793460,44.25,44.25,44.25,44.25,0.0,0,0,507750,122250,73929
2023-07-31 14:20:00,1690793400,44.25,44.25,44.25,44.25,0.0,0,0,507750,122250,73929
2023-07-31 14:19:00,1690793340,44.25,44.25,44.25,44.25,0.0,0,0,507750,122250,73929
2023-07-31 14:18:00,1690793280,44.25,44.25,44.25,44.25,0.0,0,0,507750,122250,73929
2023-07-31 14:17:00,1690793220,44.25,44.25,44.25,44.25,0.0,0,0,507750,122250,73929
2023-07-31 14:16:00,1690793160,44.25,44.25,44.25,44.25,45.78,750,3750,507750,122250,73929
2023-07-31 14:15:00,1690793100,45.15,45.15,45.15,45.15,0.0,0,0,507000,118500,73929
2023-07-31 14:14:00,1690793040,45.0,45.15,45.0,45.15,42.41,1500,0,507000,118500,73929
2023-07-31 14:13:00,1690792980,44.8,44.8,44.8,44.8,45.79,750,0,505500,118500,73929
2023-07-31 14:12:00,1690792920,44.1,44.3,44.1,44.3,45.79,2250,0,504750,118500,73929
2023-07-31 14:11:00,1690792860,43.95,43.95,43.95,43.95,39.1,750,0,502500,118500,73929
2023-07-31 14:10:00,1690792800,44.25,44.25,44.0,44.0,41.36,2250,0,501750,118500,73929
2023-07-31 14:09:00,1690792740,44.1,44.1,44.1,44.1,45.82,1500,1500,499500,118500,73929
2023-07-31 14:08:00,1690792680,44.3,44.3,44.3,44.3,45.82,1500,0,498000,117000,73929
2023-07-31 14:07:00,1690792620,43.95,43.95,43.95,43.95,0.0,0,2250,496500,117000,73929
2023-07-31 14:06:00,1690792560,43.9,43.9,43.9,43.9,0.0,0,0,496500,114750,73929
2023-07-31 14:05:00,1690792500,43.9,43.9,43.9,43.9,0.0,0,0,496500,114750,73929
2023-07-31 14:04:00,1690792440,43.9,43.9,43.9,43.9,45.82,1500,0,496500,114750,73929
2023-07-31 14:03:00,1690792380,43.5,44.0,43.5,44.0,43.63,2250,-1500,495000,114750,73929
2023-07-31 14:02:00,1690792320,42.4,42.4,42.4,42.4,39.27,750,0,492750,116250,73929
2023-07-31 14:01:00,1690792260,42.4,42.4,42.4,42.4,0.0,0,0,492000,116250,73929
2023-07-31 14:00:00,1690792200,42.4,42.4,42.4,42.4,45.84,750,0,492000,116250,73929
2023-07-31 13:59:00,1690792140,42.2,42.2,42.2,42.2,42.57,1500,0,491250,116250,73929
2023-07-31 13:58:00,1690792080,42.15,42.2,42.15,42.2,39.33,750,2250,489750,116250,73929
2023-07-31 13:57:00,1690792020,41.3,41.3,41.3,41.3,0.0,0,0,489000,114000,73929
2023-07-31 13:56:00,1690791960,41.3,41.3,41.3,41.3,0.0,0,0,489000,114000,73929
2023-07-31 13:55:00,1690791900,41.15,41.3,41.15,41.3,41.53,2250,0,489000,114000,73929
2023-07-31 13:54:00,1690791840,41.25,41.25,41.25,41.25,39.4,750,-1500,486750,114000,73929
2023-07-31 13:53:00,1690791780,41.35,41.35,41.35,41.35,0.0,0,0,486000,115500,73929
2023-07-31 13:52:00,1690791720,41.35,41.35,41.35,41.35,0.0,0,0,486000,115500,73929
2023-07-31 13:51:00,1690791660,41.35,41.35,41.35,41.35,0.0,0,0,486000,115500,73929
