time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,6.1,6.1,6.1,6.1,0.0,0,0,2222100,440100,140342
2023-08-01 15:27:00,1690883820,6.1,6.1,6.1,6.1,5.59,2700,5400,2222100,440100,140342
2023-08-01 15:26:00,1690883760,6.05,6.05,6.05,6.05,5.59,2700,0,2219400,434700,140342
2023-08-01 15:25:00,1690883700,6.0,6.0,6.0,6.0,9.68,5400,8100,2216700,434700,140342
2023-08-01 15:24:00,1690883640,6.05,6.05,6.05,6.05,5.58,2700,0,2211300,426600,140342
2023-08-01 15:23:00,1690883580,6.05,6.05,6.05,6.05,0.0,0,0,2208600,426600,140342
2023-08-01 15:22:00,1690883520,6.1,6.1,6.05,6.05,5.58,10800,0,2208600,426600,140342
2023-08-01 15:21:00,1690883460,6.2,6.2,6.15,6.15,5.58,8100,5400,2197800,426600,140342
2023-08-01 15:20:00,1690883400,6.25,6.25,6.2,6.25,6.58,21600,0,2189700,421200,140342
2023-08-01 15:19:00,1690883340,6.2,6.2,6.2,6.2,0.0,0,0,2168100,421200,140342
2023-08-01 15:18:00,1690883280,6.3,6.3,6.2,6.2,5.57,10800,-2700,2168100,421200,140342
2023-08-01 15:17:00,1690883220,6.2,6.2,6.2,6.2,0.0,0,2700,2157300,423900,140342
2023-08-01 15:16:00,1690883160,6.15,6.15,6.15,6.15,0.0,0,0,2157300,421200,140342
2023-08-01 15:15:00,1690883100,6.15,6.15,6.15,6.15,0.0,0,0,2157300,421200,140342
2023-08-01 15:14:00,1690883040,6.15,6.15,6.15,6.15,0.0,0,0,2157300,421200,140342
2023-08-01 15:13:00,1690882980,6.1,6.15,6.1,6.15,5.57,8100,0,2157300,421200,140342
2023-08-01 15:12:00,1690882920,6.2,6.2,6.2,6.2,0.0,0,0,2149200,421200,140342
2023-08-01 15:11:00,1690882860,6.2,6.2,6.2,6.2,0.0,0,0,2149200,421200,140342
2023-08-01 15:10:00,1690882800,6.2,6.2,6.2,6.2,0.0,0,0,2149200,421200,140342
2023-08-01 15:09:00,1690882740,6.2,6.2,6.2,6.2,5.57,5400,-2700,2149200,421200,140342
2023-08-01 15:08:00,1690882680,6.25,6.25,6.25,6.25,5.57,2700,0,2143800,423900,140342
2023-08-01 15:07:00,1690882620,6.15,6.15,6.15,6.15,13.49,2700,-8100,2141100,423900,140342
2023-08-01 15:06:00,1690882560,6.05,6.05,6.05,6.05,0.0,0,0,2138400,432000,140342
2023-08-01 15:05:00,1690882500,6.05,6.05,6.05,6.05,5.56,8100,0,2138400,432000,140342
2023-08-01 15:04:00,1690882440,6.05,6.05,6.05,6.05,5.56,2700,-10800,2130300,432000,140342
2023-08-01 15:03:00,1690882380,6.05,6.05,6.05,6.05,5.56,5400,0,2127600,442800,140342
2023-08-01 15:02:00,1690882320,6.15,6.15,6.15,6.15,5.56,2700,0,2122200,442800,140342
2023-08-01 15:01:00,1690882260,6.2,6.2,6.2,6.2,5.56,5400,0,2119500,442800,140342
2023-08-01 15:00:00,1690882200,6.25,6.3,6.2,6.2,7.5,10800,0,2114100,442800,140342
2023-08-01 14:59:00,1690882140,6.35,6.35,6.35,6.35,0.0,0,0,2103300,442800,140342
2023-08-01 14:58:00,1690882080,6.35,6.35,6.35,6.35,5.55,5400,0,2103300,442800,140342
2023-08-01 14:57:00,1690882020,6.3,6.3,6.3,6.3,5.55,5400,0,2097900,442800,140342
2023-08-01 14:56:00,1690881960,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:55:00,1690881900,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:54:00,1690881840,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:53:00,1690881780,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:52:00,1690881720,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:51:00,1690881660,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:50:00,1690881600,6.3,6.3,6.3,6.3,0.0,0,0,2092500,442800,140342
2023-08-01 14:49:00,1690881540,6.3,6.3,6.3,6.3,5.55,2700,2700,2092500,442800,140342
2023-08-01 14:48:00,1690881480,6.2,6.2,6.2,6.2,0.0,0,0,2089800,440100,140342
2023-08-01 14:47:00,1690881420,6.2,6.2,6.2,6.2,0.0,0,0,2089800,440100,140342
2023-08-01 14:46:00,1690881360,6.2,6.2,6.2,6.2,0.0,0,0,2089800,440100,140342
2023-08-01 14:45:00,1690881300,6.2,6.2,6.2,6.2,0.0,0,0,2089800,440100,140342
2023-08-01 14:44:00,1690881240,6.2,6.2,6.2,6.2,0.0,0,0,2089800,440100,140342
2023-08-01 14:43:00,1690881180,6.2,6.2,6.2,6.2,5.55,2700,2700,2089800,440100,140342
2023-08-01 14:42:00,1690881120,6.15,6.15,6.15,6.15,0.0,0,0,2087100,437400,140342
2023-08-01 14:41:00,1690881060,6.15,6.15,6.15,6.15,5.55,2700,5400,2087100,437400,140342
2023-08-01 14:40:00,1690881000,6.2,6.2,6.2,6.2,0.0,0,0,2084400,432000,140342
2023-08-01 14:39:00,1690880940,6.2,6.2,6.2,6.2,5.55,2700,0,2084400,432000,140342
2023-08-01 14:38:00,1690880880,6.15,6.15,6.15,6.15,5.55,2700,0,2081700,432000,140342
2023-08-01 14:37:00,1690880820,6.25,6.25,6.25,6.25,0.0,0,0,2079000,432000,140342
2023-08-01 14:36:00,1690880760,6.25,6.25,6.25,6.25,5.55,2700,0,2079000,432000,140342
2023-08-01 14:35:00,1690880700,6.35,6.35,6.35,6.35,0.0,0,0,2076300,432000,140342
2023-08-01 14:34:00,1690880640,6.35,6.35,6.35,6.35,0.0,0,0,2076300,432000,140342
2023-08-01 14:33:00,1690880580,6.35,6.35,6.35,6.35,0.0,0,0,2076300,432000,140342
2023-08-01 14:32:00,1690880520,6.35,6.35,6.35,6.35,0.0,0,0,2076300,432000,140342
2023-08-01 14:31:00,1690880460,6.35,6.35,6.35,6.35,13.23,2700,8100,2076300,432000,140342
2023-08-01 14:30:00,1690880400,6.25,6.25,6.25,6.25,0.0,0,0,2073600,423900,140342
2023-08-01 14:29:00,1690880340,6.25,6.25,6.25,6.25,0.0,0,0,2073600,423900,140342
2023-08-01 14:28:00,1690880280,6.25,6.25,6.25,6.25,0.0,0,0,2073600,423900,140342
2023-08-01 14:27:00,1690880220,6.25,6.25,6.25,6.25,0.0,0,0,2073600,423900,140342
2023-08-01 14:26:00,1690880160,6.25,6.25,6.25,6.25,0.0,0,0,2073600,423900,140342
2023-08-01 14:25:00,1690880100,6.25,6.25,6.25,6.25,5.54,10800,8100,2073600,423900,140342
2023-08-01 14:24:00,1690880040,6.35,6.35,6.35,6.35,0.0,0,0,2062800,415800,140342
2023-08-01 14:23:00,1690879980,6.35,6.35,6.35,6.35,5.54,2700,0,2062800,415800,140342
2023-08-01 14:22:00,1690879920,6.35,6.35,6.35,6.35,5.54,2700,0,2060100,415800,140342
2023-08-01 14:21:00,1690879860,6.35,6.35,6.35,6.35,5.54,10800,-2700,2057400,415800,140342
2023-08-01 14:20:00,1690879800,6.3,6.3,6.3,6.3,0.0,0,0,2046600,418500,140342
2023-08-01 14:19:00,1690879740,6.3,6.3,6.3,6.3,0.0,0,0,2046600,418500,140342
2023-08-01 14:18:00,1690879680,6.3,6.3,6.3,6.3,9.32,5400,2700,2046600,418500,140342
2023-08-01 14:17:00,1690879620,6.4,6.4,6.4,6.4,0.0,0,0,2041200,415800,140342
2023-08-01 14:16:00,1690879560,6.4,6.4,6.4,6.4,0.0,0,0,2041200,415800,140342
2023-08-01 14:15:00,1690879500,6.45,6.45,6.45,6.45,5.53,2700,0,2041200,415800,140342
2023-08-01 14:14:00,1690879440,6.55,6.55,6.55,6.55,0.0,0,0,2038500,415800,140342
2023-08-01 14:13:00,1690879380,6.55,6.55,6.55,6.55,5.53,5400,2700,2038500,415800,140342
2023-08-01 14:12:00,1690879320,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:11:00,1690879260,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:10:00,1690879200,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:09:00,1690879140,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:08:00,1690879080,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:07:00,1690879020,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:06:00,1690878960,6.55,6.55,6.55,6.55,0.0,0,0,2033100,413100,140342
2023-08-01 14:05:00,1690878900,6.55,6.55,6.55,6.55,5.53,2700,0,2033100,413100,140342
2023-08-01 14:04:00,1690878840,6.65,6.65,6.65,6.65,0.0,0,0,2030400,413100,140342
2023-08-01 14:03:00,1690878780,6.65,6.65,6.65,6.65,5.53,2700,2700,2030400,413100,140342
2023-08-01 14:02:00,1690878720,6.6,6.6,6.6,6.6,0.0,0,0,2027700,410400,140342
2023-08-01 14:01:00,1690878660,6.6,6.6,6.6,6.6,0.0,0,0,2027700,410400,140342
2023-08-01 14:00:00,1690878600,6.6,6.6,6.6,6.6,9.27,5400,0,2027700,410400,140342
