time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,7.3,7.3,7.3,7.3,6.46,5400,2700,5958900,1209600,140344
2023-08-01 15:27:00,1690883820,7.3,7.3,7.3,7.3,0.0,0,0,5953500,1206900,140344
2023-08-01 15:26:00,1690883760,7.3,7.3,7.3,7.3,11.96,10800,0,5953500,1206900,140344
2023-08-01 15:25:00,1690883700,7.45,7.45,7.45,7.45,6.45,2700,-2700,5942700,1206900,140344
2023-08-01 15:24:00,1690883640,7.35,7.35,7.35,7.35,0.0,0,0,5940000,1209600,140344
2023-08-01 15:23:00,1690883580,7.35,7.35,7.35,7.35,6.45,2700,0,5940000,1209600,140344
2023-08-01 15:22:00,1690883520,7.4,7.4,7.4,7.4,6.45,10800,0,5937300,1209600,140344
2023-08-01 15:21:00,1690883460,7.4,7.4,7.4,7.4,6.45,2700,-5400,5926500,1209600,140344
2023-08-01 15:20:00,1690883400,7.55,7.55,7.55,7.55,6.45,10800,0,5923800,1215000,140344
2023-08-01 15:19:00,1690883340,7.5,7.5,7.5,7.5,6.45,16200,0,5913000,1215000,140344
2023-08-01 15:18:00,1690883280,7.55,7.55,7.55,7.55,0.0,0,0,5896800,1215000,140344
2023-08-01 15:17:00,1690883220,7.55,7.55,7.55,7.55,6.45,2700,0,5896800,1215000,140344
2023-08-01 15:16:00,1690883160,7.6,7.6,7.6,7.6,10.8,13500,0,5894100,1215000,140344
2023-08-01 15:15:00,1690883100,7.55,7.55,7.55,7.55,0.0,0,2700,5880600,1215000,140344
2023-08-01 15:14:00,1690883040,7.55,7.55,7.55,7.55,6.44,13500,0,5880600,1212300,140344
2023-08-01 15:13:00,1690882980,7.4,7.4,7.4,7.4,6.44,2700,0,5867100,1212300,140344
2023-08-01 15:12:00,1690882920,7.55,7.55,7.55,7.55,6.44,5400,2700,5864400,1212300,140344
2023-08-01 15:11:00,1690882860,7.5,7.5,7.5,7.5,6.44,2700,0,5859000,1209600,140344
2023-08-01 15:10:00,1690882800,7.5,7.5,7.5,7.5,6.44,2700,0,5856300,1209600,140344
2023-08-01 15:09:00,1690882740,7.6,7.6,7.6,7.6,6.44,5400,2700,5853600,1209600,140344
2023-08-01 15:08:00,1690882680,7.6,7.6,7.6,7.6,6.44,5400,0,5848200,1206900,140344
2023-08-01 15:07:00,1690882620,7.55,7.55,7.55,7.55,11.84,10800,0,5842800,1206900,140344
2023-08-01 15:06:00,1690882560,7.5,7.5,7.5,7.5,0.0,0,0,5832000,1206900,140344
2023-08-01 15:05:00,1690882500,7.4,7.4,7.4,7.4,6.43,5400,0,5832000,1206900,140344
2023-08-01 15:04:00,1690882440,7.4,7.4,7.4,7.4,6.43,2700,0,5826600,1206900,140344
2023-08-01 15:03:00,1690882380,7.4,7.4,7.4,7.4,6.43,5400,0,5823900,1206900,140344
2023-08-01 15:02:00,1690882320,7.5,7.5,7.45,7.45,6.43,8100,0,5818500,1206900,140344
2023-08-01 15:01:00,1690882260,7.55,7.55,7.55,7.55,0.0,0,0,5810400,1206900,140344
2023-08-01 15:00:00,1690882200,7.55,7.55,7.55,7.55,6.43,10800,2700,5810400,1206900,140344
2023-08-01 14:59:00,1690882140,7.65,7.65,7.65,7.65,0.0,0,0,5799600,1204200,140344
2023-08-01 14:58:00,1690882080,7.75,7.75,7.65,7.65,6.43,2700,0,5799600,1204200,140344
2023-08-01 14:57:00,1690882020,7.6,7.7,7.6,7.7,11.78,10800,0,5796900,1204200,140344
