time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,57.8,57.8,57.15,57.15,58.68,4070,0,1283678,79772,140499
2023-08-02 15:27:00,1690970220,57.9,57.9,57.9,57.9,55.53,407,2035,1279608,79772,140499
2023-08-02 15:26:00,1690970160,58.0,58.0,58.0,58.0,55.53,407,0,1279201,77737,140499
2023-08-02 15:25:00,1690970100,58.7,59.0,58.7,59.0,61.8,2035,0,1278794,77737,140499
2023-08-02 15:24:00,1690970040,58.05,59.0,58.05,59.0,58.64,4070,0,1276759,77737,140499
2023-08-02 15:23:00,1690969980,57.55,58.0,57.55,58.0,55.51,2035,0,1272689,77737,140499
2023-08-02 15:22:00,1690969920,57.5,58.15,56.75,58.15,59.4,3256,0,1270654,77737,140499
2023-08-02 15:21:00,1690969860,56.0,56.5,56.0,56.5,55.5,1628,-2442,1267398,77737,140499
2023-08-02 15:20:00,1690969800,56.05,56.05,55.0,55.0,55.5,1221,0,1265770,80179,140499
2023-08-02 15:19:00,1690969740,56.0,56.0,56.0,56.0,0.0,0,0,1264549,80179,140499
2023-08-02 15:18:00,1690969680,55.95,56.0,55.9,56.0,55.5,2035,-5291,1264549,80179,140499
2023-08-02 15:17:00,1690969620,55.95,56.0,55.2,55.2,55.5,3256,0,1262514,85470,140499
2023-08-02 15:16:00,1690969560,56.0,56.0,56.0,56.0,55.5,2442,0,1259258,85470,140499
2023-08-02 15:15:00,1690969500,57.7,57.7,55.95,56.5,57.11,7733,4477,1256816,85470,140499
2023-08-02 15:14:00,1690969440,59.5,59.5,58.0,58.0,58.54,4070,0,1249083,80993,140499
2023-08-02 15:13:00,1690969380,59.25,59.25,59.0,59.0,63.11,1628,0,1245013,80993,140499
2023-08-02 15:12:00,1690969320,59.8,59.9,59.8,59.9,55.47,1628,-1221,1243385,80993,140499
2023-08-02 15:11:00,1690969260,59.55,60.7,59.05,59.05,60.01,8140,0,1241757,82214,140499
2023-08-02 15:10:00,1690969200,58.95,58.95,58.45,58.5,59.76,2849,0,1233617,82214,140499
2023-08-02 15:09:00,1690969140,59.0,59.0,59.0,59.0,55.43,1628,2849,1230768,82214,140499
2023-08-02 15:08:00,1690969080,59.0,59.0,59.0,59.0,55.43,1628,0,1229140,79365,140499
2023-08-02 15:07:00,1690969020,58.4,58.4,58.0,58.0,65.47,1221,0,1227512,79365,140499
2023-08-02 15:06:00,1690968960,59.35,59.35,58.15,58.55,59.15,9768,-10582,1226291,79365,140499
2023-08-02 15:05:00,1690968900,60.85,60.85,59.05,60.5,59.65,2849,0,1216523,89947,140499
2023-08-02 15:04:00,1690968840,60.0,60.95,59.95,60.95,61.32,4070,0,1213674,89947,140499
2023-08-02 15:03:00,1690968780,59.85,59.85,58.3,58.3,58.46,7733,-2849,1209604,89947,140499
2023-08-02 15:02:00,1690968720,59.9,60.0,59.55,60.0,59.86,5291,0,1201871,92796,140499
2023-08-02 15:01:00,1690968660,57.3,58.25,57.3,58.25,59.51,2849,0,1196580,92796,140499
2023-08-02 15:00:00,1690968600,56.8,56.8,56.8,56.8,0.0,0,0,1193731,92796,140499
2023-08-02 14:59:00,1690968540,57.0,57.0,56.8,56.8,55.31,407,0,1193731,92796,140499
2023-08-02 14:58:00,1690968480,56.8,56.8,56.8,56.8,55.31,1628,0,1193324,92796,140499
2023-08-02 14:57:00,1690968420,56.8,56.8,56.8,56.8,55.31,1221,-814,1191696,92796,140499
2023-08-02 14:56:00,1690968360,56.3,56.3,56.3,56.3,55.31,1628,0,1190475,93610,140499
2023-08-02 14:55:00,1690968300,57.05,57.05,57.05,57.05,55.31,407,0,1188847,93610,140499
2023-08-02 14:54:00,1690968240,57.9,57.9,57.5,57.5,61.14,2035,-814,1188440,93610,140499
2023-08-02 14:53:00,1690968180,58.75,58.75,57.1,57.1,57.53,5291,0,1186405,94424,140499
2023-08-02 14:52:00,1690968120,56.05,57.95,56.05,57.95,55.29,3256,0,1181114,94424,140499
2023-08-02 14:51:00,1690968060,55.4,56.0,55.4,56.0,57.08,6512,-1221,1177858,94424,140499
2023-08-02 14:50:00,1690968000,54.7,54.7,54.7,54.7,0.0,0,0,1171346,95645,140499
2023-08-02 14:49:00,1690967940,55.5,55.5,55.45,55.45,55.28,2035,0,1171346,95645,140499
2023-08-02 14:48:00,1690967880,55.45,55.45,55.0,55.45,55.28,2849,-1221,1169311,95645,140499
2023-08-02 14:47:00,1690967820,54.95,55.0,54.95,55.0,55.28,1221,0,1166462,96866,140499
2023-08-02 14:46:00,1690967760,53.05,54.0,53.05,54.0,51.71,3256,0,1165241,96866,140499
2023-08-02 14:45:00,1690967700,53.05,53.05,53.0,53.0,55.29,407,814,1161985,96866,140499
2023-08-02 14:44:00,1690967640,54.5,54.7,54.5,54.7,55.29,814,0,1161578,96052,140499
2023-08-02 14:43:00,1690967580,54.7,54.7,54.7,54.7,0.0,0,0,1160764,96052,140499
2023-08-02 14:42:00,1690967520,54.0,54.7,54.0,54.7,55.29,1628,407,1160764,96052,140499
2023-08-02 14:41:00,1690967460,55.7,55.7,54.75,54.75,55.29,1221,0,1159136,95645,140499
2023-08-02 14:40:00,1690967400,54.4,54.4,54.4,54.4,55.29,814,407,1157915,95645,140499
2023-08-02 14:39:00,1690967340,54.05,54.05,54.05,54.05,55.29,407,0,1157101,95238,140499
2023-08-02 14:38:00,1690967280,54.4,54.4,54.05,54.05,55.29,814,0,1156694,95238,140499
2023-08-02 14:37:00,1690967220,54.1,54.1,53.4,53.4,45.83,1221,0,1155880,95238,140499
2023-08-02 14:36:00,1690967160,54.0,54.0,53.25,53.25,55.3,407,2035,1154659,95238,140499
2023-08-02 14:35:00,1690967100,54.4,54.8,54.4,54.45,55.3,4477,0,1154252,93203,140499
2023-08-02 14:34:00,1690967040,54.0,54.0,54.0,54.0,55.3,407,0,1149775,93203,140499
2023-08-02 14:33:00,1690966980,53.0,53.35,53.0,53.35,55.3,1628,814,1149368,93203,140499
2023-08-02 14:32:00,1690966920,53.55,53.55,53.55,53.55,55.3,407,0,1147740,92389,140499
2023-08-02 14:31:00,1690966860,53.0,53.55,53.0,53.55,50.61,2442,0,1147333,92389,140499
2023-08-02 14:30:00,1690966800,50.7,52.0,50.65,52.0,55.31,1628,1628,1144891,92389,140499
2023-08-02 14:29:00,1690966740,51.6,51.6,51.6,51.6,0.0,0,0,1143263,90761,140499
2023-08-02 14:28:00,1690966680,51.6,51.6,51.6,51.6,49.7,2035,-1628,1143263,90761,140499
2023-08-02 14:27:00,1690966620,50.0,50.0,50.0,50.0,0.0,0,0,1141228,92389,140499
2023-08-02 14:26:00,1690966560,50.0,50.0,50.0,50.0,0.0,0,0,1141228,92389,140499
2023-08-02 14:25:00,1690966500,50.0,50.0,50.0,50.0,0.0,0,0,1141228,92389,140499
2023-08-02 14:24:00,1690966440,50.0,50.0,50.0,50.0,50.65,2442,407,1141228,92389,140499
2023-08-02 14:23:00,1690966380,49.25,49.25,48.95,48.95,46.01,1221,0,1138786,91982,140499
2023-08-02 14:22:00,1690966320,50.0,50.0,50.0,50.0,55.34,407,407,1137565,91982,140499
2023-08-02 14:21:00,1690966260,48.05,48.05,48.05,48.05,0.0,0,0,1137158,91575,140499
2023-08-02 14:20:00,1690966200,48.7,48.7,48.05,48.05,46.03,1221,0,1137158,91575,140499
2023-08-02 14:19:00,1690966140,49.85,49.85,49.85,49.85,0.0,0,0,1135937,91575,140499
2023-08-02 14:18:00,1690966080,49.95,49.95,49.85,49.85,55.35,1221,-814,1135937,91575,140499
2023-08-02 14:17:00,1690966020,50.0,50.0,50.0,50.0,0.0,0,0,1134716,92389,140499
2023-08-02 14:16:00,1690965960,50.05,50.05,50.0,50.0,48.39,1628,0,1134716,92389,140499
2023-08-02 14:15:00,1690965900,48.8,50.0,48.8,50.0,48.41,1628,-3663,1133088,92389,140499
2023-08-02 14:14:00,1690965840,49.0,49.5,48.7,48.7,49.21,3663,0,1131460,96052,140499
2023-08-02 14:13:00,1690965780,50.0,50.25,50.0,50.0,46.16,1221,2849,1127797,96052,140499
2023-08-02 14:12:00,1690965720,50.25,50.25,50.25,50.25,0.0,0,0,1126576,93203,140499
2023-08-02 14:11:00,1690965660,51.6,51.6,50.25,50.25,50.8,4884,0,1126576,93203,140499
2023-08-02 14:10:00,1690965600,51.5,51.5,51.5,51.5,55.42,407,0,1121692,93203,140499
2023-08-02 14:09:00,1690965540,51.8,51.8,51.8,51.8,55.42,407,-2442,1121285,93203,140499
2023-08-02 14:08:00,1690965480,51.75,51.75,51.75,51.75,55.42,1221,0,1120878,95645,140499
2023-08-02 14:07:00,1690965420,50.2,51.85,50.15,51.85,41.67,814,0,1119657,95645,140499
2023-08-02 14:06:00,1690965360,49.55,49.55,49.55,49.55,48.57,3256,1221,1118843,95645,140499
2023-08-02 14:05:00,1690965300,51.75,51.75,51.75,51.75,55.45,1221,0,1115587,94424,140499
2023-08-02 14:04:00,1690965240,52.5,52.5,52.5,52.5,0.0,0,0,1114366,94424,140499
2023-08-02 14:03:00,1690965180,52.5,52.5,52.5,52.5,55.45,814,407,1114366,94424,140499
2023-08-02 14:02:00,1690965120,52.45,52.45,52.45,52.45,55.45,814,0,1113552,94017,140499
2023-08-02 14:01:00,1690965060,52.2,52.2,52.2,52.2,0.0,0,0,1112738,94017,140499
2023-08-02 14:00:00,1690965000,52.35,52.35,52.2,52.2,48.62,1628,0,1112738,94017,140499
2023-08-02 13:59:00,1690964940,53.0,53.0,53.0,53.0,55.46,814,0,1111110,94017,140499
2023-08-02 13:58:00,1690964880,53.9,53.9,53.9,53.9,0.0,0,0,1110296,94017,140499
2023-08-02 13:57:00,1690964820,53.9,53.9,53.9,53.9,0.0,0,814,1110296,94017,140499
2023-08-02 13:56:00,1690964760,55.5,55.5,55.5,55.5,0.0,0,0,1110296,93203,140499
2023-08-02 13:55:00,1690964700,55.7,56.0,55.5,55.5,55.46,1221,0,1110296,93203,140499
2023-08-02 13:54:00,1690964640,54.05,54.05,54.05,54.05,55.46,407,0,1109075,93203,140499
2023-08-02 13:53:00,1690964580,53.35,54.1,53.35,54.1,55.46,814,0,1108668,93203,140499
2023-08-02 13:52:00,1690964520,53.0,53.0,52.3,52.3,50.93,2442,-2442,1107854,93203,140499
2023-08-02 13:51:00,1690964460,54.0,54.0,54.0,54.0,0.0,0,0,1105412,95645,140499
2023-08-02 13:50:00,1690964400,51.9,54.0,51.0,54.0,55.47,2035,0,1105412,95645,140499
2023-08-02 13:49:00,1690964340,51.15,51.65,51.1,51.65,47.74,2849,0,1103377,95645,140499
