time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,0.05,0.05,0.05,0.05,0.0,0,0,145000,30000,50631
2023-07-27 15:27:00,1690451820,0.05,0.05,0.05,0.05,0.0,0,0,145000,30000,50631
2023-07-27 15:26:00,1690451760,0.05,0.05,0.05,0.05,0.13,15000,0,145000,30000,50631
2023-07-27 15:25:00,1690451700,0.35,0.35,0.35,0.35,0.0,0,0,130000,30000,50631
2023-07-27 15:24:00,1690451640,0.35,0.35,0.35,0.35,0.0,0,0,130000,30000,50631
2023-07-27 15:23:00,1690451580,0.1,0.1,0.1,0.1,0.04,5000,-5000,130000,30000,50631
2023-07-27 15:22:00,1690451520,1.65,1.65,1.65,1.65,0.0,0,0,125000,35000,50631
2023-07-27 15:21:00,1690451460,1.65,1.65,1.65,1.65,0.0,0,0,125000,35000,50631
2023-07-27 15:20:00,1690451400,1.65,1.65,1.65,1.65,0.0,0,0,125000,35000,50631
2023-07-27 15:19:00,1690451340,1.65,1.65,1.65,1.65,1.58,5000,-10000,125000,35000,50631
2023-07-27 15:18:00,1690451280,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:17:00,1690451220,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:16:00,1690451160,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:15:00,1690451100,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:14:00,1690451040,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:13:00,1690450980,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:12:00,1690450920,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:11:00,1690450860,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:10:00,1690450800,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:09:00,1690450740,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:08:00,1690450680,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:07:00,1690450620,1.25,1.25,1.25,1.25,0.0,0,0,120000,45000,50631
2023-07-27 15:06:00,1690450560,1.25,1.25,1.25,1.25,1.33,10000,0,120000,45000,50631
2023-07-27 15:05:00,1690450500,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 15:04:00,1690450440,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 15:03:00,1690450380,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 15:02:00,1690450320,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 15:01:00,1690450260,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 15:00:00,1690450200,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:59:00,1690450140,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:58:00,1690450080,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:57:00,1690450020,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:56:00,1690449960,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:55:00,1690449900,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:54:00,1690449840,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:53:00,1690449780,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:52:00,1690449720,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:51:00,1690449660,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:50:00,1690449600,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:49:00,1690449540,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:48:00,1690449480,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:47:00,1690449420,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:46:00,1690449360,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:45:00,1690449300,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:44:00,1690449240,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:43:00,1690449180,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:42:00,1690449120,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:41:00,1690449060,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:40:00,1690449000,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:39:00,1690448940,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:38:00,1690448880,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:37:00,1690448820,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:36:00,1690448760,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:35:00,1690448700,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:34:00,1690448640,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:33:00,1690448580,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:32:00,1690448520,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:31:00,1690448460,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:30:00,1690448400,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:29:00,1690448340,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:28:00,1690448280,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:27:00,1690448220,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:26:00,1690448160,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:25:00,1690448100,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:24:00,1690448040,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:23:00,1690447980,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:22:00,1690447920,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:21:00,1690447860,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:20:00,1690447800,1.3,1.3,1.3,1.3,0.0,0,0,110000,45000,50631
2023-07-27 14:19:00,1690447740,1.5,1.5,1.5,1.5,0.0,0,0,110000,45000,50631
