time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,3.0,3.0,3.0,3.0,0.0,0,0,260000,105000,55752
2023-07-27 15:27:00,1690451820,3.0,3.0,3.0,3.0,0.0,0,0,260000,105000,55752
2023-07-27 15:26:00,1690451760,3.0,3.0,3.0,3.0,0.0,0,0,260000,105000,55752
2023-07-27 15:25:00,1690451700,3.0,3.0,3.0,3.0,0.0,0,0,260000,105000,55752
2023-07-27 15:24:00,1690451640,3.0,3.0,3.0,3.0,0.0,0,0,260000,105000,55752
2023-07-27 15:23:00,1690451580,3.0,3.0,3.0,3.0,2.99,5000,0,260000,105000,55752
2023-07-27 15:22:00,1690451520,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:21:00,1690451460,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:20:00,1690451400,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:19:00,1690451340,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:18:00,1690451280,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:17:00,1690451220,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:16:00,1690451160,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:15:00,1690451100,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:14:00,1690451040,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:13:00,1690450980,1.4,1.4,1.4,1.4,0.0,0,0,255000,105000,55752
2023-07-27 15:12:00,1690450920,1.4,1.4,1.4,1.4,1.41,5000,0,255000,105000,55752
2023-07-27 15:11:00,1690450860,1.7,1.7,1.7,1.7,0.0,0,0,250000,105000,55752
2023-07-27 15:10:00,1690450800,1.75,1.75,1.7,1.7,1.86,10000,0,250000,105000,55752
2023-07-27 15:09:00,1690450740,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:08:00,1690450680,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:07:00,1690450620,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:06:00,1690450560,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:05:00,1690450500,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:04:00,1690450440,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:03:00,1690450380,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:02:00,1690450320,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:01:00,1690450260,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 15:00:00,1690450200,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:59:00,1690450140,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:58:00,1690450080,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:57:00,1690450020,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:56:00,1690449960,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:55:00,1690449900,2.0,2.0,2.0,2.0,0.0,0,0,240000,105000,55752
2023-07-27 14:54:00,1690449840,2.0,2.0,2.0,2.0,1.78,10000,0,240000,105000,55752
2023-07-27 14:53:00,1690449780,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:52:00,1690449720,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:51:00,1690449660,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:50:00,1690449600,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:49:00,1690449540,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:48:00,1690449480,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:47:00,1690449420,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:46:00,1690449360,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:45:00,1690449300,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:44:00,1690449240,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:43:00,1690449180,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:42:00,1690449120,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:41:00,1690449060,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:40:00,1690449000,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:39:00,1690448940,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:38:00,1690448880,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:37:00,1690448820,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:36:00,1690448760,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:35:00,1690448700,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:34:00,1690448640,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:33:00,1690448580,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:32:00,1690448520,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:31:00,1690448460,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:30:00,1690448400,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:29:00,1690448340,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:28:00,1690448280,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:27:00,1690448220,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:26:00,1690448160,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:25:00,1690448100,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:24:00,1690448040,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:23:00,1690447980,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:22:00,1690447920,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:21:00,1690447860,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:20:00,1690447800,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:19:00,1690447740,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:18:00,1690447680,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:17:00,1690447620,1.9,1.9,1.9,1.9,0.0,0,0,230000,105000,55752
2023-07-27 14:16:00,1690447560,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:15:00,1690447500,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:14:00,1690447440,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:13:00,1690447380,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:12:00,1690447320,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:11:00,1690447260,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:10:00,1690447200,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:09:00,1690447140,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:08:00,1690447080,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:07:00,1690447020,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:06:00,1690446960,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:05:00,1690446900,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
2023-07-27 14:04:00,1690446840,2.6,2.6,2.6,2.6,0.0,0,0,230000,105000,55752
