time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:27:00,1690538220,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:26:00,1690538160,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:25:00,1690538100,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:24:00,1690538040,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:23:00,1690537980,11.6,11.6,11.6,11.6,0.0,0,0,590000,100000,172745
2023-07-28 15:22:00,1690537920,11.6,11.6,11.6,11.6,11.62,10000,0,590000,100000,172745
2023-07-28 15:21:00,1690537860,11.75,11.75,11.75,11.75,0.0,0,0,580000,100000,172745
2023-07-28 15:20:00,1690537800,11.75,11.75,11.75,11.75,0.0,0,0,580000,100000,172745
2023-07-28 15:19:00,1690537740,12.0,12.0,12.0,12.0,0.0,0,0,580000,100000,172745
2023-07-28 15:18:00,1690537680,12.0,12.0,12.0,12.0,0.0,0,0,580000,100000,172745
2023-07-28 15:17:00,1690537620,12.0,12.0,12.0,12.0,0.0,0,0,580000,100000,172745
2023-07-28 15:16:00,1690537560,12.0,12.0,12.0,12.0,0.0,0,0,580000,100000,172745
2023-07-28 15:15:00,1690537500,12.0,12.0,12.0,12.0,12.24,5000,0,580000,100000,172745
2023-07-28 15:14:00,1690537440,11.95,11.95,11.95,11.95,12.01,20000,-10000,575000,100000,172745
2023-07-28 15:13:00,1690537380,11.8,11.8,11.8,11.8,0.0,0,0,555000,110000,172745
2023-07-28 15:12:00,1690537320,11.8,11.8,11.8,11.8,0.0,0,0,555000,110000,172745
2023-07-28 15:11:00,1690537260,11.8,11.8,11.8,11.8,11.81,10000,0,555000,110000,172745
2023-07-28 15:10:00,1690537200,11.85,11.85,11.85,11.85,0.0,0,0,545000,110000,172745
2023-07-28 15:09:00,1690537140,11.85,11.85,11.85,11.85,11.32,5000,-5000,545000,110000,172745
2023-07-28 15:08:00,1690537080,11.7,11.7,11.7,11.7,0.0,0,0,540000,115000,172745
2023-07-28 15:07:00,1690537020,11.7,11.7,11.7,11.7,11.91,10000,-5000,540000,115000,172745
2023-07-28 15:06:00,1690536960,11.55,11.55,11.55,11.55,0.0,0,0,530000,120000,172745
2023-07-28 15:05:00,1690536900,11.6,11.6,11.55,11.55,11.43,5000,-5000,530000,120000,172745
2023-07-28 15:04:00,1690536840,11.55,11.55,11.55,11.55,0.0,0,0,525000,125000,172745
2023-07-28 15:03:00,1690536780,11.55,11.55,11.55,11.55,0.0,0,0,525000,125000,172745
2023-07-28 15:02:00,1690536720,11.55,11.55,11.55,11.55,0.0,0,0,525000,125000,172745
2023-07-28 15:01:00,1690536660,11.55,11.55,11.55,11.55,0.0,0,0,525000,125000,172745
2023-07-28 15:00:00,1690536600,11.55,11.55,11.55,11.55,11.49,10000,5000,525000,125000,172745
2023-07-28 14:59:00,1690536540,12.05,12.05,12.05,12.05,0.0,0,0,515000,120000,172745
2023-07-28 14:58:00,1690536480,12.05,12.05,12.05,12.05,0.0,0,0,515000,120000,172745
2023-07-28 14:57:00,1690536420,12.05,12.05,12.05,12.05,0.0,0,0,515000,120000,172745
2023-07-28 14:56:00,1690536360,12.05,12.05,12.05,12.05,0.0,0,0,515000,120000,172745
2023-07-28 14:55:00,1690536300,12.05,12.05,12.05,12.05,0.0,0,0,515000,120000,172745
2023-07-28 14:54:00,1690536240,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:53:00,1690536180,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:52:00,1690536120,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:51:00,1690536060,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:50:00,1690536000,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:49:00,1690535940,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:48:00,1690535880,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:47:00,1690535820,11.45,11.45,11.45,11.45,0.0,0,0,515000,120000,172745
2023-07-28 14:46:00,1690535760,11.45,11.45,11.45,11.45,11.55,5000,0,515000,120000,172745
2023-07-28 14:45:00,1690535700,11.25,11.25,11.25,11.25,11.59,5000,5000,510000,120000,172745
2023-07-28 14:44:00,1690535640,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:43:00,1690535580,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:42:00,1690535520,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:41:00,1690535460,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:40:00,1690535400,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:39:00,1690535340,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:38:00,1690535280,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:37:00,1690535220,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:36:00,1690535160,10.85,10.85,10.85,10.85,0.0,0,0,505000,115000,172745
2023-07-28 14:35:00,1690535100,10.85,10.85,10.85,10.85,10.63,5000,10000,505000,115000,172745
2023-07-28 14:34:00,1690535040,11.05,11.05,11.05,11.05,0.0,0,0,500000,105000,172745
2023-07-28 14:33:00,1690534980,11.05,11.05,11.05,11.05,0.0,0,0,500000,105000,172745
2023-07-28 14:32:00,1690534920,11.05,11.05,11.05,11.05,0.0,0,0,500000,105000,172745
2023-07-28 14:31:00,1690534860,11.0,11.05,11.0,11.05,11.21,10000,0,500000,105000,172745
2023-07-28 14:30:00,1690534800,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:29:00,1690534740,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:28:00,1690534680,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:27:00,1690534620,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:26:00,1690534560,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:25:00,1690534500,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:24:00,1690534440,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:23:00,1690534380,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:22:00,1690534320,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:21:00,1690534260,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:20:00,1690534200,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:19:00,1690534140,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:18:00,1690534080,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:17:00,1690534020,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:16:00,1690533960,11.75,11.75,11.75,11.75,0.0,0,0,490000,105000,172745
2023-07-28 14:15:00,1690533900,11.75,11.75,11.75,11.75,11.81,15000,-5000,490000,105000,172745
2023-07-28 14:14:00,1690533840,11.8,11.8,11.8,11.8,0.0,0,0,475000,110000,172745
2023-07-28 14:13:00,1690533780,11.8,11.8,11.8,11.8,0.0,0,0,475000,110000,172745
2023-07-28 14:12:00,1690533720,11.8,11.8,11.8,11.8,0.0,0,0,475000,110000,172745
2023-07-28 14:11:00,1690533660,11.8,11.8,11.8,11.8,0.0,0,0,475000,110000,172745
2023-07-28 14:10:00,1690533600,11.8,11.8,11.8,11.8,11.89,5000,-5000,475000,110000,172745
2023-07-28 14:09:00,1690533540,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:08:00,1690533480,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:07:00,1690533420,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:06:00,1690533360,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:05:00,1690533300,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:04:00,1690533240,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:03:00,1690533180,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:02:00,1690533120,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:01:00,1690533060,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 14:00:00,1690533000,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:59:00,1690532940,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:58:00,1690532880,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:57:00,1690532820,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:56:00,1690532760,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:55:00,1690532700,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:54:00,1690532640,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:53:00,1690532580,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:52:00,1690532520,11.3,11.3,11.3,11.3,0.0,0,0,470000,115000,172745
2023-07-28 13:51:00,1690532460,11.3,11.3,11.3,11.3,11.0,5000,0,470000,115000,172745
2023-07-28 13:50:00,1690532400,11.1,11.1,11.1,11.1,0.0,0,0,465000,115000,172745
2023-07-28 13:49:00,1690532340,11.1,11.1,11.1,11.1,0.0,0,0,465000,115000,172745
2023-07-28 13:48:00,1690532280,11.1,11.1,11.1,11.1,0.0,0,0,465000,115000,172745
2023-07-28 13:47:00,1690532220,11.1,11.1,11.1,11.1,0.0,0,0,465000,115000,172745
