time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,10.65,10.65,10.65,10.65,0.0,0,0,13660000,1820000,172747
2023-07-28 15:27:00,1690538220,10.65,10.65,10.65,10.65,10.19,45000,-5000,13660000,1820000,172747
2023-07-28 15:26:00,1690538160,10.6,10.6,10.6,10.6,13.23,10000,0,13615000,1825000,172747
2023-07-28 15:25:00,1690538100,10.4,10.5,10.4,10.5,13.23,10000,0,13605000,1825000,172747
2023-07-28 15:24:00,1690538040,10.4,10.4,10.35,10.35,13.23,20000,-30000,13595000,1825000,172747
2023-07-28 15:23:00,1690537980,10.5,10.5,10.5,10.5,0.0,0,0,13575000,1855000,172747
2023-07-28 15:22:00,1690537920,10.65,10.65,10.4,10.4,7.81,25000,0,13575000,1855000,172747
2023-07-28 15:21:00,1690537860,10.7,10.7,10.7,10.7,13.24,30000,5000,13550000,1855000,172747
2023-07-28 15:20:00,1690537800,10.7,10.75,10.7,10.7,7.84,25000,0,13520000,1850000,172747
2023-07-28 15:19:00,1690537740,10.75,10.75,10.75,10.75,13.25,5000,0,13495000,1850000,172747
2023-07-28 15:18:00,1690537680,10.9,10.9,10.8,10.8,13.25,25000,0,13490000,1850000,172747
2023-07-28 15:17:00,1690537620,10.85,10.85,10.85,10.85,-67.51,5000,0,13465000,1850000,172747
2023-07-28 15:16:00,1690537560,10.95,10.95,10.95,10.95,13.28,5000,0,13460000,1850000,172747
2023-07-28 15:15:00,1690537500,11.0,11.0,11.0,11.0,13.28,20000,0,13455000,1850000,172747
2023-07-28 15:14:00,1690537440,10.95,10.95,10.95,10.95,13.28,15000,0,13435000,1850000,172747
2023-07-28 15:13:00,1690537380,10.8,10.8,10.8,10.8,0.0,0,0,13420000,1850000,172747
2023-07-28 15:12:00,1690537320,10.8,10.8,10.8,10.8,13.28,5000,-10000,13420000,1850000,172747
2023-07-28 15:11:00,1690537260,10.85,10.85,10.85,10.85,13.28,10000,0,13415000,1860000,172747
2023-07-28 15:10:00,1690537200,10.95,10.95,10.85,10.85,13.28,15000,0,13405000,1860000,172747
2023-07-28 15:09:00,1690537140,10.75,10.9,10.75,10.9,13.28,20000,-10000,13390000,1860000,172747
2023-07-28 15:08:00,1690537080,10.8,10.85,10.8,10.85,13.28,5000,0,13370000,1870000,172747
2023-07-28 15:07:00,1690537020,10.65,10.65,10.65,10.65,0.0,0,0,13365000,1870000,172747
2023-07-28 15:06:00,1690536960,10.65,10.65,10.65,10.65,0.0,0,0,13365000,1870000,172747
2023-07-28 15:05:00,1690536900,10.6,10.65,10.6,10.65,13.28,30000,0,13365000,1870000,172747
2023-07-28 15:04:00,1690536840,10.65,10.65,10.65,10.65,0.0,0,0,13335000,1870000,172747
2023-07-28 15:03:00,1690536780,10.7,10.7,10.65,10.65,0.0,0,0,13335000,1870000,172747
2023-07-28 15:02:00,1690536720,10.55,10.55,10.55,10.55,0.0,0,0,13335000,1870000,172747
2023-07-28 15:01:00,1690536660,10.55,10.55,10.55,10.55,0.0,0,0,13335000,1870000,172747
2023-07-28 15:00:00,1690536600,10.55,10.55,10.55,10.55,13.28,5000,15000,13335000,1870000,172747
2023-07-28 14:59:00,1690536540,10.65,10.65,10.65,10.65,13.28,5000,0,13330000,1855000,172747
2023-07-28 14:58:00,1690536480,10.9,10.9,10.9,10.9,13.28,5000,0,13325000,1855000,172747
2023-07-28 14:57:00,1690536420,11.0,11.0,11.0,11.0,13.28,10000,-5000,13320000,1855000,172747
2023-07-28 14:56:00,1690536360,11.15,11.15,11.0,11.0,8.85,30000,0,13310000,1860000,172747
2023-07-28 14:55:00,1690536300,10.6,11.0,10.6,11.0,10.34,45000,0,13280000,1860000,172747
2023-07-28 14:54:00,1690536240,10.45,10.45,10.45,10.45,13.3,10000,0,13235000,1860000,172747
2023-07-28 14:53:00,1690536180,10.45,10.45,10.35,10.35,13.3,25000,0,13225000,1860000,172747
2023-07-28 14:52:00,1690536120,10.65,10.65,10.5,10.5,6.71,20000,0,13200000,1860000,172747
2023-07-28 14:51:00,1690536060,10.6,10.6,10.6,10.6,0.0,0,0,13180000,1860000,172747
2023-07-28 14:50:00,1690536000,10.6,10.6,10.6,10.6,13.31,20000,0,13180000,1860000,172747
2023-07-28 14:49:00,1690535940,10.65,10.65,10.65,10.65,13.31,5000,0,13160000,1860000,172747
2023-07-28 14:48:00,1690535880,10.55,10.6,10.55,10.6,0.16,10000,0,13155000,1860000,172747
2023-07-28 14:47:00,1690535820,10.1,10.1,10.1,10.1,0.0,0,0,13145000,1860000,172747
2023-07-28 14:46:00,1690535760,10.1,10.1,10.1,10.1,0.0,0,0,13145000,1860000,172747
2023-07-28 14:45:00,1690535700,10.1,10.1,10.1,10.1,0.0,0,0,13145000,1860000,172747
2023-07-28 14:44:00,1690535640,10.1,10.1,10.1,10.1,13.32,10000,0,13145000,1860000,172747
2023-07-28 14:43:00,1690535580,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:42:00,1690535520,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:41:00,1690535460,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:40:00,1690535400,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:39:00,1690535340,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:38:00,1690535280,10.2,10.2,10.2,10.2,0.0,0,0,13135000,1860000,172747
2023-07-28 14:37:00,1690535220,10.2,10.2,10.2,10.2,13.32,5000,0,13135000,1860000,172747
2023-07-28 14:36:00,1690535160,10.0,10.05,10.0,10.05,13.32,10000,0,13130000,1860000,172747
2023-07-28 14:35:00,1690535100,9.85,10.05,9.75,10.05,8.56,55000,0,13120000,1860000,172747
2023-07-28 14:34:00,1690535040,9.95,9.95,9.95,9.95,13.34,20000,0,13065000,1860000,172747
2023-07-28 14:33:00,1690534980,9.95,9.95,9.95,9.95,13.34,5000,0,13045000,1860000,172747
2023-07-28 14:32:00,1690534920,10.0,10.0,10.0,10.0,13.34,5000,0,13040000,1860000,172747
2023-07-28 14:31:00,1690534860,10.15,10.15,10.1,10.1,0.31,10000,0,13035000,1860000,172747
2023-07-28 14:30:00,1690534800,10.2,10.2,10.2,10.2,13.35,10000,0,13025000,1860000,172747
2023-07-28 14:29:00,1690534740,10.2,10.2,10.2,10.2,13.35,15000,0,13015000,1860000,172747
2023-07-28 14:28:00,1690534680,10.35,10.35,10.3,10.3,0.0,0,0,13000000,1860000,172747
2023-07-28 14:27:00,1690534620,10.4,10.5,10.4,10.45,4.69,15000,5000,13000000,1860000,172747
2023-07-28 14:26:00,1690534560,10.5,10.5,10.5,10.5,13.36,5000,5000,12985000,1855000,172747
2023-07-28 14:25:00,1690534500,10.45,10.45,10.45,10.45,0.0,0,0,12980000,1850000,172747
2023-07-28 14:24:00,1690534440,10.45,10.45,10.45,10.45,0.0,0,0,12980000,1850000,172747
2023-07-28 14:23:00,1690534380,10.45,10.45,10.45,10.45,0.0,0,0,12980000,1850000,172747
2023-07-28 14:22:00,1690534320,10.45,10.45,10.45,10.45,0.0,0,0,12980000,1850000,172747
2023-07-28 14:21:00,1690534260,10.45,10.45,10.45,10.45,0.0,0,0,12980000,1850000,172747
2023-07-28 14:20:00,1690534200,10.45,10.45,10.45,10.45,13.36,5000,0,12980000,1850000,172747
2023-07-28 14:19:00,1690534140,10.5,10.5,10.5,10.5,0.0,0,0,12975000,1850000,172747
2023-07-28 14:18:00,1690534080,10.5,10.5,10.5,10.5,13.36,5000,-5000,12975000,1850000,172747
2023-07-28 14:17:00,1690534020,10.5,10.5,10.5,10.5,13.36,20000,0,12970000,1855000,172747
2023-07-28 14:16:00,1690533960,10.75,10.75,10.75,10.75,0.0,0,0,12950000,1855000,172747
2023-07-28 14:15:00,1690533900,10.75,10.75,10.75,10.75,6.89,20000,-15000,12950000,1855000,172747
2023-07-28 14:14:00,1690533840,10.6,10.6,10.6,10.6,13.37,10000,0,12930000,1870000,172747
2023-07-28 14:13:00,1690533780,10.5,10.5,10.5,10.5,13.37,10000,0,12920000,1870000,172747
2023-07-28 14:12:00,1690533720,10.35,10.35,10.35,10.35,0.0,0,20000,12910000,1870000,172747
2023-07-28 14:11:00,1690533660,10.75,10.75,10.75,10.75,0.0,0,0,12910000,1850000,172747
2023-07-28 14:10:00,1690533600,10.95,11.0,10.75,10.75,9.69,35000,0,12910000,1850000,172747
2023-07-28 14:09:00,1690533540,10.8,10.8,10.8,10.8,13.38,5000,0,12875000,1850000,172747
2023-07-28 14:08:00,1690533480,11.05,11.05,10.8,10.8,8.24,25000,0,12870000,1850000,172747
2023-07-28 14:07:00,1690533420,11.0,11.0,10.95,10.95,13.39,15000,0,12845000,1850000,172747
2023-07-28 14:06:00,1690533360,11.1,11.1,11.1,11.1,13.39,5000,-5000,12830000,1850000,172747
2023-07-28 14:05:00,1690533300,10.95,10.95,10.95,10.95,0.0,0,0,12825000,1855000,172747
2023-07-28 14:04:00,1690533240,10.95,10.95,10.95,10.95,0.0,0,0,12825000,1855000,172747
2023-07-28 14:03:00,1690533180,10.9,10.95,10.9,10.95,13.39,10000,0,12825000,1855000,172747
2023-07-28 14:02:00,1690533120,10.85,10.85,10.85,10.85,0.0,0,0,12815000,1855000,172747
2023-07-28 14:01:00,1690533060,10.85,10.85,10.85,10.85,0.0,0,0,12815000,1855000,172747
2023-07-28 14:00:00,1690533000,10.85,10.85,10.85,10.85,13.39,20000,15000,12815000,1855000,172747
2023-07-28 13:59:00,1690532940,10.9,10.9,10.9,10.9,0.0,0,0,12795000,1840000,172747
2023-07-28 13:58:00,1690532880,10.9,10.9,10.9,10.9,-37.77,5000,0,12795000,1840000,172747
2023-07-28 13:57:00,1690532820,10.65,10.75,10.65,10.75,13.41,25000,10000,12790000,1840000,172747
2023-07-28 13:56:00,1690532760,10.9,11.0,10.85,10.85,13.41,5000,0,12765000,1830000,172747
2023-07-28 13:55:00,1690532700,10.75,10.75,10.75,10.75,0.0,0,0,12760000,1830000,172747
2023-07-28 13:54:00,1690532640,10.75,10.75,10.75,10.75,13.41,15000,0,12760000,1830000,172747
2023-07-28 13:53:00,1690532580,10.5,10.65,10.5,10.65,13.41,5000,5000,12745000,1830000,172747
2023-07-28 13:52:00,1690532520,10.4,10.4,10.4,10.4,13.41,5000,-15000,12740000,1825000,172747
2023-07-28 13:51:00,1690532460,10.25,10.25,10.25,10.25,0.0,0,0,12735000,1840000,172747
2023-07-28 13:50:00,1690532400,10.25,10.25,10.25,10.25,13.41,5000,0,12735000,1840000,172747
2023-07-28 13:49:00,1690532340,10.2,10.2,10.2,10.2,0.0,0,0,12730000,1840000,172747
2023-07-28 13:48:00,1690532280,10.25,10.25,10.2,10.2,13.41,10000,0,12730000,1840000,172747
2023-07-28 13:47:00,1690532220,10.1,10.1,10.1,10.1,0.0,0,0,12720000,1840000,172747
2023-07-28 13:46:00,1690532160,10.1,10.1,10.1,10.1,0.0,0,0,12720000,1840000,172747
2023-07-28 13:45:00,1690532100,10.1,10.1,10.1,10.1,13.41,5000,-10000,12720000,1840000,172747
2023-07-28 13:44:00,1690532040,10.1,10.1,10.1,10.1,0.0,0,0,12715000,1850000,172747
2023-07-28 13:43:00,1690531980,10.0,10.1,10.0,10.1,5.81,50000,0,12715000,1850000,172747
2023-07-28 13:42:00,1690531920,10.1,10.1,10.1,10.1,0.0,0,-5000,12665000,1850000,172747
2023-07-28 13:41:00,1690531860,10.1,10.1,10.1,10.1,13.44,5000,0,12665000,1855000,172747
2023-07-28 13:40:00,1690531800,10.2,10.2,10.2,10.2,13.44,5000,0,12660000,1855000,172747
2023-07-28 13:39:00,1690531740,10.3,10.3,10.3,10.3,13.44,10000,5000,12655000,1855000,172747
2023-07-28 13:38:00,1690531680,10.2,10.2,10.2,10.2,0.0,0,0,12645000,1850000,172747
2023-07-28 13:37:00,1690531620,10.2,10.2,10.2,10.2,13.44,5000,0,12645000,1850000,172747
2023-07-28 13:36:00,1690531560,10.5,10.5,10.5,10.5,13.44,15000,-20000,12640000,1850000,172747
2023-07-28 13:35:00,1690531500,10.55,10.55,10.55,10.55,13.44,40000,0,12625000,1870000,172747
2023-07-28 13:34:00,1690531440,10.55,10.55,10.55,10.55,0.0,0,0,12585000,1870000,172747
2023-07-28 13:33:00,1690531380,10.55,10.55,10.55,10.55,0.0,0,0,12585000,1870000,172747
2023-07-28 13:32:00,1690531320,10.55,10.55,10.55,10.55,5.06,15000,-5000,12585000,1870000,172747
2023-07-28 13:31:00,1690531260,10.55,10.55,10.55,10.55,13.45,10000,5000,12570000,1875000,172747
2023-07-28 13:30:00,1690531200,10.55,10.55,10.55,10.55,0.0,0,0,12560000,1870000,172747
2023-07-28 13:29:00,1690531140,10.55,10.55,10.55,10.55,13.45,5000,0,12560000,1870000,172747
2023-07-28 13:28:00,1690531080,10.8,10.8,10.8,10.8,13.45,5000,0,12555000,1870000,172747
2023-07-28 13:27:00,1690531020,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:26:00,1690530960,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:25:00,1690530900,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:24:00,1690530840,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:23:00,1690530780,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:22:00,1690530720,10.7,10.7,10.7,10.7,0.0,0,0,12550000,1870000,172747
2023-07-28 13:21:00,1690530660,10.7,10.7,10.7,10.7,0.91,10000,10000,12550000,1870000,172747
2023-07-28 13:20:00,1690530600,10.8,10.85,10.8,10.85,13.46,25000,0,12540000,1860000,172747
2023-07-28 13:19:00,1690530540,10.9,10.9,10.9,10.9,0.0,0,0,12515000,1860000,172747
2023-07-28 13:18:00,1690530480,10.8,10.9,10.8,10.9,13.46,20000,5000,12515000,1860000,172747
2023-07-28 13:17:00,1690530420,10.9,10.9,10.9,10.9,0.0,0,0,12495000,1855000,172747
2023-07-28 13:16:00,1690530360,10.9,10.9,10.9,10.9,-11.52,5000,0,12495000,1855000,172747
2023-07-28 13:15:00,1690530300,11.0,11.0,11.0,11.0,13.47,45000,0,12490000,1855000,172747
