time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,7.4,7.4,7.3,7.3,5.83,104000,0,61384000,6072000,54701
2023-08-07 15:27:00,1691402220,7.3,7.45,7.3,7.35,5.83,120000,-32000,61280000,6072000,54701
2023-08-07 15:26:00,1691402160,7.3,7.35,7.3,7.35,5.83,112000,0,61160000,6104000,54701
2023-08-07 15:25:00,1691402100,7.25,7.35,7.25,7.25,5.83,56000,0,61048000,6104000,54701
2023-08-07 15:24:00,1691402040,7.35,7.35,7.3,7.3,5.83,40000,56000,60992000,6104000,54701
2023-08-07 15:23:00,1691401980,7.4,7.4,7.4,7.4,36.28,40000,0,60952000,6048000,54701
2023-08-07 15:22:00,1691401920,7.4,7.45,7.4,7.4,5.81,72000,0,60912000,6048000,54701
2023-08-07 15:21:00,1691401860,7.45,7.5,7.45,7.45,5.81,120000,48000,60840000,6048000,54701
2023-08-07 15:20:00,1691401800,7.45,7.45,7.3,7.4,5.81,88000,0,60720000,6000000,54701
2023-08-07 15:19:00,1691401740,7.4,7.4,7.4,7.4,5.81,56000,0,60632000,6000000,54701
2023-08-07 15:18:00,1691401680,7.4,7.4,7.4,7.4,5.81,40000,-72000,60576000,6000000,54701
2023-08-07 15:17:00,1691401620,7.3,7.35,7.3,7.35,5.81,24000,0,60536000,6072000,54701
2023-08-07 15:16:00,1691401560,7.3,7.4,7.3,7.4,5.81,16000,0,60512000,6072000,54701
2023-08-07 15:15:00,1691401500,7.35,7.45,7.35,7.45,5.81,112000,24000,60496000,6072000,54701
2023-08-07 15:14:00,1691401440,7.5,7.5,7.45,7.5,5.81,184000,0,60384000,6048000,54701
2023-08-07 15:13:00,1691401380,7.55,7.6,7.55,7.55,35.89,40000,0,60200000,6048000,54701
2023-08-07 15:12:00,1691401320,7.55,7.55,7.5,7.5,5.79,120000,32000,60160000,6048000,54701
2023-08-07 15:11:00,1691401260,7.6,7.65,7.45,7.5,5.79,56000,0,60040000,6016000,54701
2023-08-07 15:10:00,1691401200,7.75,7.75,7.55,7.65,5.79,216000,0,59984000,6016000,54701
2023-08-07 15:09:00,1691401140,7.75,7.8,7.7,7.7,5.79,120000,-24000,59768000,6016000,54701
2023-08-07 15:08:00,1691401080,7.65,7.75,7.6,7.7,8.54,216000,0,59648000,6040000,54701
2023-08-07 15:07:00,1691401020,7.6,7.6,7.55,7.6,5.78,48000,0,59432000,6040000,54701
2023-08-07 15:06:00,1691400960,7.4,7.55,7.4,7.55,5.78,88000,-16000,59384000,6040000,54701
2023-08-07 15:05:00,1691400900,7.4,7.45,7.35,7.45,5.78,96000,0,59296000,6056000,54701
2023-08-07 15:04:00,1691400840,7.5,7.5,7.35,7.35,18.09,96000,0,59200000,6056000,54701
2023-08-07 15:03:00,1691400780,7.3,7.45,7.3,7.4,5.76,56000,-8000,59104000,6056000,54701
2023-08-07 15:02:00,1691400720,7.2,7.2,7.15,7.15,5.76,48000,0,59048000,6064000,54701
2023-08-07 15:01:00,1691400660,7.35,7.35,7.25,7.25,5.76,88000,0,59000000,6064000,54701
2023-08-07 15:00:00,1691400600,7.2,7.3,7.2,7.25,5.76,72000,-16000,58912000,6064000,54701
2023-08-07 14:59:00,1691400540,7.2,7.2,7.1,7.1,5.76,72000,0,58840000,6080000,54701
2023-08-07 14:58:00,1691400480,7.05,7.25,7.05,7.15,5.76,72000,0,58768000,6080000,54701
2023-08-07 14:57:00,1691400420,7.0,7.0,6.95,6.95,5.76,40000,-48000,58696000,6080000,54701
2023-08-07 14:56:00,1691400360,7.0,7.0,6.85,6.85,5.76,144000,0,58656000,6128000,54701
2023-08-07 14:55:00,1691400300,7.0,7.05,6.9,6.9,5.76,144000,0,58512000,6128000,54701
2023-08-07 14:54:00,1691400240,7.1,7.1,7.05,7.05,17.91,48000,0,58368000,6128000,54701
2023-08-07 14:53:00,1691400180,7.15,7.15,7.0,7.05,5.75,136000,0,58320000,6128000,54701
2023-08-07 14:52:00,1691400120,7.2,7.2,7.1,7.2,5.75,80000,0,58184000,6128000,54701
2023-08-07 14:51:00,1691400060,7.25,7.25,7.1,7.1,5.75,32000,-16000,58104000,6128000,54701
2023-08-07 14:50:00,1691400000,7.2,7.2,7.2,7.2,0.0,0,0,58072000,6144000,54701
2023-08-07 14:49:00,1691399940,7.25,7.25,7.2,7.2,5.75,40000,0,58072000,6144000,54701
2023-08-07 14:48:00,1691399880,7.4,7.4,7.3,7.3,5.75,24000,-48000,58032000,6144000,54701
2023-08-07 14:47:00,1691399820,7.35,7.35,7.35,7.35,0.0,0,0,58008000,6192000,54701
2023-08-07 14:46:00,1691399760,7.35,7.35,7.3,7.35,5.75,72000,0,58008000,6192000,54701
2023-08-07 14:45:00,1691399700,7.4,7.4,7.4,7.4,0.0,0,0,57936000,6192000,54701
2023-08-07 14:44:00,1691399640,7.4,7.4,7.4,7.4,13.78,72000,0,57936000,6192000,54701
2023-08-07 14:43:00,1691399580,7.35,7.4,7.35,7.35,5.74,64000,0,57864000,6192000,54701
2023-08-07 14:42:00,1691399520,7.45,7.45,7.45,7.45,5.74,40000,-8000,57800000,6192000,54701
2023-08-07 14:41:00,1691399460,7.45,7.45,7.35,7.4,5.74,72000,0,57760000,6200000,54701
2023-08-07 14:40:00,1691399400,7.4,7.4,7.4,7.4,5.74,24000,0,57688000,6200000,54701
2023-08-07 14:39:00,1691399340,7.25,7.4,7.25,7.4,5.74,72000,40000,57664000,6200000,54701
2023-08-07 14:38:00,1691399280,7.35,7.35,7.15,7.15,13.72,72000,0,57592000,6160000,54701
2023-08-07 14:37:00,1691399220,7.3,7.3,7.3,7.3,5.73,48000,0,57520000,6160000,54701
2023-08-07 14:36:00,1691399160,7.4,7.4,7.35,7.35,5.73,56000,16000,57472000,6160000,54701
2023-08-07 14:35:00,1691399100,7.3,7.3,7.3,7.3,0.0,0,0,57416000,6144000,54701
2023-08-07 14:34:00,1691399040,7.35,7.35,7.3,7.3,5.73,56000,0,57416000,6144000,54701
2023-08-07 14:33:00,1691398980,7.4,7.45,7.4,7.45,5.73,32000,-48000,57360000,6144000,54701
2023-08-07 14:32:00,1691398920,7.3,7.35,7.25,7.35,5.73,72000,0,57328000,6192000,54701
2023-08-07 14:31:00,1691398860,7.45,7.45,7.4,7.4,10.83,112000,0,57256000,6192000,54701
2023-08-07 14:30:00,1691398800,7.6,7.65,7.55,7.55,5.72,112000,-104000,57144000,6192000,54701
2023-08-07 14:29:00,1691398740,7.8,7.85,7.55,7.55,8.61,584000,0,57032000,6296000,54701
2023-08-07 14:28:00,1691398680,7.65,7.75,7.6,7.75,5.69,128000,0,56448000,6296000,54701
2023-08-07 14:27:00,1691398620,7.55,7.6,7.55,7.6,5.69,248000,-56000,56320000,6296000,54701
2023-08-07 14:26:00,1691398560,7.65,7.65,7.55,7.6,12.68,80000,0,56072000,6352000,54701
2023-08-07 14:25:00,1691398500,7.65,7.65,7.6,7.6,5.68,80000,0,55992000,6352000,54701
2023-08-07 14:24:00,1691398440,7.6,7.65,7.55,7.6,5.68,136000,-32000,55912000,6352000,54701
2023-08-07 14:23:00,1691398380,7.45,7.6,7.45,7.55,11.99,176000,0,55776000,6384000,54701
2023-08-07 14:22:00,1691398320,7.4,7.4,7.35,7.35,5.66,24000,0,55600000,6384000,54701
2023-08-07 14:21:00,1691398260,7.25,7.35,7.15,7.35,5.66,88000,0,55576000,6384000,54701
2023-08-07 14:20:00,1691398200,7.05,7.2,7.05,7.2,5.66,40000,0,55488000,6384000,54701
2023-08-07 14:19:00,1691398140,6.95,6.95,6.95,6.95,5.66,32000,0,55448000,6384000,54701
2023-08-07 14:18:00,1691398080,7.0,7.0,6.9,6.95,5.66,112000,24000,55416000,6384000,54701
2023-08-07 14:17:00,1691398020,7.0,7.0,6.95,6.95,5.66,24000,0,55304000,6360000,54701
2023-08-07 14:16:00,1691397960,6.95,6.95,6.9,6.95,5.66,56000,0,55280000,6360000,54701
2023-08-07 14:15:00,1691397900,7.1,7.1,7.0,7.0,5.66,112000,-64000,55224000,6360000,54701
2023-08-07 14:14:00,1691397840,7.1,7.2,7.0,7.0,8.4,200000,0,55112000,6424000,54701
2023-08-07 14:13:00,1691397780,7.15,7.15,6.9,6.95,5.65,144000,0,54912000,6424000,54701
2023-08-07 14:12:00,1691397720,7.2,7.25,7.2,7.2,5.65,104000,-192000,54768000,6424000,54701
