time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,6.55,6.55,6.55,6.55,6.17,16000,0,14080000,1072000,54723
2023-08-08 15:27:00,1691488620,6.55,6.55,6.55,6.55,6.17,24000,0,14064000,1072000,54723
2023-08-08 15:26:00,1691488560,6.6,6.6,6.6,6.6,23.71,8000,0,14040000,1072000,54723
2023-08-08 15:25:00,1691488500,6.7,6.7,6.7,6.7,6.16,8000,0,14032000,1072000,54723
2023-08-08 15:24:00,1691488440,6.7,6.7,6.7,6.7,6.16,16000,0,14024000,1072000,54723
2023-08-08 15:23:00,1691488380,6.75,6.75,6.75,6.75,6.16,16000,0,14008000,1072000,54723
2023-08-08 15:22:00,1691488320,6.7,6.7,6.7,6.7,6.16,8000,0,13992000,1072000,54723
2023-08-08 15:21:00,1691488260,6.65,6.65,6.65,6.65,0.0,0,0,13984000,1072000,54723
2023-08-08 15:20:00,1691488200,6.7,6.7,6.65,6.65,6.16,16000,-32000,13984000,1072000,54723
2023-08-08 15:19:00,1691488140,6.6,6.6,6.6,6.6,0.0,0,0,13968000,1104000,54723
2023-08-08 15:18:00,1691488080,6.6,6.6,6.6,6.6,0.0,0,0,13968000,1104000,54723
2023-08-08 15:17:00,1691488020,6.6,6.6,6.6,6.6,6.16,24000,0,13968000,1104000,54723
2023-08-08 15:16:00,1691487960,6.5,6.5,6.5,6.5,0.0,0,0,13944000,1104000,54723
2023-08-08 15:15:00,1691487900,6.5,6.5,6.5,6.5,6.16,16000,0,13944000,1104000,54723
2023-08-08 15:14:00,1691487840,6.45,6.45,6.45,6.45,0.0,0,0,13928000,1104000,54723
2023-08-08 15:13:00,1691487780,6.5,6.5,6.4,6.45,6.16,32000,0,13928000,1104000,54723
2023-08-08 15:12:00,1691487720,6.55,6.55,6.55,6.55,0.0,0,0,13896000,1104000,54723
2023-08-08 15:11:00,1691487660,6.65,6.65,6.5,6.55,6.16,72000,0,13896000,1104000,54723
2023-08-08 15:10:00,1691487600,6.75,6.75,6.75,6.75,6.16,16000,0,13824000,1104000,54723
2023-08-08 15:09:00,1691487540,6.85,6.85,6.8,6.8,6.16,8000,40000,13808000,1104000,54723
2023-08-08 15:08:00,1691487480,6.95,6.95,6.95,6.95,0.0,0,0,13800000,1064000,54723
2023-08-08 15:07:00,1691487420,6.95,6.95,6.95,6.95,6.16,16000,0,13800000,1064000,54723
2023-08-08 15:06:00,1691487360,6.9,6.95,6.9,6.9,8.3,64000,-8000,13784000,1064000,54723
2023-08-08 15:05:00,1691487300,6.85,6.85,6.85,6.85,0.0,0,0,13720000,1072000,54723
2023-08-08 15:04:00,1691487240,6.8,6.85,6.8,6.85,6.15,8000,0,13720000,1072000,54723
2023-08-08 15:03:00,1691487180,6.7,6.7,6.7,6.7,6.15,32000,16000,13712000,1072000,54723
2023-08-08 15:02:00,1691487120,6.75,6.75,6.75,6.75,6.15,16000,0,13680000,1056000,54723
