time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,98.0,98.0,98.0,98.0,97.97,550,0,33000,22000,142467
2023-08-08 15:27:00,1691488620,96.4,96.4,96.4,96.4,96.29,1650,-275,32450,22000,142467
2023-08-08 15:26:00,1691488560,96.4,96.4,96.4,96.4,0.0,0,0,30800,22275,142467
2023-08-08 15:25:00,1691488500,94.1,96.4,94.1,96.4,95.36,550,0,30800,22275,142467
2023-08-08 15:24:00,1691488440,96.35,96.35,94.5,94.5,94.93,1100,-550,30250,22275,142467
2023-08-08 15:23:00,1691488380,95.5,95.5,95.5,95.5,96.25,825,0,29150,22825,142467
2023-08-08 15:22:00,1691488320,96.25,96.4,96.25,96.4,95.67,275,0,28325,22825,142467
2023-08-08 15:21:00,1691488260,96.3,96.3,96.3,96.3,0.0,0,0,28050,22825,142467
2023-08-08 15:20:00,1691488200,96.3,96.3,96.3,96.3,96.92,275,0,28050,22825,142467
2023-08-08 15:19:00,1691488140,93.7,93.7,93.7,93.7,0.0,0,0,27775,22825,142467
2023-08-08 15:18:00,1691488080,93.7,93.7,93.7,93.7,0.0,0,0,27775,22825,142467
2023-08-08 15:17:00,1691488020,93.7,93.7,93.7,93.7,0.0,0,0,27775,22825,142467
2023-08-08 15:16:00,1691487960,93.7,93.7,93.7,93.7,0.0,0,0,27775,22825,142467
2023-08-08 15:15:00,1691487900,93.7,93.7,93.7,93.7,0.0,0,0,27775,22825,142467
2023-08-08 15:14:00,1691487840,93.7,93.7,93.7,93.7,93.14,275,0,27775,22825,142467
2023-08-08 15:13:00,1691487780,94.15,94.15,94.15,94.15,94.43,275,0,27500,22825,142467
2023-08-08 15:12:00,1691487720,95.6,95.6,95.6,95.6,0.0,0,0,27225,22825,142467
2023-08-08 15:11:00,1691487660,95.6,95.6,95.6,95.6,0.0,0,0,27225,22825,142467
2023-08-08 15:10:00,1691487600,95.6,95.6,95.6,95.6,95.69,275,0,27225,22825,142467
2023-08-08 15:09:00,1691487540,96.65,96.65,96.65,96.65,96.92,275,0,26950,22825,142467
2023-08-08 15:08:00,1691487480,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:07:00,1691487420,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:06:00,1691487360,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:05:00,1691487300,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:04:00,1691487240,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:03:00,1691487180,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:02:00,1691487120,93.65,93.65,93.65,93.65,0.0,0,0,26675,22825,142467
2023-08-08 15:01:00,1691487060,93.3,93.65,93.0,93.65,93.32,825,0,26675,22825,142467
2023-08-08 15:00:00,1691487000,93.8,93.8,93.8,93.8,93.36,275,0,25850,22825,142467
2023-08-08 14:59:00,1691486940,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:58:00,1691486880,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:57:00,1691486820,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:56:00,1691486760,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:55:00,1691486700,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:54:00,1691486640,100.3,100.3,100.3,100.3,0.0,0,0,25575,22825,142467
2023-08-08 14:53:00,1691486580,100.3,100.3,100.3,100.3,100.14,275,275,25575,22825,142467
2023-08-08 14:52:00,1691486520,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:51:00,1691486460,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:50:00,1691486400,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:49:00,1691486340,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:48:00,1691486280,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:47:00,1691486220,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:46:00,1691486160,101.0,101.0,101.0,101.0,0.0,0,0,25300,22550,142467
2023-08-08 14:45:00,1691486100,102.5,102.5,101.0,101.0,100.86,1100,825,25300,22550,142467
2023-08-08 14:44:00,1691486040,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:43:00,1691485980,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:42:00,1691485920,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:41:00,1691485860,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:40:00,1691485800,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:39:00,1691485740,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:38:00,1691485680,100.0,100.0,100.0,100.0,0.0,0,0,24200,21725,142467
2023-08-08 14:37:00,1691485620,100.0,100.0,100.0,100.0,0.0,0,-825,24200,21725,142467
2023-08-08 14:36:00,1691485560,100.1,100.1,100.1,100.1,0.0,0,0,24200,22550,142467
2023-08-08 14:35:00,1691485500,100.1,100.1,100.1,100.1,0.0,0,0,24200,22550,142467
2023-08-08 14:34:00,1691485440,100.1,100.1,100.1,100.1,0.0,0,0,24200,22550,142467
2023-08-08 14:33:00,1691485380,100.1,100.1,100.1,100.1,0.0,0,0,24200,22550,142467
2023-08-08 14:32:00,1691485320,100.1,100.1,100.1,100.1,0.0,0,0,24200,22550,142467
2023-08-08 14:31:00,1691485260,100.1,100.1,100.1,100.1,99.44,1650,-275,24200,22550,142467
2023-08-08 14:30:00,1691485200,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:29:00,1691485140,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:28:00,1691485080,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:27:00,1691485020,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:26:00,1691484960,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:25:00,1691484900,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:24:00,1691484840,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:23:00,1691484780,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:22:00,1691484720,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:21:00,1691484660,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:20:00,1691484600,100.0,100.0,100.0,100.0,0.0,0,0,22550,22825,142467
2023-08-08 14:19:00,1691484540,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:18:00,1691484480,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:17:00,1691484420,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:16:00,1691484360,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:15:00,1691484300,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:14:00,1691484240,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:13:00,1691484180,96.5,96.5,96.5,96.5,0.0,0,0,22550,22825,142467
2023-08-08 14:12:00,1691484120,96.5,96.5,96.5,96.5,0.0,0,-275,22550,22825,142467
2023-08-08 14:11:00,1691484060,96.0,96.0,96.0,96.0,0.0,0,0,22550,23100,142467
2023-08-08 14:10:00,1691484000,96.0,96.0,96.0,96.0,96.01,275,0,22550,23100,142467
2023-08-08 14:09:00,1691483940,96.35,96.35,96.0,96.0,96.73,825,0,22275,23100,142467
2023-08-08 14:08:00,1691483880,97.5,97.5,97.5,97.5,0.0,0,0,21450,23100,142467
2023-08-08 14:07:00,1691483820,97.5,97.5,97.5,97.5,0.0,0,0,21450,23100,142467
2023-08-08 14:06:00,1691483760,97.5,97.5,97.5,97.5,0.0,0,-1100,21450,23100,142467
2023-08-08 14:05:00,1691483700,96.75,98.5,96.75,98.5,97.75,1650,0,21450,24200,142467
2023-08-08 14:04:00,1691483640,101.3,101.3,101.3,101.3,101.79,275,0,19800,24200,142467
2023-08-08 14:03:00,1691483580,101.3,101.3,101.3,101.3,0.0,0,0,19525,24200,142467
2023-08-08 14:02:00,1691483520,101.3,101.3,101.3,101.3,0.0,0,0,19525,24200,142467
2023-08-08 14:01:00,1691483460,101.3,101.3,101.3,101.3,102.24,550,275,19525,24200,142467
2023-08-08 14:00:00,1691483400,103.6,103.6,103.6,103.6,0.0,0,0,18975,23925,142467
2023-08-08 13:59:00,1691483340,103.6,103.6,103.6,103.6,0.0,0,0,18975,23925,142467
2023-08-08 13:58:00,1691483280,103.6,103.6,103.6,103.6,0.0,0,0,18975,23925,142467
2023-08-08 13:57:00,1691483220,103.6,103.6,103.6,103.6,0.0,0,825,18975,23925,142467
2023-08-08 13:56:00,1691483160,103.0,103.0,103.0,103.0,102.99,825,0,18975,23100,142467
2023-08-08 13:55:00,1691483100,102.0,102.0,102.0,102.0,0.0,0,0,18150,23100,142467
2023-08-08 13:54:00,1691483040,102.0,102.0,102.0,102.0,102.29,275,550,18150,23100,142467
2023-08-08 13:53:00,1691482980,108.0,108.0,108.0,108.0,0.0,0,0,17875,22550,142467
2023-08-08 13:52:00,1691482920,108.0,108.0,108.0,108.0,0.0,0,0,17875,22550,142467
2023-08-08 13:51:00,1691482860,108.0,108.0,108.0,108.0,0.0,0,0,17875,22550,142467
2023-08-08 13:50:00,1691482800,108.0,108.0,108.0,108.0,107.75,275,0,17875,22550,142467
2023-08-08 13:49:00,1691482740,109.45,109.45,109.45,109.45,109.82,275,275,17600,22550,142467
2023-08-08 13:48:00,1691482680,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:47:00,1691482620,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:46:00,1691482560,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:45:00,1691482500,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:44:00,1691482440,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:43:00,1691482380,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:42:00,1691482320,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:41:00,1691482260,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:40:00,1691482200,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:39:00,1691482140,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:38:00,1691482080,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:37:00,1691482020,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:36:00,1691481960,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:35:00,1691481900,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:34:00,1691481840,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:33:00,1691481780,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:32:00,1691481720,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:31:00,1691481660,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:30:00,1691481600,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:29:00,1691481540,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:28:00,1691481480,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:27:00,1691481420,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:26:00,1691481360,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:25:00,1691481300,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:24:00,1691481240,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:23:00,1691481180,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:22:00,1691481120,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:21:00,1691481060,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:20:00,1691481000,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:19:00,1691480940,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:18:00,1691480880,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:17:00,1691480820,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:16:00,1691480760,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:15:00,1691480700,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:14:00,1691480640,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:13:00,1691480580,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:12:00,1691480520,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:11:00,1691480460,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:10:00,1691480400,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:09:00,1691480340,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:08:00,1691480280,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:07:00,1691480220,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:06:00,1691480160,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:05:00,1691480100,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:04:00,1691480040,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:03:00,1691479980,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:02:00,1691479920,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:01:00,1691479860,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 13:00:00,1691479800,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:59:00,1691479740,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:58:00,1691479680,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:57:00,1691479620,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:56:00,1691479560,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:55:00,1691479500,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:54:00,1691479440,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:53:00,1691479380,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:52:00,1691479320,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:51:00,1691479260,113.35,113.35,113.35,113.35,0.0,0,0,17325,22275,142467
2023-08-08 12:50:00,1691479200,113.35,113.35,113.35,113.35,113.04,275,275,17325,22275,142467
2023-08-08 12:49:00,1691479140,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:48:00,1691479080,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:47:00,1691479020,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:46:00,1691478960,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:45:00,1691478900,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:44:00,1691478840,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:43:00,1691478780,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:42:00,1691478720,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:41:00,1691478660,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:40:00,1691478600,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:39:00,1691478540,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:38:00,1691478480,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:37:00,1691478420,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:36:00,1691478360,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:35:00,1691478300,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:34:00,1691478240,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:33:00,1691478180,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:32:00,1691478120,110.0,110.0,110.0,110.0,0.0,0,0,17050,22000,142467
2023-08-08 12:31:00,1691478060,110.0,110.0,110.0,110.0,110.01,275,0,17050,22000,142467
2023-08-08 12:30:00,1691478000,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:29:00,1691477940,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:28:00,1691477880,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:27:00,1691477820,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:26:00,1691477760,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:25:00,1691477700,108.0,108.0,108.0,108.0,0.0,0,0,16775,22000,142467
2023-08-08 12:24:00,1691477640,108.7,108.7,108.0,108.0,108.51,825,0,16775,22000,142467
2023-08-08 12:23:00,1691477580,110.95,110.95,110.95,110.95,0.0,0,0,15950,22000,142467
2023-08-08 12:22:00,1691477520,110.95,110.95,110.95,110.95,110.07,1375,0,15950,22000,142467
2023-08-08 12:21:00,1691477460,113.55,113.55,113.55,113.55,0.0,0,0,14575,22000,142467
2023-08-08 12:20:00,1691477400,113.55,113.55,113.55,113.55,0.0,0,0,14575,22000,142467
2023-08-08 12:19:00,1691477340,113.55,113.55,113.55,113.55,113.85,275,275,14575,22000,142467
2023-08-08 12:18:00,1691477280,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:17:00,1691477220,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:16:00,1691477160,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:15:00,1691477100,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:14:00,1691477040,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:13:00,1691476980,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:12:00,1691476920,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:11:00,1691476860,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:10:00,1691476800,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:09:00,1691476740,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:08:00,1691476680,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:07:00,1691476620,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:06:00,1691476560,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:05:00,1691476500,118.5,118.5,118.5,118.5,0.0,0,0,14300,21725,142467
2023-08-08 12:04:00,1691476440,118.5,118.5,118.5,118.5,117.2,1375,550,14300,21725,142467
2023-08-08 12:03:00,1691476380,118.5,118.5,118.5,118.5,0.0,0,0,12925,21175,142467
2023-08-08 12:02:00,1691476320,118.5,118.5,118.5,118.5,0.0,0,275,12925,21175,142467
2023-08-08 12:01:00,1691476260,112.35,112.35,112.35,112.35,0.0,0,0,12925,20900,142467
2023-08-08 12:00:00,1691476200,112.35,112.35,112.35,112.35,0.0,0,0,12925,20900,142467
2023-08-08 11:59:00,1691476140,112.35,112.35,112.35,112.35,0.0,0,0,12925,20900,142467
2023-08-08 11:58:00,1691476080,112.35,112.35,112.35,112.35,0.0,0,0,12925,20900,142467
2023-08-08 11:57:00,1691476020,112.35,112.35,112.35,112.35,0.0,0,0,12925,20900,142467
