time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,24.95,24.95,24.95,24.95,0.0,0,0,2206500,243000,143208
2023-07-28 15:27:00,1690538220,24.95,24.95,24.95,24.95,0.0,0,0,2206500,243000,143208
2023-07-28 15:26:00,1690538160,24.95,24.95,24.95,24.95,0.0,0,0,2206500,243000,143208
2023-07-28 15:25:00,1690538100,25.05,25.05,24.95,24.95,28.09,6000,0,2206500,243000,143208
2023-07-28 15:24:00,1690538040,25.15,25.2,25.15,25.2,0.0,0,0,2200500,243000,143208
2023-07-28 15:23:00,1690537980,25.5,25.5,25.3,25.3,20.76,3000,0,2200500,243000,143208
2023-07-28 15:22:00,1690537920,24.95,25.3,24.95,25.3,28.1,4500,0,2197500,243000,143208
2023-07-28 15:21:00,1690537860,25.75,25.85,25.75,25.85,20.8,3000,-3000,2193000,243000,143208
2023-07-28 15:20:00,1690537800,26.0,26.0,26.0,26.0,28.11,1500,0,2190000,246000,143208
2023-07-28 15:19:00,1690537740,25.9,25.9,25.9,25.9,0.0,0,0,2188500,246000,143208
2023-07-28 15:18:00,1690537680,26.15,26.15,25.9,25.9,28.11,4500,-7500,2188500,246000,143208
2023-07-28 15:17:00,1690537620,26.2,26.2,26.2,26.2,28.11,1500,0,2184000,253500,143208
2023-07-28 15:16:00,1690537560,26.35,26.35,26.35,26.35,20.85,6000,0,2182500,253500,143208
2023-07-28 15:15:00,1690537500,26.3,26.3,26.3,26.3,28.13,3000,-3000,2176500,253500,143208
2023-07-28 15:14:00,1690537440,26.2,26.2,26.2,26.2,0.0,0,0,2173500,256500,143208
2023-07-28 15:13:00,1690537380,26.15,26.2,26.15,26.2,28.13,6000,0,2173500,256500,143208
2023-07-28 15:12:00,1690537320,26.25,26.25,26.25,26.25,0.0,0,-1500,2167500,256500,143208
2023-07-28 15:11:00,1690537260,25.9,25.9,25.9,25.9,28.13,3000,-7500,2167500,258000,143208
2023-07-28 15:10:00,1690537200,26.3,26.3,26.3,26.3,0.0,0,0,2164500,265500,143208
2023-07-28 15:09:00,1690537140,26.3,26.3,26.3,26.3,0.0,0,0,2164500,265500,143208
2023-07-28 15:08:00,1690537080,26.3,26.3,26.3,26.3,0.0,0,0,2164500,265500,143208
2023-07-28 15:07:00,1690537020,26.45,26.45,26.25,26.25,28.13,3000,0,2164500,265500,143208
2023-07-28 15:06:00,1690536960,26.5,26.5,26.5,26.5,23.33,4500,0,2161500,265500,143208
2023-07-28 15:05:00,1690536900,26.45,26.45,26.45,26.45,28.14,3000,0,2157000,265500,143208
2023-07-28 15:04:00,1690536840,26.35,26.35,26.35,26.35,28.14,1500,0,2154000,265500,143208
2023-07-28 15:03:00,1690536780,26.45,26.5,26.45,26.5,28.14,4500,-4500,2152500,265500,143208
2023-07-28 15:02:00,1690536720,26.05,26.05,26.05,26.05,28.14,1500,0,2148000,270000,143208
2023-07-28 15:01:00,1690536660,26.3,26.3,26.3,26.3,13.84,1500,0,2146500,270000,143208
2023-07-28 15:00:00,1690536600,26.45,26.45,26.3,26.3,28.15,6000,-1500,2145000,270000,143208
2023-07-28 14:59:00,1690536540,26.3,26.3,26.3,26.3,0.0,0,0,2139000,271500,143208
2023-07-28 14:58:00,1690536480,26.5,26.5,26.05,26.3,25.3,7500,0,2139000,271500,143208
2023-07-28 14:57:00,1690536420,26.5,26.5,26.45,26.45,28.16,6000,-4500,2131500,271500,143208
2023-07-28 14:56:00,1690536360,26.2,26.2,26.2,26.2,24.62,6000,-1500,2125500,276000,143208
2023-07-28 14:55:00,1690536300,26.5,26.5,26.5,26.5,0.0,0,0,2119500,277500,143208
2023-07-28 14:54:00,1690536240,26.5,26.5,26.5,26.5,0.0,0,0,2119500,277500,143208
2023-07-28 14:53:00,1690536180,26.5,26.5,26.5,26.5,28.17,3000,0,2119500,277500,143208
2023-07-28 14:52:00,1690536120,26.25,26.25,26.25,26.25,28.17,1500,0,2116500,277500,143208
2023-07-28 14:51:00,1690536060,26.2,26.2,26.2,26.2,28.17,1500,0,2115000,277500,143208
2023-07-28 14:50:00,1690536000,26.5,26.5,26.5,26.5,0.0,0,0,2113500,277500,143208
2023-07-28 14:49:00,1690535940,26.5,26.5,26.5,26.5,0.0,0,0,2113500,277500,143208
2023-07-28 14:48:00,1690535880,26.5,26.5,26.5,26.5,14.1,3000,-1500,2113500,277500,143208
2023-07-28 14:47:00,1690535820,26.5,26.5,26.5,26.5,28.19,1500,0,2110500,279000,143208
2023-07-28 14:46:00,1690535760,26.5,26.5,26.5,26.5,28.19,3000,-1500,2109000,279000,143208
2023-07-28 14:45:00,1690535700,26.1,26.1,26.1,26.1,0.0,0,0,2106000,280500,143208
2023-07-28 14:44:00,1690535640,26.1,26.1,26.1,26.1,28.19,1500,1500,2106000,280500,143208
2023-07-28 14:43:00,1690535580,25.8,25.8,25.8,25.8,0.0,0,0,2104500,279000,143208
2023-07-28 14:42:00,1690535520,25.8,25.8,25.8,25.8,0.0,0,0,2104500,279000,143208
2023-07-28 14:41:00,1690535460,25.8,25.8,25.8,25.8,0.0,0,0,2104500,279000,143208
2023-07-28 14:40:00,1690535400,25.8,25.8,25.8,25.8,0.0,0,0,2104500,279000,143208
2023-07-28 14:39:00,1690535340,25.8,25.8,25.8,25.8,28.19,4500,-1500,2104500,279000,143208
2023-07-28 14:38:00,1690535280,25.5,25.5,25.5,25.5,0.0,0,3000,2100000,280500,143208
2023-07-28 14:37:00,1690535220,25.8,25.8,25.8,25.8,0.0,0,0,2100000,277500,143208
2023-07-28 14:36:00,1690535160,25.8,25.8,25.8,25.8,0.0,0,0,2100000,277500,143208
2023-07-28 14:35:00,1690535100,25.5,25.8,25.5,25.8,28.19,3000,0,2100000,277500,143208
2023-07-28 14:34:00,1690535040,26.4,26.4,26.4,26.4,0.0,0,0,2097000,277500,143208
2023-07-28 14:33:00,1690534980,26.4,26.4,26.4,26.4,28.19,4500,-4500,2097000,277500,143208
2023-07-28 14:32:00,1690534920,26.65,26.65,26.65,26.65,0.0,0,0,2092500,282000,143208
2023-07-28 14:31:00,1690534860,26.4,26.5,26.4,26.5,28.19,1500,0,2092500,282000,143208
2023-07-28 14:30:00,1690534800,26.45,26.45,26.45,26.45,21.23,3000,0,2091000,282000,143208
2023-07-28 14:29:00,1690534740,26.45,26.45,26.45,26.45,28.2,1500,-1500,2088000,282000,143208
2023-07-28 14:28:00,1690534680,26.0,26.0,26.0,26.0,28.2,1500,0,2086500,283500,143208
2023-07-28 14:27:00,1690534620,26.0,26.0,26.0,26.0,28.2,3000,0,2085000,283500,143208
2023-07-28 14:26:00,1690534560,26.6,26.6,26.6,26.6,0.0,0,0,2082000,283500,143208
2023-07-28 14:25:00,1690534500,26.6,26.6,26.6,26.6,0.0,0,0,2082000,283500,143208
2023-07-28 14:24:00,1690534440,26.6,26.6,26.6,26.6,0.0,0,0,2082000,283500,143208
2023-07-28 14:23:00,1690534380,26.6,26.6,26.6,26.6,0.0,0,-4500,2082000,283500,143208
2023-07-28 14:22:00,1690534320,26.5,26.5,26.5,26.5,28.2,1500,0,2082000,288000,143208
2023-07-28 14:21:00,1690534260,26.25,26.25,26.2,26.2,23.58,4500,0,2080500,288000,143208
2023-07-28 14:20:00,1690534200,26.5,26.5,26.5,26.5,28.21,3000,-4500,2076000,288000,143208
2023-07-28 14:19:00,1690534140,26.75,26.75,26.75,26.75,0.0,0,0,2073000,292500,143208
2023-07-28 14:18:00,1690534080,26.75,26.75,26.75,26.75,0.0,0,0,2073000,292500,143208
2023-07-28 14:17:00,1690534020,26.75,26.75,26.75,26.75,0.0,0,0,2073000,292500,143208
2023-07-28 14:16:00,1690533960,27.0,27.0,27.0,27.0,0.0,0,0,2073000,292500,143208
2023-07-28 14:15:00,1690533900,27.0,27.0,27.0,27.0,25.91,9000,-4500,2073000,292500,143208
2023-07-28 14:14:00,1690533840,26.95,27.0,26.95,27.0,28.22,9000,0,2064000,297000,143208
2023-07-28 14:13:00,1690533780,26.4,27.0,26.4,26.85,26.7,13500,0,2055000,297000,143208
2023-07-28 14:12:00,1690533720,26.45,26.45,26.3,26.3,28.23,3000,-3000,2041500,297000,143208
2023-07-28 14:11:00,1690533660,26.25,26.25,26.25,26.25,0.0,0,0,2038500,300000,143208
2023-07-28 14:10:00,1690533600,26.25,26.25,26.25,26.25,23.71,4500,0,2038500,300000,143208
2023-07-28 14:09:00,1690533540,26.25,26.25,26.25,26.25,0.0,0,0,2034000,300000,143208
2023-07-28 14:08:00,1690533480,26.25,26.25,26.25,26.25,0.0,0,-1500,2034000,300000,143208
2023-07-28 14:07:00,1690533420,26.25,26.25,26.25,26.25,28.24,1500,1500,2034000,301500,143208
2023-07-28 14:06:00,1690533360,26.2,26.2,26.2,26.2,0.0,0,0,2032500,300000,143208
2023-07-28 14:05:00,1690533300,26.2,26.2,26.2,26.2,0.0,0,0,2032500,300000,143208
2023-07-28 14:04:00,1690533240,26.2,26.2,26.2,26.2,0.0,0,0,2032500,300000,143208
2023-07-28 14:03:00,1690533180,26.2,26.2,26.2,26.2,28.24,3000,0,2032500,300000,143208
2023-07-28 14:02:00,1690533120,26.2,26.2,26.2,26.2,0.0,0,0,2029500,300000,143208
2023-07-28 14:01:00,1690533060,26.2,26.2,26.2,26.2,21.48,3000,0,2029500,300000,143208
2023-07-28 14:00:00,1690533000,26.25,26.25,26.0,26.0,28.25,4500,1500,2026500,300000,143208
2023-07-28 13:59:00,1690532940,26.0,26.0,26.0,26.0,0.0,0,0,2022000,298500,143208
2023-07-28 13:58:00,1690532880,25.9,26.0,25.9,26.0,23.76,4500,0,2022000,298500,143208
2023-07-28 13:57:00,1690532820,25.8,25.8,25.8,25.8,28.26,6000,0,2017500,298500,143208
2023-07-28 13:56:00,1690532760,25.6,25.8,25.6,25.8,28.26,1500,-6000,2011500,298500,143208
2023-07-28 13:55:00,1690532700,25.15,25.15,25.15,25.15,0.0,0,0,2010000,304500,143208
2023-07-28 13:54:00,1690532640,25.15,25.15,25.15,25.15,0.0,0,0,2010000,304500,143208
2023-07-28 13:53:00,1690532580,25.15,25.15,25.15,25.15,0.0,0,0,2010000,304500,143208
2023-07-28 13:52:00,1690532520,25.15,25.15,25.15,25.15,0.0,0,0,2010000,304500,143208
2023-07-28 13:51:00,1690532460,25.15,25.15,25.15,25.15,23.8,4500,0,2010000,304500,143208
