time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,3.0,3.0,3.0,3.0,2.8,27500,0,4334000,1485000,84826
2023-08-02 15:27:00,1690970220,2.95,3.0,2.95,2.95,2.8,27500,0,4306500,1485000,84826
2023-08-02 15:26:00,1690970160,3.05,3.05,3.05,3.05,0.0,0,0,4279000,1485000,84826
2023-08-02 15:25:00,1690970100,3.05,3.05,3.05,3.05,2.8,5500,0,4279000,1485000,84826
2023-08-02 15:24:00,1690970040,3.05,3.05,3.05,3.05,0.0,0,0,4273500,1485000,84826
2023-08-02 15:23:00,1690969980,3.05,3.05,3.05,3.05,0.0,0,0,4273500,1485000,84826
2023-08-02 15:22:00,1690969920,3.05,3.05,3.05,3.05,0.0,0,0,4273500,1485000,84826
2023-08-02 15:21:00,1690969860,3.05,3.05,3.05,3.05,2.8,38500,0,4273500,1485000,84826
2023-08-02 15:20:00,1690969800,3.05,3.05,3.05,3.05,0.0,0,0,4235000,1485000,84826
2023-08-02 15:19:00,1690969740,3.05,3.05,3.05,3.05,2.8,16500,0,4235000,1485000,84826
2023-08-02 15:18:00,1690969680,3.0,3.0,3.0,3.0,0.0,0,0,4218500,1485000,84826
2023-08-02 15:17:00,1690969620,3.1,3.1,3.0,3.0,2.8,33000,0,4218500,1485000,84826
2023-08-02 15:16:00,1690969560,3.05,3.05,3.05,3.05,0.0,0,0,4185500,1485000,84826
2023-08-02 15:15:00,1690969500,3.05,3.05,3.05,3.05,6.59,11000,5500,4185500,1485000,84826
2023-08-02 15:14:00,1690969440,3.0,3.0,2.95,2.95,2.79,22000,-5500,4174500,1479500,84826
2023-08-02 15:13:00,1690969380,3.05,3.05,3.05,3.05,0.0,0,0,4152500,1485000,84826
2023-08-02 15:12:00,1690969320,3.05,3.05,3.05,3.05,0.0,0,0,4152500,1485000,84826
2023-08-02 15:11:00,1690969260,3.05,3.05,3.05,3.05,0.0,0,0,4152500,1485000,84826
2023-08-02 15:10:00,1690969200,3.05,3.05,3.05,3.05,2.79,5500,0,4152500,1485000,84826
2023-08-02 15:09:00,1690969140,3.05,3.05,3.05,3.05,2.79,11000,0,4147000,1485000,84826
2023-08-02 15:08:00,1690969080,3.05,3.05,3.05,3.05,0.0,0,0,4136000,1485000,84826
2023-08-02 15:07:00,1690969020,3.05,3.05,3.05,3.05,2.79,5500,0,4136000,1485000,84826
2023-08-02 15:06:00,1690968960,3.05,3.05,3.05,3.05,0.0,0,0,4130500,1485000,84826
2023-08-02 15:05:00,1690968900,3.05,3.05,3.05,3.05,0.0,0,0,4130500,1485000,84826
2023-08-02 15:04:00,1690968840,3.05,3.05,3.05,3.05,2.79,22000,0,4130500,1485000,84826
2023-08-02 15:03:00,1690968780,3.05,3.05,3.05,3.05,0.0,0,0,4108500,1485000,84826
2023-08-02 15:02:00,1690968720,3.05,3.05,3.05,3.05,0.0,0,0,4108500,1485000,84826
2023-08-02 15:01:00,1690968660,3.05,3.05,3.05,3.05,2.79,27500,11000,4108500,1485000,84826
2023-08-02 15:00:00,1690968600,3.15,3.15,3.15,3.15,0.0,0,0,4081000,1474000,84826
2023-08-02 14:59:00,1690968540,3.15,3.15,3.15,3.15,0.0,0,0,4081000,1474000,84826
2023-08-02 14:58:00,1690968480,3.15,3.15,3.15,3.15,2.79,27500,0,4081000,1474000,84826
2023-08-02 14:57:00,1690968420,3.1,3.1,3.1,3.1,2.79,5500,-11000,4053500,1474000,84826
2023-08-02 14:56:00,1690968360,3.1,3.1,3.1,3.1,2.79,11000,0,4048000,1485000,84826
2023-08-02 14:55:00,1690968300,3.05,3.05,3.05,3.05,6.44,22000,0,4037000,1485000,84826
2023-08-02 14:54:00,1690968240,3.1,3.1,3.1,3.1,0.0,0,-11000,4015000,1485000,84826
2023-08-02 14:53:00,1690968180,3.1,3.1,3.1,3.1,2.77,16500,0,4015000,1496000,84826
2023-08-02 14:52:00,1690968120,3.1,3.1,3.1,3.1,0.0,0,0,3998500,1496000,84826
2023-08-02 14:51:00,1690968060,3.1,3.1,3.1,3.1,2.77,66000,0,3998500,1496000,84826
2023-08-02 14:50:00,1690968000,3.05,3.05,3.05,3.05,2.77,16500,0,3932500,1496000,84826
2023-08-02 14:49:00,1690967940,3.15,3.15,3.15,3.15,0.0,0,0,3916000,1496000,84826
2023-08-02 14:48:00,1690967880,3.15,3.15,3.15,3.15,0.0,0,11000,3916000,1496000,84826
2023-08-02 14:47:00,1690967820,3.2,3.2,3.2,3.2,2.77,16500,0,3916000,1485000,84826
2023-08-02 14:46:00,1690967760,3.2,3.2,3.2,3.2,0.0,0,5500,3899500,1485000,84826
2023-08-02 14:45:00,1690967700,3.25,3.25,3.25,3.25,2.77,11000,0,3899500,1479500,84826
2023-08-02 14:44:00,1690967640,3.3,3.3,3.3,3.3,2.77,5500,0,3888500,1479500,84826
2023-08-02 14:43:00,1690967580,3.2,3.2,3.2,3.2,2.77,33000,0,3883000,1479500,84826
2023-08-02 14:42:00,1690967520,3.15,3.15,3.1,3.1,2.77,33000,-16500,3850000,1479500,84826
2023-08-02 14:41:00,1690967460,3.2,3.2,3.2,3.2,5.06,33000,0,3817000,1496000,84826
2023-08-02 14:40:00,1690967400,3.3,3.3,3.3,3.3,0.0,0,0,3784000,1496000,84826
2023-08-02 14:39:00,1690967340,3.3,3.3,3.3,3.3,0.0,0,5500,3784000,1496000,84826
2023-08-02 14:38:00,1690967280,3.4,3.4,3.4,3.4,0.0,0,0,3784000,1490500,84826
2023-08-02 14:37:00,1690967220,3.4,3.4,3.4,3.4,0.0,0,0,3784000,1490500,84826
2023-08-02 14:36:00,1690967160,3.4,3.4,3.4,3.4,2.75,49500,11000,3784000,1490500,84826
2023-08-02 14:35:00,1690967100,3.45,3.45,3.45,3.45,0.0,0,0,3734500,1479500,84826
2023-08-02 14:34:00,1690967040,3.45,3.45,3.45,3.45,0.0,0,0,3734500,1479500,84826
2023-08-02 14:33:00,1690966980,3.45,3.45,3.45,3.45,2.75,11000,-11000,3734500,1479500,84826
2023-08-02 14:32:00,1690966920,3.4,3.4,3.4,3.4,0.0,0,0,3723500,1490500,84826
2023-08-02 14:31:00,1690966860,3.3,3.3,3.3,3.3,2.75,11000,0,3723500,1490500,84826
2023-08-02 14:30:00,1690966800,3.35,3.35,3.35,3.35,3.7,38500,11000,3712500,1490500,84826
2023-08-02 14:29:00,1690966740,3.4,3.4,3.4,3.4,2.74,38500,0,3674000,1479500,84826
2023-08-02 14:28:00,1690966680,3.35,3.35,3.35,3.35,4.93,16500,0,3635500,1479500,84826
2023-08-02 14:27:00,1690966620,3.35,3.35,3.35,3.35,0.0,0,0,3619000,1479500,84826
2023-08-02 14:26:00,1690966560,3.4,3.4,3.35,3.35,2.73,5500,-5500,3619000,1479500,84826
2023-08-02 14:25:00,1690966500,3.45,3.45,3.45,3.45,0.0,0,0,3613500,1485000,84826
2023-08-02 14:24:00,1690966440,3.45,3.45,3.45,3.45,0.0,0,0,3613500,1485000,84826
2023-08-02 14:23:00,1690966380,3.45,3.45,3.45,3.45,2.73,5500,0,3613500,1485000,84826
2023-08-02 14:22:00,1690966320,3.35,3.45,3.35,3.45,2.73,22000,0,3608000,1485000,84826
2023-08-02 14:21:00,1690966260,3.4,3.4,3.4,3.4,2.73,5500,0,3586000,1485000,84826
2023-08-02 14:20:00,1690966200,3.45,3.45,3.45,3.45,0.0,0,0,3580500,1485000,84826
