time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,3.75,3.75,3.75,3.75,3.32,11000,0,2986500,539000,144912
2023-08-02 15:27:00,1690970220,3.7,3.7,3.65,3.65,3.32,27500,0,2975500,539000,144912
2023-08-02 15:26:00,1690970160,3.75,3.75,3.75,3.75,0.0,0,0,2948000,539000,144912
2023-08-02 15:25:00,1690970100,3.75,3.75,3.75,3.75,3.32,16500,0,2948000,539000,144912
2023-08-02 15:24:00,1690970040,3.8,3.8,3.8,3.8,0.0,0,0,2931500,539000,144912
2023-08-02 15:23:00,1690969980,3.8,3.8,3.8,3.8,0.0,0,0,2931500,539000,144912
2023-08-02 15:22:00,1690969920,3.8,3.8,3.8,3.8,0.0,0,0,2931500,539000,144912
2023-08-02 15:21:00,1690969860,3.8,3.8,3.8,3.8,0.0,0,0,2931500,539000,144912
2023-08-02 15:20:00,1690969800,3.8,3.8,3.8,3.8,3.32,11000,0,2931500,539000,144912
2023-08-02 15:19:00,1690969740,3.75,3.75,3.75,3.75,0.0,0,0,2920500,539000,144912
2023-08-02 15:18:00,1690969680,3.75,3.75,3.75,3.75,0.0,0,0,2920500,539000,144912
2023-08-02 15:17:00,1690969620,3.75,3.75,3.75,3.75,0.0,0,0,2920500,539000,144912
2023-08-02 15:16:00,1690969560,3.75,3.75,3.75,3.75,0.0,0,0,2920500,539000,144912
2023-08-02 15:15:00,1690969500,3.75,3.75,3.75,3.75,4.37,27500,0,2920500,539000,144912
2023-08-02 15:14:00,1690969440,3.75,3.75,3.75,3.75,0.0,0,0,2893000,539000,144912
2023-08-02 15:13:00,1690969380,3.75,3.75,3.75,3.75,0.0,0,0,2893000,539000,144912
2023-08-02 15:12:00,1690969320,3.75,3.75,3.75,3.75,0.0,0,0,2893000,539000,144912
2023-08-02 15:11:00,1690969260,3.75,3.75,3.75,3.75,3.31,5500,0,2893000,539000,144912
2023-08-02 15:10:00,1690969200,3.8,3.8,3.8,3.8,0.0,0,0,2887500,539000,144912
2023-08-02 15:09:00,1690969140,3.8,3.8,3.8,3.8,3.31,5500,-5500,2887500,539000,144912
2023-08-02 15:08:00,1690969080,3.8,3.8,3.8,3.8,0.0,0,0,2882000,544500,144912
2023-08-02 15:07:00,1690969020,3.8,3.8,3.8,3.8,0.0,0,0,2882000,544500,144912
2023-08-02 15:06:00,1690968960,3.8,3.8,3.8,3.8,0.0,0,0,2882000,544500,144912
2023-08-02 15:05:00,1690968900,3.8,3.8,3.8,3.8,0.0,0,0,2882000,544500,144912
2023-08-02 15:04:00,1690968840,3.8,3.8,3.8,3.8,0.0,0,0,2882000,544500,144912
2023-08-02 15:03:00,1690968780,3.8,3.8,3.8,3.8,3.31,5500,5500,2882000,544500,144912
2023-08-02 15:02:00,1690968720,3.85,3.85,3.85,3.85,0.0,0,0,2876500,539000,144912
2023-08-02 15:01:00,1690968660,3.85,3.85,3.85,3.85,0.0,0,0,2876500,539000,144912
2023-08-02 15:00:00,1690968600,3.85,3.85,3.85,3.85,0.0,0,0,2876500,539000,144912
2023-08-02 14:59:00,1690968540,3.85,3.85,3.85,3.85,0.0,0,0,2876500,539000,144912
