time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,10.0,15.0,10.0,12.0,12.43,4200,0,2901000,169200,61005
2023-07-27 15:27:00,1690451820,12.0,14.0,10.0,12.0,13.56,3600,-3000,2896800,169200,61005
2023-07-27 15:26:00,1690451760,7.05,9.0,7.05,9.0,5.52,2400,0,2893200,172200,61005
2023-07-27 15:25:00,1690451700,8.85,9.0,8.2,8.2,21.57,1800,0,2890800,172200,61005
2023-07-27 15:24:00,1690451640,7.05,7.05,7.05,7.05,5.51,9000,-600,2889000,172200,61005
2023-07-27 15:23:00,1690451580,9.0,9.0,9.0,9.0,0.0,0,0,2880000,172800,61005
2023-07-27 15:22:00,1690451520,8.0,8.0,8.0,8.0,0.0,0,0,2880000,172800,61005
2023-07-27 15:21:00,1690451460,8.0,8.0,6.6,6.6,0.0,0,-1800,2880000,172800,61005
2023-07-27 15:20:00,1690451400,8.05,9.2,6.55,6.55,15.1,3000,0,2880000,174600,61005
2023-07-27 15:19:00,1690451340,7.45,7.45,7.0,7.0,5.5,2400,0,2877000,174600,61005
2023-07-27 15:18:00,1690451280,6.6,6.6,6.1,6.1,5.5,3000,-5400,2874600,174600,61005
2023-07-27 15:17:00,1690451220,6.0,6.0,6.0,6.0,5.5,1800,0,2871600,180000,61005
2023-07-27 15:16:00,1690451160,4.5,4.5,4.5,4.5,5.5,5400,0,2869800,180000,61005
2023-07-27 15:15:00,1690451100,4.6,4.6,4.4,4.4,1.53,7200,-10200,2864400,180000,61005
2023-07-27 15:14:00,1690451040,5.0,5.0,5.0,5.0,5.51,2400,0,2857200,190200,61005
2023-07-27 15:13:00,1690450980,4.4,4.4,4.4,4.4,5.51,2400,-6600,2854800,190200,61005
2023-07-27 15:12:00,1690450920,4.0,4.0,4.0,4.0,5.51,600,0,2852400,196800,61005
2023-07-27 15:11:00,1690450860,5.2,5.2,4.4,4.4,5.51,10200,0,2851800,196800,61005
2023-07-27 15:10:00,1690450800,5.0,5.0,5.0,5.0,0.0,0,0,2841600,196800,61005
2023-07-27 15:09:00,1690450740,4.4,4.4,4.4,4.4,0.0,0,-1200,2841600,196800,61005
2023-07-27 15:08:00,1690450680,5.4,5.4,5.4,5.4,5.51,1200,0,2841600,198000,61005
2023-07-27 15:07:00,1690450620,4.6,4.6,4.4,4.4,5.51,600,-600,2840400,198000,61005
2023-07-27 15:06:00,1690450560,4.4,4.4,4.4,4.4,5.51,600,600,2839800,198600,61005
2023-07-27 15:05:00,1690450500,8.2,8.2,8.2,8.2,0.0,0,0,2839200,198000,61005
2023-07-27 15:04:00,1690450440,8.2,8.2,8.2,8.2,0.0,0,0,2839200,198000,61005
2023-07-27 15:03:00,1690450380,8.2,8.2,8.2,8.2,0.0,0,0,2839200,198000,61005
2023-07-27 15:02:00,1690450320,8.2,8.2,8.2,8.2,0.0,0,0,2839200,198000,61005
2023-07-27 15:01:00,1690450260,8.15,8.2,8.15,8.2,5.51,1200,0,2839200,198000,61005
2023-07-27 15:00:00,1690450200,5.45,6.85,5.45,6.85,5.51,1800,0,2838000,198000,61005
2023-07-27 14:59:00,1690450140,6.0,6.0,6.0,6.0,0.0,0,0,2836200,198000,61005
2023-07-27 14:58:00,1690450080,5.8,5.8,5.8,5.8,5.51,1200,0,2836200,198000,61005
2023-07-27 14:57:00,1690450020,5.0,5.0,5.0,5.0,5.51,600,600,2835000,198000,61005
2023-07-27 14:56:00,1690449960,7.8,7.8,6.55,6.55,5.51,2400,0,2834400,197400,61005
2023-07-27 14:55:00,1690449900,7.1,7.3,7.1,7.3,5.51,3000,-1200,2832000,197400,61005
2023-07-27 14:54:00,1690449840,7.0,7.15,7.0,7.15,5.51,1800,0,2829000,198600,61005
2023-07-27 14:53:00,1690449780,6.2,6.2,6.2,6.2,5.51,600,0,2827200,198600,61005
2023-07-27 14:52:00,1690449720,6.15,7.0,6.15,7.0,5.51,2400,-4800,2826600,198600,61005
2023-07-27 14:51:00,1690449660,5.3,5.65,5.3,5.65,5.51,1200,0,2824200,203400,61005
2023-07-27 14:50:00,1690449600,5.75,5.75,4.0,4.95,5.51,6600,0,2823000,203400,61005
2023-07-27 14:49:00,1690449540,5.25,5.5,5.25,5.5,5.51,3000,-6600,2816400,203400,61005
2023-07-27 14:48:00,1690449480,7.0,7.0,6.55,6.55,5.51,4800,0,2813400,210000,61005
2023-07-27 14:47:00,1690449420,5.0,5.85,5.0,5.85,21.1,1800,0,2808600,210000,61005
2023-07-27 14:46:00,1690449360,2.9,6.1,2.9,6.1,-1.17,4200,0,2806800,210000,61005
2023-07-27 14:45:00,1690449300,3.8,3.8,2.75,2.75,5.51,1800,-600,2802600,210000,61005
2023-07-27 14:44:00,1690449240,2.95,3.05,2.05,3.05,1.63,7200,0,2800800,210600,61005
2023-07-27 14:43:00,1690449180,1.9,2.5,1.6,2.5,2.04,31800,0,2793600,210600,61005
2023-07-27 14:42:00,1690449120,2.45,2.45,1.55,2.3,3.14,11400,-4200,2761800,210600,61005
2023-07-27 14:41:00,1690449060,2.5,2.5,1.05,2.3,1.16,18600,0,2750400,214800,61005
2023-07-27 14:40:00,1690449000,2.45,2.9,1.9,1.9,3.15,22200,0,2731800,214800,61005
2023-07-27 14:39:00,1690448940,2.75,2.8,1.95,1.95,2.4,8400,-5400,2709600,214800,61005
2023-07-27 14:38:00,1690448880,2.55,2.75,2.55,2.6,0.0,0,0,2701200,220200,61005
2023-07-27 14:37:00,1690448820,2.8,2.8,2.8,2.8,0.0,0,0,2701200,220200,61005
2023-07-27 14:36:00,1690448760,1.9,1.9,1.9,1.9,5.63,600,0,2701200,220200,61005
2023-07-27 14:35:00,1690448700,2.1,2.1,2.1,2.1,0.0,0,0,2700600,220200,61005
2023-07-27 14:34:00,1690448640,2.1,2.1,2.1,2.1,0.0,0,0,2700600,220200,61005
2023-07-27 14:33:00,1690448580,1.7,2.1,1.7,2.1,-9.36,1800,0,2700600,220200,61005
2023-07-27 14:32:00,1690448520,2.75,2.75,2.75,2.75,0.0,0,0,2698800,220200,61005
2023-07-27 14:31:00,1690448460,2.2,2.75,1.8,2.75,5.64,5400,0,2698800,220200,61005
2023-07-27 14:30:00,1690448400,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:29:00,1690448340,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:28:00,1690448280,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:27:00,1690448220,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:26:00,1690448160,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:25:00,1690448100,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:24:00,1690448040,2.05,2.05,2.05,2.05,0.0,0,0,2693400,220200,61005
2023-07-27 14:23:00,1690447980,2.05,2.05,2.05,2.05,0.0,0,-3600,2693400,220200,61005
2023-07-27 14:22:00,1690447920,2.0,2.0,2.0,2.0,0.0,0,0,2693400,223800,61005
2023-07-27 14:21:00,1690447860,2.0,2.0,2.0,2.0,5.64,600,0,2693400,223800,61005
2023-07-27 14:20:00,1690447800,1.7,1.7,1.7,1.7,0.0,0,0,2692800,223800,61005
2023-07-27 14:19:00,1690447740,1.7,1.7,1.7,1.7,-24.26,1800,0,2692800,223800,61005
2023-07-27 14:18:00,1690447680,1.7,1.7,1.7,1.7,5.66,1800,0,2691000,223800,61005
2023-07-27 14:17:00,1690447620,2.2,2.2,2.2,2.2,0.0,0,0,2689200,223800,61005
2023-07-27 14:16:00,1690447560,2.55,2.55,2.2,2.2,5.66,4800,0,2689200,223800,61005
2023-07-27 14:15:00,1690447500,2.4,2.4,2.4,2.4,5.66,600,-5400,2684400,223800,61005
2023-07-27 14:14:00,1690447440,2.5,2.5,2.5,2.5,0.0,0,0,2683800,229200,61005
2023-07-27 14:13:00,1690447380,2.5,2.5,2.5,2.5,5.66,1800,0,2683800,229200,61005
2023-07-27 14:12:00,1690447320,2.5,2.5,2.5,2.5,5.66,3000,0,2682000,229200,61005
2023-07-27 14:11:00,1690447260,2.5,2.6,2.5,2.5,5.66,600,0,2679000,229200,61005
2023-07-27 14:10:00,1690447200,2.8,2.8,2.8,2.8,5.66,600,-1200,2678400,229200,61005
2023-07-27 14:09:00,1690447140,2.8,2.8,2.8,2.8,0.0,0,0,2677800,230400,61005
2023-07-27 14:08:00,1690447080,2.8,2.8,2.8,2.8,0.0,0,0,2677800,230400,61005
