time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,82.0,82.0,82.0,82.0,0.0,0,0,214500,71500,147110
2023-07-31 15:27:00,1690797420,82.0,82.0,82.0,82.0,83.72,500,500,214500,71500,147110
2023-07-31 15:26:00,1690797360,83.5,83.5,83.5,83.5,83.72,500,0,214000,71000,147110
2023-07-31 15:25:00,1690797300,84.1,84.15,84.1,84.15,83.72,3000,0,213500,71000,147110
2023-07-31 15:24:00,1690797240,85.0,85.0,85.0,85.0,0.0,0,0,210500,71000,147110
2023-07-31 15:23:00,1690797180,85.0,85.0,85.0,85.0,0.0,0,0,210500,71000,147110
2023-07-31 15:22:00,1690797120,85.0,85.0,85.0,85.0,0.0,0,0,210500,71000,147110
2023-07-31 15:21:00,1690797060,80.9,80.9,80.9,80.9,0.0,0,0,210500,71000,147110
2023-07-31 15:20:00,1690797000,83.0,83.0,83.0,83.0,0.0,0,0,210500,71000,147110
2023-07-31 15:19:00,1690796940,82.45,82.45,82.45,82.45,0.0,0,0,210500,71000,147110
2023-07-31 15:18:00,1690796880,82.45,82.45,82.45,82.45,0.0,0,-1000,210500,71000,147110
2023-07-31 15:17:00,1690796820,82.5,82.5,82.5,82.5,0.0,0,0,210500,72000,147110
2023-07-31 15:16:00,1690796760,82.5,82.5,82.5,82.5,0.0,0,0,210500,72000,147110
2023-07-31 15:15:00,1690796700,82.5,82.5,82.5,82.5,82.53,3500,0,210500,72000,147110
2023-07-31 15:14:00,1690796640,84.1,84.1,84.1,84.1,0.0,0,0,207000,72000,147110
2023-07-31 15:13:00,1690796580,84.2,84.2,84.1,84.1,85.11,1500,0,207000,72000,147110
2023-07-31 15:12:00,1690796520,82.55,82.55,82.55,82.55,81.68,1000,2000,205500,72000,147110
2023-07-31 15:11:00,1690796460,81.5,82.6,81.5,82.6,82.38,1500,0,204500,70000,147110
2023-07-31 15:10:00,1690796400,79.0,79.0,79.0,79.0,78.37,1500,-500,203000,70000,147110
2023-07-31 15:09:00,1690796340,82.1,82.1,82.1,82.1,83.79,500,0,201500,70500,147110
2023-07-31 15:08:00,1690796280,81.4,81.4,81.4,81.4,0.0,0,0,201000,70500,147110
2023-07-31 15:07:00,1690796220,81.4,81.4,81.4,81.4,79.78,500,-500,201000,70500,147110
2023-07-31 15:06:00,1690796160,83.2,83.2,83.2,83.2,0.0,0,0,200500,71000,147110
2023-07-31 15:05:00,1690796100,83.2,83.2,83.2,83.2,83.8,1000,-500,200500,71000,147110
2023-07-31 15:04:00,1690796040,83.25,83.25,83.25,83.25,0.0,0,0,199500,71500,147110
2023-07-31 15:03:00,1690795980,83.25,83.25,83.25,83.25,0.0,0,0,199500,71500,147110
2023-07-31 15:02:00,1690795920,83.25,83.25,83.25,83.25,0.0,0,0,199500,71500,147110
2023-07-31 15:01:00,1690795860,83.0,83.25,83.0,83.25,83.8,1000,0,199500,71500,147110
2023-07-31 15:00:00,1690795800,82.0,82.0,82.0,82.0,79.84,500,-1000,198500,71500,147110
2023-07-31 14:59:00,1690795740,80.5,80.5,80.5,80.5,83.81,500,0,198000,72500,147110
2023-07-31 14:58:00,1690795680,80.5,80.5,80.5,80.5,0.0,0,0,197500,72500,147110
2023-07-31 14:57:00,1690795620,80.5,80.5,80.5,80.5,79.87,500,1000,197500,72500,147110
2023-07-31 14:56:00,1690795560,81.35,81.35,81.35,81.35,0.0,0,0,197000,71500,147110
2023-07-31 14:55:00,1690795500,81.35,81.35,81.35,81.35,0.0,0,0,197000,71500,147110
2023-07-31 14:54:00,1690795440,81.35,81.35,81.35,81.35,0.0,0,0,197000,71500,147110
2023-07-31 14:53:00,1690795380,81.2,81.35,81.2,81.35,79.9,1000,0,197000,71500,147110
2023-07-31 14:52:00,1690795320,81.1,81.1,81.05,81.05,81.89,1000,0,196000,71500,147110
2023-07-31 14:51:00,1690795260,80.05,80.05,80.05,80.05,79.96,500,-500,195000,71500,147110
2023-07-31 14:50:00,1690795200,82.45,82.45,82.45,82.45,0.0,0,0,194500,72000,147110
2023-07-31 14:49:00,1690795140,82.45,82.45,82.45,82.45,0.0,0,0,194500,72000,147110
2023-07-31 14:48:00,1690795080,82.45,82.45,82.45,82.45,0.0,0,0,194500,72000,147110
2023-07-31 14:47:00,1690795020,82.45,82.45,82.45,82.45,0.0,0,0,194500,72000,147110
2023-07-31 14:46:00,1690794960,81.3,82.45,81.3,82.45,81.92,1000,0,194500,72000,147110
2023-07-31 14:45:00,1690794900,80.25,80.8,80.25,80.8,80.03,1500,1500,193500,72000,147110
2023-07-31 14:44:00,1690794840,81.3,81.3,81.3,81.3,83.9,500,0,192000,70500,147110
2023-07-31 14:43:00,1690794780,80.9,80.9,80.9,80.9,0.0,0,0,191500,70500,147110
2023-07-31 14:42:00,1690794720,80.9,80.9,80.9,80.9,80.09,1000,0,191500,70500,147110
2023-07-31 14:41:00,1690794660,80.2,80.9,80.2,80.9,80.15,2000,0,190500,70500,147110
2023-07-31 14:40:00,1690794600,79.95,79.95,79.95,79.95,80.21,1000,0,188500,70500,147110
2023-07-31 14:39:00,1690794540,79.95,79.95,79.95,79.95,0.0,0,0,187500,70500,147110
2023-07-31 14:38:00,1690794480,79.95,79.95,79.95,79.95,80.24,500,0,187500,70500,147110
2023-07-31 14:37:00,1690794420,80.3,80.3,80.3,80.3,0.0,0,0,187000,70500,147110
2023-07-31 14:36:00,1690794360,80.3,80.3,80.3,80.3,80.26,500,0,187000,70500,147110
2023-07-31 14:35:00,1690794300,81.0,81.0,79.8,79.8,80.29,1000,0,186500,70500,147110
2023-07-31 14:34:00,1690794240,80.0,80.0,80.0,80.0,0.0,0,0,185500,70500,147110
2023-07-31 14:33:00,1690794180,80.0,80.0,80.0,80.0,0.0,0,0,185500,70500,147110
2023-07-31 14:32:00,1690794120,80.0,80.0,80.0,80.0,0.0,0,0,185500,70500,147110
2023-07-31 14:31:00,1690794060,80.0,80.0,80.0,80.0,0.0,0,0,185500,70500,147110
2023-07-31 14:30:00,1690794000,80.0,80.0,80.0,80.0,80.32,500,0,185500,70500,147110
2023-07-31 14:29:00,1690793940,80.0,80.0,80.0,80.0,80.34,500,-500,185000,70500,147110
2023-07-31 14:28:00,1690793880,80.0,80.0,80.0,80.0,0.0,0,0,184500,71000,147110
2023-07-31 14:27:00,1690793820,80.0,80.0,80.0,80.0,0.0,0,0,184500,71000,147110
2023-07-31 14:26:00,1690793760,80.0,80.0,80.0,80.0,0.0,0,0,184500,71000,147110
