time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,52.4,52.4,52.4,52.4,49.14,400,0,211200,33200,177763
2023-08-01 15:27:00,1690883820,51.75,51.75,51.3,51.7,51.8,1600,-800,210800,33200,177763
2023-08-01 15:26:00,1690883760,52.2,52.2,52.2,52.2,54.44,400,0,209200,34000,177763
2023-08-01 15:25:00,1690883700,52.2,52.2,52.2,52.2,49.23,400,2400,208800,34000,177763
2023-08-01 15:24:00,1690883640,52.5,52.5,52.5,52.5,0.0,0,0,208400,31600,177763
2023-08-01 15:23:00,1690883580,52.5,52.5,52.5,52.5,54.45,800,0,208400,31600,177763
2023-08-01 15:22:00,1690883520,53.2,53.2,52.5,52.5,51.87,1600,0,207600,31600,177763
2023-08-01 15:21:00,1690883460,53.0,53.0,53.0,53.0,0.0,0,0,206000,31600,177763
2023-08-01 15:20:00,1690883400,53.0,53.0,53.0,53.0,0.0,0,0,206000,31600,177763
2023-08-01 15:19:00,1690883340,53.0,53.0,53.0,53.0,0.0,0,0,206000,31600,177763
2023-08-01 15:18:00,1690883280,53.0,53.0,53.0,53.0,52.29,2800,2000,206000,31600,177763
2023-08-01 15:17:00,1690883220,53.2,53.2,53.2,53.2,0.0,0,0,203200,29600,177763
2023-08-01 15:16:00,1690883160,53.2,53.2,53.2,53.2,54.5,400,0,203200,29600,177763
2023-08-01 15:15:00,1690883100,53.5,53.5,53.5,53.5,54.5,400,400,202800,29600,177763
2023-08-01 15:14:00,1690883040,53.25,53.25,53.25,53.25,0.0,0,0,202400,29200,177763
2023-08-01 15:13:00,1690882980,53.25,53.25,53.25,53.25,54.5,1600,-400,202400,29200,177763
2023-08-01 15:12:00,1690882920,53.25,53.25,53.25,53.25,0.0,0,0,200800,29600,177763
2023-08-01 15:11:00,1690882860,53.25,53.25,53.25,53.25,0.0,0,0,200800,29600,177763
2023-08-01 15:10:00,1690882800,53.25,53.25,53.25,53.25,54.5,400,0,200800,29600,177763
2023-08-01 15:09:00,1690882740,52.55,52.55,52.55,52.55,44.5,400,-1200,200400,29600,177763
2023-08-01 15:08:00,1690882680,52.7,52.7,52.7,52.7,54.52,2000,0,200000,30800,177763
2023-08-01 15:07:00,1690882620,53.6,53.6,53.5,53.5,0.0,0,0,198000,30800,177763
