time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,15.8,15.8,15.8,15.8,0.0,0,0,553800,152100,178514
2023-08-03 15:27:00,1691056620,15.8,15.8,15.8,15.8,0.0,0,0,553800,152100,178514
2023-08-03 15:26:00,1691056560,15.8,15.8,15.8,15.8,0.0,0,0,553800,152100,178514
2023-08-03 15:25:00,1691056500,15.75,15.75,15.75,15.75,0.0,0,0,553800,152100,178514
2023-08-03 15:24:00,1691056440,15.75,15.75,15.75,15.75,0.0,0,0,553800,152100,178514
2023-08-03 15:23:00,1691056380,15.75,15.75,15.75,15.75,15.33,5200,0,553800,152100,178514
2023-08-03 15:22:00,1691056320,15.55,15.55,15.55,15.55,0.0,0,0,548600,152100,178514
2023-08-03 15:21:00,1691056260,15.55,15.55,15.55,15.55,0.0,0,0,548600,152100,178514
2023-08-03 15:20:00,1691056200,15.5,15.6,15.5,15.55,0.0,0,0,548600,152100,178514
2023-08-03 15:19:00,1691056140,15.85,15.85,15.85,15.85,0.0,0,0,548600,152100,178514
2023-08-03 15:18:00,1691056080,15.75,15.85,15.75,15.85,15.36,2600,1300,548600,152100,178514
2023-08-03 15:17:00,1691056020,15.85,15.85,15.85,15.85,0.0,0,0,546000,150800,178514
2023-08-03 15:16:00,1691055960,15.85,15.85,15.85,15.85,0.0,0,0,546000,150800,178514
2023-08-03 15:15:00,1691055900,15.85,15.85,15.85,15.85,17.47,1300,0,546000,150800,178514
2023-08-03 15:14:00,1691055840,15.55,15.55,15.55,15.55,15.38,2600,1300,544700,150800,178514
2023-08-03 15:13:00,1691055780,16.8,16.8,16.8,16.8,0.0,0,0,542100,149500,178514
2023-08-03 15:12:00,1691055720,16.8,16.8,16.8,16.8,0.0,0,0,542100,149500,178514
2023-08-03 15:11:00,1691055660,16.8,16.8,16.8,16.8,0.0,0,0,542100,149500,178514
2023-08-03 15:10:00,1691055600,16.8,16.8,16.8,16.8,0.0,0,0,542100,149500,178514
